電源|でんげん|Power Supply / Outlet
馬鹿馬鹿しい|ばかばかしい|stupid, absurd
ヒドラ||Hydra (3 headed creature)
公約|こうやく|Public committment or promise
競歩|きょうほ|racewalking; race walking; walking race
極端|きょくたん|Extreme
カエルがぴょんぴょんはねているね。|がぴょんぴょんはねているね|Frogs are jumping around the pond.
番犬|ばんけん|Guard dog / Watch dog
予言|よげん|Prophecy / Prediction
邪神|じゃしん|an evil god
会場|かいじょう|Venue / Meeting place
週休|しゅうきゅう|Another word for weekend
マグロ船|せん|Tuna boat
葬式|そうしき|Funeral
重視|じゅうし|Importance / value
啓発|けいはつ|enlightenment; development; edification; public awareness; illumination; educati
留め具|めとめぐ|Latch
大戦|たいせん|World War
確保 （する）|かくほする|Securement
光速|こうそく|The speed of light
延長時間|えんちょう じかん|Extra time / overtime
木にとっては枝は人間の手足に相当する。|きにとっては えだは にんげんの てあしに そうとうする|Branches are to trees what limbs are to us
彼女は中世の音楽が好きです|かのじょは ちゅうせいの おんがくが すきです|She likes medieval music.
過剰防衛|かじょうぼうえい|Excessive or unjustifyable self defense
好ましい|このましい|Likeable / Desireable / Nice
吉野家が閉まっていたから、松屋に行くはめになった。|よしのやが しまっていたから まつやに いくはめになった|Yoshinoya was closed, so I was stuck and ended up having to go to Matsuya
水平線に太陽が沈んでいった。|すいへいせんに たいようが しずんでいった|The sun was setting on the horizon.
折り畳み傘を持って出かけた|りみおりたたみがさを もって でかけた|I took a folding umbrella when I went out
古典語|こてんご|classical or dead languages
法人|ほうじん|Juridical Legal person / Corporation / Corporate body
寝さえすれば治ります|ねさえすれば なおります|If you only sleep, you will get better
振り|ふり|swing, shake
受け取りに判子をお願いします。|けうけとりに はんこをお ねがいします|Please stamp your seal on the receipt.
私財|しざい|Private Property / Money
放って置く|はなって おく|To leave alone / to leave as it (hear this all the time)
野手|のて|Baseball fielder
篩に掛ける|ふるいに かける|To sieve / To sift
堕ちる|おちる|to fall down; to drop; to fall (e.g. rain); to sink (e.g. sun or moon); to fall 
背筋が寒くなる|せすじが さむくなる|to feel a chill run down one's spine
曲芸師|きょくげいし|Acrobat
帽子|ぼうし|Hat
活用|かつよう|Utilization
踊り子|りおどりこ|dancer (usu. female)
動物は自在に動く|どうぶつは じざいに うごく|Animals can move at will
記す|しるす|Write down / Take notes
遠隔操作の|えんかくそうさの|Remote controlled ~
最後まで粘り抜いてね。|さいごまで りねばりぬいてね|Stick it out
僕とサミー以外は誰一人として知らない|ぼくと いがいは だれひとりとして しらない|Not a soul knows except me and Sammy
際限なく|さいげんなく|Endlessly / Without end / Unlimitedly
邪魔だ。気が散るよ。|じゃまだ きが ちるよ|It's a distraction
取り出す|りとりだす|take out, pull out
この薬はよくきく反面、副作用がある|この くすりはよくきく はんめん ふくさようがある|This medicine is effective, but on the other hand there are side effects
外は木枯らしが吹いているよ。|そとは こがらしが ふいているよ|A cold wintry wind is blowing outside.
結論|けつろん|Conclusion
戸籍|こせき|Family register
彼は金持ちぶっているが、本当に借金がたくさんある。|かれは かねもちぶっているが ほんとうに しゃっきんがたくさんある|Though he pretends to be rich, in reality he is in serious debt (金持ちのふりをしている)
このままでは身の破滅です|このままでは みの はめつです|If you carry on like that you will destroy yourself
私の息子は左利きです。|わたしの むすこは ひだりききです|My son is left-handed.
長靴|ながぐつ|leather boots; rubber boots; wellingtons; wellies; long boots; high boots
目撃者|もくげきしゃ|A witness / someone who saw a crime, say (from trick)
かっと|かっと|Lose ones temper / fly into a rage
弟子|でし|先生について教えを受ける人（Pupil / Disciple)
景色が良かったので途中下車したよ。|けしきが よかったので とちゅうげしゃしたよ|We stopped off on the way because the scenery was lovely.
増幅器|ぞうふくき|Amplifier
バク転|ばくてん|Backflip
崩れ去る|くずれ さる|To crumble away / To collapse
高収入の人|こうしゅうにゅうの ひと|Person with high income
試験が近づくにしたがって、緊張が高まる|しけんが ちかづくにしたがって きんちょうが たかまる|As the exam gets closer, feel more nervous
洪水|こうずい|Flood / Inundation
これは、中年の男性によく見られる症状です。|これは ちゅうねんの だんせいによく みられる しょうじょうです|These symptoms are often seen in middle-aged men.
細かい|こまかい|小さいこと（Very fine/small)
漢方薬|かんぽうやく|Chinese herbal medicine
翻訳|ほんやく|Translation
今夜は天の川が見えますね。|こんやは のあまのがわが みえますね|The Milky Way can be seen tonight.
磁気|じき|Magnetism
可愛がる|かわいがる|To love / cherish (not&nbsp;&nbsp;愛用)
学歴、経験は問わず、やる気のある社員を募集します|がくれき けいけんは とわずやる きのある しゃいんを ぼしゅうします|Regardless of experience or academic background, recruiting people who have enth
混ざる|まざる|be mixed, be stirred
アラサー||Around 30 (slangish)
法案|ほうあん|Law Bill
会長さんは今日いらっしゃらないとのことだ|かいちょうさんは きょういらっしゃらないとのことだ|the boss apparently won't be coming in today
全ての惑星が直列することはめったにない|すべての わくせいが ちょくれつすることはめったにない|It is very rare that all the planets are in line
お尻に出来物ができているので座るに座れない。|お しりに できぶつができているので すわるに すわれない|Because I have a boil on my bottom, I cannot (manage to) sit down.
私は彼女に英語で話さないでほしい|わたしは かのじょに えいごで はなさないでほしい|I dont want my girlfriend to speak in English
強調|きょうちょう|Emphasis
実現|じつげん|考えていたことが本当にそうなること
思う存分にデートを楽しんだ|うおもうぞんぶんにを たのしんだ|I thoroughly enjoyed the date
そこの酒屋さんでビールを買って来て。|そこの さかやさんでを かって きて|Go and buy some beer at that liquor store.
この学校は1962年に創立されました。|この がっこうは  ねんに そうりつされました|This school was established in 1962.
この地域では、今度も大きい地震が来るとみられている|この ちいきでは こんども おおきい じしんが くるとみられている|This area is expected to have a major earthquake again in the future (来ると考えられている
交際|こうさい|Association / Friendship
無担保|むたんぽ|unsecured (loan)
乾燥|かんそう|Dry
富める|とめる|Rich / Wealthy
長剣|ちょうけん|Long sword
大便|だいべん|stool, feces
飛び下りる|びとびおりる|jump off, jump down
以後|いご|From now on / after that
彼女は私に途方もない金額を要求してきた|かのじょは わたしに とほうもない きんがくを ようきゅうしてきた|She asked me for an unreasonable sum of money
本店移転及び商号変更についてお知らせいたします。|ほんてん いてん および しょうごう へんこうについてお しらせいたします|We hevery notifiy you of the relocation of the head office and the change of our
強引|ごういん|Forcible / Assertive / Pushy
彼女の失踪で謎が一段と面白くなった。|かのじょの しっそうで なぞが いちだんと おもしろくなった|Her disappearance gave zest to the mystery
あなたは言い訳が多すぎます。|あなたは いいいわけが おおすぎます|You give too many excuses.
震える|ふるえる|To shake / to shiver
私達の生活は、どんどん変わっていくでしょう|わたし たちの せいかつはどんどん かわっていくでしょう|Our lifestyle will continue to change rapidly
彼は最近、失恋したらしいの。|かれは さいきん しつれんしたらしいの|I hear he had a broken heart recently.
切り落とす|りきりおとす|To cut down
灯油|とうゆ|Kerosene / Lamp oil
後任者が決まらないので辞めるに辞められない|こうにん しゃが きまらないので やめるに やめられない|Because my successor hasn't been chosen yet, I haven't been able to resign
保守|ほしゅ|conservation, maintenance
ろうそく|ろうそく|Candle
この本を読みこなします|この ほんを よみこなします|I`ll read the book cover to cover (and fully understand / internalise it)
武士|ぶし|Warrior
給料に関するかぎり、それはよい仕事である。|きゅうりょうに かんするかぎりそれはよい しごとである|It's a good job as far as the pay goes.
常のごとく|つねのごとく|As usual
経済特区|けいざいとっく|Special economic zone
儀式用|ぎしきよう|ceremonial
整理する|せいりする|To organise / Arrange
暮らす|くらす|To live / get along
この新聞の社説は面白いね。|この しんぶんの しゃせつは おもしろいね|The editorial in this newspaper is interesting.
優秀|ゆうしゅう|excellence
宝|たから|Treasure
簡体字|かんたいじ|Simplified Chinese Characters
教師たる者、学生に対して常に公平であるべきだ|きょうしたる しゃ がくせいに たいして つねに こうへいであるべきだ|Those who are teachers should always be fair to the students
騎士|きし|Knight / Horseman (Dantares / Campbell)
地域|ちいき|Area / Place
雑貨店を経営するには資金が不十分だ。|ざっかてんを けいえいするには しきんが ふじゅうぶんだ|The funds are not sufficient for running a General store / Grocery
その国の政治は退廃している|その くにの せいじは たいはいしている|Politics in that country are corrupt
血まみれ|ちまみれ|Covered in blood
散在|さんざい|to be scattered; to straggle; to be found here and there
今、論文の下書きをしているところです。|いま ろんぶんの したがきをしているところです|I am in the middle of the thesis draft now.
挟み撃ち|みはさみうち|Pincer attack / attack on both sides
悩み|なやみ|Worry
誓う|ちかう|To swear / To promise (wedding)
表面|ひょうめん|Surface / Face / Top
日本語は下手ばかりに、いいアルバイトが探せません|にほんごは へたばかりにいいが さがせません|Because I'm bad at Japanese, I can't look for a good part time job
光源|こうげん|Light source (for graphics programming!)
生理的|せいりてき|Physiological&nbsp;
朝市|あさいち|Morning Market
受験する|じゅけんする|To take an examination
泡を立てないでください|あわを たてないでください|No head on my beer please
〜気味 - Condition Based|きみ|〜気味 - Condition Based
仕上げ|しあげ|Completion / Finishing
彼は中国の内陸を旅行しました。|かれは ちゅうごくの ないりくを りょこうしました|He traveled through inland China.
浮気相手|うわきあいて|The other woman / man (cheating with)
ほこりを吸い込んじゃった。|ほこりを いすいこんじゃった|I have inhaled some dust.
前科|ぜんか|Record / Previous conviction
独学|どくがく|Self study / Self instruction
彼は遠くをぼんやり見ていたの。|かれは とおくをぼんやり みていたの|He stared vacantly into the distance.
収入と支出が釣り合っていない。|しゅうにゅうと ししゅつが りつりあっていない|The income and expenses don't balance.
今学期は成績ががくんと落ちてしまった。|こん がっきは せいせきががくんと おちてしまった|My grades fell sharply this semester.
病弱な|びょうじゃくな|Unhealthy / Sickly / Invalid
私の一日の勤務時間は8時間です。|わたしの にちの きんむじかんは  じかんです|I work 8 hours a day.
天気図|てんきず|Weather map
来週、課長の送別会を開きます。|らいしゅう かちょうの そうべつかいを ひらきます|The section chief's farewell party will be held next week.
年を取るにつれて、昔のことがなつかしく思い出される|としを とるにつれて むかしのことがなつかしく いおもいだされる|As one gets older, one recalls things from the past nostalgically
尿の色は澄んでいます。|にょうの いろは すんでいます|My urine is clear
この単語の綴りは間違っています|この たんごの つづりは まちがっています|This world is spelt wrong
あの時、「愛している」と言えばよかった|あの とき あいしていると いえばよかった|I wish I had told her that I loved her
見当|けんとう|Estimate / Aim
派遣社員|はけんしゃいん|Temporary staff
彼は私より一学年上です。|かれは わたしより がくねん じょうです|He's one year above me in school.
いまさら担当者を責めてもはじまらない|いまさら たんとうしゃを せめてもはじまらない|It’s no use blaming the person in charge now
進出|しんしゅつ|Advancement (again..)
コンピューターの使用は急速に増加しつつある。|の しようは きゅうそくに ぞうかしつつある|The use of electronic computers is growing rapidly.（つつある）
人種|じんしゅ|Race
反応|はんのう|Reaction / Response
聞き手|きききて|Listener
貧乏人|びんぼうにん|poor person; pauper; the poor; the indigent
仕事をこなす|しごとをこなす|To do the work thoroughly
あなたはもう用済みだ|あなたはもう ようずみだ|You have already served your purpose (総理!)
この方法だと能率がいいですね。|この ほうほうだと のうりつがいいですね|Using this method is more efficient.
突然の悲しみが一家を襲いました。|とつぜんの かなしみが いっかを おそいました|Sudden grief fell upon the whole family.
俳句|はいく|Haiku
付与|ふよ|Grant / Allowance / Endowment / Bestowal (of some magic in ff14)
神対応|かみ たいおう|incredible response (company dealing with a complaint, celebrity dealing with fa
家業|かぎょう|Family Business
彼は世界で最も早い男です。|かれは せかいで もっとも はやい おとこです|He's the fastest man in the world.
当て字|てあてじ|Kanji used as a phonetic symbol instead of the meaning
返品（する）|へんぴんする|To return (merchandise)
確かめる|たしかめる|To make sure
彼女は似顔絵を描くのが得意です|かのじょは にがおえを えがくのが とくいです|She is good at painting portraits
愛す|あいす|To love
静的|せいてき|Static
世間知らず|せけんしらず|Ignorant to the ways of the world
史上|しじょう|In the history of
満足（する）|まんぞくする|To Satisfy / be content
この土地は傾斜が大きい|この とちは けいしゃが おおきい|The slope on this land is steep
もしも彼女と結婚できたらどんなに嬉しいだろう。|もしも かのじょと けっこんできたらどんなに うれしいだろう|If I could ever marry her, how happy I would be!
暗号化|あんごうか|Encryption
肩書|かたがき|title (e.g. Doctor, Professor, Lord); job title; position (in a company); degree
潜る|もぐる|To dive
駆け下りる|かけ おりる|To run down (the stairs)
主張|しゅちょう|Insistance / Assertion
明暗|めいあん|Light and darkness
パスポートを申請する際に必要なものを教えてください|を しんせいする さいに ひつようなものを おしえてください|When applying for a passport please tell me what I need
目撃する|もくげきする|To witness something / be a witness to
陰鬱な空|いんうつな そら|a gloomy sky
待合室|まちあいしつ|Waiting Room
大統領は強硬路線をとった。|だいとうりょうは きょうこうろせんをとった|The President took a hard line
先生のご恩に報いたいです|せんせいのご おんに むくいたいです|I want to repay the teachers kindness
コンピュータの電子回路が故障した。|の でんしかいろが こしょうした|The computer's electric circuits have broken down.
天職|てんしょく|Vocation / Calling / Mission (job one was destined for)
家に帰るやいなや、電話が鳴った|いえに かえるやいなや でんわが なった|Just as I entered my house, the telephone rang
まずは障害を取り除いてから計画を進めよう。|まずは しょうがいを りとりのぞいてから けいかくを すすめよう|Let's get rid of the problem and then proceed with the plan
こは職員専用の出入り口です。|こは しょくいん せんようの りでいりぐちです|This is an entrance for staff only.
見張り台|りみはりだい|Lookout (spot)
鳴き声|きなきごえ|Cry / Sob / Bawl
説得 する|せっとくする|Persuasion
谷間|たにま|Valley
ごとき、ごとく、ごとし　Grammar|ごときごとくごとし|Like, as if, shows similarity. Very formal written grammar.&nbsp;
生徒たちががやがやと騒いでいますね。|せいとたちががやがやと さわいでいますね|Students are making a lot of noise.
けんさんが来てから、食べよう|けんさんが きてから たべよう|Lets start eating after Ken has arrived
明け方|けあけがた|Dawn / Near daybreak
祖父は市外の病院に通っているの。|そふは しがいの びょういんに かよっているの|My grandfather goes to a hospital outside the city.
経済情勢は悪化しているとの見方が優勢だ。|けいざいじょうせいは あっかしているとの みかたが ゆうせいだ|The view that the economic situation is worsening is dominant.
仕事が忙しくて、最近少し疲れ気味だ|しごとが いそがしくて さいきん すこし つかれ ぎみだ|Being busy with work, I've been feeling a little tired recently
初夏の高原は気持ちがいいですね。|しょかの こうげんは きもちがいいですね|Being up on the high plateaus in early summer feels good.
現れる|あらわれる|To appear
小川がさらさら流れています。|おがわがさらさら ながれています|The stream flows smoothly.
過ぎ去った|ぎすぎさった|Past
お金がないと言っているわりに、よく買い物をするね。|お かねがないと いっているわりによく いかいものをするね|Even though you say you have no money, you go shopping a lot, don't you?
彼は彼女に好意をもっています。|かれは かのじょに こういをもっています|He has affections for her.
無関心|む かんしん|indifferent
死す|しす|To die
解雇|かいこ|Dismissal / Discharge / Lay-off
ミイラ||Mummy (Scary nightmare one)
十月の末なのに、夏のように暑いです|じゅうがつの すえなのに なつのように あついです|Although its at the end of October, its hot like a summer day
募集|ぼしゅう|Recruitment
彼のヘッドフォンから音が漏れているね|かれのから おとが もれているね|Sound is leaking from his headphones.
私はいつも音楽を聞きながら日本語を勉強する|わたしはいつも おんがくを ききながら にほんごを べんきょうする|I always study Japanese while listening to music
入門|にゅうもん|Initiation
北半球|きたはんきゅう|Northern hemisphere
男子校|だんしこう|Boys high school
鳥肌が立つ|とりはだが たつ|To get goosebumps
ひどい仕打ちを受けた|ひどい しうちを うけた|I was treated horribly
ひらがなをカタカナに変換しました。|ひらがなをに へんかんしました|I converted hiragana into katakana.
使い果たす|いつかいはたす|To use up / to squander
私たちは共通の趣味を持っています。|わたしたちは きょうつうの しゅみを もっています|We have a common hobby.
まず第一に、しっかり下調べをしなさい。|まず だいにしっかり したしらべをしなさい|First of all, be sure to make a careful preliminary investigation.
日程表|にっていひょう|Schedule (Document)
心配しないで、単に眠いだけです。|しんぱいしないで たんに ねむいだけです|Don't worry, I'm simply sleepy.
程度の差はあるにせよ、性差別のない国はないだろう。|ていどの さはあるにせよ せいさべつのない くにはないだろう|Although the degree may differ from country to country (lit., there may be diffe
班のメンバーは5人です|はんのは  にんです|There are five members in the group.
あなたは静かにしているかぎりここにいてもよい。|あなたは しずかにしているかぎりここにいてもよい|You can stay here as long as you keep quiet.
口頭|こうとう|Oral (not so rude young man!)
デズニーランドは子供に限らず大人にも人気がある。|は こどもに かぎらず おとなにも にんきがある|Disneyland is popular not only in children but in adults also.
ムラムラする|する|to be horny
こしょう|こしょう|Pepper
フロアはパーティションで区切られています。|はで くぎられています|The floor has been divided by a partition.
切れ|きれ|Sharpness (like, of a sword of knife)
信仰者|しんこうしゃ|Believer / Devotee
角速度|かくそくど|Angular velocity
結果的|けっかてき|Concerning the result (as opposed to the means used to achieve this result or or
有用（な）|ゆうような|Useful / Of use
曲線 (again!)|きょくせん|Curves (body or math curves!)
水着に着替えました。|みずぎに きがえました|I changed into a swimsuit.
自炊する|じすいする|Verb for "cook for oneself"
いろいろなボタンを片っ端から押してみた|いろいろなを っかたっぱしから おしてみた|I tried pressing a bunch of buttons one after another
輸入する|ゆにゅうする|To import
皮肉（な）|ひにくな|Irony / Sarcasm
撃退する|げきたいする|To fight off / beat back / repel
