同性愛者|どうせいあいしゃ|homosexual (person)
学校の催しに参加しました。|がっこうの もよおしに さんかしました|I took part in the event at school.
統計的|とうけいてき|Statistical
肥大|ひだい|swelling; enlargement; becoming fat{med} hypertrophy
任意の|にんいの|Optional / Arbitrary / Random
狭間|はざま|Loophole / battlement / the little space between something (life and death, 2 bu
何べん|なにべん|how many times
援助交際|えんじょこうさい|Compensation Dating / Schoolgirl prostitution
突き刺さる|きつきささる|To stick into / To pierce
敵愾心|てきがいしん|Hostility / Enmity (towards England and our cricket team!)
潤む|うるむ|To be clouded / To be dimmed / To be bleared
嗤う|う|Another reading for laugh, maybe more "sneer"?
連峰|れんぽう|mountain range
石碑|せきひ|Stone monument
チラリと|と|Fleeting (glimpse , glance etc)
斧|おの|Axe / Hatchet
演説口調|えんぜつくちょう|Oratorical tone
雑役|ざつえき|chore, odd job
直伝|じきでん|direct transmission (of mystery, skill, secret, etc.), initiation
舞鶴に行くには京都に行ってからでないと行けません。|まいづるに いくには きょうとに いってからでないと いけません|You cannot go to Maizuru until you get to Kyoto.
措置|そち|measure, step
意気投合をする|いきとうごうをする|To hit it off / click
鎧|よろい|Armor
言い放つ|いいいはなつ|To declare
中心核|ちゅうしんかく|Core (of planets, stars, galaxies etc)
恐慌|きょうこう|Panic / Scare
煌びやか|きらびやか|Dazzling / Gaudy
愛嬌|あいきょう|Love and respect / charm / courtesy
波止場|はとば|wharf; quay; landing-stage; jetty
添乗員|てんじょういん|tour conductor; tour guide
挫ける|くじける|to be disheartened; to lose heart; to be dispirited; to be crushed (emotionally)
督戦|とくせん|urging soldiers to fight more vigorously
