空想|くうそう|Imagination / Fantasy
"imprudent," or "lacking judgment." It describes ac
味気ない|あじけない|"dull," "insipid," or "lifeless," describing something that lacks flavor, intere
無下にする|むげにする|"To reject flatly," "to treat coldly," or "to dismiss outright"

Nuance:
無下にする m
扶養料|ふようりょう|alimony; spousal support; maintenance
新芽|しんめ|Sprout / Bud / Shoot
不朽|ふきゅう|everlasting; immortal; eternal; enduring; undying; imperishable
底意地|そこいじ|latent disposition, inner feelings
生剥|なまはげ|namahage, folklore demon of the Oga Peninsula (people dress up as them on New Ye
身悶える|み もだえる|to writhe (in agony)
恥さらし|はじさらし|disgrace, shame
旧道|きゅうどう|old road
清水|しみず|Spring water / clean water
台詞|だいし|Line / Part / Speech
週明け|しゅうあけ|Beginning of the week / new week opening
結束|けっそく|Solidarity / Cohesion / Bond (say, football teams)
不感症|ふかんしょう|Insensitivity; numbness; (medical) anesthesia; (figurative) unresponsiveness.Nua
打って付けの|うって つけの|the very [the most suitable] 《thing, person for something》 / Most suitable / ぴった
観念|かんねん|１）Idea / Notion / Conception 2) Resignation / Acceptance (that have been caught!
立案者|りつあんしゃ|Planner
血筋|ちすじ|Lineage (a special family etc)
詰め掛ける|めつめかける|To crowd (a house, place)
決まり事|まりきまりごと|Established routine / Standing operating procedure
遠征|えんせい|Away series (cricket) / campaign / expedition
いやに|いやに|Awfully
手記|しゅき|Note / Memorandum
述懐|じゅっかい|Recollection
私は老婆心からいっているんだ。|わたしは ろうばしんからいっているんだ|I'm saying this out of kindness.
かりそめにも|かりそめにも|Even as a joke / Even in the slighest degree
真っ新|っまっさら|brand new; fresh
大山鳴動|たいざんめいどう|A big fuss over nothing
吹き返す|きふきかえす|to blow in the opposite direction; to revive
がましい|がましい|look like, sound like, savor of, smack of - Suffix, I-adjective (keiyoushi)
ご免あそばせ|ご めんあそばせ|is an archaic, overly polite phrase meaning "please excuse me," "pardon my intru
湖水|こすい|Lake / Pond / 湖
干す|ほす|Hang out to dry / air
応急（の）|おうきゅうの|First-aid / emergency / temporary
皇居|こうきょ|Imperial Palace
お門違い|お かどちがい|Barking up the wrong tree / Calling at the wrong house (trying to impress acting
銃刀法|じゅうとうほう|Swords and firearm control law
かっぱらう|かっぱらう|To steal (a horse and escape!)
異分子|いぶんし|Outsider
たゆまぬ|たゆまぬ|1. steady; sound; trustworthy2. assiduous; untiring; diligent
天真爛漫|てんしんらんまん|Innocent and artless; simple-hearted; unaffectedNuances:This
 four-character idi
非凡|ひぼん|extraordinary; uncommon; remarkable; unusual; rare; prodigious
脱字|だつじ|Omitted word or character (ie spelling mistakes)
漫然|まんぜん|aimless; rambling; desultory
墨付き|すみつき|certificate; certified document; authorization; authorisation(the) thumbs up; se
動詞活用|どうし かつよう|Verb conjugation
蒟蒻|こんにゃく|konnyaku jelly, konjac jelly, devil's tongue jelly
神経系|しんけいけい|nervous system
黙示録|もくしろく|Apocalypse; revelationNuances:This
 term primarily refers to the biblical Book o
フルーレ||foil (fencing)
贔屓の引き倒し|ひいきの ひき たおし|Translation:贔屓の引き倒し (ひいきのひきたおし, hiiki no hikitaoshi) – Favoritism that backfires
非難|ひなん|accusation
戸棚|とだな|Cupboard
図書|としょ|Books
つるつる|つるつる|smooth, slippery (NOT すべすべ)
破綻する|はたんする|To fail / go bankrupt (not 倒産)
愛読書|あいどくしょ|Ones favourite book
規則正しい|きそくただしい|Regular / Well regulated / Systematic
是正措置|ぜせいそち|Corrective action / rectification
転がる　(again)|ころがる|To roll (a boulder)
誇大広告|こだいこうこく|"exaggerated advertising," "hyperbolic advertisement," "overstated promotion."Nu
暗唱|あんしょう|recitation; reciting from memory
質点|しつてん|Point mass; particle (in physics)Nuances:This
 physics term refers to the theore
目移り|めうつり|"Being distracted by many choices," or "having one’s attention easily shift (esp
順応|じゅんのう|adaptation; accommodation; conforming; adjustment
類語|るいご|"synonym," "related word," or "term with similar meaning."Nuances:This term refe
雑炊|ぞうすい|(See おじや) rice gruel containing vegetables, fish, etc., and seasoned with miso o
食指|しょくし|index finger, forefinger / 人差し指
慶事|けいじ|happy event, auspicious event, matter for congratulation
恋バナ|こい|talking about one's love interests, girls' talk, gossiping
敷き物|しき もの|1. carpet, rug, matting, carpeting2. mat, mattress, quilt etc. spread out on the
ずらり|ずらり|Line up neatly
撤回する|てっかいする|To withdraw something / take it back (the 赤札 in 花より男子)
巻き取り|きまきとり|Winding / Rolled / Taking up (the winding cable or usb pen for example, to stop 
彼は飲むなどというものではない。|かれは のむなどというものではない|He drinks so much.
家系|かけい|Family line / Lineage
祖母は入れ歯を新しくした|そぼは れいればを あたらしくした|My grandmother replaced her false teeth
踏ん張る|んふんばる|To hold out / To keep ones footing
法衣|ほうえ|Priests robe
愚の骨頂|のぐのこっちょう|The height of folly / Sheer stupidity
うようよ|うようよ|In swarms / Crawling with (ladybugs! FF14)
伸し上がる|しのしあがる|to stand on tiptoe; to rise in the world; to become arrogant
容貌がのっぺりと間延びする|ようぼうがのっぺりと まのびする|of one's facial expression, to become lax
養蜂|ようほう|Beekeeping
盥回し|たらいまわし|Passing around a washbasin; shifting responsibilityNuances:This
 term literally 
嫡子|ちゃくし|legitimate child
真打|しんうち|1. main performer, star performer, headliner2. rakugo storyteller of the highest
述べ立てる|のべ たてる|to relate at great length, to dwell eloquently (on)
通知バー|つうち|status bar
狼狽|ろうばい|confusion, dismay, consternation, panic
出汁|だし|1. dashi (Japanese soup stock made from fish and kelp)2. pretext, excuse, preten
舫う|もやう|to moor (a boat)
有り金|あり がね|money on hand
皇帝|こうてい|Emperor
自機|じき|Player character or vehicle (in video games)
挫折する|ざせつする|Frustrated / Setback / Discouragement
賜物|たまもの|Blessing / Godsend
唐突|とうとつ|Abrupt / Sudden
呼称|こしょう|Naming / Giving a name / Designation
提唱|ていしょう|Advocacy / Proposal
惨状|さんじょう|Disastrous scene / Terrible spectacle
広辞苑|こうじえん|Koujien (famous Japanese dictionary)
丸見え|まるみえ|Completely visible / full view / plain sight
贖い|あがない|"atonement," "redemption," or "expiation"—compensating for a wrong or sin throug
発案|はつあん|idea; suggestion; initiation of a proposal
ほっそり|ほっそり|Being slim / Slender
仄々|ほのぼの|Warm and gentle; Heartwarming; Peaceful and calmNuance:仄々 is an onomatopoeic and
ぺちゃんこ|ぺちゃんこ|1. crushed flat, flattened, squashed, flat-topped2. flat-chested girl3. sound of
親御|おやご|another's parent, another's parents
根も葉もない|ねも はもない|unfounded (e.g. rumour), groundless, baseless, completely untrue
楊枝|ようじ|toothpick, skewer for eating moist wagashi (steel, bamboo, etc.)
現地調達|げんちちょうたつ|local procurement, local content, sourcing locally
揉める|もめる|To disagree / to dispute
外界|がいかい|The physical world / externals (outside body)
ピンピン||2 doubler for "lively" / alive and kicking!
大福|だいふく|Soft rice cake stuffed with bean jam
憤り|いきどおり|Anger / 怒り
不本意|ふほんい|不本意 (ふほんい) means "unwilling," "reluctant," or "against one's will." It describes
実質的|じっしつてき|Substantial
枠組み|わくぐみ|Frame / Framework
瓜二つ|うりふたつ|Twin / Carbon copy / like two peas in a pod / very spit and image of
踵を返す|きびすを かえす|To turn back / To return
高等学校|こうとうがっこう|Senior high school (the word 高校 comes from)
ずばり|ずばり|Decidedly / Once and for all / Decisively (getting the mayors password correct o
感服|かんぷく|Admirable
護符|ごふう|Talisman / Amulet / Charm
付き添い|きつきそい|Attendant / Escort / Chaperon
上梓|じょうし|Publication (in a encyclopedia etc) / wood block printing (FF14)
駆り立てる|りかりたてる|To drive (someone to action); to urge on; to impelNuances:This
 verb describes f
魔手|ましゅ|evil influence
河岸|かわぎし|riverbank; riverside; (2) market on the riverbank (esp. fish market)
開豁|かいかつ|open, openminded
鶉|うずら|quail
奸佞邪知|かんねいじゃち|wiles and cunning, craftiness and treachery
力説する|りきせつする|Stress / major emphasis / insistence
舌戦|ぜっせん|Verbal Warfare
発生|はっせい|Outbreak / Incidence
弱音（を吐く）|よわねを はく|To whine / complain
割礼|かつれい|Circumcision (male)
雑菌|ざっきん|Microorganisms
神風|かみかぜ|Kamikaze (divine wind)
基礎代謝|きそたいしゃ|Basal metabolism
赤味|あか み|Reddish
然るべき|しかるべき|適当な。ふさわしい当然である。当たり前だProper / Appropriate / Due / Suitable
質に入れる|しつに いれる|To pawn / pledge (something, the murderers watch!)
突っかかる|つっかかる|To charge / To lunge / To rush
任期|にんき|Ones term of office
熟女|じゅくじょ|Attractive mature lady
異端|いたん|Heresy
骨子|こっし|"essence," "core," or "main point"—the fundamental part or principle of somethin
弾劾|だんがい|Impeachment (ie of the Korean leader)
口ひげ|くちひげ|mustache
摩訶不思議|まかふしぎ|profound mystery
詠む|よむ|to compose (a Japanese poem); to write; to use as the theme of a poem
天命|てんめい|God's will; heaven's decree; mandate of Heaven; fate; karma; destiny
番頭|ばんとう|(head) clerk
病み付き|やみ つき|1. being addicted to; being wholly absorbed by2. falling ill; becoming sick
勝気|かちき|determined spirit; unyielding spirit; will
白い目で見る|しろい めで みる|to look coldly at; to turn a cold shoulder
逢瀬|おうせ|rendezvous, tryst, (lover's) meeting, (secret) date
自ずから|おのずから|naturally, in due course, by itself, of its own accord
宝の持ち腐れ|たからの もち ぐされ|waste of talent / useless possession
ゲレンデ||ski slope
炯々|けいけい|glaring (eyes), piercing, penetrating
立ち寄る|たち よる|to stop by, to drop in for a short visit
戦時下|せんじか|in times of war
砂浜|すなはま|Sandy beach / sands
小児科|しょうにか|Pediatrics
痛くも痒くもない|いたくも かゆくもない|No skin of my noise / No concern at all (idiom)
気を利かせる|きを きかせる|To (take in the situation) and make the smart move / To (consider someones feeli
安否|あんぴ|Safety / Well being
同調|どうちょう|Go along with / Agree with
瓶詰め|びんづめ|Bottling
再臨|さいりん|Second coming / Second advent
慣例|かんれい|Custom / Precedent / Of convention
弓弦|ゆみづる|bowstring
謂れ|いわれ|1. reason; cause2. history; origin
鎮魂歌|ちんこんか|requiem
ピンセット||tweezers, forceps
引っ括る|ひっ くくる|to bundle, to tie up
文様|もんよう|pattern, design
滴|しずく|drop (e.g. of water), drip
怪訝|けげん|Puzzled / Suspicious / Dubious
振り回す|りふりまわす|To brandish / To wave (about) / also &quot;to manipulate someone, abuse ones pow
漁師|りょうし|Fisherman
日光浴|にっこうよく|Sunbathing
祖父の趣味は園芸です|そふの しゅみは えんげいです|My grandfathers hobby is gardening
有利化|ゆうりか|Rationalization
代替地|だいたい ち|Substitute land
互いに気兼ねし合う|たがいに きがねし あう|to feel mutually ill at ease with each other
詰問|きつもん|cross-examination; close questioning; demanding an explanation
はたまた|はたまた|&nbsp;(conj) and; or
軍需|ぐんじゅ|munitions; military stores
講釈|こうしゃく|lecture; exposition
ソッコー||(finishing something) suddenly; abruptly
物証|ぶっしょう|evidence; exhibit
半田|はんだ|"solder," the fusible metal alloy used in electronics and metalwork.Nuance:This 
射的|しゃてき|1. target practice, marksmanship2. target shooting (e.g. at a fair)
靄る|もやる|to become misty, to become hazy
足を崩す|あしを くずす|to sit cross-legged, to sit at ease
指数|しすう|index, index number, exponent (e.g. in floating-point representation), character
遊歩道|ゆうほどう|遊歩のためにつくられた道路
撓わ|たわわ|heavily laden (of a branch), sagging, drooping, bent low
示し合わせる|しめし あわせる|to arrange beforehand, to make a sign to each other, to conspire
針金|はりがね|Wire
もはや|もはや|already, no longer
脳裏|のうり|Ones mind
腑抜け|ふぬけ|Fool / Coward
弱肉強食|じゃくにくきょうしょく|Survival of the fittest
激励|げきれい|Encouragement
労う|ねぎらう|"to show appreciation for efforts," "to reward hard work," or "to honor someone’
退かす|どかす|To remove (the screen Yuffie is hiding behind!)
縞|しま|Stripes (on a shirt etc)
今日は奮発して高級レストランに行った|きょうは ふんぱつして こうきゅうれすとらんに いった|I treated myself by going to a classy restaurant today
互い違い|いたがいちがい|Alternate
騒擾|そうじょう|Riot / Disturbance
紛い|まがい|imitation; sham; -like
ガクガク||body trembling; teeth clattering; something coming loose
先手必勝|せんて ひっしょう|victory goes to the one who makes the first move; being quick to take action lea
おろおろ|おろおろ|1. in confusion, in a fluster, in bewilderment, in a dither, in a panic, all sho
ウラシマ効果|こうか|"the Urashima effect,"
 referring to the psychological phenomenon where returnin
院生|いんせい|1. graduate student2. insei, apprentice go professional
噴気|ふんき|gas (fumes)
封書|ふうしょ|sealed letter
教鞭をとる|きょうべんをとる|to teach, to take a teaching job
含み損|ふくみ そん|unrealized loss, book loss
断絶|だんぜつ|断絶（だんぜつ）means "severance," "cutting 
off," or "complete breakdown (of relations,
円錐|えんすい|{geom} cone
赤の他人|あかの たにん|complete stranger, total stranger
盛る|もる|To serve up (food etc), to fill up
ぎゅうぎゅう|ぎゅうぎゅう|Packed / crammed (6 doubler)
決死（の）|けっしの|Desperate
幾日|いくにち|Many days
ヒリヒリ||Prickling pain / Stinging (those blisters!)
腕章|わんしょう|Arm band
至極|しごく|Extremely / Exceedingly / Very
吉報|きっぽう|Good news
吐露|とろ|Express ones mind / Speak out
市内は物情騒然としている|しないは ぶつじょうそうぜんとしている|The city is in turmoil
一択|いったく|(only) one option (game slang); one possible choice
満悦|まんえつ|"delight," "great satisfaction," or "beaming with pleasure."Nuance:This term des
踊り食い|りおどりぐい|(food) eating live seafood (e.g. ice gobies, shrimp) while still moving
投与|とうよ|administration (of medicine)
御仁|ごじん|respectful term meaning "person," "gentleman/lady," or "individual."Nuance:This

猪口|ちょこ|1. sake cup2. small deep porcelain bowl for serving food
希釈|きしゃく|dilution
実績者|じっせき しゃ|person who has succeeded (at something)
階層構造|かいそうこうぞう|hierarchical structure, layered structure, layered system, stratification
労作|ろうさく|Painstaking work
模擬実験|もぎ じっけん|Simulation (think computer simulating)
償い|つぐない|Atonement / Recompense
すぐさま|すぐさま|Immediately / Promptly
舞い上がる|いまいあがる|To soar / To be whirled up (dust!)
心変わり|こころがわり|Change ones mind / Faithlessness
消灯|しょうとう|Lights out
虜囚|りょしゅう|captive; prisoner
納期|のうき|appointed day of delivery; time for payment
衛兵|えいへい|palace guard; sentinel; garrison
手駒|てごま|(game pieces, soldiers, etc.) under one's control
さ行|さ ぎょう|the "sa" row; consonant row in Japanese kana starting with “さ” (さ, し, す, せ, そ)
N
資質|ししつ|nature; disposition; temperament; qualities; attributes; talents
意味論|いみろん|semantics; the study of meaning
素っ裸 / 真っ裸|っすっぱだか っまっぱだか|stark naked
徹頭徹尾|てっとうてつび|thoroughly; through and through
卑しめる|いやしめる|"To look down on," "to despise," or "to treat with contempt"

Nuance:
卑しめる is a 
白眼視|はくがんし|looking coldly on, looking upon disapprovingly, frowning on
太っ腹|ふとっ ぱら|generous, magnanimous, big-hearted, broad-minded, big-bellied
諍う|いさかう|諍う（いさかう）means "to quarrel," "to 
bicker," or "to engage in a petty dispute." It 
四捨五入|ししゃごにゅう|Rounding up (fractions)
甘やかす|あまやかす|To pamper / to spoil
転機|てんき|Turning point (in life)
くぐる|くぐる|Get around / Go [pass] through
賞賛|しょうさん|Praise / Admiration / Commendation
灯す|ともす|To light (a fire)
発着|はっちゃく|Arrival and departure
子供扱い|こどもあつかい|Treating someone like a child
導管|どうかん|conduit; pipe; duct
寝耳に水|ねみみに みず|(idiom) Bolt from the blue / Great suprise / Unexpected and shocking
色恋|いろこい|sensual love; love affair
天寿|てんじゅ|natural span of life
膝丈|ひざたけ|Knee length (clothing)
牛すじ|ぎゅうすじ|beef sinew, beef tendon
裏返す|うらがえす|To turn something inside out / turn something over
正念場|しょうねんば|Critical moment / do or die situation
明瞭|めいりょう|Clear / Plain (again ... not はっきり、明白）
途絶える|とだえる|To cease / To come to an end
下手に上司につっかからない方がいい。|へたに じょうしにつっかからない ほうがいい|You shouldn't lash out at your boss.
療養|りょうよう|Recuperation
似顔絵|にがおえ|Portrait / Likeness
雨漏り|あまもり|Leak / Roof leak
越境|えっきょう|border transgression
胆嚢|たんのう|gall bladder
愛蔵版|あいぞうばん|collector's edition
密室の暴力|みっしつの ぼうりょく|violence behind closed doors, domestic violence
四の五の言う|しの ごの いう|To make a fuss; to complain unnecessarily; to say this and thatNuances:This
 idi
威風堂々|いふうどうどう|majestic, commanding, imposing, stately, dignified, with pomp and circumstance
メタボ||1. metabolic syndrome2. overweight
再燃|さいねん|Translation:再燃 (さいねん, sainen) – Relapse (of a disease, conflict, or emotion); re
括れ|くびれ|"a curve (in the body)," "a waistline," or "an hourglass shape."Nuance:This term
劇場版|げきじょうばん|Movie version (based on TV series, manga etc)
働き盛り|きはたらきざかり|In one's prime working years; at the peak of one's productivity.Nuance:"働き盛り"
 r
凹む|へこむ|to be dented / to be overwhelmed (feeling after girl met the 痴漢)
文献|ぶんけん|Literature / Books (reference)
海王星|かいおうせい|Neptune
気配り|きくばり|Care / Attentiveness / Consideration / Attention
脹脛|ふくらはぎ|Calf (of leg)
郵政|ゆうせい|Postal system
気安く|きやすく|Familiar / Friendly / Relaxed / Easy to access
罪状|ざいじょう|Nature of offense / charges
天網恢恢|てんもうかいかい|"heaven’s net is wide," or "justice is inescapable."Nuance:This
 four-character 
強硬手段|きょうこうしゅだん|Tough measures
五体満足|ごたいまんぞく|with no physical defects; in perfectly good health; sound in wind and limb
白墨|はくぼく|blackboard chalk
ブチ切れる|きれる|to be enraged; to flip out
解離|かいり|解離（かいり）means "dissociation," 
"separation," or "detachment." It refers to the ps
末梢的|まっしょうてき|trifles; trivial matters; minor details
甚く|いたく|exceedingly
悪辣|あくらつ|crafty, vicious, unscrupulous, sharp
辻斬り|つじぎり|killing a passerby in order to test a new sword
挟み込む|はさみ こむ|to insert, to put between, to tuck (e.g. fabric into a gap)
往時|おうじ|ancient times
じゃれ付く|じゃれ つく|to coil around (of a child or animal), to grab (usu. out of playfulness or affec
語弊|ごへい|"Misleading expression," "misunderstanding due to wording," or "wrong impression
つけ込む|つけ こむ|"To take advantage of," "to exploit (a weakness or situation)," or "to impose (o
添う|そう|accompany, live up to
二の舞|のにのまい|....all over again (repeating the same failure)
天守閣|てんしゅかく|Castle tower
ことやら|ことやら|Seems to be "I wonder"
彼らの秘密が暴露された。|かれらの ひみつが ばくろされた|Their secret was laid bare
機種|きしゅ|Model (of a car etc) / Type (of computer?)
彼は逆境に強いひとです|かれは ぎゃっきょうに つよいひとです|He is strong in adversity
私たちは急な勾配の山道を歩いた|わたしたちは きゅうな こうばいの さんどうを あるいた|We walked on a mountain path with a steep incline
通名|つうめい|Ones common or popular name
武将|ぶしょう|Military commander
立件|りっけん|Assembling a case (for prosecution) / to build a criminal case against someone
牛耳る|ぎゅうじる|to control; to take the lead in; to have under one's thumb;
どす黒い|どす ぐろい|darkish; dusky
として + Verb-ないform|として ない|not even one
煽てる|おだてる|"To flatter," "to butter up," or "to coax (by praise)"

Nuance:
煽てる implies insi
道道|みちみち|along the way; along the road
単純明快|たんじゅんめいかい|simple and clear; plain and simple
ドスンドスン||thud thud (esp. footsteps), clump clump
明滅|めいめつ|flickering, blinking
いじらしい|いじらしい|1. lovable, sweet, charming2. pitiful, pathetic, touching
框|かまち|door frame, window frame, frame sections of the door or window that provide most
死別|しべつ|bereavement, separation by death, loss
白骨死体|はっこつ したい|skeletal remains, dry bones of a corpse, human skeleton
烏滸|おこ|foolish thing, stupid thing, absurdity
多面体|ためんたい|polyhedron
怠惰|たいだ|Laziness / Idleness (crackers, not hackers)
証左|しょうさ|"evidence," "proof," or "verification."Nuance:This
 formal term is often used in
山頂に霞がかかっている|さんちょうに かすみがかかっている|There is mist on top of the mountain
放尿|ほうにょう|Urination
無駄骨|むだぼね|Useless / Waste of time and effort / Pointless
頷く|うなずく|nod; inclination of the head (again)
珍妙な模様|ちんみょうな もよう|grotesque design
婚姻を届け出る書類|こんいんを けとどけでる しょるい|a form for registering one's marriage
弁慶|べんけい|Strong man / person putting on a brave front
複雑怪奇|ふくざつかいき|complicated and mysterious
労基法|ろうきほう|Labor Standards Act
窮鼠|きゅうそ|cornered animal, cornered rat
警官たちは群衆をおしとどめた。|けいかんたちは ぐんしゅうをおしとどめた|The police held the crowd back.
後進国|こうしんこく|Undeveloped country / Third world country
賃金|ちんぎん|Another word for &quot;wages&quot;
馴らす|ならす|To domesticate / To tame
新刊書の目録を作って欲しいと思います。|しんかんしょの もくろくを つくって ほしいと おもいます|I wish you would make a list of the newly published books
シンガポールでは罪人を鞭打ちで処罰する。|では ざいにんを むちうちで しょばつする|In Singapore, a way to punish criminals is to whip them
維新|いしん|Restoration (eg Meiji)
電飾|でんしょく|Decorative illumination
風上|かざかみ|Upwind / Windward
冤罪|えんざい|False charge / False accusation
散開|さんかい|Deployment / Spreading out / Dispersal
政変|せいへん|coup d'état; coup; revolution; overthrowing of a government
小食|しょうしょく|One who generally eats little
斬撃|ざんげき|slash; slashing attack
動物愛護|どうぶつあいご|Animal rights / Animal welfare / Animal protection
心を許す|こころを ゆるす|to trust, to relax one's guard (around)
積年|せきねん|1. (many) years2. long-standing (esp. hatred, grudge), ancient
つかまり立ち|つかまり だち|standing while holding onto something (infant, toddler)
植え替える|うえ かえる|1. to transplant (a plant), to replant2. to reset (type)
機器|きき|Machine / Equipment
晒す|さらす|To expose (to the air, to the public, to danger, etc)
はぐれる|はぐれる|To stray / Straggle / lose someone because they wandered off =)
来世|らいせ|The next world / The future
切削|せっさく|cutting (e.g. metal)
狂瀾怒涛|きょうらんどとう|raging waves and furious billows; great upheaval; violent turbulence
Nuance: 狂瀾怒
娶せる|めあわせる|"to let (one’s son) marry," or "to take a daughter-in-law."Nuance:This
 verb is 
採寸|さいすん|taking measurements
胸算用|むなざんよう|making a rough estimate in one's head; (n,vs) (2) expectation; anticipation
ふっくら|ふっくら|やわらかにふくらんでいるさま。ふっくりfully, luxuriantly, fluffy, plump, soft and full
判然|はんぜん|"Clear" / "Apparent" / "Distinct"
Nuance
判然 describes something that is unmistak
山は鮮やかな緑でした。|やまは あざやかな みどりでした|The mountain was a vivid green.
気象|きしょう|Weather Condition
休養|きゅうよう|Rest / Recreation (iknow)
ロックは殊に若者に人気だ。|は ことに わかものに にんきだ|Rock music is especially popular among young people.
不憫（な）|ふびんな|Poor / Pitiful / かわいそう
衰退|すいたい|Decline / Decay
抜粋する|ばっすいする|Another word for &quot;extract&quot;
特化|とっか|Specialization (in some industry or whatever)
足がかり|あしがかり|A foothold
合流|ごうりゅう|Linking up / Merge / Recombining
ないし　（Grammar)|ないし|From ..... To &nbsp; &nbsp; &nbsp; &nbsp;・ Between ............... and
キョトンと|と|(looking) blankly
執念|しゅうねん|Tenacity
妥当|だとう|Appropriate / Proper
記銘|きめい|Encoding, memorization (the initial act of)Nuance記銘
 is a specialized term refer
不可侵|ふかしん|Nonaggression (treaty in this case)
病原菌|びょうげんきん|Virus / Germ
誤爆|ごばく|bombing (shelling) the wrong target; (be killed by) friendly fire
擬音|ぎおん|Sound effect / imitative sounds (on news, broadcasts etc)
転移|てんい|Transfer; shift; metastasis (medical); transference.
Nuance: A formal word used 
足がつく|あしがつく|to be traced (of a criminal); to be tracked
窒素|ちっそ|nitrogen
山葵|わさび|Kanji for wasabi
魔性|ましょう|Demonic charm; seductive allure; bewitching qualityNuances:This
 term describes 
煮汁|にじる|broth
高架線|こうかせん|1. overhead wires2. elevated railway
台車|だいしゃ|1. platform truck, hand truck, trolley, dolly, cart2. (railway) truck, bogie, fl
駆使|くし|1. using freely, making full use of, having a good command of2. working (someone
手持ち品|てもち ひん|goods in stock or on hand or in one's possession
世話係|せわ がかり|attendant, person who looks after one's needs, caretaker
アトリエ||atelier, studio, workshop
繁繁|しげしげ|1. frequently, often2. (staring) fixedly, narrowly, closely, steadily
審査員|しんさいん|Judge / Referee again
非道|ひどう|Unjust / Inhuman / Devilish / Tyrannical
楽団|がくだん|Orchestra / Band
人目|ひとめ|Public notice / Public gaze
将来性|しょうらいせい|Future prospects
～とみられる　Grammar|とみられる|Seems "is thought, is believed, is expected" と思われる
ネットオークションでと腕時計を落札した|でと うでどけいを らくさつした|I bid successfully in an online auction for a watch
営為|えいい|Activities, endeavors, pursuits, human enterpriseNuance営為
 is a formal and somew
骨折り損のくたびれ儲け。|りほねおりぞんのくたびれ もうけ|Great pains but all in vain
微候|びこう|Sign or symptom of a disease (usually more subtle than a symptom)
主宰|しゅさい|Supervision / Chairmanship
悪だくみ|わるだくみ|wiles; sinister design; trick; conspiracy; intrigue
たんまり|たんまり|quite a lot
抜き打ち|ぬき うち|doing something suddenly, without warning
~ではすまない grammar|ではすまない|it doesn’t end with just…
雨合羽|あまがっぱ|raincoat; oilcoat
妖艶|ようえん|fascinating, voluptuous, bewitching, captivating
ふんぞり返る|ふんぞり かえる|1. to lie on one's back with legs outstretched, to recline2. to get cocky, to be
叩き割る|たたき わる|to smash, to break into pieces
祖父母|そふぼ|Grandparents
提携銀行|ていけい ぎんこう|Allied bank / coalition bank
生産性|せいさんせい|Productivity (more important than efficiency now?)
示唆に富む|しさに とむ|Suggestive, ie "rich with suggestions"
二手|て|Two groups / Two bands
形態|けいたい|Form / Shape / Figure
推移|すいい|Transition / Change
ドキリ（と）|と|Feeling shocked or startled
非常勤講師|ひじょうきんこうし|Part-time lecturer/instructor, adjunct facultyNuance非常勤講師
 refers to an academic
文語|ぶんご|Literary language
しょぼくれる|しょぼくれる|To be dispirited / to be dejected / to be disheartened
いい線いってる|いい せんいってる|to be on the right track; to be close enough
