葬祭装束|しょうぞく|葬式や法事の際に着用する正式な服装のことです。喪服とも呼ばれます。
蒸気船|じょうきせん|蒸気船は、蒸気機関の力で動く船のことで、十九世紀の産業革命期に主要な交通手段として活躍しました。現代では観光用や保存用として一部で運航されていますが、一般的には歴史的な乗り物として認識されています。
蒸留|じょうりゅう|「蒸留」は液体を加熱して気化させ、冷やして再び液体に戻すことで成分を分離・精製する方法です。ウイスキーや焼酎などの酒類製造、石油精製、香水の製造など様々な場面で使われます。
蒸発|じょうはつ|「蒸発」は、液体が気体になる物理現象を指します。また、比喩的には人が突然姿を消すこと、つまり行方をくらます意味でも使われます。日常会話では後者の意味で使われることも多いです。
蒸発する|じょうはつ|液体が気体になる物理的な意味と、人が突然姿を消して行方不明になる比喩的な意味があります。
蒼|あおい|「青」より深く、濃い青色を表します。空や海の青さ、または草木の茂る深い緑色にも使われます。「蒼い」は「青い」より詩的で文語的な印象があります。アニメやゲームでもよく使われる言葉です。
蒼白|そうはく|「蒼白」は、血色が悪く、顔色が青白い状態を表す形容動詞です。ショックや恐怖、病気、疲労などで血の気が引いた時の顔色を描写するのに使われます。比喩的には、状況の深刻さや緊迫感を表すのにも使われます。漢語的な表現で、やや文語的な響きがあります。
蒼穹|そうきゅう|青く広がる大空、蒼天。非常に詩的で文学的な表現で、日常会話ではまず使いません。小説、詩、歌詞の世界で、空の荘厳さや美しさを強調する時に使われる、漢語調の格調高い言葉です。
蒼茫|そうぼう|「蒼茫」は、はるか彼方まで広がる果てしない景色が、ぼんやりと霞んで見える様子を表すトコロのある形容動詞です。特に「蒼茫たる大海原」「蒼茫たる平原」のように、自然の雄大な風景の中で使われる文学的な表現です。詩歌や小説で好まれ、日常会話ではほとんど聞かれない、非常に文語的で格調高い響きを持ちます。広大な景色を見た時の、言葉にならない感慨を表現するのに適しています。
蓄える|たくわ|「蓄える」は物やお金、エネルギーなどを貯めておくことを意味します。物理的な貯蔵から体力や知識の蓄積まで幅広く使います。
蓄積|ちくせき|物事や情報、力などを徐々にため込んでいくこと、またはその結果たまったものを指します。
蓄財|ちくざい|蓄財は「財産を蓄えること」を意味します。貯金や投資など、長期的にお金を貯める行為を指します。ビジネスや経済の文脈で使われるやや硬い表現です。
蓄音機|ちくおんき|レコード盤の溝を針で読み取って音を再生する古い音響機器です。現代のプレーヤーより古く、主にSPレコードを再生するアナログの装置を指します。
蓋|ふた|「蓋（ふた）」は容器の開口部を覆うものを指します。鍋の蓋、瓶の蓋、箱の蓋など、日常生活で非常に頻繁に使われる基本的な言葉です。開けると「開ける」、閉めると「閉める」と言います。
蓋を開ける|あ|「蓋を開ける」は、容器などの蓋を取るという物理的な意味と、物事を始める、または始まってみるという比喩的な意味があります。「蓋を開けてみると」は「実際に始まってみると」の意味です。
蓑|みの|藁などで編んだ伝統的な雨具で、農作業の際に着用されました。現代ではほとんど使われませんが、日本の農村文化を象徴するアイテムとして知られています。「みのむし」の語源でもあります。
蓮の花はなんとも言えない芳香をはなっていた。|ほうこう|良い香り。花や果物などの心地よい匂い。
蔑む|さげす|蔑むは、相手を価値のないものとして見下したり、軽蔑することを意味します。強い否定的な感情を含む言葉です。
蔑ろにする|ないがし|人の気持ちや権利を無視したり、軽んじたりすることを意味します。相手を尊重せず、粗末に扱うネガティブな行為を表すやや硬い表現です。
蔑称|べっしょう|「蔑称」は、人や集団を侮蔑するために使われる差別的な呼び方のことです。社会問題として議論されることが多い言葉です。
蔓|つる|「蔓」は、植物のつる（蔦）のことで、他のものに巻き付いて伸びる茎を指します。また、比喩的に「つる」がつながって広がるネットワークの意味もあります。眼鏡の「つる」も同じ漢字を使います。
蔓延|まんえん|悪いものや好ましくないものが広がること。病気や害虫、悪習などの拡散に使われるネガティブな言葉です。
蔓延る|はびこ|雑草や害虫、悪い習慣や噂など、好ましくないものが広がって勢力を持つことを表します。抑制が効かずに制御不能に広がるニュアンスがあります。
蔵|くら|物品を保管するための倉庫。特に日本の伝統的な土蔵を指すことが多く、耐火性に優れた構造です。
蔵書|ぞうしょ|「蔵書」は、図書館や個人が所蔵する本のコレクションを指します。やや硬い表現です。
蔵相|ぞうしょう|日本の歴史上の官職名。現在の財務大臣に相当し、国の財政を統括した。
蕁麻疹|じんましん|皮膚に突然現れる赤い発疹で、強い痒みを伴うアレルギー反応の一種です。食べ物や薬、ストレスなど様々な原因で起こります。「じんましん」と読み、会話では「蕁麻疹が出た」と言います。
蕩ける|とろ|固体が熱などで柔らかくなって形が崩れること、またはそれが比喩的に心や体に使われる場合もあります。主に「とろける」と読まれます。
蕩尽|とうじん|「蕩尽」は、財産や資金を湯水のように使い果たしてしまうことを意味する強い漢語です。単なる浪費よりはるかに激しく、際限なく使い果たして無一文になるニュアンスがあります。ギャンブルや遊興での散財など、抑制の効かない消費行動を批判的に表現します。
薄|すすき|「薄（すすき）」は、秋の七草の一つで、ススキ野原を風情のある風景として描くことが多いです。お月見にも欠かせない植物です。
薄々|うすうす|「薄々」は、完全には確信が持てないが、何となく感づいていることを表す副詞です。多くは「薄々気づいている」「薄々感じている」のように、否定や疑問の形を伴わずに使われます。
薄い|うす|厚みが少ないことや、色や味が濃くないことを表します。比喩的に「関係が薄い」のように使うこともあります。
薄のろ|うす|頭の回転が遅く、反応が鈍い人を指す蔑称。親しい間柄で冗談めかして使うこともあるが、基本的には相手を傷つける言葉。
薄める|うす|液体に水などを加えて、濃度や味を弱くすることです。
薄れる|うす|色や形、記憶や感情などが徐々に弱くなったり消えかかったりすることを意味します。物理的な現象から抽象的な概念まで幅広く使われます。
薄商い|うすあきな|株式市場や商品市場で、取引の量が少ない状態を指します。投資家の様子見姿勢が続いているときなどに見られる専門用語です。
薄弱|はくじゃく|「薄弱」は弱くてしっかりしないこと、または根拠が不十分であることを意味します。「意志薄弱」「根拠薄弱」などの複合語でよく使われ、人の性格や論理の弱さを批判的に指摘する際に用いられます。
薄情|はくじょう|「薄情」は、他人に対する思いやりや情愛が薄く、冷たい態度を取ることを意味します。人間関係において、相手の気持ちを考えずに冷淡な振る舞いをする人に対して使われ、否定的な評価を含みます。
薄情者|はくじょうもの|「薄情者」は、他人に対して思いやりや情けがなく、冷淡な態度をとる人を指す否定的な言葉です。特に恋愛や人間関係で、相手の気持ちを無視するような人に使われます。
薄暗い|うすぐら|「薄暗い」は、光が十分ではなく、何となく暗い感じがする様子を表します。完全な暗闇ではなく、うっすらと見える程度の明るさです。夕暮れ時や曇りの日、照明の少ない部屋などの情景描写でよく使われます。
薄気味悪い|うすきみわる|何か不気味で気持ちが悪い感じ。はっきりとは怖くないが、不安で落ち着かない様子。
薄氷|はくひょう|「薄氷」は、薄く張った氷を指しますが、慣用句「薄氷を踏む」で非常に危険な状況を表す比喩表現として有名です。文字通りの薄い氷のように、少しの衝撃で割れてしまう危ういバランスの上に成り立っている状態を描写します。「薄氷の危機」のような形でも使われます。やや文語的で、新聞や小説で見かける表現です。
薄汚れる|よご|全体が少しずつ汚れて、はっきりとした汚れではないが全体的に清潔感がなくなることを指します。
薄皮|うすかわ|物の表面にある薄い皮や膜。果物や食品の薄い皮、または皮膚の薄い部分。
薄着|うすぎ|「薄着」は、厚手の服を着ずに薄い服だけを着ている状態を指します。特に寒い季節に薄着をしていると、風邪をひきやすいと言われます。日常会話でよく使われるカジュアルな語です。
薄膜|はくまく|物の表面にできる薄い皮膜や、非常に薄い層のこと。科学や工業の分野でよく使われる。
薄闇|うすやみ|明け方や黄昏時に近い、かすかな暗さ。完全な闇ではない幽玄な情景を描く文学的な語。
薔薇色|ばらいろ|薔薇色とは、バラのような鮮やかなピンク色を指します。比喩的に人生や未来が明るく希望に満ちている様子を表すことも多いです。
薙ぎ払う|なぎはら|刀や武器を横に振って広範囲を一度に切ること。比喩的に、障害物を一気に排除することをも指します。
薪|たきぎ|「薪」は、燃料として使うために切った木や枝を指します。暖炉や薪ストーブ、キャンプファイヤーなどに使われ、現代ではアウトドアや趣味の世界で見かけることが多いです。やや古風なイメージがあり、日常生活よりは山村や伝統的な生活を連想させます。
薪を集めて火を焚いたよ。|た|「薪」は、燃料として使うために切った木や枝を指します。暖炉や薪ストーブ、キャンプファイヤーなどに使われ、現代ではアウトドアや趣味の世界で見かけることが多いです。やや古風なイメージがあり、日常生活よりは山村や伝統的な生活を連想させます。
薬の苦味が舌に残っています|のこ|舌で感じる味覚の一種で、苦い味のこと。コーヒー、苦瓜（ゴーヤ）、ビールホップなどに含まれる。和食では薬味や季節の野菜のほろ苦さが好まれる文化も。比喩的には「人生の苦味」（つらい経験）という文学的な表現もある。
薬を服用するときは、ビンに書いてある用法に注意深く従いなさい。|したが|注は「本文の補足説明や注釈」を意味します。書籍や論文の脚注や末尾注として使われます。また、口頭での「ちゅうい（注意）」とは異なり、文書上の注釈を指します。学術的な文書やビジネス文書でよく見られます。
薬を飲むことですべての問題が解決はしないにしろ、あなたの場合は薬で症状を軽減させることが先決です。|せんけつ|負担や苦痛などを少なくすることを意味します。税金や費用、仕事量など様々なものに使われます。
薬中|やくちゅう|「薬中」は薬物中毒者、つまりドラッグや薬物に依存している人を指す俗語です。「中毒」よりもストレートで軽蔑的な響きがあります。ややスラング寄りで、フォーマルな場では「薬物依存症」などが使われます。
薬剤|やくざい|医療や治療に使われる薬品や化学物質の総称です。医薬品の成分や調合に関わる専門的な用語です。
薬味|やくみ|料理に風味や香りを加えるために添える香味野菜や調味料のことです。しょうが、ねぎ、わさび、大葉などが代表的な薬味です。
薬品|やくひん|「薬品」は、医療や実験、工業などに使われる化学的な物質の総称です。医薬品としての薬だけでなく、実験室で使われる試薬や、工業用の化学品も含みます。取り扱いに注意が必要なものが多いです。
薬学|やくがく|薬の開発や製造、効果や安全性などについて研究する学問分野を指します。
薬害の被害者たちは、これまでの苦しい経験を涙ながらに語った。|かた|身体的・精神的な苦痛や困難で息苦しい様子を表します。物理的な圧迫感から経済的・精神的な苦境まで幅広く使われます。
薬指|くすりゆび|手の指で、小指から二番目の指。昔、薬をこの指で塗ったことからこの名前があります。結婚指輪をはめる指として有名です。
薬物|やくぶつ|「薬物」は、医薬品として使われる物質全般を指しますが、特に「薬物依存」「薬物乱用」のように、違法ドラッグや危険薬物の文脈で使われることが多い言葉です。
薬缶|やかん|お湯を沸かすための金属製の容器です。やかんの別の言い方で、台所で使われます。
薬草|やくそう|薬効成分を含む草や植物のこと。漢方薬や民間療法の材料として利用される。ドクダミ・センブリ・ゲンノショウコなど、日本にも多くの薬草が自生している。
薬莢|やっきょう|銃砲の薬きょう。発射薬を収める金属製の筒。
薬餌療法|やくじりょうほう|薬と食事療法の両方を組み合わせて治療する方法です。特に慢性疾患の管理に使われます。
藁|わら|稲の刈り取り後に残る茎を乾燥させたものです。昔は縄や俵、屋根材など様々な用途に使われました。
藁なしで煉瓦はできない。|れんが|瓦（かわら）は、屋根を覆うために使われる焼き物の建材です。日本では伝統的な和風建築に欠かせない素材で、黒や灰色の半円形の瓦が一般的です。寺院や城などの重厚な雰囲気を醸し出します。
藍色|あいいろ|藍色は「藍（あい）という植物で染めた濃い青色」を意味する日本の伝統色名です。藍染めの衣類や工芸品の色として知られ、和服や染色の分野でよく使われます。落ち着いた深みのある色合いを表現します。
藪|やぶ|藪は、雑草や低木が密集して生えている場所のことです。手入れが行き届かず、中が見えにくい状態を指します。
藪から棒に|やぶからぼう|「藪から棒に」は、突然・不意に・前触れもなく、という意味の慣用句です。話の流れや状況に関係なく、いきなり何かを始めたり言い出したりする様子を表します。「藪から棒に話を切り出す」などの形で使われる、やや古風だが現代でも使われる表現です。
藻|藻[も]|水中に生える植物の総称で、海藻やアオコ、水草など幅広く指します。「藻が生える」「藻を掻く」などの慣用句でも使われます。「海藻」が食用のイメージが強いのに対し、「藻」はより生物学的・抽象的な響きがあります。
藻屑|もくず|海藻の細かいかけらのことですが、「藻屑と消える」という慣用表現で、海で無惨に死ぬことを比喩的に表す際に使われることが多いです。
藻掻く|か|苦しい状況から抜け出そうとして必死にもがくことを意味します。物理的にもがく動作から、精神的に苦闘する様子まで表せます。標準語では「もがく」が一般的です。
藻類|そうるい|水中で生育する光合成を行う生物の一群で、海藻や淡水藻を含む生物学用語です。
蘇生|そせい|死にかけた状態から再び生き返ること、または廃れたものが再び復活すること。医療の「心肺蘇生」から比喩的な再生まで幅広く使われる。
蘊蓄|うんちく|「蘊蓄」は特定の分野に関する深い知識や詳しい解説を指します。蓄積された専門知識というポジティブな意味もありますが、「蘊蓄を語る」という形でやや自慢げに知識を披瀝するニュアンスでも使われます。
蘊蓄を傾ける|かたむ|蘊蓄を傾けるとは、自分の持っている深い知識や学識を余すところなく話すことです。やや硬い表現で、趣味や専門分野について熱く語る時に使われます。
蘭学|らんがく|江戸時代に、オランダ語を通して西洋の学問・技術・文化を学ぶ学問体系。鎖国下の日本で、唯一西洋と接点を持てた長崎出島を通じて、医学、天文学、兵学などが紹介されました。歴史的な専門用語です。
虎|とら|大型の猫科の動物で、勇猛さや力強さの象徴とされます。日本のことわざや故事成語によく登場します。
虎の威を借る狐|きつね|他人の力を借りで威張る小物のこと。「虎の威を借る狐」ということわざ。韓国語の「호가호위」に対応。
虎視眈々|こしたんたん|機会をうかがって狙いを定め、今か今かと待ち構える様子を表す四字熟語です。獲物を狙う虎の鋭い目のイメージです。
虐げる|しいた|権力や力を使って弱い立場の人を苦しめること。社会的な不正や差別の文脈で使う。
虐待|ぎゃくたい|弱い立場にある人や動物に対して、肉体的または精神的な暴力や酷い扱いをすることです。非常に深刻な意味を持つ言葉です。
虐待者|しゃ|弱い立場にある人に対して暴力や残酷な行為を繰り返す人を指します。児童虐待や高齢者虐待などの文脈で使われる深刻な言葉です。
虐殺|ぎゃくさつ|無防備な人々を大量に殺害すること。歴史的な悲劇や戦争犯罪を指す深刻な言葉。
虚しい　・　空しい|むな|「虚しい」は、何もかも空っぽで無意味に感じられる状態を表す形容詞です。努力が報われなかった時や、大切な人を失った時など、深い失望や喪失感を伴う感情を表現します。
虚しく|むな|努力や期待が実を結ばずに終わるさまを表します。また、何もない空っぽの状態も指します。
虚ろ|うつ|「虚ろ」は、中身が空っぽである状態や、意識がぼんやりとしている様子を表す形容動詞です。物理的には空洞を、比喩的には人の目が生気を失って虚ろだったり、心が空虚な状態を指します。特に「虚ろな目」という表現が有名で、ショックや疲労、深い悲しみなどで焦点が合わない目の様子を描写します。
虚ろな目|め|「虚ろな目」は、焦点が合わず生気のない目の様子を表します。疲労・ショック・病気・深い悲しみなどで精神的に空白の状態にある時に使われる表現で、文学的・心理的な描写に適しています。
虚を衝く|つ|「虚を衝く」は相手の隙や油断しているところを狙って攻撃することを意味します。物理的な攻撃だけでなく、議論や交渉で相手の予想外のところを突く場合にも使われます。戦略的なニュアンスがあります。
虚仮をする|こけ|仮は、一時的・暫定的な状態を表す接頭辞または名詞です。「仮の住まい」「仮の姿」「仮の名称」のように、本物ではないが当面の間代わりとなるものに対して使われます。後に変更される可能性を含んでいます。
虚偽|きょぎ|「虚偽」は、真実ではないこと、特に故意に事実を偽って伝える行為や内容を指す、やや硬い法律・ビジネス用語です。「嘘」よりも改まった印象があり、社会的に問題となるような虚偽の申告や表示、証言などの文脈で使われます。「虚偽の報告」「虚偽の申請」「虚偽広告」など、不正や詐欺に近いニュアンスを含むことが多いです。ニュースやビジネス文書で頻繁に登場します。
虚像|きょぞう|虚像は、実体がなく見かけだけの像や印象を意味します。物理学では鏡やレンズで生じる実在しない像を指しますが、比喩的には「世間が作り上げた誤ったイメージ」や「幻想」を表すのに使われます。現実とは異なる認識や評価を指摘する際に用いられることが多い言葉です。
虚勢|きょせい|内心は弱気でも、強がって見せること。見栄や虚勢を張る態度を指す。
虚妄|きょもう|事実ではないこと、うそや偽りのことを指す硬い文語表現。宗教的・哲学的な文脈で、現実ではない幻想や錯覚を批判する際に使われることが多いです。
虚実|きょじつ|虚実は、嘘と真実、虚構と現実という意味の言葉です。物事の真偽や、現実と空想の入り混じった状態を表します。
虚弱体質|きょじゃくたいしつ|「虚弱体質」は、生まれつき体が弱く、病気になりやすい体質を指します。特に子供や高齢者に対して使われることが多いですが、大人でも虚弱体質の人はいます。やや硬い表現です。
虚心坦懐|きょしんたんかい|先入観や偏見を持たず、素直で清らかな心で物事に臨む姿勢を表す四字熟語です。禅や道徳的な文脈で使われることが多く、立派な態度として評価されます。
虚数|きょすう|二乗すると負になる数を含む数を指す数学用語です。方程式の解や回路計算、物理学の理論など、数学・理工系の文脈で使われ、日常会話で登場することはほとんどありません。学術語として確実に押さえたい語です。
虚栄心|きょえいしん|外見や名声を実際以上に見せようとする心のことです。見栄を張る気持ちや虚飾の欲求を指します。
虚構|きょこう|事実ではない作りごと、フィクション。文学や哲学の文脈では創作の価値を認める語であり、「虚偽」と違い必ずしも悪意を含まない。
虚無|きょむ|「虚無」は何も存在しない状態、または人生や物事の意義や価値を見出せない感覚を指します。哲学や文学の文脈でよく使われる抽象的な語で、実存的な空虚感や無意味さを表現する際に用いられます。
虚無主義|きょむしゅぎ|虚無主義は、ニヒリズムの日本語訳で、人生や世界に客観的な意味や価値は存在しないという思想・立場を指します。哲学や文学の分野で使われる専門的な概念で、十九世紀のロシア文学やニーチェの哲学と関連して語られることが多いです。
虚空|こくう|「虚空」は、何もない広大な空間、または空そのものを指すやや詩的な言葉です。仏教用語にも由来し、哲学的な文脈でも使われます。物理的な空虚さだけでなく、精神的な虚無感を表すこともあります。
虚脱|きょだつ|「虚脱（きょだつ）」は、極度の疲労や精神的ショックにより、気力や体力が抜け落ちた状態を指します。肉体的な脱力感だけでなく、心理的な空虚感や無気力状態も含みます。長期間続く場合は医療的なケアが必要になることもあります。
虚飾|きょしょく|実質を伴わない外見だけの飾り。見せかけの美しさや立派さ。虚栄のための飾り。
虜|とりこ|「虜」は、戦争などで捕まえられた人のこと（捕虜）や、物事に心を奪われた状態を指します。「〜の虜になる」という表現で、何かに夢中になる意味でもよく使われます。
虜囚|りょしゅう|戦争や争いで捕らえられた人。歴史的・文学的な語で、現代では比喩的に使われることが多い。
虫けら|むし|虫けらは、文字通りには小さな虫を指しますが、主に「虫けらのように扱う」「虫けら以下だ」のような比喩表現で、人間を極端に見下したり、価値のないものとして扱う際に使われる侮蔑語です。非常に強い蔑みや罵倒のニュアンスを含み、実際に使うと相手を深く傷つける可能性があります。
虫の居所が悪い|わる|「虫の居所が悪い」は、理由は特にないけれど機嫌が悪い、イライラしている状態を表す慣用表現です。感情的で一時的な不機嫌に焦点があり、「虫」は古くから気分や感情を司るとされるものを指します。
虫の息|むしのいき|死にかけてかろうじて息をしている状態。非常に弱々しい様子の比喩表現。
虫の知らせ|むしのし|何か悪いことが起きる前に、理由もなく不安な気持ちになることです。第六感のような予感です。
虫干し|むしぼ|「虫干し」は、衣服や書物などを風通しの良い場所に広げて虫や湿気を防ぐことです。特に梅雨明けなどに行う伝統的な習慣で、大切なものを長持ちさせる意味があります。
虫歯は予防できます。|よぼう|悪いことや望ましくない事態が起こらないように、前もって対策を講じることを意味します。医療や防災の分野でよく使われます。
虫眼鏡|むしめがね|「虫眼鏡」は、小さな物を拡大して見るためのレンズ付きの道具で、「むしめがね」と読みます。「ルーペ」や「拡大鏡」とも呼ばれますが、「虫眼鏡」は日本語として親しみやすい呼び方です。もともとは昆虫などを観察するために使われたことからこの名前が付きました。現在では読書用の拡大鏡や、工芸品・細かい作業用のルーペとして使われることが多いです。日常会話では「虫眼鏡」の方が「ルーペ」よりわかりやすい場合があります。
虫酸が走る|はし|「虫酸が走る」は、強い嫌悪感や不快感を表す慣用句です。文字通り胃の中のものが逆流するような感覚から、相手の言動に対して吐き気を催すほどの嫌悪を感じることを表現します。
虫除け|むしよ|「虫除け」は、蚊やハエなどの害虫を寄せ付けないために使う薬剤や道具のことです。スプレータイプやシートタイプ、蚊取り線香など様々な形態があり、アウトドアや夏場の生活に欠かせないアイテムです。
虱|しらみ|「虱（しらみ）」は、人間や動物の体に寄生する小さな昆虫です。日本ではあまり日常的な話題ではありませんが、比喩的に「虱潰し（しらみつぶし）」という慣用句で「一つ残らず丁寧に調べる」という意味で使われます。
虱潰しに|しらみつぶ|虱潰しにとは、一つ一つ丁寧に調べ上げる様子を表す副詞です。シラミを潰すように徹底的に調べるという意味から来ています。
虹|にじ|雨上がりなどに空に現れる、七色のアーチ状の光。自然現象として親しまれている。
虹彩|こうさい|眼球の瞳孔の周りにある色素を含んだ筋肉組織で、目の色を決める部分です。
蚊取り|かと|蚊取りは「蚊を駆除するための道具や薬剤」の総称です。「蚊取り線香」「蚊取りスプレー」「蚊取り器」などの複合語でよく使われます。夏の生活用品として日常的に登場する身近な言葉です。
蚊取り線香|せんこう|「蚊取り線香」は、蚊を駆除するために使う渦巻き状の線香です。夏の風物詩として、日本の家庭や庭先でよく見られます。
蚊帳の外|そと|蚊帳（かや）は蚊を防ぐための網のことで、その外にいるということは仲間外れにされたり、情報を得られずにいる状態を表す慣用句です。重要な決定や話し合いから除外されるニュアンスがあります。
蚕|かいこ|「蚕」は、絹糸を作るために飼育される昆虫。幼虫の時に繭を作り、そこから生糸が取れる。
蚕糸|さんし|カイコが作る糸のことです。絹の原料として古くから日本や中国で重要な産業でした。
蚕食|さんしょく|「蚕食」は、少しずつ確実に侵食していくことを意味します。カイコ（蚕）が桑の葉を少しずつ食べる様子から来た表現で、領土・権利・市場などが徐々に侵される比喩として政治やビジネスで使われます。徐々に進行する侵略のニュアンスです。
蛆虫|うじむし|ハエの幼虫で、腐肉や生ゴミなどに発生する不衛生な虫。嫌悪感や汚いイメージを強く伴う言葉で、比喩的に卑劣な人物を罵る時にも使われる。
蛇口|じゃぐち|蛇口は、水道の水を出したり止めたりするための器具です。台所や浴室などにあります。「蛇口をひねる」「蛇口を閉める」のように使います。日本ではほとんどの蛇口が「かた手」で操作できます。
蛇行|だこう|蛇のように曲がりくねって進むこと。川や道路の形状、人の動きなどに使われます。
蛇足|だそく|「蛇足」は、必要のない余計なものや付け足しを意味する言葉で、中国の故事「蛇を描くのに足を描き足す」ことに由来します。本来完璧であったものに、不要なものを加えてかえって台無しにすることを戒める表現です。謙遜して自分の説明や行動が過剰だったことを認める時にも使われます。
蛋白質|たんぱくしつ|
蛍|ほたる|「蛍」は、夏の夜に美しい光を放つ昆虫です。日本の風物詩として、俳句や和歌などでもよく詠まれます。蛍狩りは夏の楽しみの一つです。
蛍光灯|けいこうとう|放電によって紫外線を発生させ、蛍光物質で可視光に変換する照明器具。LEDに取って代わられつつあるが、まだ広く使われている。
蛙の面にしょんべんで|めん|能楽や仮面劇で使う「お面」、または物事の「側面・局面」を指す多義語。ここでは「顔」の意味でも使われる。
蛞蝓|なめくじ|「蛞蝓（なめくじ）」は、殻のないカタツムリのような形の軟体動物です。ぬるぬるとした質感が特徴です。
蛤|はまぐり|「蛤（はまぐり）」は二枚貝の一種で、日本では食文化や貝合わせという遊びでも有名です。お吸い物や酒蒸しなどの料理で使われます。ひな祭りの「蛤のお吸い物」は定番メニューです。
蛭|ひる|「蛭」は、水中や湿った場所に生息する環形動物で、他の動物の血を吸う寄生虫として知られています。山道や水田で遭遇することがあり、吸血されると傷口から血が止まりにくい特徴があります。
蛮勇|ばんゆう|蛮勇は、理性的な判断を欠いた無謀な勇気や、野蛮なまでの大胆さを指します。勇気そのものは評価されますが、「蛮」の字が示すように、未熟で分別のない行動に対する批判的なニュアンスを含みます。熱意や勢いだけで突っ走る様子を描写する際に使われ、軽い皮肉や苦笑を込めて用いられることが多いです。
蛮地|ばんち|文明が及んでいない未開の土地。古めかしい、または文学的な表現で、日常会話ではほとんど使われない。
蛮族|ばんぞく|「蛮族」は、文明化されていない未開の民族を指す言葉で、古代ギリシャ・ローマが他民族を呼んだ「バルバロイ」に由来する概念です。現代では差別的な響きが強く、歴史的な文脈以外で使うのは適切ではありません。ゲームやファンタジー作品では、文明に染まらない部族として使われます。
蛮行|ばんこう|野蛮で残酷な行為を指す強い非難の言葉です。戦争や紛争における残虐行為など、非常に深刻な場面で使われます。
蛸足|たこあし|蛸（たこ）のような多数の足を持つ形状を指す言葉。比喩的に、中心からたくさんの線が放射状に伸びている様子を表します。
蛾|が|鱗翅目に属する昆虫で、チョウに似ているが主に夜行性で、地味な色合いのものが多いです。日本では「蛾」は蝶に比べて嫌われる傾向がありますが、種類によっては美しいものもいます。
蜂|はち|「蜂（はち）」は、昆虫の蜂の総称で、ミツバチ・スズメバチ・アシナガバチなど多くの種類があります。花の蜜を集める益虫の側面と、刺す危険性のある害虫の側面の両方を持ちます。「蜂の巣をつついたよう」など多くの慣用句でも使われます。
蜂蜜|はちみつ|「蜂蜜」はミツバチが集めた花の蜜を巣の中で熟成させた天然の甘味料です。健康食品としても人気があり、料理やお菓子作りから美容まで幅広く使われています。
蜂蜜酒|はちみつしゅ|「蜂蜜酒」は、蜂蜜を発酵させて作るお酒で、ミードとも呼ばれます。古代から世界中で作られている歴史の古い酒で、北欧の神話や中世ヨーロッパの物語に登場することもあります。日本ではあまり一般的ではありませんが、近年クラフト酒として注目されています。
蜂起|ほうき|民衆が立ち上がって反乱を起こすことを意味します。政治や歴史の文脈で使われるやや硬い言葉です。
蜃気楼|しんきろう|空気の温度差で光が屈折し、実際にはない景色が見える現象。転じて、実体のない幻影や儚い希望を比喩的に表す。
