貯蔵|ちょぞう|Storage / Preservation
感想|かんそう|Thought / Impression
点滴注射|てんてきちゅうしゃ|Drip infusion / Drip (hospital)
投げつける|なげつける|To throw at / to throw something at a person
脱税|だつぜい|Tax evasion / Get around paying ones taxes
彼は和洋折衷の家に住んでいる。|かれは わようせっちゅうの いえに すんでいる|He lives in a house built in a semi foreign style
彼は自分の身辺を整理した。|かれは じぶんの しんぺんを せいりした|He put his affairs in order
集団免疫|しゅうだん めんえき|herd immunity
片棒を担ぐ|かたぼうを かつぐ|to take part in (usu. something bad, ie a crime); to be a party to; to have a ha
エール||Yell / Cheerleading shout
英語の教授法に腐心した|えいごの きょうじゅほうに ふしんした|I racked my brains to find the best method of teaching English
気を取り直す|きを りとりなおす|&nbsp;pull oneself together; to collect oneself (after a failure); to regain con
基準|きじゅん|Standard / Criterion
尊敬|そんけい|Admiration
束|たば|Bundle
架かる|かかる|To span / To bridge / To cross / To straddle (multiple buildings, the ladders, f
沈着|ちんちゃく|Composure / Calmness / also "settling or depositing at the bottom of something"
イケてる|てる|(sl) cool; stylish; with-it; turn-on; sexy
この病気は伝染の恐れはない|この びょうきは でんせんの おそれはない|There is no danger of the illness spreading
覚醒剤|かくせいざい|Stimulant (drug kind)
身勝手|みがって|Selfishness / Egoism / Egotism
容量|ようりょう|Capacity / Electrical Capacitance
多様化する|たようかする|To diversify / diversification
早計|そうけい|Over hasty / Rash
枕営業|まくらえいぎょう|trading sexual favours (for career advancement, etc.)
巻頭 「言」|かんとう げん|The opening page　「 Word」
ここから先は緩やかな坂になっています。|ここから さきは ゆるやかな さかになっています|There's a gentle slope ahead.
減らず口|らずへらずぐち|Retort / Backchat / Lip
引き剥がす|ひき へがす|To tear off
この監督の映画はすべて陰鬱にして物悲しい。|この かんとくの えいがはすべて いんうつにして ものがなしい|All of this director's films are gloomy and sad.
相対的に見るとこの国の景気は悪くはない|そうたいてきに みるとこの くにの けいきは わるくはない|The business climate of this country is not bad, relatively speaking
生え抜きの外交官|えはえぬきの がいこうかん|a career diplomat
彼は専ら読書に日を暮らしている|かれは もっぱら どくしょに ひを くらしている|Reading is his exclusive occupation
お御籤を引いたら吉が出た|お みくじを ひいたら きちが でた|I pulled out a fortune card and got "good luck"
どしどし|どしどし|rapidly; one after the other / Constantly / Without hesitation
隣り合わせ|りとなりあわせ|Adjoining
路頭|ろとう|Roadside / wayside
本懐|ほんかい|one's long-cherished desire
鬱憤|うっぷん|Resentment / Grudge / Anger
どぶん|どぶん|(on-mim) plop; splash
回送（する）|かいそうする|Send on / to forward
皆が代わる代わる彼らを祝福したよ。|みなが わるかわるがわる かれらを しゅくふくしたよ|Everyone congratulated them by turns.
容易い|たやすい|Easy / 簡単
来てよかったとつくづく思います。|きてよかったとつくづく おもいます|I really feel that it was good to come.
日本の神社は拝殿と本田とからなっている。|にっぽんの じんじゃは はいでんと ほんだとからなっている|A Japanese Shinto shrine consists of a front shrine and an inner shrine.
可笑しな|おかしな|Ridiculous / Odd
協奏曲|きょうそうきょく|Concerto
巻き戻す|まき もどす|To rewind (a VCR etc)
都会|とかい|City / Town (another, from iknow)
この曲は単調でつまらないな。|この きょくは たんちょうでつまらないな|This tune is monotonous and boring.
彼は自嘲してほほえんだ|かれは じちょうしてほほえんだ|He smiled with self‐mockery
紳士淑女|しんし しゅくじょ|ladies and gentlemen
熱する|ねつする|heat (something)
主|あるじ|Master / Head of household / Landlord / Employer / Host
予断を許さない|よだんを ゆるさない|Cannot foresee
探る|さぐる|To sound out / To look for / To search
取り分|りとりぶん|(Ones) Share / Portion / Part
親睦会|しんぼくかい|Brotherhood
公表する|こうひょうする|Another word for publication
対|たい|Pair (not 組み合わせ)
竜巻|たつまき|Tornado
無為（な）|むいな|Idle, doing nothing, not working etc
塵紙を取ってください|ちりがみを とってください|Please take the tissue paper
軽率な発言はしないよう気をつけなさい。|けいそつな はつげんはしないよう きをつけなさい|Take care not to make flippant remarks.
