不完全|ふかんぜん|不完全とは、完全でないこと、不足や欠点がある状態を指します。
不幸中の幸い|さいわ|運良く良い結果になったこと、またはその結果に対してほっとしている気持ちを表します。
不得意|ふとくい|あることに対して苦手であること、上手くできないことを意味します。得意の反対語です。
不得手|ふえて|
不徳|ふとく|道徳的に正しくないことや、品性の欠如を指します。人の行いや性格に対して使われるやや硬い言葉です。
不必要|ふひつよう|「不必要」は、必要でないことや、なくても問題がないことを意味します。やや硬い表現で、ビジネスや正式な文書でよく使われます。カジュアルには「いらない」「必要ない」と言います。
不必要なファイルは削除してください。|さくじょ|物事の最も重要な部分や中心となる点を指します。扇子の要（かなめ）が起源で、そこから「肝心な点」の意味に転じました。
不快感|ふかいかん|身体的にも精神的にも「気持ち悪い・嫌な感じ」を表します。単に「嫌だ」より少しフォーマルで、医療やビジネスの場面でも使われます。原因が特定できないぼんやりとした嫌な感覚にも使えます。
不思議な精霊|せいれい|神秘的で普通の人には理解できない力を持つ、超自然的な存在を指します。
不愉快|ふゆかい|「不愉快」は、気分が悪い、嫌な気持ちになることを表す形容動詞です。人の言動や出来事に対して不快感を抱いたときに使われます。
不意を突く|つ|相手が予想していないタイミングで行動し、驚かせること。急に仕掛けることで相手を慌てさせる意味。
不意打ち|ふいう|「不意打ち」は相手の予想しないタイミングで攻撃や行動を仕掛けることを指します。物理的な攻撃だけでなく、比喩的にも使われます。
不意（の）|ふい|「不意」は、予想外で突然の出来事を指す名詞または形容動詞です。「不意に」「不意の」の形で使われることが多く、良い意味よりも悪い意味や驚きを伴う場面で使われる傾向があります。
不感症|ふかんしょう|「不感症」は、上記の意味を持つ日本語の語彙です。この言葉は、日常会話から書き言葉まで幅広い文脈で使われます。
不慣れ|ふな|不慣れは、経験や練習が不足していて、何かに十分に慣れていない状態を指します。
不慮|ふりょ|予期せずに起こる不幸や事故。突然で防ぎようのない出来事を修飾する。
不成立|ふせいりつ|「不成立」は物事が成立しなかったこと、つまり契約や交渉、計画などが成功せずに終わった状態を指します。ビジネスや政治のニュースでよく見かけるフォーマルな表現です。日常会話では「成立しなかった」と言う方が自然です。
不手際|ふてぎわ|「不手際」は、物事の処理の仕方が下手であること、つまり手際が悪いことを意味します。結果としてミスやトラブルを引き起こした場合に、自分の非を認める形で使われることが多いです。「私の不手際で〜」という言い回しは、謝罪の場面でよく用いられる定型的な表現です。ビジネスシーンで重宝される言葉です。
不承不承|ふしょうぶしょう|「不承不承」は、嫌々ながら仕方なく何かをする様子を表す副詞的な四字熟語です。心から納得していないが、外部からの圧力や状況によって渋々行動するニュアンスがあります。
不振|ふしん|物事の調子が悪く、思わしい成果が出ていない状態を指します。経済や売上、選手の成績などに対して使われることが多いです。
不揃い|ふぞろ|
不撓不屈|ふとうふくつ|「不撓不屈」はどんな困難や苦難に直面しても決してくじけず、屈しない強い意志を表す四字熟語です。非常に硬く、格調高い表現で、人物の精神力や生き方を称賛する際に使われます。座右の銘としても人気があります。
不整脈|ふせいみゃく|「不整脈」は心臓のリズムが不規則になる医学的症状を指します。健康診断や医療の文脈でよく使われる専門用語で、一般にも広く知られています。「不整脈がある」のように日常的な健康会話でも登場します。
不敵|ふてき|怖がらずに大胆であること。度胸が据わっている様子。良い意味でも悪い意味でも使えます。
不文律|ふぶんりつ|明文化されてはいないが、社会や組織の中で暗黙のルールとして守られている決まりごとを指します。法律のように書かれていないけれど、皆が従っている規範です。
不断|ふだん|不断は「絶え間なく続くこと」「いつも変わらないこと」を意味します。日常の「普段」（ふだん）と同音ですが、不断はやや硬い表現で「絶え間ない努力」のような文脈で使われます。漢字の「不断」は文字通り「断たない」という意味です。
不時着|ふじちゃく|「不時着」は、航空機が故障や緊急事態により、予定外の場所に着陸することを意味します。事故とは異なり、パイロットの制御下で安全を確保するための意図的な着陸を指します。航空ニュースやドラマでよく聞かれる言葉で、緊迫感と危険性を伴う状況を表します。単なる「着陸」ではなく、非常時の対応というニュアンスが強いです。
不景気|ふけいき|経済が低迷している状態を指します。仕事や収入に関するマイナスの影響について話すときに使われます。
不景気だというのに、高級時計が売れに売れているという。|う|経済の全体的な活気や状態を指します。好景気、不景気などのように使われます。
不服|ふふく|「不服」は、物事や決定に対して納得できず、不満や反対の気持ちを持っている状態を指します。「不服を申し立てる」は訴訟や審判への異議申し立てによく使われます。
不本意|ふほんい|「不本意」は、上記の意味を持つ日本語の語彙です。この言葉は、日常会話から書き言葉まで幅広い文脈で使われます。
不本意であることを示す|しめ|「不本意であることを示す」は、自分の意志や希望に反していることを態度や言葉で表すという意味です。直接「嫌だ」と言うより、やや丁寧で控えめな表現で、ビジネスや公式な場面でも使えます。
不朽|ふきゅう|「不朽」は、永遠に滅びずに残り続けることを意味する名詞・形容動詞です。特に芸術作品や業績、名声などが時を超えて価値を保つ様子を称賛する際に使われます。「不朽の名作」「不朽の功績」のような熟語で頻出し、やや格式ばった響きがあります。漢語らしい厳かな印象があり、日常会話よりは書評や表彰文などでよく見かけます。
不束者|ふつつかもの|「不束者」は未熟で役に立たない人という意味の謙譲語で、自分のことをへりくだって言う際に使われます。結婚の挨拶などで「不束者ですが、よろしくお願いします」という形で使われることが多い、伝統的な決まり文句です。
不束者ですがよろしくお願いします|ねが|「不束者」は未熟で役に立たない人という意味の謙譲語で、自分のことをへりくだって言う際に使われます。結婚の挨拶などで「不束者ですが、よろしくお願いします」という形で使われることが多い、伝統的な決まり文句です。
不条理|ふじょうり|「不条理」は、道理や論理に合わないこと、筋が通らないことを意味します。理不尽な状況や、理解しがたい不合理な出来事に対して使われます。哲学用語としては「不条理（アブスュルド）」という実存主義の概念もあります。
不機嫌|ふきげん|機嫌が悪く、怒っているか不機嫌そうな様子を指します。人の感情や態度について話すときに使われる名詞や形容動詞です。
不正|ふせい|「不正」は、法律や規則に反する悪い行いを指します。詐欺や横領、改ざんなど、意図的に悪事を働くことを表します。ビジネスや行政の場面でよく使われる、やや硬い言葉です。
不正規|ふせいき|「不正規」は、正規ではないこと、ルールや標準から外れていることを意味します。就業形態（正規社員に対して非正規社員）や、手続きなどが正式でない場合に使われます。「非正規」の方が一般的です。
不正軽油の製造･販売･使用は、極めれ悪質な脱税行為である。のみならず、ディーゼル車の排気ガスは大気中の有害物質を増加させるなど、環境汚染の原因にもなっている。|げんいん|物質は、空間を占める質量のあるものの総称で、化学や物理の分野で使われる基本的な概念です。固体・液体・気体の三態があります。
不死身|ふじみ|どんな攻撃や困難にも負けない強さを持つこと。物理的に死なない体から、精神的に折れない人まで幅広く使う。
不死鳥|ふしちょう|火の中で滅んでも灰の中から再び蘇るとされる伝説上の鳥で、ギリシャ神話のフェニックスの訳語です。再起や復活の象徴として、「不死鳥のように蘇る」という比喩でスポーツや経済報道でも好んで使われます。
不毛|ふもう|「不毛」は、土地が痩せて作物が育たないという字義から、比喩的に努力や議論が成果を生まないことを意味します。会議や交渉などが無駄に終わった場合に否定的な評価として使われます。
不気味（な）|ぶきみ|「不気味」は何か得体の知れない不安や恐ろしさを感じさせる様子を表す形容動詞です。幽霊や怪しい雰囲気など、はっきりとはわからないが気味が悪いと感じる時に使います。「気味が悪い」が縮まった言葉で、日常会話でよく使われる表現です。
不治の病|ふじのやまい|現代の医学では治療が不可能な病気のこと。癌の末期など、完治が見込めない病気を指す。重く悲しい響きを持つ言葉で、小説やドラマで感動的な文脈で使われることが多い。
不況|ふきょう|「不況」は、経済活動が全体的に低迷している状態を指します。雇用の減少や消費の落ち込みなどを伴い、ニュースや経済評論で頻繁に使われるフォーマルな用語です。反対語は「好況」です。
不法投棄|ふほうとうき|法律に違反してゴミや廃棄物を捨てること。環境問題として社会的な問題になっています。
不法滞在|ふほうたいざい|「不法滞在」は、外国人がビザの期限を過ぎてもその国に留まり続けるなど、法的に認められていない状態で滞在することを指します。法律用語であり、ニュースや報道でよく使われる社会的に重大な問題を表す語です。
不注意|ふちゅうい|注意が足りず、失敗や事故を起こしてしまうことを指します。謝罪や注意喚起の場面でよく使われます。
不活性|ふかっせい|化学的に反応を起こしにくい状態。また、比喩的に活発でなく動きがない状態も指します。
不渡り|ふわた|「不渡り」は、小切手や手形の支払いが行われないことを指す金融・法律用語です。残高不足などで決済されなかった場合に使われます。
不満|ふまん|「不満」は、現状や相手の対応などに対して満足していない気持ちを表します。物足りなさや不平、不満足な状態を指し、日常生活から仕事まで幅広い場面で使われる非常に一般的な感情表現です。
不滅|ふめつ|「不滅」は、永遠に滅びずに存在し続けることを意味します。魂や名声、愛など、形のないものに対して使われることが多いです。ポジティブな響きを持ち、文学や哲学の文脈でよく登場します。
不潔な|ふけつ|不潔なとは、清潔ではない、汚れているという意味の形容動詞です。衛生面だけでなく、道徳的に不快だという比喩的な意味でも使われます。
不燃性の|ふねんせい|「不燃性」は、燃えにくい性質や燃えない性質を持つことを指します。建材や日用品の素材に関する説明で使われる専門的な言葉です。不燃性のものは火災のリスクを減らすのに役立ちます。
不用意|ふようい|「不用意」は、注意が足りず準備ができていない状態や、よく考えずに行動することを意味します。「不注意」よりは、準備不足・油断のニュアンスが強いです。「不用意な発言」のように、悪い結果を招く可能性がある場面で使われます。
不甲斐ない|ふがい|自分や他人の行動が期待に応えられず情けない様子。強い自己非難や失望の感情を込めて使われる。やや改まった言い回し。
不発|ふはつ|銃や爆弾などが発射されずに終わること。比喩的に「期待された結果が出なかった」「計画がうまくいかなかった」という意味でも使われる。
不発弾|ふはつだん|爆発しなかった爆弾や砲弾のことです。比喩的に、期待された効果が出なかった計画や企画を指すこともあります。
不相応|ふそうおう|「不相応」は、身分や能力、価値などに見合わないことを意味します。多くは「過分である」というネガティブなニュアンスで、過剰な評価や不相応な待遇を表します。ややフォーマルな表現です。
不眠不休|ふみんふきゅう|眠らず休まずに働き続けること。過酷な状況を表す四字熟語。賞賛の意味もあるが、健康を心配する文脈でも使われる。
不眠症|ふみんしょう|なかなか眠れなかったり、途中で目が覚めてしまったりする睡眠障害のことです。
不眠症もさることながら，心配事も多過ぎて眠れない。|ねむ|なかなか眠れなかったり、途中で目が覚めてしまったりする睡眠障害のことです。
不確か|ふたし|はっきりと確かではない状態のことです。情報や記憶、予定などが曖昧で、自信が持てない時に使います。
不祥事|ふしょうじ|組織や個人の信用を大きく損ねるような不正やスキャンダル。報道などでよく見る硬い表現です。
不穏|ふおん|物事の先行きが怪しく、安心できない様子。不安や緊張が漂う雰囲気を表す。社会情勢や空気の描写によく使う。
不穏分子|ふおんぶんし|「分子」は、物質を構成する最小の単位で、化学的な性質を持つ粒子。物理学や化学の基本的な概念。
不穏文書|ふおんぶんしょ|「不穏文書」は、社会の秩序や治安を乱す可能性のある内容を含んだ書類や文書を指します。特定の団体や個人を誹謗中傷する内容や、反社会的な主張を記載したビラ・パンフレットなどが該当します。公の場で配布される前に差し押さえられるなど、問題視される文脈で使われます。
不等号|ふとうごう|「不等号」は「＞」「＜」「≧」「≦」などの記号で、数の大小関係を表す数学記号です。小学校の算数で最初に習う記号の一つで、数学の基本的な表記法です。日常会話ではあまり使われませんが、ITやビジネスの比較表現でも使われます。
不純|ふじゅん|
不細工|ぶさいく|「不細工」は、形や出来栄えが悪く、美しくないことを意味します。主に物の形状や人の顔立ちに対して使われますが、直接人に向けて言うと非常に失礼な表現です。また、比喩的に「不細工な処理」など、技術的な出来栄えが悪いことにも使われます。
不織布|ふしょくふ|
不義理|ぎり|人としての義理や社会的な義務を果たさないことを指す言葉。恩義を忘れた行動や、約束を破るなど信義に反する行為を非難する際に使われます。
不老|ふろう|年を取らずに若いままであることを意味します。不死とセットで「不老不死」として使われることが多いです。
不肖|ふしょう|「親や師匠に比べて自分は出来が悪い」という意味の謙遜語です。主に手紙やスピーチなどの改まった場面で、一人称として自分を卑下する際に使われます。
不良|ふりょう|「ふりょう」と読み、品質が悪いことや、行儀が悪いことを意味します。製品の不良品という意味でも使われますし、不良少年のように人の素行を表す意味でも使われます。文脈によって意味が異なるので注意が必要です。
不良品を返品したよ。|へんぴん|「ふりょう」と読み、品質が悪いことや、行儀が悪いことを意味します。製品の不良品という意味でも使われますし、不良少年のように人の素行を表す意味でも使われます。文脈によって意味が異なるので注意が必要です。
不行き届き|とど|「不行き届き」は、注意や配慮が足りず、行き届いていない状態を意味します。サービスや対応に対して謝罪するときによく使われる、丁寧な表現です。自分や自社の至らなさを認める場面で使います。
不要|ふよう|必要でないこと、または必要がなくなることを表します。ビジネスや日常生活で幅広く使われる表現です。
不要になったパソコンを処分したんだ。|しょぶん|物事の最も重要な部分や中心となる点を指します。扇子の要（かなめ）が起源で、そこから「肝心な点」の意味に転じました。
不要の電化製品、中古新品を問わず買い取ります。|かいと|物事の最も重要な部分や中心となる点を指します。扇子の要（かなめ）が起源で、そこから「肝心な点」の意味に転じました。
不規則|ふきそく|規則的でなく、一定のパターンやリズムがないこと。生活習慣や形、動きなどさまざまなものに対して使われる。
不覚|ふかく|注意不足や油断から起こした失敗。自らを責めるニュアンスがあり、「不覚にも〜してしまった」の形でよく使う。
不評|ふひょう|世間や周囲からの評価が悪いこと、評判が良くないことを指します。商品やサービス、人物の評判に使われます。
不詳|ふしょう|「不詳」は、物事の詳細が明らかでないこと、または情報が不明であることを表すやや形式ばった名詞・形容動詞です。特に著者の名前がわからない場合の「作者不詳」や、出所が特定できない「出典不詳」などの熟語として頻繁に使われます。公的な文書や学術的な記述で用いられることが多く、日常会話ではあまり登場しません。単に「不明」と言うよりも、わかっていないことを客観的に報告するニュアンスが強いです。
不貞寝|ふてね|不貞寝は、怒りや不満を抱いて、やけになって布団に入って寝てしまう行為を指します。子供っぽい行動として捉えられることが多く、甘えや反抗心が混ざった感情表現です。一人で部屋にこもって寝るイメージです。
不買運動|ふばいうんどう|特定の商品や企業の製品を買わないことで抗議や圧力をかける運動を指します。消費者運動の一形態です。
不起訴|ふきそ|「不起訴」は、検察が被疑者を裁判にかけないことを決定する処分を指します。法律用語で、十分な証拠がない場合や、起訴する必要性がないと判断された場合に下されます。ニュースの刑事事件報道でよく見かける専門用語です。
不足|ふそく|「不足」は、必要な量や数に足りない状態を意味します。お金や時間、人手、栄養など様々なものに使われます。日常会話からビジネスまで広く使われる語です。反対語は「過剰」や「充実」です。
不躾|ぶしつけ|「不躾」は、礼儀や作法に欠けていて、失礼な態度や言動を指す形容動詞です。相手に対する配慮が足りず、無遠慮だったり図々しかったりする様子を批判的に評価します。「不躾なお願いですが」という形で、依頼の前置きとして使われることもあり、その場合は自分の無礼をわびる謙虚な表現になります。
不退転|ふたいてん|どんな困難があっても決して後退しないという強い決意や覚悟を表します。「不退転の決意」という形でよく使われ、目標に向かって揺るがない意志を示します。
不透明|ふとうめい|物事の様子や将来の見通しがはっきりしないことを意味します。物理的な透明性の欠如だけでなく、比喩的にも使われます。
不逞|ふてい|「不逞の輩」は、社会の秩序に従わず、反抗的または不正な行為を行う人々を指すやや古風な表現です。「不逞」は「心に不満や反抗心を持ち、従順でないこと」を意味し、「輩」は「連中」「やから」を表す蔑称的な接尾語です。主に小説や時代劇、ニュースの社説などで見られ、現代の日常会話で使うと大げさな印象を与えます。「不逞の輩を取り締まる」のように、権力側の視点から使われることが多いです。
不逞の輩|やから|「不逞の輩」は、社会の秩序に従わず、反抗的または不正な行為を行う人々を指すやや古風な表現です。「不逞」は「心に不満や反抗心を持ち、従順でないこと」を意味し、「輩」は「連中」「やから」を表す蔑称的な接尾語です。主に小説や時代劇、ニュースの社説などで見られ、現代の日常会話で使うと大げさな印象を与えます。「不逞の輩を取り締まる」のように、権力側の視点から使われることが多いです。
不遇|ふぐう|「不遇」は、運や環境に恵まれず、辛い状態にあることを意味します。才能や努力があるのに評価されない、報われないというニュアンスが強いです。やや硬い表現で、人生の大きなスパンで使われることが多いです。
不運|ふうん|思いがけない不幸な出来事や、運が悪い状態を指します。人生の逆境や予期せぬトラブルに対して使われる、ややフォーマルな表現です。
不道徳|ふどうとく|「不道徳」は、道徳や倫理に反する行為や態度を指す形容動詞です。社会の規範や正義の観点から見て許されないことを表し、強い非難のニュアンスを含みます。
不遜|ふそん|不遜は「傲慢で生意気」「思い上がった態度」を指す名詞・形容動詞です。目上の人に対して敬意を欠いた言動や、自分の力量を過信した態度を批判するときに用います。書き言葉として使われることが多いです。
不適|ふてき|「不適」は、適切でないこと、ふさわしくないことを意味します。能力や資格が足りない場合や、状況に対して適切な対応ではない場合に使われるやや硬い表現です。
不随意|ふずいい|自分の意思とは関係なく起こることを意味します。主に医学や生理学の分野で使われ、「不随意運動」「不随意筋」などの専門用語で登場します。日常会話ではあまり使われません。
不随意運動|ふずいいうんどう|「不随意運動」は、自分の意思とは関係なく体の一部が動いてしまう症状を指す医学用語です。震えやチック、痙攣などが含まれ、神経系の疾患に関連して現れることが多いです。専門的な医療・医学の文脈で使われます。
不順|ふじゅん|物事の順序や状態が正常でないこと、特に天候が季節に合わないことを指します。「天候不順」という形で天気予報や農業の話題でよく使われるややフォーマルな言葉です。
不首尾|ふしゅび|物事がうまくいかず、失敗したり不評を買ったりすること。硬い書き言葉で、ビジネス文書などにも使われる。
与する|くみ|ある立場や集団に加担し、味方することを表します。多くの場合、悪いことや良くない側に加わるニュアンスを含みます。
与り知る|し|「与り知る」は、物事に関与して知っていること、または情報を知らされていることを意味します。常に「〜は与り知らない」の否定形で使われることが圧倒的に多く、「知らない・関与していない」という主張をやや硬く表現します。
与圧|よあつ|「与圧」は、密閉された空間（航空機の客室や宇宙服など）に外よりも高い気圧をかけて、人間が快適に過ごせるようにすることです。
与太者|よたもの|「与太者」は、まともな仕事をせずにぶらぶらしている者、または不良やならず者を指すやや古風な言葉です。時代劇や昭和の人情物語などで使われることが多く、完全な犯罪者というよりは、社会の片隅でうさんくさい生活をしている人物を描写します。
与太話|ばなし|「与太話」は、信頼性に欠けるでたらめな話や、実現性のない荒唐無稽な話を指すやや砕けた表現です。仲間内での冗談めいた話から、明らかな嘘八百の話まで幅広く使われます。「与太話に付き合う」「与太話を飛ばす」のように用います。語源は諸説ありますが、江戸時代の遊里用語から来ているとも言われています。現代の日常会話では、「与太話」よりも「冗談」「作り話」のほうがよく使われます。
丑三つ時|どき|丑三つ時は、午前2時から2時半頃を指す古い時間表現で、陰陽道において最も陰の気が強まるとされる時間帯です。怪談やホラー作品でよく使われ、夜中で一番不気味な時間帯というイメージが定着しています。
世にも|よ|「世にも」は、「この世で最も〜」という意味の強調表現です。「世にも美しい」「世にも不思議な」のように、形容詞を強めて使います。
世の常|つね|世の中で普通・一般的であることを表すやや古風な言い回しです。人間の普遍的な性質や、社会の当然の摂理について述べる際に使われます。
世事|せじ|「世事」は世の中の出来事や人間関係の機微を含む、社会生活全般を指す言葉です。経験や慣習を通じて身につく「世の中の道理」や「処世術」というニュアンスが含まれます。
世人|せじん|「世人」は、世の中一般の人々、すなわち社会全体や公衆を指すやや文語的な表現です。「世間の人々」とほぼ同義ですが、よりフォーマルで書き言葉的な印象を与えます。哲学的な議論や評論などで、「世人はこう考える」のように使われることが多いです。
世人は名利に汲々としている|きゅうきゅう|「汲々としている」は、一つのことに必死になって余裕がない様子を表します。この表現全体で「世の人々は名声や利益を得ることだけに必死になっている」という意味で、やや批評的なニュアンスがあります。
世代|せだい|「世代」は、親から子へと受け継がれる血筋の段階や、同じ時期に生まれ育った人々の集団を指します。
世慣れる|よな|社会経験を積んで、世の中の事情に詳しくなること。社交的で落ち着いた態度を身につける様子を表す。
世界には飢えている人が大勢います|たいせい|物事の全体的な流れや傾向を指します。個別の細かい点ではなく、大局的な方向性を表します。
世界の国々から元首が集まった|あつ|「元首」は、国家の最高指導者を指す政治用語です。日本の天皇やアメリカの大統領、イギリスの国王などが該当します。
世界の多くの人々は飢餓に苦しんでいます|くる|「飢餓」は食べ物が不足して極度の空腹状態に陥ることを指します。個人の空腹感よりも、社会問題としての慢性的な食料不足や栄養失調の状態を表すことが多いです。国際問題や社会福祉の文脈で使われる深刻な言葉です。
世界中で森林が失われています。|うしな|樹木が密集して広がる地域。単なる「林」より規模が大きく、深く広がる森を指します。環境問題や生態系の文脈でよく使われる、やや硬い書面語です。
世界中の言語はいくつかの類型に分類される|ぶんるい|「分類」は、物事を種類や性質に従って区分けすること、またはその区分されたグループを指します。図書館の本の分類、生物の分類、データの分類など、学術・実務の様々な場面で使われる基本的な概念です。
世界保健機関|せかいほけんきかん|世界保健機関は、国連の専門機関の一つで、世界中の人々の健康を促進し、感染症の予防や医療政策の調整を行う国際機関です。国際的な健康問題を扱う重要な組織です。
世界初|せかいはつ|地球上で初めて実現したこと、または達成されたことを指します。画期的な発明や記録、発見など、歴史的な意義がある場合に使われる言葉です。
世界初の水爆実験は太平洋で行われた|おこな|水素爆弾の略で、核融合反応を利用した非常に強力な爆弾のことです。
世界恐慌|世界[せかい] 恐慌[きょうこう]|1929年にアメリカから始まり世界中に広がった大不況を指す歴史用語です。経済学の教科書などで必ず出てくる固有名詞的な表現です。現代でも「世界的な金融危機」を「世界恐慌」と比喩的に呼ぶことがありますが、本来は1929年の大恐慌を指す特定の名称です。
世界有数|せかいゆうすう|「世界有数」は、世界で五指に入るほど優れている、世界的に見てトップクラスであることを表す言葉です。数えられるほどの少数のものだけが持つ卓越した性質を強調します。
世界記録|せかいきろく|スポーツや様々な競技などで、世界中で最も優れた記録のことを指します。
世界語|せかいご|「世界語」は、世界中の人々の間で共通に使われる言語を指します。現在では英語が事実上の世界語とされていますが、エスペラントのように人工的に作られた国際共通語も世界語と呼ばれます。やや学術的でフォーマルな表現です。
世界遺産|せかいいさん|「世界遺産」は、ユネスコによって登録された、人類全体にとって貴重な文化的・自然的な遺産のことです。世界中に多くの世界遺産があり、観光地としても人気があります。日本の富士山や法隆寺なども世界遺産に登録されています。
世直し|よなお|社会の悪い風潮や不正を改革して、より良い世の中に変えようとすることを意味します。歴史上では義賊や改革者が使う言葉としても知られています。
世相|せそう|「世相」はその時代の社会の様子や人々の生活の実態を指します。ニュースの解説や評論で「世相を反映した作品」のように使われ、社会的な動向や風潮を捉える言葉です。
世知|せち|世渡りの工夫や才覚。「世知辛い」（せちがらい）の形で「生きにくい」「苦しい」の意味の慣用表現として主に使われる。
世紀|せいき|「世紀」は、100年間という時間の単位を指します。西暦の百年区切り（20世紀、21世紀など）を表すのが最も一般的ですが、比喩的に「非常に長い時間」や「画期的な時代」という意味でも使われます。歴史や年代を語る際に欠かせない基本的な時間表現です。
世継ぎ|よつ|「世継ぎ」は、家督や地位、財産を引き継ぐ後継者、特に長男を指すことが多いです。
世襲|せしゅう|地位や財産、職業などを親から子へ代々受け継いでいく制度や慣行を指します。特に皇室や企業の経営権などに使われます。
世襲議員|せしゅうぎいん|「世襲議員」は、親や親族から選挙区や政治的な地盤を受け継いだ国会議員を指します。日本政治においてよく議論されるテーマで、批判的な文脈で使われることが多い言葉です。
世話が焼ける|や|面倒をみるのに手間がかかる、扱いにくいという意味。子供や年寄り、あるい頼りない人に対して使います。
世話人|せわにん|イベントや組織の裏方として準備や調整を行う人。表に出ずに支援する立場を指します。
世話係|がかり|特定の人の面倒を見たり、必要な世話をする役割の人を指します。介護や育児だけでなく、職場での雑務担当やイベントの運営スタッフなども含みます。
世話焼き|せわや|「世話焼き」は、他人のことにやたらと口を出したり、世話を焼きたがる人を指します。親切な面もありますが、時には「おせっかい」と受け取られることもあります。「せわやき」と読みます。
世論|せろん|社会の多くの人々が持つ意見や考え方を指します。政治や社会問題についての報道や議論で頻繁に使われる言葉です。
世論はあなたの味方です。|みかた|社会の多くの人々が持つ意見や考え方を指します。政治や社会問題についての報道や議論で頻繁に使われる言葉です。
世論調査|せろんちょうさ|社会のさまざまな問題について、人々の意見を統計的に調べることを指します。政治やマーケティングでよく使われます。
世迷言|よまいごと|道理に合わない愚痴や文句。訳の分からない不平不満のこと。
世間|せけん|「世間」は、自分が属する社会や人々の集まり、世の中一般を指します。日本語特有の概念で、自分の周りの人間関係や社会の常識・世論を含む広い意味を持ちます。
世間では彼を英文家だといっている、しかるにそれに反して彼は英文などはまるで書いたことが無い|な|「世間」は、自分が属する社会や人々の集まり、世の中一般を指します。日本語特有の概念で、自分の周りの人間関係や社会の常識・世論を含む広い意味を持ちます。
世間の反応は冷たかったよ。|つめ|「世間」は、自分が属する社会や人々の集まり、世の中一般を指します。日本語特有の概念で、自分の周りの人間関係や社会の常識・世論を含む広い意味を持ちます。
世間一般|いっぱん|特別な集団ではなく、普通の世の中の人々全体のこと。「一般的に世の中では」という漠然とした範囲を示す。
世間体|せけんてい|
世間体を繕う心配をするより他にやることがある|た|
世間的|せけんてき|「せけんてき」と読み、社会一般の目や評価に関わることを表します。「世間的な評価」「世間的な常識」のように、個人や組織の内部ではなく、社会全体の認識や価値観を指す言葉です。
世間知らず|せけんし|社会の常識や現実をよく知らない人を指す名詞・ナ形容詞です。やや批判的なニュアンスがあり、相手を未熟だと評価するときに使われます。
世間話|せけんばなし|天気や趣味など、日常の軽い話題についての会話を指します。特に目的のない雑談や、人間関係を円滑にするための会話です。
丘|おか|周囲より高くなっているが、山ほどは高くない地形を指します。なだらかな傾斜を持つ小さな高まりです。
丘の上から草原を見渡したの|みわた|周囲より高くなっているが、山ほどは高くない地形を指します。なだらかな傾斜を持つ小さな高まりです。
