多額|たがく|Large amount of money
処理系|しょりけい|Implementation / Processor
仕込む|しこむ|To teach / To train / to educate / to prepare
岩場|いわば|Rocky area / rockface / rock wall
外出の時はいつも鼻紙を持っています|がいしゅつの ときはいつも はながみを もっています|I always take paper tissues when I go out
腕利き|うできき|Able / Capable / Person of ability
輩|ともがら|comrade; fellow
只々|ただ|(emphatic modifier) absolutely; only
口ぶり|くちぶり|1. way of speaking2. intimation
論敵|ろんてき|opponent in a debate or argument
グルメ||1. fine food, high-quality food2. gourmet, epicure, gastronome
しょっちゅう|しょっちゅう|Frequently / Repeatedly (the one that sounds a bit like a drink)
大規模|だいきぼ|Large scale
正統|せいとう|Legitimate / Othordox
鳴動|めいどう|Rumbling / (ringing) cadence
植生|しょくせい|Vegetation
発案者|はつあんしゃ|original proposer; originator; proponent; initiator
民生|みんせい|public welfare, the people's livelihood
二兎を追う者は一兎をも得ず|にとを おう ものは いっとをも えず|if you run after two hares you will catch neither
費やす|ついやす|To spend / use / throw away on / consume
毛布|もうふ|Blanket
片鱗|へんりん|A glimpse (to see a glimpse of brilliance, for example)
