正鵠|せいこく|bull's-eye; mark; point
思う壺にはまる|うおもうつぼにはまる|&nbsp;turn out just as one wished; to play into the hands (of)
政財界|せいざいかい|political and business circles
運輸量|うんゆりょう|(amount of) traffic
でんぐり返し|でんぐり がえし|somersault, tumble, roll
彼に期待したことがそもそもの間違いだった。|かれに きたいしたことがそもそもの まちがいだった|That we were hoping for great things from him was our first mistake.
歪曲|わいきょく|Distortion / Perversion / Falsification
原稿用紙|げんこうようし|Japanese writing paper with squares on
至高|しこう|Supreme / Supremecy
瀑布|ばくふ|Waterfall / Cascade
人を愚弄するのもいい加減にしろ.|ひとを ぐろうするのもいい かげんにしろ|No more of your ridicule
真偽のほど|しんぎのほど|Whether its true or not
トンデモ||unthinkable, unexpected, outrageous, offensive
停戦協定|ていせんきょうてい|cease-fire deal
軍規|ぐんき|1. military discipline2. military regulations, military rules
輝かしい|かがやかしい|Glittering / Glorious / Brilliant
残骸|ざんがい|Ruin / Wreck / Wreckage
拭う|ぬぐう|To wipe (sweat from brow)
奪還|だっかん|Recovery / Recapture / Rescue
横木|よこぎ|crosspiece; bar; rail
柱時計|はしらどけい|wall clock, grandfather clock
当時|とうじ|At that time / in those days
失態|しったい|Mismanagement / Fault / Error / Failure / Discredit
見定める|みさだめる|To make sure of / To ascertain / To confirm / To grasp
頓挫|とんざ|Setback / at a standstill or impasse
義賊|ぎぞく|Chivalrous thief (Hackers!)
～に足る|に たる|Is plenty / Has value
懐中電灯|かいちゅうでんとう|Flashlight / Electric torch
コンセント||electrical outlet (wasei: concentric plug); wall socket; power plug
ストップ高|だか|maximum allowable single-day gain (stock exchange, etc.)
色素|しきそ|pigment, coloring, colouring, colorant, colourant (ie melonin pigment)
営み|いとなみ|Work / Life
発刊する|はっかんする|To be published
布切れ|ぬのきれ|Piece of cloth
羨望|せんぼう|envy
賛辞|さんじ|eulogy; compliment
厭う|いとう|to be loath to; to balk at (doing); to grudge (doing); to spare (oneself); to be
がたがた|がたがた|Rattle
待ち遠しい|ちまちどおしい|just can't wait for, long for
や否や|や いなや|Verb Inf. non-past ＋　やいなや 　&quot;the moment;as soon as,&quot;Just right after --
音信不通|いんしんふつう|Break in contact, having no communication with
奪い合う|いうばいあう|To scramble for / To struggle for
事前に調べる|じぜんに しらべる|Examine beforehand
業務上|ぎょうむ じょう|Job related / In the course of ones work
公布　（する）|こうふする|To proclame / announce officially
最前列|さいぜんれつ|Front row
獣道|けものみち|Animal trail
総員|そういん|All the members / All hands / The entire strength
憂い|うい|Unhappy / Sad / Gloomy
途方に暮れる|とほうに くれる|To be at a loss / not know what to do / at wits end / perplexed / lost
大臣の答弁は簡潔で分かりやすかった|だいじんの とうべんは かんけつで わかりやすかった|The ministers answer was concise and comprehensible
以下の一節は有名な寓話からの引用です。|いかの いっせつは ゆうめいな ぐうわからの いんようです|The following passage is a quotation from a well-known fable
縁がなく|えんがなく|have no relation to; have no luck with; not be fated to (get the job at the bank
捻出|ねんしゅつ|1. managing (to raise funds, find time, etc.), contriving, scraping together (mo
