体当たりする|たいあたりする|To charge / hurl
一方的(な)|いっぽう てきな|One sided / One way
増える|ふえる|To increase
塔|とう|tower
山の中腹|やまの ちゅうふく|On the mountains hillside (side of hill?)
進行|しんこう|Progress / Advance
委員会はその計画をめぐって意見が分かれた。|いいんかいはその けいかくをめぐって いけんが わかれた|The committee was split over the project.
多彩|たさい|Varicoloured / Multicoloured / Diverse
問題解決|もんだいかいけつ|Problem solving
強制的に参加させる|きょうせいてきに さんかさせる|Force someone to participate
黒ずくめ|くろずくめ|Black from head to toe
水陸両用|すいりくりょうよう|Amphibious
死守する|ししゅする|Defend to the death
関心|かんしん|Concern / Interest
共謀|きょうぼう|Complicity / Conspiracy
正確と性格は同音だが別の言葉だ|せいかくと せいかくは どうおんだが べつの ことばだ|"Seikaku" and "Seikaku" have the same pronunciation but are different words
手のひらに汗をかきました。|てのひらに あせをかきました|My palms are sweating.
あなたが一緒にいてくれると心強い。|あなたが いっしょにいてくれると こころづよい|I feel reassured when we are together.
年配|ねんぱい|advanced age, elderliness
ドラマの後半は来週放送されるんだ。|の こうはんは らいしゅう ほうそうされるんだ|The second half of the drama will be broadcast next week.
に限ったことではない|に かぎったことではない|Basically "not only" , "not limited to"
彼を見習ってもっと勉強します。|かれを みならってもっと べんきょうします|I'll follow his example and study harder.
完勝（する）|かんしょうする|Complete Sweeping victory
食べ物の好き嫌いは特にありません。|べたべものの きすききらいは とくにありません|I have no particular likes or dislikes when it comes to food.
延々と|えんえんと|Endlessly / On and on
明日から来なくていい|あしたから こなくていい|From tomorrow dont bother coming back
機能停止|きのうていし|Being out of service / stopping functionality
紛争|ふんそう|Dispute / Trouble / Disagreement / Conflict
私は都営住宅に住んでいます|わたしは とえい じゅうたくに すんでいます|I live in a Tokyo public housing complex
誘導|ゆうどう|To lead / To guide (to somewhere)
不相応|ふそうおう|Uncoming / Unsuited
写メール|しゃめーる|Email from mobile phones containing pictures
身なりを正しなさい|みなりを ただしなさい|Fix yourself up
根拠|こんきょ|Grounds / Basis
電線|でんせん|Electric Wire
役者の豪華絢爛な衣装をよくご覧になってください|やくしゃの ごうかけんらんな いしょうをよくご らんになってください|Please take a good look at the gorgeous costumes of the actors
私には父がまだ生きていると思えてならない。|わたしには ちちがまだ いきていると おもえてならない|I can't help thinking Father is still alive.
出来るだけ早く来てください。|できるだけ はやく きてください|Please come as soon as possible.
