私はこの子の保護者です。|ほごしゃ|危険や害から守ること。安全を確保して大切に扱うこと。
私は古典を読むのが好きです。|す|「古典」は、古くから価値を認められ、長く読み継がれてきた文学作品や学問的著作を指します。日本文学では源氏物語などが代表的です。
私は同上の理由により会社を退職いたします|たいしょく|「社」は「やしろ」と読み、神社の建物そのものを指す。「じんじゃ」が神社全体を指すのに対し、「社」は特に社殿を意味する。
私は喧嘩を傍観していた|ぼうかん|「傍観」は、自分は関わらずに、ただ見ていること。否定的なニュアンスで、無責任や冷淡さを暗示する。やや硬い表現。
私は夕暮れの渚が好きです|す|日が沈んで暗くなる前の、空が赤や橙に染まる時間帯のこと。夕方とも言いますが、「夕暮れ」はより叙情的で詩的な響きがあります。
私は天然痘に免疫になっている。|めんえき|天然痘は、ウイルスによって引き起こされる深刻な感染症で、過去に多くの死者を出しましたが、現在はワクチンによって根絶されています。医学や歴史の文脈で使われる専門用語です。
私は女性が男性より道徳的だという考えにはまったく同調しません。|どうちょう|他の人の意見や考えに賛同して同じ立場をとること。また、周りに合わせること。
私は娘を抱っこした|だ|主に小さな子供を腕で包み込むようにして持つことです。赤ちゃんや幼児に対して使う優しい言葉です。
私は寒がり屋だから、ミネソタで暮らすのは辛かった|つら|毎日を過ごすこと、または生活することを意味します。生活の様子や場所に関して使われる幅広い動詞です。
私は岸辺で美しい貝殻を見つけた。|み|「殻」は、硬い外側の覆いのことです。卵の殻、貝殻、カニやエビの殻、木の実の殻、あるいは機械や体の外郭を指します。比喩的に「殻を破る」のように、自分の内側に閉じこもった状態から抜け出す意味でもよく使われる、日常的な言葉です。
私は市民オーケストラに属しています。|ぞく|国家や社会を構成する一般の人々を指します。政治や社会の文脈で使われることが多く、やや硬い響きのある漢語です。
私は幾度も彼女の夢を見ました|み|「幾度」は「いくたび？」または「いくど」と読み、物事が何度も繰り返されることを表す副詞的表現です。「幾度となく」「幾度も」の形で「何度も、繰り返し」という意味になります。文語的で少し格調高い響きがあり、日常会話では「何度も」の方が一般的です。手紙の書き出しやスピーチ、物語などややフォーマルな文脈で使われることが多いです。
私は彼に何といったら良いか分からなかった。|わ|海に生息する軟体動物で、食用として広く親しまれています。イカそうめんやイカの刺身など、日本料理では欠かせない食材です。
私は彼に損害賠償を要求した。|ようきゅう|損害を与えた人がその損害を金銭などで埋め合わせること。法律用語で、事故や契約違反など様々な場面で使われます。
私は彼の人格を尊敬しています。|そんけい|「尊敬」は、人の優れた人格や業績などを認めて、敬いの気持ちを持つことを意味します。目上の人や能力のある人に対して使われることが多いですが、立場に関係なく、価値ある行動に対して感じることもあります。「尊敬する」という動詞形でよく使われ、先生や両親、偉人などに対して用います。
私は彼の意見を受け入れました。|うけい|ある事柄について自分が考えることや感じることを述べたものです。会議や討論、日常会話など幅広い場面で使われる基本的な言葉です。
私は彼の成功を確信しています。|かくしん|「成功」は、目標としていたことを達成することを意味します。仕事や勉強、人生の様々な場面で使われる基本的な言葉です。反対語は「失敗」です。大きな目標から小さな目標まで幅広く使われます。
私は彼の要望に応じました。|おう|物事の最も重要な部分や中心となる点を指します。扇子の要（かなめ）が起源で、そこから「肝心な点」の意味に転じました。
私は彼女とは何ら面識もないので、彼女の能力を知る由もありません。|よし|否定や疑問の文脈で「少しも」「まったく」という意味を強める副詞です。「何ら問題ない」「何らの影響もない」のように使われ、硬い文章や改まった会話で用いられます。
私は彼女の美しさにうっとりした|うつく|「うっとり」は、美しいものや素晴らしいものに心を奪われて、夢中になる様子を表す副詞です。音楽や景色、芸術作品などに感動した状態を表します。
私は彼女の言葉に傷付きました。|つ|傷とは、皮膚や物体の表面にできた損傷や割れ目を指します。心の傷（トラウマ）という比喩的な使い方もされます。
私は心身共に疲れていました。|つか|心と体の両方を合わせた概念を指します。健康や発達について語る時に、両方の側面を含めて使われる言葉です。
私は択一問題が得意だ|とくい|複数の選択肢の中から一つだけを選ぶことを指します。試験問題の「択一式」（multiple choice）という形でよく使われます。
私は損害を弁償した。|べんしょう|「弁償する」は、他人に与えた損害や損失に対して、金銭や品物で補償することを意味します。過失で壊したものなどを「弁償します」と言う場面で使います。
私は数学が不得意です。|ふとくい|あることに対して苦手であること、上手くできないことを意味します。得意の反対語です。
私は旅行のたびに、絵葉書を買います|か|文章や本の中の一続きの文字列を指す言葉で、縦書きの文章では横の列を、横書きでは縦の列を意味します。
私は早朝のジョギングを日課にしています。|にっか|「日課」は、毎日決まって行う習慣的な活動を指します。朝のジョギングや読書、日記をつけることなど、個人のルーティンとして定着しているものです。
私は昨日解雇した３人の従業員の埋め合わせをしなければならない。|うめあ|埋め合わせは、不足や損失を補うこと、または相手に迷惑をかけたお詫びとして何かをすることです。ビジネスや日常会話でよく使われます。
私は朝、トーストにバターをたっぷり塗るのが好きです。|す|壁や紙などの表面に色や液体を薄く広げて付けることを表します。ペンキ、化粧品、薬など、さまざまなものに使います。
私は木造の家屋が好きです。|す|人が住むための建物を指す、やや改まった言い方です。「家」よりも客観的・事務的な響きがあり、不動産や登記、保険、税務などの場面でよく使われます。物理的な建造物としての側面が強い言葉です。
私は毎日寝る前に入浴します。|にゅうよく|「入浴（にゅうよく）」は、湯船につかって体を洗い清めることを意味する名詞・動詞（「入浴する」）です。日本では文化的に重要な習慣で、単に体を洗うだけでなく、リラックスやリフレッシュの目的も兼ねています。「お風呂に入る」の方が口語的で、「入浴」はややフォーマルです。
私は民族の歴史に興味があります。|きょうみ|「民族」は言語や文化、歴史などを共有する人々の集団を指します。国籍（国家の構成員）とは異なり、血縁や文化的な共通性に基づく概念です。社会学や人類学、歴史学などの分野で重要な用語です。
私は無意識に彼を傷つけてしまった。|きず|広く使われる最重要語の一つ。1) 目が覚めている状態（意識を失う）、2) ある物事に対する認識・注意（環境意識、安全意識）、3) 自覚的に何かをしようとすること（意識して練習する）。現代思想や心理学の影響で、自己意識や社会意識など複合語も非常に多い。
私は猫舌で熱いスープが飲めません|の|「猫舌」は熱い食べ物や飲み物をうまく食べられない体質のことを指すユニークな日本語表現です。実際に猫の舌が熱さに弱いと言われていることから来ています。比喩的な表現で、日常会話で気軽に使われるカジュアルな言葉です。
私は玉ねぎが嫌いです。|きら|「玉ねぎ」は、料理に欠かせない代表的な野菜の一つです。辛味と甘味があり、生でサラダに、炒めてカレーや炒め物に、煮込んでスープにと、調理法が非常に多彩です。切ると目に染みる成分（催涙成分）があることで有名で、日常会話でもその話題がよく出ます。和食・洋食・中華と幅広い料理に使われる身近な食材です。
私は理由がある事無く、彼女が大好きです。|だいす|物事の筋道や道理、正しい道理のことです。自然科学の分野では「原理」や「法則」という意味でも使われます。
私は病気の友達に元気になってほしいです|げんき|「病」は病気や疾患を指す文語的・簡潔な表現です。「病気」より短く、力強い響きがあります。複合語として「持病」「悪病」「難病」などの形でよく使われ、書き言葉や堅い表現で好まれます。
私は相撲部屋に入門しました。|にゅうもん|「相撲」は、日本の伝統的な格闘技で、二人の力士が土俵の上で組み合い、相手を倒すか土俵の外に出すかを競う競技です。国技として親しまれ、日本の文化や習慣と深く結びついています。
私は知識はあれども学才がなく、今後学問の世界でやっていけるとは思えない。|おも|体系的な知識や理論を研究・学習する営み全般を指します。学校での勉強だけでなく、学術的な探求や研究そのものを表すやや格式高い言葉です。
私は空を見上げたの|みあ|目上の人や上司、地位が上の人を指す言葉です。職場や社会の上下関係を表す時に使われ、丁寧な表現です。
私は窓際の席をお願いしました|ねが|「窓際」は、窓のすぐそばの場所を指します。電車やバス、教室やオフィスなどでの位置を表すときに使われます。「窓際族」という言葉では、会社で重要な仕事から外された社員を指すこともあります。
私は立ち上がるのがしんどいです|たちあ|肉体的・精神的に疲れる、面倒だ、大変だという意味の口語的な形容詞です。関西方言から全国に広がった語で、仕事や人間関係の疲れなど、幅広い「きつい」状況を表現できます。
私は緑豊かな場所が好きです|す|草木がたくさん生い茂って緑が多い様子を表します。公園や田舎、森林などの自然環境を描写するときに使われる、ポジティブで美しい印象の言葉です。
私は老婆心からいっているんだ。|ろうばしん|年配者の親切心や、余計なお世話かもしれないが心配だから言っておく、という含みを持つ言葉です。自分の助言が余計かもしれないと謙遜しながらも、親切心から助言する時に「老婆心ながら」という形でよく使われます。
私は自分の名誉がかかっていると感じた。|かん|「名誉」は、社会的に高い評価や尊敬を得ること、またはそれを守るための誇りを意味します。個人の評判や品位に関わる概念で、フォーマルな場面で使われることが多いです。「名誉を傷つける」「名誉挽回」などの慣用表現も豊富です。
私は興奮して固唾をのんだ。|かたず|緊張や興奮で思わず息を呑み、口中にたまる唾のこと。主に「固唾を呑む」という慣用句で使われ、勝負や見せ場の直前の緊張感を表します。
私は西洋の建築に興味があります。|きょうみ|「建築」は、建物を設計し建てる行為や、その技術・分野を指します。「建設」よりもデザインや構造に重点があり、専門的でフォーマルな語です。建築家の仕事や建物の様式について話す時に使われます。
私は誤りを指摘されて決まり悪い思いをした。|おも|「決まり悪い」は、失敗や失態の後で居心地が悪く、気まずい思いをすることを表す形容詞です。「恥ずかしい」よりもやや軽いニュアンスで、照れや気まずさの感情に焦点があります。口語的で、日常会話で自然に使われる親しみやすい表現です。「決まり悪そうに」「決まり悪げに」のような副詞形でも使います。
私は貧しい農民に過ぎない。|す|「貧しい」は、お金や物が不足していて生活が苦しい状態を指します。経済的な意味だけでなく、「才能が貧しい」「想像力が貧しい」のように、何かが不足しているという比喩的な意味でも使われます。
私は販売促進の予算を組まなければなりません|く|「促進」は、物事の進行や発展を早めることを指します。ビジネスや政策、経済などの分野でよく使われるフォーマルな言葉です。「販売促進」「成長促進」のように、目的を達成するための積極的な働きかけを表します。
私は趣味と実益を兼ねてイラストを描いています。|えが|文章や広告などを補足するために描かれる挿絵や絵のことです。写真とは違い、手描きやデジタルで描かれた図や絵を指します。
私は身軽に旅行するのが好きです|す|「身軽」は、体にまとっているものが少なくて動きやすいこと、または比喩的に責任や義務が少なく自由な状態を指します。身体的な軽やかさと精神的な自由の両方のニュアンスがあります。
私は週に3本洋画を見ます。|み|西洋の絵画、または海外で制作された映画を指します。文脈によって意味が異なります。
私は部下を信頼しています。|しんらい|相手を信じて任せられるという気持ちや関係のことです。長い付き合いや実績を積み重ねることで生まれます。
私は都営住宅に住んでいます|す|「都」は、国の政治の中心となる都市、すなわち首都を指す名詞です。日本では特に「東京都」を指すことが多いですが、歴史的には「京都」も「都」と呼ばれました。また、比喩的に「花の都」「夢の都」のように、華やかな中心地を表すこともあります。
私は銀行員です。|ぎんこういん|文章や本の中の一続きの文字列を指す言葉で、縦書きの文章では横の列を、横書きでは縦の列を意味します。
私は風呂場で歯を磨きます。|みが|家の中で風呂に入るための部屋。浴室より日常的な言い方。主に在宅の浴室を指す。
私は黄昏の海が大好きです|だいす|日が沈んだ後の薄暗い時間帯を指す、美しい響きのある言葉です。夕暮れ時を詩的・文学的に表現するときに使われます。
私個人の生活についてとやかくうるさくいうのはやめてください。|せいかつ|「個人」は、集団や組織に対して、一人ひとりの人間を指す言葉です。「個人の権利」「個人の意見」のように、集団とは別の独立した存在としての人を強調するときに使われます。
私兵|しへい|「私兵」は、国家や公的機関ではなく、個人や私人が組織して所有する軍隊を指します。歴史的には戦国武将などが持っていた兵力を指すことが多く、現代ではテロ組織や私設軍隊などに対して使われることがあります。
私刑|しけい|国家の裁判によらず、集団や個人が独自の正義で行う制裁や処刑を指す重い語です。歴史上のリンチを指すほか、ネット上の炎上を「デジタル私刑」と呼ぶなど現代の比喩にも使われます。
私利私欲|しりしよく|「私利私欲」は、自分の利益や欲望だけを追求するさまを表す四字熟語です。「私利」は個人的な利得、「私欲」は個人的な欲求を意味し、合わせて「自分のことしか考えない」という強い批判的なニュアンドを持ちます。ビジネスや政治の場で、倫理観の欠如を指摘する際によく使われます。「私利私欲のために動く」「私利私欲に走る」のような形で用います。
私怨|しえん|「私怨」は、個人の感情に基づく恨みや遺恨を指します。仕事や人間関係の中で、個人的な理由で相手を嫌ったり憎んだりする感情を表します。フォーマルな語で、ニュースやビジネスの文脈で使われることが多いです。
私情|しじょう|「私情」は、個人の感情や個人的な思いを指します。「私情を挟む」の形でよく使われ、公私混同せずに公平であるべきだという日本的な価値観を反映しています。
私憤|しふん|
私有|しゆう|「私有」は、個人や私的な団体が所有権を持つことを意味します。公有や共有とは対照的な概念で、財産や土地、会社などに対する私的な所有権を強調します。法律や経済の文脈でよく使われるやや硬い表現です。
私服警官|しふくけいかん|制服ではなく私服で勤務する警察官のことです。主に捜査や監視などの目的で、一般市民に警察官と気付かれないように活動します。
私服警官が終始大統領の身辺を固めていた|かた|制服ではなく私服で勤務する警察官のことです。主に捜査や監視などの目的で、一般市民に警察官と気付かれないように活動します。
私案|しあん|「私案」は、個人が自分で考えた案や計画を意味します。公式なものや組織としての見解ではなく、あくまで個人レベルの提案であることを示します。
私淑|ししゅく|「私淑」は、直接指導を受けたわけではないが、その人の考え方や業績を深く敬愛し、心の中で師と仰ぐことを意味します。尊敬する学者や作家などに対して使われます。
私物|しぶつ|個人が所有している品物や持ち物のことを指します。会社や公共のものと区別するときに使います。
私生児|しせいじ|「私生児」は、婚姻関係にない父母から生まれた子供を指す言葉ですが、現代ではこの言葉は差別的なニュアンスが強く、公的な場ではほとんど使われません。法的にも「嫡出子」に対する「非嫡出子」という用語が公式です。小説や歴史的な文脈では出会うことがありますが、実際の会話や文章で使う際には、その言葉が持つ差別的な含意に十分注意する必要があります。N1学習者としては、理解しておくべきですが、積極的に使うべきではない言葉です。
私用|しよう|個人の用事や私的な目的で使うことを指します。会社や公共のものと区別するときによく使われる言葉です。
私用で出かけなければなりません。|で|文語的な接続助詞で、ある動作が完了すると同時に次の動作が起こることを表す。「〜するとすぐに」という意味。
私立|しりつ|民間の団体や個人が設立・運営する学校や施設を指します。公立と対比される概念で、独自の教育方針を持つことが多いです。
私腹|しふく|「私腹」は、公の立場にある人が自分の利益のために不正に金品を得ることを意味する名詞です。「私腹を肥やす」という慣用句でよく使われ、ネガティブな意味合いが強いです。
私語|しご|授業や会議などの公の場で、許可なく内緒話や雑談をすることです。規則やマナーに反する行為として注意されることが多いです。
私財|しざい|個人が所有する財産や資産のことを指します。会社や団体の財産と区別して使われる言葉で、ややフォーマルな場面で用いられます。
私費|しひ|個人自身が負担する費用を意味します。公費や会社の経費と対比して使われる、ややフォーマルな言葉です。
私達は忙しくて猫の手も借りたいくらいだ。|か|非常に忙しくて、誰でもいいから手伝ってほしいほど余裕がない状況を表す慣用句です。猫の手は役に立たないという前提から来ています。
私鉄|してつ|民間企業が運営する鉄道路線のことを指します。旧国鉄以外の鉄道会社が該当します。
秋は行楽にいい季節ですね。|きせつ|
秋分の日|しゅうぶんのひ|「秋分の日」は、日本の国民の祝日の一つで、毎年九月二十三日ごろにあります。昼と夜の長さがほぼ等しくなる秋分の日を祝い、祖先を敬い、亡くなった人をしのぶ日とされています。
秋田県|あきたけん|日本の東北地方にある県の一つです。秋田犬や米どころとして有名です。
科す|か|罰金や刑罰などを課すことを意味する動詞です。特に「罰金を科す」「税金を科す」などの形で、金銭的な負担や制裁を公式に課す場面で使われる硬い表現です。
科学技術は目覚しく進歩しているの|しんぽ|「術」は物事を達成するための方法・技術・手段を意味します。武術や芸術のように体系化された技術から、生き延びる術のような日常的なノウハウまで幅広く使われます。漢字の「術」は「技」よりも体系的で洗練されたニュアンスがあります。
科学的な見地から考えてみましょう|かんが|弓矢の練習などで狙う目標のことです。また、比喩的に目標や目的を指すこともあります。
科目|かもく|「かもく」と読み、学校で学ぶ個別の教科や、試験などの区分された項目を意味します。数学・国語・英語などの「教科」に近いですが、より細かな分類にも使われます。
秒殺|びょうさつ|「秒殺」は、一瞬で相手を倒すことや、ゲームなどで瞬時に勝利することを意味する俗語。主にゲームや格闘技の文脈で使われる。カジュアルで、やや若者言葉。
秒読み|びょうよ|打ち上げや開始などの最終段階で秒単位でカウントダウンすることを指します。比喩的には、物事の最終段階に入っている状態を表します。
秒針|びょうしん|時計の文字盤で秒を示す細長い針。時針・分針とともに時計の三つの針の一つで、最も細く速く動く。
秘める|ひ|
秘伝|ひでん|「秘伝」は、特定の家系や流派でのみ代々伝えられる秘密の技術・製法・知識を意味します。「秘伝のタレ」が代表的な用例で、公開されていない特別なノウハウを指します。
秘匿|ひとく|情報や存在を公式に隠すこと、または秘密にすることを意味するフォーマルな言葉です。特に法律やビジネスの文脈で、意図的に情報を公開しない行為を指します。
秘匿特権|ひとくとっけん|「秘匿特権」は法律用語で、特定の職業上の秘密通信を法的に保護する権利を指します。代表的なものに「弁護士‐依頼者秘匿特権」（attorney-client privilege）があります。法律関係の文書やニュースで使われます。
秘宝|ひほう|秘密にされている貴重な宝物や、非常に価値のあるものを指します。実際の宝物だけでなく、比喩的に文化的・精神的な価値のあるものにも使われます。
秘密|ひみつ|他人に知られたくない事柄。隠している情報や内緒のことを指す。
秘密をばらす|ひみつ|「秘密をばらす」は、人に内緒にしておくべきことを他人に話してしまうことを意味する口語表現です。
秘密を公にする|おおやけ|「秘密を公にする」は、隠されていた情報や事実を一般に公開することを意味します。スキャンダルや内部告発などの文脈で使われることが多く、ややフォーマルな響きがあります。
秘密を漏らしたのは彼です。|かれ|他人に知られたくない事柄。隠している情報や内緒のことを指す。
秘密保持契約|ひみつほじけいやく|機密情報を外部に漏らさないことを取り決めた契約。NDAとも呼ばれる。
秘密保持契約を結んでいるから詳細は書けない|か|機密情報を外部に漏らさないことを取り決めた契約。NDAとも呼ばれる。
秘密基地|ひみつきち|秘密基地とは、他人に知られないように作った自分の隠れ家や拠点を指します。子供の遊びの場や、スパイなどの隠れ家として使われる言葉です。
秘書|ひしょ|「秘書」は、上司や経営者のスケジュール管理や書類作成、電話対応など、業務を補佐する役割を担う人を指します。会社や官公庁などで働く専門職で、ビジネスにおいて重要なポジションです。
秘策|ひさく|秘密の計画や特別な対策のことです。他人には教えていない、勝利や成功のための重要な手段を指します。
秘蔵|ひぞう|「秘蔵」は、貴重な物を人に見せずに大切にしまっておくことを意味します。秘蔵の品や秘蔵のコレクションなど、簡単には人に見せない価値あるものを丁寧に保管するニュアンスです。
秘蔵っ子|こ|
秘術|ひじゅつ|「秘術」は、一般には公開されていない秘密の技術や方法を指します。古来より伝わる秘伝の術や、限られた者だけが知る特殊な技法を意味します。魔法や忍術などの神秘的なイメージが強い言葉です。
秘訣|ひけつ|成功や上達のために必要な、効果的な方法やコツのことです。一般的には知られていない、あるいは経験者だけが知っている特別なノウハウというニュアンスがあります。
秘話|ひわ|一般には知られていない秘密の話や、裏話を指します。
租借する|そしゃく|
租借地|そしゃくち|
租税|そぜい|国や地方公共団体が国民から集めるお金のことです。所得税や消費税など、さまざまな種類があります。
秤|はかり|物の重さを測る道具のことです。台秤、天秤、バネ秤など様々な種類があります。
秤にかける|はかり|「秤にかける」は、文字通りには物の重さを秤で量ることですが、比喩的には複数の選択肢を比較検討することを意味します。特に「損得を秤にかける」のように、メリットとデメリットを天秤にかけて慎重に判断するニュアンスがあります。
称える|たた|人の功績や美徳などを高く評価して褒め称えること。式典やスピーチなど、やや改まった場面で使われるフォーマルな表現。
称す|しょう|名前や称号をつけて呼ぶこと、また自分をそう名乗ることを意味する文語的な動詞です。「自称」「都と称す」のように歴史書や論文で使われます。日常会話では「〜と呼ぶ」「〜と名乗る」を使うのが普通です。
称号|しょうごう|その人の地位や業績を表すために与えられる名称のことです。博士、先生、議員などの正式な呼称を指します。
称賛|しょうさん|人の業績や能力、行いなどをほめたたえること。「称賛に値する」「称賛を浴びる」など、ややフォーマルで格調高い響きがあります。日常の「褒める」より公的・公式な場面で使われます。
移ろう|うつ|「移ろう」は、物事の状態が徐々に変化していく様子を表す文語的な動詞です。特に色や季節、感情、時代などのはかない移り変わりを表現するのに適しており、風情や趣を感じさせる描写に使われます。同じ「変化する」という意味の「移り変わる」よりも短く詩的な響きがあり、俳句や短歌、小説の美しい情景描写で好まれます。現代の日常会話ではほとんど使われず、文学作品での使用が中心です。
移植|いしょく|「移植」は、臓器や組織、植物などを別の場所に移し植えることを指します。医療分野では臓器移植、園芸では苗の移植に使われ、どちらも専門的な響きがあります。
移植性|いしょくせい|
移民|いみん|自分の国を離れて他の国に移り住む人を指します。国際的な人の移動に関する文脈で使われる言葉です。
移管|いかん|「移管」は行政や組織において、管轄・権限・責任を別の機関や部署に移すことを指すフォーマルな用語です。主に公文書やビジネス文書で使われます。
移籍する|いせき|所属していた組織や団体から別の組織へと籍を移すこと。特にプロスポーツ選手のチーム移籍でよく使われる。
移籍市場|しじょう|サッカーなどのプロスポーツで、選手が別のチームに移るための市場のことです。移籍期間中に選手の取引が行われます。
移行|いこう|
移行期|いこうき|ある状態から別の状態へ変わる途中の時期。過渡期と同じ意味で、システム変更や社会変化の文脈でよく使われる。
移譲|いじょう|
移転|いてん|住所やオフィスなどを別の場所に移動すること。
稀有|けう|
程|ほど|物事の程度や限度、範囲を表す名詞です。「ほど」と読み、数量や度合いを漠然と示すときに使います。日常会話から書き言葉まで幅広く用いられます。
程々に|ほどほど|「程々に」は度を越さず、適度な加減で行動することを表す副詞です。「程々にしておく」の形で、やり過ぎを制止する時によく使います。
程なく|ほど|あまり時間が経たないうちに。まもなく。すぐに。
程度|ていど|物事のレベルや度合い、範囲を指します。日常会話からビジネスまで幅広く使われる便利な言葉です。
程度の差はあるにせよ、性差別のない国はないだろう。|くに|「差別」は特定の集団や個人を不当に扱うことを意味します。人種、性別、障害、宗教などを理由にした不公平な扱いを指し、社会的に深刻な問題です。「差別する」「差別的」などの派生語もあります。
程遠い|ほどとお|「程遠い」は、ある目標や状態に達するまでにまだ大きな隔たりがあることを表します。物理的な距離よりも、比喩的に「理想と現実の差が大きい」というニュアンスで使われることが多いです。やや書き言葉的です。
稍あって|やや|少し時間が経ってから。間をおいて。
税に関する新しい法律が定められたぞ。|さだ|国や社会の秩序を維持するために定められた規則の総称です。日常生活からビジネスまで幅広く関係します。
税別|ぜいべつ|「税別（ぜいべつ）」は、表示価格に消費税などの税金が含まれていないことを示す表現です。値札やメニュー、オンラインショップなどでよく見かけます。対義語は「税込（ぜいこみ）」で、日本ではどちらの表示方式か注意が必要です。
税別価格|ぜいべつかかく|「税別価格」は、消費税などの税金が含まれていない価格を表示する際に使われる表現です。日本では、商品やサービスの価格表示に「税込価格」と「税別価格」の二つの方法があり、どちらで表示するかは店舗や状況によって異なります。特に大きな買い物をするときは、税別価格と税込価格の違いに注意が必要です。
税制|ぜいせい|「税制」は、税金に関する制度全体を指します。所得税、消費税、法人税などの仕組みや法律の総称で、政治や経済のニュースでよく使われる専門用語です。
税務署|ぜいむしょ|税金に関する手続きや管理を行う国の行政機関です。
税率|ぜいりつ|「税率」は、税金を計算する際に課税対象額にかける割合や率を指します。消費税や所得税など、様々な税金に適用されるパーセンテージです。経済や政治のニュースでよく登場する重要な用語です。
