販売店|はんばいてん|store, shop
このソフトで画像を合成できます。|こので がぞうを ごうせいできます|Images can be synthesized with this software.
強情な|ごうじょうな|Headstrong / Stubborn (not 頑固)
萌芽|ほうが|Germination / Sprout / Bud
気は心|きは こころ|It's the thought that counts
図柄|ずがら|design, pattern
魅了|みりょう|to charm; to fascinate; to mesmerize
中枢|ちゅうすう|Center / Nucleus / Mainstay / Backbone (of Apple)
疎い|うとい|Distant / Estranged / Disinterested
軟弱外交|なんじゃくがいこう|weak foreign policy, weak-kneed diplomacy
放映する|ほうえいする|To televise / To broadcast on television
根絶|こんぜつ|Eradication / Extermination
重用|じゅうよう|Appointing to a responsible post
衣食足りて礼節を知る|いしょく たりて れいせつを しる|(proverb) the poor can't afford manners; only when basic needs for living are me
砂場|すなば|Sandbox / Sand area
肩を持つ|かたを もつ|To side with / To support
勝ち誇る|ちかちほこる|To triumph / To be elated with success
核心|かくしん|core, heart (of the matter), point, crux, kernel
大体|だいたい|Approximately / About / Just About
地毛|じげ|Ones own hair
吹奏|すいそう|Playing wind instruments
無限大|むげんだい|Infinity
美白|びはく|Whitening
揺らめく|ゆらめく|To flicker / To quiver / To waver / To sway
一報|いっぽう|Information
一段落|いちだんらく|Completing the first stage / reaching a point where one can pause
聡い|さとい|&nbsp;(1) (uk) clever; smart; (2) (uk) sharp (ear, etc.); sensitive; discerning
先刻承知|せんこくしょうち|being already (well) aware
力作|りきさく|1. painstaking piece of work, work of great effort, tour de force, outstanding w
標高|ひょうこう|Altitude
艦長|かんちょう|Captain (Cid! Captain of a warship)
その校舎は夕暮れの中にきらきらと輝いていた。|その こうしゃは ゆうぐれの なかにきらきらと かがやいていた|The school building was a blaze of light in the evening darkness
処罰|しょばつ|Punishment
学位|がくい|Academic degree
半狂乱|はんきょうらん|Half crazed / frantic
立ち込める|ちたちこめる|to hang over; to shroud; to enshroud; to envelop; to screen
後遺症|こういしょう|after-effect /&nbsp;prognostic symptoms
不発|ふはつ|misfire
額|がく|Forehead / Brow
立て篭もる|たて こもる|To barricade oneself in
吊り革|りつりかわ|A strap (to hold onto)
塵取り|ちりとり|A dustpan
突き落とす|きつきおとす|To push over (a cliff, off the train, off the roof etc)
包含的|ほうがんてき|inclusive
先頭に立つ|せんとうに たつ|to take the lead; to lead a group; to be in the vanguard
等身大|とうしんだい|1. life-size, life-sized2. true-to-life, faithful (depiction), realistic
シェア||Market Share
幻滅|げんめつ|Disillusionment
名工|めいこう|Master craftsman / Skillful worker
割り出す|りわりだす|To calculate / To compute / To infer
最近いじめが社会に蔓延っている|さいきんいじめが しゃかいに はびこっている|Recently, bullying is rampant in society
初潮|しょちょう|First menstruation
惨殺(する)|ざんさつする|To murder cruelly / brutally kill
本箱|ほんばこ|Bookcase
逃走|とうそう|Flight / Desertion / Escape
太陽の照り返しが強い。|たいようの りてりかえしが つよい|There's a lot of glare.
腫瘍|しゅよう|Tumor / Growth
潜り抜ける|くぐり ぬける|To go through (door etc) / To pass through / To escape through / To evade (the l
不屈|ふくつ|Persistence / Fortitude
正しく|まさしく|Surely / Certainly / 正に
通信簿。通知簿。通知表|つうしんぼ つうちぼ つうちひょう|学校における児童・生徒の学業成績・行動状況・健康状態、およびそれらに対する所見を記入し、家庭に通知するための書類。通知簿。通知表A report card / 
洗いざらい|あらいざらい|Everything
氷柱|つらら|Icicle / Ice pillar
乞う|こう|To ask / To request / To invite
翳す|かざす|to hold one's hands out (e.g. towards a fire) / to hold up over one's head, to h
大聖堂|たいせいどう|cathedral
こすり合わせる|こすり あわせる|to rub together (e.g. one's hands)彼は両手をこすりあわせた。He rubbed his hands together.
クッションを枕に代用する|を まくらに だいようする|Substitute a cushion for a pillow
手錠|てじょう|Handcuffs
助成する|じょせいする|To subsidize / aid / support
奮い立つ|いふるいたつ|To cheer up
～やしない　Grammar|やしない|Basically is 全然 never X
彼は近世文学を勉強しています|かれは きんせいぶんがくを べんきょうしています|He studies early modern literature
彼女は不満を 2, 3 やんわりともらした|かのじょは ふまんを  やんわりともらした|She made a few mild complaints
びり|びり|last on the list; at the bottom
駆逐艦|くちくかん|destroyer (ship)
花丸|はなまる|encircled flower seal (equiv. of a gold star awarded to children for good work a
堕獄|だごく|going to hell, falling into hell
同盟|どうめい|同じ目的のために協力すること
