操船|そうせん|船を操作・運転することで、専門的でやや硬い用語です。
擬態語|ぎたいご|「擬態語」は音以外の状態や様子を言葉で表現したものです。日本語の豊かな擬音語・擬態語の一部で、例えば「きらきら」（輝く様子）や「のろのろ」（遅い様子）などが該当します。音を真似る「擬音語」と区別されます。
擬装|ぎそう|外見を偽って本来の姿や目的を隠すことを指します。軍事や探偵小説などでよく使われます。
擬音|ぎおん|実際の音を言葉で表現したもので、漫画や文学作品などで使われます。「ドーン」「ザーザー」「ワンワン」などが代表的な擬音語です。擬態語（状態を表す）と区別されることもあります。
擲弾|てきだん|手で投げたり発射したりして爆発させる小型の爆弾のことです。軍事用語で、手榴弾（手投げ弾）やライフルグレネードなどを指します。
擽る|くすぐ|「擽る」は、人や動物の敏感な部分を軽く触れて、笑わせたり痒がらせたりする行為を指します。物理的な擽りだけでなく、比喩的に「心を擽る」（興味を引く）という用法もあります。
攀じ登る|よじのぼ|攀じ登るは「手足を使って苦労して登る」ことを意味する文語的動詞です。「よじ登る」の漢字表記で、日常会話では「よじ登る」とひらがなで書かれることが多いです。困難な状況での登攀をイメージさせます。
攪拌|かくはん|液体や粉などを混ぜ合わせることを意味します。料理や化学実験などで使われる専門的な言葉です。「かき混ぜる」よりもフォーマルで、やや硬い印象があります。ビジネスでは「市場を攪拌する」といった比喩的表現もあります。
攫う|さら|「攫う」は、人や物を強制的に連れ去ることを意味する動詞です。「誘拐する」よりもやや古風または文学的な響きがあり、小説や物語で使われることが多いです。金品を「さらっていく」という比喩的な使い方もあります。
支える|ささ|「支える」は物理的に支える意味から、精神的・経済的に支える意味まで幅広く使います。物理的な支え（倒れないように支える）と抽象的な支え（家族を支える、経済を支える）の両方で使われる重要な動詞です。「維持する」「支援する」に近いニュアンスがあります。
支出|ししゅつ|お金を使うこと、または使った金額。収入に対する言葉で、家計や企業の会計で日常的に使われます。
支局|しきょく|「支局」は、新聞社や放送局、通信社などが主要な拠点以外の地域に設置する地方の事務所や拠点を指します。本社や本局に対して、地方のニュースを取材・発信するための組織です。
支店|してん|「支店」は、本店に対して、同じ会社や銀行の別の場所にある営業所を指します。銀行やチェーン店などでよく使われる語で、ビジネスや日常会話で頻繁に登場します。
支度|したく|支度は、何かをするための準備や身支度を意味します。出かける準備や食事の準備など、日常的な場面でよく使われる言葉です。
支度ができたら出かけましょう。|で|支度は、何かをするための準備や身支度を意味します。出かける準備や食事の準備など、日常的な場面でよく使われる言葉です。
支所|ししょ|「支所」は本所・本庁に対して、管轄区域内の特定地域を担当する出先機関です。市役所の支所や、企業の支店と似ていますが、行政の出先に使われることが多いです。
支持|しじ|意見や立場、人物などに対して賛成し、それを支えることを指します。政治やビジネス、日常生活の様々な場面で使われます。
支持率|しじりつ|特定の人物や政策、組織などに対して、支持する人の割合を指します。主に政治の分野でよく使われる言葉です。
支援|しえん|「支援」は、人や組織に対して、金銭的・精神的・物理的に助けや協力をすることです。ビジネスや国際関係、福祉など幅広い分野で使われるフォーマルな言葉です。
支援団体|しえんだんたい|特定の目的や活動を支援するために組織された団体を指します。非営利団体やボランティア組織などが該当します。
支柱|しちゅう|構造物を支えるための柱のことです。比喩的に、組織や団体を支える重要な人物にも使われます。
支社|ししゃ|「支社」は、本社に対して地域ごとに設置された会社の拠点を指します。「支店」が主に販売・営業を担当する現場拠点なのに対し、「支社」はより管理的・独立的な機能を持ちます。ビジネスシーンで使われるフォーマルな語です。
支給|しきゅう|職場や団体などから、必要な物品や金銭が支給されることです。給与以外の現物支給にも使います。
支那|しな|「支那」は中国を指す古い呼称ですが、現在では差別的な語として認識されており、公の場で使うのは不適切です。歴史的な文献などで見かけることがありますが、通常は「中国」を使います。
支部|しぶ|「支部」は組織や団体の中心から地方に分かれて設けられた下部組織を指します。政党、企業、学会、NPOなど様々な組織で使われるフォーマルな用語で、ニュースやビジネスでも頻繁に登場します。
支配|しはい|他人や組織、地域などを自分の思い通りに統制・管理することを指します。権力や影響力を持つ者が行います。
支障|ししょう|物事の進行や機能に悪影響を及ぼす障害や妨げ。業務や計画のスムーズな遂行を阻害するものを指します。
支離滅裂|しりめつれつ|「支離滅裂」は、話や考え方がばらばらで、筋道が通っていない様子を表す四字熟語です。論理的なつながりがなく、何を言いたいのか分からない状態を批判的に指します。
改まった|あらた|普段のくだけた様子から、正式で堅苦しい態度や雰囲気に変わった状態を指します。場面や言動がフォーマルになった時に使います。
改めて|あらた|もう一度新たな気持ちで行うこと、または最初からやり直すことを意味する副詞です。謝罪や感謝、連絡などを改めて行う場面でよく使われます。
改めてあなたのご意見を聞かせて下さい。|くだ|もう一度新たな気持ちで行うこと、または最初からやり直すことを意味する副詞です。謝罪や感謝、連絡などを改めて行う場面でよく使われます。
改修|かいしゅう|「改修（かいしゅう）」は、建物や設備、システムなどを改良・修理して、より良い状態にすることを指します。「修理」が壊れた箇所を直すことに重点を置くのに対し、「改修」は機能向上や性能改善を含む、より積極的な意味合いがあります。特に「改修工事」という形で、建築やITの分野でよく使われます。
改名する|かいめい|「改名する」は、名前を改めて新しい名前に変えることを意味します。芸能人が芸名を変える場合や、結婚後の姓の変更、会社の名称変更など、様々な場面で使われます。フォーマルな響きがあります。
改善|かいぜん|現在の状態をより良くするために改めることを指します。ビジネスや日常生活で幅広く使われる、非常に一般的な言葉です。
改善　AGAIN|かいぜん|現在の状態をより良くするために改めることを指します。ビジネスや日常生活で幅広く使われる、非常に一般的な言葉です。
改変|かいへん|改変は、物事の内容や形を改めて変えることを意味します。模造品や不正な改造などのネガティブな文脈で使われることが多いですが、単に「変更する」という中立的な意味でも使われます。「改ざん」が不正な改変を特に指すのに対し、改変はやや広い意味を持ちます。
改宗|かいしゅう|信仰している宗教を別の宗教に変えること。キリスト教や仏教などの間での転向を指す硬い言葉です。
改定|かいてい|「改定」は、法律や規則、料金、計画などをより良いものに改めることを意味します。内容的な刷新を伴う「改正」や「改革」と比べて、ある程度既存の枠組みを維持しつつ部分的に修正するニュアンスが強いです。例えば「運賃改定」「給与改定」「計画の改定」など、制度的な変更を伝えるニュースや業務連絡で頻繁に使われます。日常会話というよりはビジネスや公式文書向きの表現です。
改定（する）|かいてい|法律や規則、計画などをより良いものにするために変更・修正することを指します。改正よりも幅広い場面で使われます。
改心|かいしん|悪かった行いや考えを改めて、正しい方向に心を入れ替えることです。
改悛|かいしゅん|「改悛」は、自分の過ちを心から悔いて、態度や行いを改めることを意味する硬い言葉です。特に犯罪や道徳的な過ちに対して使われ、更生や反省のニュアンスが強いです。
改悪|かいあく|「改悪」は、変更や改良を行った結果、かえって以前よりも悪い状態になることを意味します。改善の逆の意味で、制度や法律、サービスの変更が悪影響を及ぼした場合に使われる批判的な語です。
改正|かいせい|法律や規則などの不備を改めて正しく直すことを指します。主に法律や制度に対して使われる正式な言葉です。
改版|かいはん|改版は、出版物やソフトウェアなどの内容を改訂して新しい版を出すことを指します。誤りを修正したり、新しい情報を追加したりする時に行われます。
改竄|かいざん|文書や記録などを不正に書き替えたり、改変したりすることを指す法律用語・ビジネス用語です。常に悪意のある行為に対して使われ、証拠隠滅や不正隠蔽のニュアンスを含みます。
改築|かいちく|「改築」は、建物の構造や間取りを大きく変更して作り直すことを指します。リフォームより規模が大きく、増築や減築を伴うこともあります。
改築する|かいちく|「改築する」は建物の構造やデザインを大きく変える工事をすることを意味します。リフォーム（部分的な修理や改装）よりも大規模な変更を伴い、間取りを変えたり増築したりする場合に使われます。
改組|かいそ|「改組」は組織や団体の構成を再編成することを意味する、ビジネス・行政用語です。会社の部署再編や内閣改造、学会の組織変更など、フォーマルな場面で使われます。
改良|かいりょう|物やシステムをより良くするために修正や改善を加えることです。既存のものをベースに、欠点を直したり性能を上げたりします。
改良された医療技術は、宇宙開発計画の副産物として派生したものの一つである。|ひと|主な生産や活動の過程で一緒にできてしまうものを指す語です。工業製品の副産物という具体的な意味から、努力の結果得られる思いがけない収穫という比喩まで幅広く使えます。文脈によって好意的にも分析的にも使える便利な語です。
改行|かいぎょう|文章を次の行に移すことです。タイピングや文章作成の基本的な操作です。
改装|かいそう|「改装」は、建物や部屋の内装や外観を新しく作り替えることです。リフォームと似ていますが、より大掛かりなイメージです。
改訂|かいてい|「改訂」は、書物や法律、計画などの内容を修正したり、新しくしたりすることを指します。特に教科書や辞書、ルールブックなどに使われます。単なる「修正」よりも、より正式で体系的な見直しのニュアンスがあります。
改造|かいぞう|「改造」は既存の物を壊したり組み替えたりして、形や機能を変えることを指します。「改良」のように単に良くするというより、構造そのものを変更するニュアンスが強いです。車の改造、家の改造、組織の改造など幅広く使われます。
改革|かいかく|「改革」は、制度や組織などをより良い方向に根本的に改めることを意味します。政治・経済・社会など大きな枠組みで使われることが多く、「改善」よりも抜本的で大規模な変更を含みます。カタカナの「リフォーム」も同じ語源ですが、意味が異なります。
攻めあぐねる|せ|「攻めあぐねる」は、攻撃や交渉などで効果的な手が打てずに困り果てることです。
攻めて|せ|「攻めて」は、動詞「攻める」のテ形で、積極的に攻撃する態度や行動を表します。スポーツやビジネスなどで「積極的に攻める姿勢」という意味で使われることが多く、前向きなニュアンスがあります。
攻める|せ|「攻める」は、敵や目標に対して積極的に働きかけることを意味します。戦いやスポーツで使われるほか、ビジネスや恋愛などでも「攻めの姿勢」のように比喩的に使われます。
攻め入る|はい|敵陣や相手の領域に積極的に攻撃を仕掛けて入り込むこと。物理的な戦いだけでなく、議論や交渉でも使われる。
攻め落とす|せめお|「攻め落とす」は、城や陣地を攻撃して陥落させることを意味する戦術用語です。主に戦国時代などの歴史的な文脈で使われ、物理的な攻略だけでなく、困難な壁を打ち破る比喩的な使い方もできます。かなり力強い表現です。
攻勢|こうせい|攻勢は、戦いや競争で攻める側の立場や作戦を指す名詞です。積極的に攻撃を仕掛ける姿勢を表し、ビジネスやスポーツでも使われます。
攻撃側|こうげきがわ|「攻撃側」は、戦いや競技において、攻める立場の側を指します。野球やサッカーなどのスポーツでは攻撃側と守備側に分かれ、ビジネスや議論の場でも使われることがあります。
攻撃性|こうげきせい|他者に対して攻撃的な態度や行動を取ろうとする性質や傾向を指します。心理学や動物行動学の分野で使われることが多い言葉です。
攻略|こうりゃく|「攻略」は、敵陣や困難な対象を攻め落とすこと、または困難な課題に対する効果的な方法を指します。元々は軍事用語でしたが、現代ではゲームの攻略法や問題解決のアプローチなど幅広い場面で使われます。
放ったらかす|ほう|「放ったらかす」は、物事や人を放置して全く構わないことを意味する口語表現です。「放っておく」よりも無頓着さが強調され、やや粗い印象を与えます。親が子供を放ったらかしにする、仕事を放ったらかすなどの使い方をします。
放って置く|お|何かをそのままにしておいて、構わないまたは干渉しないという意味の口語表現です。問題を解決せず放置するニュアンスがあります。
放っぽる|ほ|「放り投げる」の略で、物を粗末に捨てたり、仕事や責任を途中で投げ出したりすることを意味するやや乱暴な口語表現です。
放つ|はな|矢や弾を発射すること、光や匂いを発すること、または自由にすることを意味します。
放り出す|ほうりだ|物を乱暴に投げ捨てることや、途中でやめて投げ出すことを意味します。勉強や仕事を途中で放棄する場合にも使われます。
放り込む|ほうりこ|「放り込む」は、物を乱暴に投げ入れたり、中に入れたりすることを意味します。単に「入れる」より乱暴で無造作なニュアンスがあり、強制的な感じを含むことがあります。比喩的にも使われます。
放る|ほう|「放る」は、手に持ったものを投げること、または物事を途中でやめることを意味します。
放任する|ほうにん|物事を自由に任せて、干渉や制限をせずにそのままにしておくことを意味します。良い意味でも悪い意味でも使われます。
放任主義|ほうにんしゅぎ|
放免|ほうめん|罪や義務から解放すること、または役職を解くことを意味する正式な表現です。
放出|ほうしゅつ|「放出」は「ほうしゅつ」と読み、内部に溜まっていたものを外部に出すこと。エネルギーやガス、在庫品などを放出する意味。
放埓|ほうらつ|「放埓」は節度がなく、勝手気ままに振る舞う様子を表す漢語表現です。特に「放埓な生活」という形で、酒や遊びに溺れただらしない生活態度を批判する際に使われます。やや古風で書き言葉的な表現で、現代の日常会話ではあまり使われません。
放射線学|ほうしゃせんがく|放射線の性質や人体への影響、医療への応用などを研究する医学の一分野です。画像診断や放射線治療が含まれます。
放射能|ほうしゃのう|放射性物質が放射線を出す能力や性質を指します。原子力や医療、科学の分野で使われる専門用語ですが、ニュースなどでもよく耳にします。
放尿|ほうにょう|尿を排泄すること。医学的・事務的な表現で、日常会話では「おしっこ」「排尿」が一般的。
放屁|ほうひ|おならをすること。ガスを体外に排出すること。
放心|ほうしん|ぼんやりと我を失って何も考えられない状態。驚きやショックで呆然とする様子。
放心状態|ほうしんじょうたい|驚きや衝撃で意識がぼんやりとして、周囲に注意が向かない状態。何も考えられず呆けている様子。
放映する|ほうえい|テレビ番組を放送すること。特にテレビで映像を流すことを指す。「放送」とほぼ同義だが、「放映」は特にテレビ映像に焦点を当てる。
放映権|ほうえいけん|「放映権」は、テレビ局などが番組やスポーツ中継などを放送するための権利のことです。特にオリンピックやワールドカップなどの大規模イベントでは、放映権の契約が高額になることで知られています。
放棄する|ほうき|「放棄する」は、権利や財産、責任などを自ら捨てて持たないことにすることを意味します。やや硬い表現で、法律や公的な場面で使われることが多いです。
放水管|ほうすいかん|「放水管」は、水を排出するために設置された管や配管を指します。工場や排水設備などで使われる技術用語で、日常生活ではあまり頻繁に登場しません。
放流|ほうりゅう|「放流」は、水や液体を流し出すこと、あるいは魚や生物を川や海に放つことを指します。ダムの放流や稚魚の放流など、環境や工業の分野で使われることが多いです。
放浪する|ほうろう|「放浪する」は、特定の目的や目的地を持たずに、あちこちをさまよって歩くことを意味します。旅をするというよりは、定住せずに転々とするニュアンスが強いです。
放浪癖|ほうろうへき|「放浪癖」は、一つの場所に留まらず、あちこちを旅して回る習慣や性格的な傾向を指します。定住を好まず、新しい場所へ移動し続けたいという衝動を表しており、ポジティブな冒険心として捉えることもできますが、「癖」という言葉が付くことで、ややコントロールしにくい習性というニュアンスも含みます。バックパッカーや長期旅行者を描写する際に使われます。
放浪者|ほうろうしゃ|「放浪者」は、定住せずにあちこちを旅しながら暮らす人を指します。ホームレスと似ていますが、「放浪者」には自由で束縛されないイメージも含まれます。文学的な響きがあり、小説や詩でよく使われる言葉です。
放火|ほうか|意図的に建物や物に火をつける犯罪行為のことです。
放火魔|ほうかま|「放火魔」は放火を繰り返す犯罪者を指す強いネガティブな言葉です。ニュースや犯罪報道で使われます。
放熱|放熱[ほうねつ]|熱を外部に放出することを意味し、主にエンジニアリングや物理の分野で使われる専門用語です。コンピューターのCPUや電子機器の「放熱」が代表的な用例で、放熱を効率的に行う「放熱板」や「放熱設計」といった形で登場します。日常会話ではあまり使われませんが、家電製品の説明書などで目にすることがあります。
放物線|ほうぶつせん|「放物線」は数学で二次関数のグラフとして現れるU字型の曲線（パラボラ）です。ボールを投げた時の軌道、ヘッドライトの反射鏡の形状など、自然界や工学的にもよく見られる形です。数学の授業や物理の文脈で使われます。
放置|ほうち|
放蕩三昧|ほうとうざんまい|「放蕩三昧」は、酒や女・ギャンブルなどの放蕩な生活にどっぷり浸かっている状態を表す四字熟語です。自堕落な享楽生活を批判的に表現します。
放課後|ほうかご|学校の授業が終わった後の時間を指します。
放送|ほうそう|
放逐|ほうちく|「放逐」は力を用いて外部に追い出すことを意味する、非常に硬い言葉です。政治的な追放やコミュニティからの除名など、強い強制力を伴う場面で使われます。日常会話ではほとんど使われません。
放電|ほうでん|「放電」は、電気が蓄えられた場所から外に放出される現象を指します。雷やスパークなどの自然現象から、バッテリーの電気が減っていく状態まで、幅広い文脈で使われる物理・電気工学の用語です。
政|まつりごと|国や地域を治める政治や統治のこと。古風・漢語的で、現代の「政治」より雅語的な響きがある。
政党|せいとう|共通の政治的理念や政策を持つ人々が集まって結成する団体です。選挙を通じて政権獲得を目指します。
政務官|せいむかん|「政務官」は、日本の中央省庁で大臣を補佐する役職です。各省に複数名置かれ、国会議員が任命されることが多く、国会答弁や政策立案の一部を担当します。
政商|せいしょう|「政商（せいしょう）」は、政治家と結託して事業を進める商人や企業家を指します。政治的なパイプを利用して有利な事業を得るといった批判的なニュアンスを含むことが多く、歴史的には明治から昭和にかけての財閥系企業などに対して使われました。
政変|せいへん|クーデターや革命など、武力や非合法な手段によって政府や政治体制が急激に変わることを指します。選挙による政権交代とは区別され、急激で非合法的な変革を強調します。
政局|せいきょく|
政府|せいふ|「政府」は、国家の行政機関の総称で、内閣や各省庁を含む統治機構を指します。国内政治のニュースや公式発表で頻繁に登場する基本的な政治用語です。「政府の発表によりますと」「政府は対策を検討しています」のように、ややフォーマルな文脈で使われます。
政府は国内産業振興の方策を講じた。|こう|「振興」は、産業や文化、地域などの活動を活性化させ、盛んにすることを意味します。「産業振興」「地域振興」などの複合語で使われ、行政や経済の分野でよく用いられます。
政府は外交に力を入れているの。|い|国や地域を治める政治や統治のこと。古風・漢語的で、現代の「政治」より雅語的な響きがある。
政府は物価の統制を解除した。|かいじょ|「統制」は、組織や集団を一つの方針のもとにまとめて管理・規制することを意味します。
政府は真相究明に乗り出した|のりだ|物事の原因や真相を、徹底的に調べて明らかにすること。事件や事故・病気の原因など、きちんと解明する必要がある深刻なテーマに使われることが多い。新聞記事やニュースの見出しでよく見かける。
政情|せいじょう|政治の情勢や情態を意味します。特に不安定さや変化を含んだ政治状況を指すことが多く、ニュース報道などでよく使われるやや硬めの表現です。
政教分離|せいきょうぶんり|「政教分離」は政治と宗教の分離を意味する法・政治用語です。憲法や政治制度の文脈で使われ、国家が特定の宗教を公認したり干渉したりしない原則を指します。ニュース記事や学術的な議論で頻繁に登場しますが、日常会話ではあまり使いません。
政敵を抹殺しようとする企ては失敗した|しっぱい|徹底的に消し去ること。物理的な殺害から、意見や存在の否定まで強い消去のニュアンスがあります。
政治が腐敗する|ふはい|政治が腐敗するとは、政治家や政府が不正や汚職を行うことを指します。社会や国家の倫理が低下した状態を表す言い回しです。
政治の体制を変える必要があります。|ひつよう|物事の最も重要な部分や中心となる点を指します。扇子の要（かなめ）が起源で、そこから「肝心な点」の意味に転じました。
政治の話となると、彼は誰にも増して雄弁になる。|ゆうべん|国や地域を治める政治や統治のこと。古風・漢語的で、現代の「政治」より雅語的な響きがある。
政治は国民主体であるべきです。|しゅたい|国や地域を治める政治や統治のこと。古風・漢語的で、現代の「政治」より雅語的な響きがある。
政治亡命|せいじぼうめい|「政治亡命」は、政治的迫害や弾圧を避けるために外国に逃れることを意味します。母国で政治的な理由で危険にさらされている人が、他国に保護を求める行為です。国際ニュースなどで使われる深刻なテーマの言葉です。
政治団体|だんたい|「政治団体」は、特定の政治的立場や目的のために活動する組織を指します。政党もその一種ですが、より広い意味で、政治活動を行う任意の団体を含みます。ニュースや公式文書で使われるフォーマルな表現です。
政治家|せいじか|国や地域の政治に携わる人のことを指します。選挙で選ばれた議員や、行政のリーダーなどが含まれます。
政治家は国民のために奉仕すべきだ。|ほうし|
政治離れ|せいじばな|「政治離れ」は特に若い世代が政治に対する関心や興味を失っている現象を指します。選挙の投票率の低下や政治的な話題への無関心など、社会問題として語られることが多いです。新聞やニュースなどでよく見られる複合語です。
政界に入る|はい|政界に入るは、政治家としての活動を始めることを意味します。
政見|せいけん|「政見」は、政治家や政党が政治について持つ意見や主張を指します。選挙の際に候補者が有権者に示す政治方針や政策の考え方を表す、ややフォーマルな言葉です。
政論|せいろん|政治に関する意見や議論、理論のことを指すやや硬い言葉。政治的な主張や評論を意味し、新聞や評論の文脈で使われます。
政財界|せいざいかい|「せいざいかい」と読み、政治界（政界）と経済界（財界）を合わせた概念で、両者を一括して指す言葉です。日本では政財界の癒着や関係性がしばしば話題になります。
故|こ|「故」は、理由や原因を示す漢語表現で、「〜のため」「〜ゆえに」という意味です。書き言葉で使われることが多く、正式な文章やスピーチなどで使われます。日常会話では「だから」「そのため」のほうが一般的です。
故あって|ゆえ|何か特別な事情や理由があって、という意味のやや古風な表現。理由をはっきり言わずに、それとなく事情があることをほのめかす。
故事来歴|こじらいれき|「故事来歴」は、物事の由来や歴史、特に古くからの言い伝えや逸話を含めた背景を指します。神社や寺院などの由緒を説明する時や、文化財の説明などで使われるやや硬い表現です。
故人|こじん|「故人」は、亡くなった人、特に生前に知り合いだった人や話題にのぼる故人を指す言葉です。冠婚葬祭や追悼の場、思い出話などで使われ、敬意を込めて用いられます。「故人を偲ぶ」「故人が遺した言葉」のように使われます。単に「亡くなった人」という事実に加えて、敬意のニュアンスがあります。
故国|ここく|自分が生まれ育った国、祖国。やや文学的な表現で、日常会話では「母国（ぼこく）」や「出身国（しゅっしんこく）」の方が一般的。故郷を遠く離れて懐かしむ文脈でよく使われる。
故意に|こい|「故意に」は、わざと、意図的に行動することを意味する副詞です。法律用語として「故意」が使われることもあり、偶然や過失ではなく、明確な意図があって行った行為に使われます。ネガティブな文脈で使われることが多いです。
故買|こばい|
故郷|こきょう|生まれ育った土地や、心のよりどころとなる郷里のことです。
故障する|こしょう|「故障する」は、機械や装置が正常に動かなくなることを意味するサ変動詞です。車やパソコン、家電製品など幅広い機器に使われます。日常会話で非常によく使われる実用的な語です。
敏感な|びんかん|「敏感な」は、外部からの刺激や変化に対して、反応が鋭いことを意味する形容動詞です。肌の敏感さ、政治的な敏感さ、価格への敏感さなど、様々な対象に対して使われます。
敏捷|びんしょう|「敏捷」は、心身の動きが素早く機敏な様子を表す漢語です。動作の速さだけでなく、頭の回転の速さにも使われます。
敏腕|びんわん|
敏腕を振るう|ふ|
敏腕家|びんわんか|「敏腕家（びんわんか）」は、才能や手腕に優れている人、特に仕事の能力が高い人を指す言葉です。ビジネスの世界で使われることが多く、「敏腕の弁護士」「敏腕の営業マン」のように「敏腕の〜」として使われることが一般的です。「敏腕家」という名詞形よりも「敏腕な」という形容詞的な用法が多いです。
敏速|びんそく|動きや対応が素早く機敏なことを表す、評価の文脈で使われる硬めの漢字語です。「敏速な対応」「敏速な動き」の形で、業務やスポーツの素早さを称賛するときによく使います。「俊敏」とほぼ同義の仲間です。
救世主|きゅうせいしゅ|「救世主」は、人々を苦しみや困難から救う存在を指します。宗教的にはキリストなどの救済者を指しますが、日常的には比喩的に、危機的な状況を救った人物に対して使われます。
救出|きゅうしゅつ|危険な状況や閉じ込められた場所から人を助け出すことを意味する名詞・動詞です。災害や事故の場面でよく使われます。
救出（する）|きゅうしゅつ|危険な状況や閉じ込められた場所から人を助け出すことを意味する名詞・動詞です。災害や事故の場面でよく使われます。
救助|きゅうじょ|救助は、危険な状態にある人を助け出すことを意味します。災害や事故の文脈でよく使われます。
救助隊|きゅうじょたい|「救助隊」は、災害や事故で危険な状況にある人々を救出するために組織されたチームを指します。消防署の救助隊、山岳救助隊、海上保安庁の救助隊など、専門的な訓練を受けたメンバーで構成されています。
救命〜|きゅうめい|「救命〜」は、生命の危険がある状態から人を救うことに関連する接頭語です。「救命胴衣」「救命ボート」のように複合語を作ります。
救命いかだ|きゅうめい|
救援|きゅうえん|「救援」は、危険や苦難に遭っている人々を助けることを意味します。特に自然災害や事故の文脈で使われるフォーマルな言葉で、「救援隊」「救援物資」「救援活動」のような複合語でよく見られます。
救援隊は子供をしらみつぶしに捜した。|さが|「救援」は、危険や苦難に遭っている人々を助けることを意味します。特に自然災害や事故の文脈で使われるフォーマルな言葉で、「救援隊」「救援物資」「救援活動」のような複合語でよく見られます。
救済|きゅうさい|「救済」は、困難な状況にある人や組織を助けて、その状態から救い出すことを意味します。法律や経済、社会的な文脈で使われることが多く、ややフォーマルな響きがあります。例えば「貧困救済」「債務者救済」などの複合語で用いられます。
敗れる|やぶ|「敗れる」は、戦いや勝負に負けることを意味します。試合や選挙、戦争など、競争や対立の場面で使われます。また、期待や計画が実現しないという意味でも使われます。
敗北や失敗は人間を非常に卑屈にする。|ひくつ|「卑屈」は、自分を過度に低く見積もって、相手に媚びるような態度を取ることを指します。必要以上にへりくだったり、自分の意見を主張しなかったりする様子に使われ、ネガティブな評価です。
敗戦|はいせん|「敗戦」は、戦争や試合に負けることを意味します。特に「戦争に負ける」という意味で使われることが多く、日本では第二次世界大戦の敗戦を指して「敗戦」という言葉が歴史的に重要な重みを持ちます。単なる「負け」よりも、国家的・社会的な規模の敗北を暗示する、重く深刻な響きのある言葉です。
敗残兵|はいざんへい|敗残兵は「戦いに敗れて生き残った兵士たち」を意味します。戦争や軍隊の文脈で使われる軍事用語で、比喩的に敗北した組織の残党を指すこともあります。やや古風な表現で、歴史書や戦記ものに登場します。
敗色濃厚|はいしょくのうこう|
敗血症|はいけつしょう|「敗血症」は、細菌などの感染が血液中に広がり、全身に重い炎症を引き起こす病状です。医療用語で、命に関わる危険な状態を指します。ニュースや医療現場で使われる正式な病名で、日常会話ではあまり使われません。
敗訴|はいそ|「敗訴（はいそ）」は、裁判で訴えた側（原告）または訴えられた側（被告）が不利な判決を受けること、つまり裁判に負けることを指す法律用語です。対義語は「勝訴」です。ニュースなどで訴訟に関する報道を見るときによく登場します。フォーマルな法律用語で、日常生活ではあまり使いません。
敗走|はいそう|戦いや競争に負けて逃げ去ること。惨めに退散するイメージで、軍隊やスポーツチームなど集団に使う。
