釣り糸|りつりいと|Fishing line
三大|さんだい|The big three, eg "big three grand companies"
割合|わりあい|Rate / Ratio / Proportion
涙ながらに|なみだながらに|Tearfully / In tears
間合い|まあい|Interval / Break / suitable time / distance between opponents (kendo)
赤紙|あかがみ|(See 召集令状) draft papers; call-up notice
座学|ざがく|Classroom learning (as contrasted to practical training)
会議で川添さんの追及を受けて冷や汗ものだったよ。|かいぎで かわぞえさんの ついきゅうを うけて やひやあせものだったよ|When Kawazoe pinned me down at the meeting, I broke out in a cold sweat
擬態語|ぎたいご|Word that mimics something that does not make a sound (eg the fluttering of a bu
君が罰をうけるのは筋違いだと思った。|きみが ばちをうけるのは すじちがいだと おもった|We thought it was absurd that you got punished.
一角獣|いっかくじゅう|Unicorn
毛嫌い|けぎらい|Prejudice / Hatred / Hate
無冠|むかん|Uncrowned
棒読み|ぼうよみ|Reading in a monotone / reading a Chinese classical text without translating it 
安堵感|あんどかん|sense of relief; feeling of relief
紀元|きげん|Era / Epoch
疲れ目|れつかれめ|Eye strain
大豆は日本人の食生活に欠かせません|だいずは にっぽんじんの しょくせいかつに かかせません|Soybeans are an essential part of the Japanese diet
都内の大学３校に出願しました|とないの だいがく こうに しゅつがんしました|I applied to three universities in Tokyo
彼は親孝行だ|かれは おやこうこうだ|He is dutiful to his parents
鋭意|えいい|eagerly; earnestly; diligently
果汁|かじゅう|fruit juice
壁画|へきが|Wall painting / Mural
別居|べっきょ|Living apart / Separation
征服|せいふく|To conquer (not 制覇)
転居|てんきょ|Moving / Changing residence
乱闘する|らんとうする|Fighting / Brawling / Scuffle
海溝|かいこう|Ocean trench / Deep
よもや本当であるまい|よもや ほんとうであるまい|Surely it can not be true
出向|しゅっこう|temporary transfer (of an employee); secondment; relocation; loan
花瓶|かびん|Vase
夏ばて|なつばて|Suffering from the summer heat
勝ち組|かち ぐみ|winners (those who have succeeded socially, economically, etc.)
神聖な|しんせいな|Holiness / Sacred
騰貴|とうき|Rise
接続|せつぞく|Connection / Juncture
大小|だいしょう|Size (iknow)
暗闇|くらやみ|Darkness / The dark
屁理屈をこねる|へりくつをこねる|To argue for the sake of, or BSing for the sake of winning an argument. Anything
無数の細胞が人の体を形作る|むすうの さいぼうが ひとの からだを かたちづくる|Innumerable cells form a persons body
不束者|ふつつかもの|Incompetent or inexperienced person
前言撤回|ぜんげんてっかい|taking back what one just said, eating one's words, negating one's previous comm
クスクス||Chuckle / Giggle
観覧車が一番好きです。|かんらんしゃが いちばん すきです|Riding in a Ferris wheel (the big wheel!)&nbsp;is my favorite thing
錨|いかり|Anchor / Cable
遠路|えんろ|long way; great distance
売り飛ばす|うり とばす|to dispose of, to sell off
裕福な|ゆうふくな|Another word for Rich, Wealthy, Well off (Death Note)
勃起|ぼっき|Erection
麦茶|むぎちゃ|barley tea
丸太|まるた|Log
平行|へいこう|Parallel
このメガネをかけると平面が立体に見えます。|このをかけると へいめんが りったいに みえます|When you wear these glasses, two-dimensional things look three-dimensional.
甘噛み　（する）|あまかみする|Play biting
晩餐会|ばんさんかい|Dinner party
目先|めさき|Near future / under ones nose
彼はひょっこり町にやってきた|かれはひょっこり まちにやってきた|He blew into town
結びつける|むすびつける|to combine; to join; to tie on; to attach with a knot; to bind (e.g. an address)
過重|かじゅう|Overweight
傷める|いためる|Damage / Spoil
ヘマ||Blunder / Mistake / Mess
承諾|しょうだく|Consent / Agreement (to getting a divorce!)
常駐|じょうちゅう|Staying permanently / Being stationed / Resident
容認|ようにん|approval
損得|そんとく|Advantage and disadvantage
私有|しゆう|Private ownership
雷鳴|らいめい|Thunderclap / Thunder
照準|しょうじゅん|sight (e.g. of a gun), aim, alignment
作風|さくふう|Style / Manner (of paintings etc)
子供と大人を同列には扱えない|こどもと おとなを どうれつには あつかえない|Children and adults cannot be treated the same way
ほらを吹く|ほらを ふく|To talk big / brag (not 自慢)
恐竜|きょうりゅう|Dinosaur
ぼやく|ぼやく|Another word for &quot;to grumble / to complain&quot;
痙攣 (する）|けいれんする|Cramp / Spasm / Twitch / Convulsion
羽ばたく|はばたく|To flap (wings)
坑道|こうどう|Tunnel / (mine) level
気を許す|きを ゆるす|To let ones guard down
意味不|いみ ふ|ambiguous, cryptic, nonsensical, incomprehensible, perplexing
煎じる|せんじる|to boil, to decoct, to infuse
真実|しんじつ|Reality
再開する|さいかいする|To restart / resume
階級|かいきゅう|Class / Rank / Grade
あの民宿なら、素泊まり５千円だよ。|あの みんしゅくなら すどまり せん えんだよ|That inn is 5,000 yen a night, meals excluded
自分の家は狭いながらも落ち着く。|じぶんの いえは せまいながらも ちおちつく|I find my home comfortable although it is small (狭いけれど)
着任|ちゃくにん|To take up a new post
伴奏|ばんそう|Musical accompaniment
一か八かやってみよう|かいちかばちかやってみよう|I'll give it a try, sink or swim
挙げ句の果て|げのあげくのはて|finally; in the end; on top of all that
担当する|たんとうする|To take charge of (not 受け持つ)
絶えず|たえず|Constantly / Always (iknow)
評価基準|ひょうかきじゅん|Valuation Basis / Appraisal standard
優勢|ゆうせい|Dominant / Superior / Prevailing
耳垢を取って欲しい。|じこうを とって ほしい|I want the wax cleaned from my ears
要害|ようがい|Stronghold / Strategic position
彼の心からの謝意はその一言の中に凝縮されていた|かれの こころからの しゃいはその ひとことの なかに ぎょうしゅくされていた|His heartfelt gratitude was condensed in that one expression
指図|さしず|Direction / Instruction
収集家|しゅうしゅうか|collector
復号化 する|ふくごうかする|To decrypt
一縷の望み|のいちるののぞみ|Gleam (ray) of hope
彼が強そうにしているのは見せ掛けです|かれが つよそうにしているのは せみせかけです|He looks tought but it is all a front (見せ掛け is outward appearance)
迷走|めいそう|Straying / Wandering off course
類似品|るいじひん|Similar goods (eg "games like this one" on Steam)
所得|しょとく|Income / Earnings
間に合わせる|にまにあわせる|Make do
この分では、締切りの期限に間に合いそうもない|この ぶんでは しめきりの きげんに にまにあいそうもない|At the pace we are going, it doesnt look like we'll make the deadline
胎児|たいじ|Fetus / Embryo
着弾|ちゃくだん|Impact (of a projectile)
彼は私のために口添えをしてくれた。|かれは わたしのために くちぞえをしてくれた|He put in a good word for me.
神符|しんぷ|amulet; a charm
世紀|せいき|Century / Hundred
異質な|いしつな|Foreign / Alien
速やかに|すみやかに|Speedily (quite formal)
分解|ぶんかい|Taking apart
付きまとう|つきまとう|To follow around / To shadow / To tag along&nbsp;
百も承知|ひゃくも しょうち|knowing only too well, being fully aware of
稼ぐ|かせぐ|Earn / Make money
応援団が試合を盛り上げたんだ|おうえんだんが しあいを りもりあげたんだ|The cheering squad boosted the excitement of the game.
遅延|ちえん|Delay / Latency (ie train delay)
経由地|けいゆち|Transit point / Transit airport / Connection airport
凝った実装になっています|こった じっそうになっています|Its an elaborate / refined / artistic implementation (Linux timer）
時短|じたん|Shortening of time
努力と運が相まって、合格することができた|どりょくと うんが あいまって ごうかくすることができた|I was able to pass the exam due to both some effort and luck
荷札|にふだ|Tag
素寒貧|すかんぴん|penniless; extremely poor; destitute
まぶた|まぶた|Eyelid
宮殿|きゅうでん|Palace
相互理解は平和を促進する。|そうごりかいは へいわを そくしんする|Mutual understanding promotes peace
叡智|えいち|wisdom; intelligence; intellect
某所|ぼうしょ|Certain place
解凍|かいとう|Thaw / Defrosting / Decompression (on files, again, apparently)
小回り|こまわり|Tight turn / Flexibility / Maneuverability
天王星|てんおうせい|Uranus
収束|しゅうそく|Convergence / Returning to normal / Coming together / Reaching resolution
数値|すうち|Numerical value
熟慮|じゅくりょ|Deliberation
現実味|げんじつみ|Sense of reality
縁側|えんがわ|Veranda / Porch
ヤワ||Poorly built / Weak / Insubstantial
筋肉質|きんにくしつ|1. muscular2. lean (of a company's operations, etc.)
認める|みとめる|To recognise / approve
反感|はんかん|Ill feeling / antipathy
玉ねぎ|たまねぎ|onion
アルカリは酸を中和する。|は さんを ちゅうわする|Alkalis neutralize acids
潜在|せんざい|Dormant / Latent (as well as "potential" as you know)
町はひっそりしている|まちはひっそりしている|All is still [hushed] in the streets
彼の節操のない行動にはあきれた|かれの せっそうのない こうどうにはあきれた|I'm dumbfounded at his unprincipled behavior
供物|そなえもの|offering (e.g. to the gods); votive offering
敗戦|はいせん|Defeat
道化|どうけ|Clownery
潔白|けっぱく|Innocence / Guiltless
消防署|しょうぼうしょ|Fire Station
打ち明ける|ちうちあける|Confide in / reveal
きっちり|きっちり|Another annoying 4 character word meaning "exactly"
引き止める|きひきとめる|detain, hold back
不時着|ふじちゃく|Emergency Landing
似つかわしい|につかわしい|Suitable / Appropriate / Becoming
叩き付ける|きたたきつける|To strike / to throw / to slap something onto
立夏|りっか|夏になる日
感覚|かんかく|Sense / Sensation (think 5 senses)
一旦|いったん|Once / For a while
変色|へんしょく|To change colour
手招く|て まねく|To beckon (wave over)
住み分け|みすみわけ|compartmentalization / segregation / isolation
子供じみた|こどもじみた|childish; child-like; immature; infantile
酸は金属を侵す。|さんは きんぞくを おかす|Acids act on metals
固辞|こじ|firm refusal
機首|きしゅ|nose (of plane)
当たらずといえども遠からず。|あたらずといえども とおからず|Close, but not quite. (lit., Although it is not exactly right, it is not far off
悪人さえも往生するのなら、まして善人はなおさらだ。|あくにんさえも おうじょうするのならまして ぜんにんはなおさらだ|If even a bad person can go to heaven, then a good person has an even better cha
違約金|いやくきん|Penalty for contract breach
刃物|はもの|Edged tool / Cutlery
岐路|きろ|Forked road / Crossroads
横文字|よこもじ|European language / roman letters
女神|めがみ|Goddess
立て直す|てたてなおす|To rally / To reorganize
水晶|すいしょう|Crystal
戦争中、人々は多くの難儀を経験した。|せんそう ちゅう ひとびとは おおくの なんぎを けいけんした|During the war people went through many hardships
断る|ことわる|To reject / refuse
手を打つ|てを うつ|To take measures (in face of anticipated events) / To come to an agreement / To 
追い立てる|いおいたてる|to drive away
斜めに|ななめに|diagonally, obliquely, slantingly, slantwise
歓喜|かんき|Delight / Great joy
とろとろ|とろとろ|Gently / Simmering
才覚|さいかく|Ready wit / quick wits
貯蔵|ちょぞう|Storage / Preservation
境涯|きょうがい|Circumstances / Ones situation or lot in life
知的|ちてき|Intellectual / Mental
道連れにする|みちづれにする|To (make) someone take part in some activity (negatively, ie, Kuja making Zitane
満ち溢れる|みち あふれる|To be full of (confidence?) / To be overflowing with
身を固める|みを かためる|To settle down / To get a steady job / To marry and raise a family
農耕|のうこう|Farming
ザック||rucksack, sack
マグロ||Tuna
堅苦しい|かたくるしい|堅苦しい (かたくるしい) means "stiff," "overly formal," or "rigidly proper." It describes 
身に余る|みに あまる|To be more than one deserves
波長|はちょう|Wavelength （光．音などの）
彼は吹奏楽団に所属しています。|かれは すいそうがくだんに しょぞくしています|He belongs to the brass band
症候群|しょうこうぐん|Syndrome
これからは経営の合理化を図りたいと思います。|これからは けいえいの ごうりかを はかりたいと おもいます|From now on I want to attempt to streamline management.
対等|たいとう|equal (AGAIN)
盛況|せいきょう|Success / Prosperity (seems the play was a success)
処理能力|しょりのうりょく|Throughput
対岸|たいがん|Opposite shore
外気|がいき|Open air
彼女は時機を逸する前に、選挙からおりました。|かのじょは じきを いっする まえに せんきょからおりました|She bowed out of the race before it was too late
マルチ商法|まるちしょうほう|multi-level marketing; MLM; network marketing; pyramid selling
個体|こたい|Solid / Solid Matter
獣|しし|Beast / Animal / Brute
満開|まんかい|Full bloom (sakura)
消耗品|しょうもうひん|Consumable goods
地水火風|じすいかふう|earth, water, fire, and wind (the four elements)
さん付け|さん づけ|attaching the polite suffix "-san" to somebody's name
弱虫|よわむし|Weakling
同一視|どういつし|Put on par with / Regard in the same light as
彼の欠点を数えればきりがない。|かれの けってんを かぞえればきりがない|There are no bounds to his shortcomings
去勢手術|きょせいしゅじゅつ|Castration (operation)
わたしもその方法を踏襲するつもりである|わたしもその かた ほうを とうしゅうするつもりである|I also intend to follow that method
市場占有率|しじょうせんゆうりつ|Market share (long word, not シェア)
砲門|ほうもん|Gunport / Embrasure / Muzzle
彼の言っていることの大方に私は同感である。|かれの いっていることの おおかたに わたしは どうかんである|I am in agreement with most of what he says
活動|かつどう|Action / Activity
料金を前払いする|りょうきんを まえばらいする|Pay a fee in advance
靴擦れ|くつづれ|Shoe sore
換算|かんさん|Conversion (currency) / exchange / translation (numerical)
より良い|より よい|Superior / Better
折り畳み|りおりたたみ|Collapsible
忌む|いむ|to avoid; to refrain from; to shun
神秘|しんぴ|mystery; mysteriousness; secret
目ざとい|めざとい|sharp sighted
乱す|みだす|To disturb / disrupt
ややこしい|ややこしい|Winding / Complicated
滾る|たぎる|To boil / To seethe
規格外品|きかくがいひん|non-standard product; non-standard goods
けりをつける|けりをつける|To bring to an end / To finish / To settle
遺憾|いかん|Regrettable / Unsatisfactory
豆知識|まめちしき|trivia; snippet of knowledge
~てはいられない grammar|てはいられない|can’t afford to; unable to
原動力|げんどうりょく|Driving force (behind a change?) / Motive power
祖母が臨終を迎えた|そぼが りんじゅうを むかえた|My grandmother breathed her last
波型|なみがた|Wavy form / Ripply shape
税別価格|ぜいべつかかく|price without tax included
感想|かんそう|Thought / Impression
点滴注射|てんてきちゅうしゃ|Drip infusion / Drip (hospital)
投げつける|なげつける|To throw at / to throw something at a person
脱税|だつぜい|Tax evasion / Get around paying ones taxes
彼は和洋折衷の家に住んでいる。|かれは わようせっちゅうの いえに すんでいる|He lives in a house built in a semi foreign style
彼は自分の身辺を整理した。|かれは じぶんの しんぺんを せいりした|He put his affairs in order
集団免疫|しゅうだん めんえき|herd immunity
片棒を担ぐ|かたぼうを かつぐ|to take part in (usu. something bad, ie a crime); to be a party to; to have a ha
エール||Yell / Cheerleading shout
英語の教授法に腐心した|えいごの きょうじゅほうに ふしんした|I racked my brains to find the best method of teaching English
気を取り直す|きを りとりなおす|&nbsp;pull oneself together; to collect oneself (after a failure); to regain con
基準|きじゅん|Standard / Criterion
尊敬|そんけい|Admiration
束|たば|Bundle
架かる|かかる|To span / To bridge / To cross / To straddle (multiple buildings, the ladders, f
沈着|ちんちゃく|Composure / Calmness / also "settling or depositing at the bottom of something"
イケてる|てる|(sl) cool; stylish; with-it; turn-on; sexy
この病気は伝染の恐れはない|この びょうきは でんせんの おそれはない|There is no danger of the illness spreading
覚醒剤|かくせいざい|Stimulant (drug kind)
身勝手|みがって|Selfishness / Egoism / Egotism
容量|ようりょう|Capacity / Electrical Capacitance
多様化する|たようかする|To diversify / diversification
早計|そうけい|Over hasty / Rash
枕営業|まくらえいぎょう|trading sexual favours (for career advancement, etc.)
巻頭 「言」|かんとう げん|The opening page　「 Word」
ここから先は緩やかな坂になっています。|ここから さきは ゆるやかな さかになっています|There's a gentle slope ahead.
減らず口|らずへらずぐち|Retort / Backchat / Lip
引き剥がす|ひき へがす|To tear off
この監督の映画はすべて陰鬱にして物悲しい。|この かんとくの えいがはすべて いんうつにして ものがなしい|All of this director's films are gloomy and sad.
相対的に見るとこの国の景気は悪くはない|そうたいてきに みるとこの くにの けいきは わるくはない|The business climate of this country is not bad, relatively speaking
生え抜きの外交官|えはえぬきの がいこうかん|a career diplomat
彼は専ら読書に日を暮らしている|かれは もっぱら どくしょに ひを くらしている|Reading is his exclusive occupation
お御籤を引いたら吉が出た|お みくじを ひいたら きちが でた|I pulled out a fortune card and got "good luck"
どしどし|どしどし|rapidly; one after the other / Constantly / Without hesitation
隣り合わせ|りとなりあわせ|Adjoining
路頭|ろとう|Roadside / wayside
本懐|ほんかい|one's long-cherished desire
鬱憤|うっぷん|Resentment / Grudge / Anger
どぶん|どぶん|(on-mim) plop; splash
回送（する）|かいそうする|Send on / to forward
皆が代わる代わる彼らを祝福したよ。|みなが わるかわるがわる かれらを しゅくふくしたよ|Everyone congratulated them by turns.
容易い|たやすい|Easy / 簡単
来てよかったとつくづく思います。|きてよかったとつくづく おもいます|I really feel that it was good to come.
日本の神社は拝殿と本田とからなっている。|にっぽんの じんじゃは はいでんと ほんだとからなっている|A Japanese Shinto shrine consists of a front shrine and an inner shrine.
可笑しな|おかしな|Ridiculous / Odd
協奏曲|きょうそうきょく|Concerto
巻き戻す|まき もどす|To rewind (a VCR etc)
都会|とかい|City / Town (another, from iknow)
この曲は単調でつまらないな。|この きょくは たんちょうでつまらないな|This tune is monotonous and boring.
彼は自嘲してほほえんだ|かれは じちょうしてほほえんだ|He smiled with self‐mockery
紳士淑女|しんし しゅくじょ|ladies and gentlemen
熱する|ねつする|heat (something)
主|あるじ|Master / Head of household / Landlord / Employer / Host
予断を許さない|よだんを ゆるさない|Cannot foresee
探る|さぐる|To sound out / To look for / To search
取り分|りとりぶん|(Ones) Share / Portion / Part
親睦会|しんぼくかい|Brotherhood
公表する|こうひょうする|Another word for publication
対|たい|Pair (not 組み合わせ)
竜巻|たつまき|Tornado
無為（な）|むいな|Idle, doing nothing, not working etc
塵紙を取ってください|ちりがみを とってください|Please take the tissue paper
軽率な発言はしないよう気をつけなさい。|けいそつな はつげんはしないよう きをつけなさい|Take care not to make flippant remarks.
