皇后|こうごう|天皇の配偶者である女性の称号です。皇室において最も高い地位の女性を指します。
盛り場|ば|「盛り場」は人々が集まって賑わう繁華街や歓楽街を指します。飲み屋や店が立ち並び、夜になると特に活気づくエリアです。「盛り場」は少し古風な響きがあり、現代では「繁華街」「歓楽街」の方が一般的ですが、文学的な表現としても使われます。
盛り込む|もりこ|計画や企画、文章などに要素や内容を積極的に組み入れること。料理に具材を「盛る」からの比喩的用法。
盛り返す|もりかえ|一度落ちた勢いや状態を再び盛んにすること。スポーツや経済など、競争や回復の文脈でよく使われます。
盛る|も|器に食べ物などを山盛りに入れること。また、比喩的に薬などを過剰に入れる意味もある。
盛んな|さか|「盛んな」は、物事が勢いよく行われている状態や、活動が活発であることを表す形容動詞です。イベントや商売、話題などが活況を呈している様子を指し、ポジティブな文脈で使われることが多いです。
盛んになる|さか|活動や状態が活発になり、勢いが増すこと。経済、文化、流行など様々な分野で使われる。
盛大|せいだい|「盛大」は規模が大きく華やかで、勢いのある様子を表します。パーティーや式典、イベントなどが派手で賑やかな場合に使います。ポジティブなニュアンスが強く、祝賀や成功の場面でよく使われます。
盛況|せいきょう|「盛況」は、催しや店などが多くの人で賑わい、活気にあふれている状態を表します。イベントやセール、展示会などの成功を報告するときによく使われる、やや改まった表現です。日常会話では「大盛況」という強調形もよく使われます。
盛装|せいそう|結婚式やパーティーなどの改まった席にふさわしい華やかな服装をすること。フォーマルな場に合わせた正装を意味する。
盛装なさる必要はありません。|ひつよう|物事の最も重要な部分や中心となる点を指します。扇子の要（かなめ）が起源で、そこから「肝心な点」の意味に転じました。
盟主|めいしゅ|「盟主」は、同盟や連合の中で中心的な役割を果たし、他の構成メンバーを率いるリーダーや主導権を握る勢力を指します。国際政治では「地域の盟主」「経済の盟主」のように、特定の地域や分野で圧倒的な影響力を持つ国や組織に対して使われます。ビジネスでも「業界の盟主」のように使われることがあります。やや格式ばった硬い表現で、ニュースや論説記事で見かけることが多いです。
盟友|めいゆう|固い誓いや共通の目的で結ばれた友。単なる友達以上に、苦楽を共にしてきた同志的な関係を指します。政治やビジネス、スポーツなどで、長年の協力関係にある仲間を称える時に使われます。
盟約|めいやく|国や組織の間で交わされる正式な約束や誓約。条約や同盟など、重みのある取り決めを指します。
監守|かんしゅ|施設や人を監視し、守る役割を担う人のことです。刑務所や施設での看守に近い意味ですが、より広く「管理・監督する人」を指します。硬い印象の正式な役職名です。
監査役|かんさやく|会社の業務や会計を監査する役職。会社法で設置が義務付けられている。取締役から独立した立場で、会社運営の適正性をチェックする。
監獄|かんごく|監獄は、刑務所や拘置所など、犯罪者を収容する施設のことを指す硬い言葉です。「刑務所」が一般的ですが、「監獄」はより制度的・歴史的な響きがあります。
監督|かんとく|
監督|監督[かんとく]|組織や作業全体を管理・指導する立場の人や行為を指します。映画や演劇の監督、スポーツチームの監督、工事現場の監督など、幅広い分野で使われる一般的な言葉です。名詞としても、動詞としても使えます。単なる「見張る」ではなく、責任を持って全体を統括するニュアンスがあります。
監禁される|かんきん|自由を奪われて、部屋や建物の中に閉じ込められることを意味します。受身形で使われることが多いです。
監視される|かんし|監視されるは、誰かや何かから注意深く見守られたり、観察されたりすることを受動的に表します。
監視員|かんしいん|混雑や危険を監視する役割の人。プールや美術館などの見張り役。
監視哨|かんししょう|軍事や警備の現場で、周囲を見張るための拠点や配置を指します。見張り台や監視所のような、警戒任務を遂行するための場所です。
盤面|盤面[ばんめん]|将棋や囲碁の盤上の状態を指す言葉で、そこから転じて「状況」や「情勢」の比喩としても使われます。特に将棋ファンやビジネス戦略の文脈でよく見られます。物理的な碁盤・将棋盤の表面という意味と、ゲームの進行状況という両方の意味があります。
盥|たらい|「盥」は昔ながらの円形の洗面器や洗濯用のたらいを指します。プラスチックや木製で、水を溜めて洗い物をするために使われます。現代ではあまり使われなくなりましたが、ことわざ「盥回し」などで耳にすることがあります。
盥回し|たらいまわ|「盥回し」は、上記の意味を持つ日本語の語彙です。この言葉は、日常会話から書き言葉まで幅広い文脈で使われます。
目から鱗が落ちる|お|「鱗（うろこ）」は魚や爬虫類の体を覆う薄い板状の組織を指します。「目から鱗が落ちる」という慣用句でも知られています。
目がちらちらする|め|「目がちらちらする」は、目の前がチカチカしたり、視界にちらつきを感じる状態を指します。疲れ目や光の刺激などが原因で起こります。
目が会う|あ|「目が会う」は、二人の視線が偶然あるいは意図的に交わることを意味します。恋愛の文脈でよく使われる表現で、目が合う瞬間に特別な感情が生まれるニュアンスがあります。カジュアルな会話でよく使われます。
目が冴える|さ|「目が冴える」は、眠くてぼんやりしていた目が、はっきりと覚醒することを表します。コーヒーを飲んだ後や、夜中に急に目が覚めてしまった時などに使います。ネガティブな文脈では「寝る前に目が冴えてしまって眠れない」というように使われます。
目が回る|まわ|「目が回る」は、非常に忙しくて休む暇がないことや、体調が悪くて目がくらむことを表す慣用句です。前者の意味では「目が回るような忙しさ」のように、後者の意味では「目が回って立っていられない」のように使われます。
目が疲れたので目薬をさしたよ。|めぐすり|目の乾燥や炎症、感染症などを治療するために目にさす薬液を指します。
目が覚めているときばかりか眠っているときにもそれが必要だ。|ひつよう|物事の最も重要な部分や中心となる点を指します。扇子の要（かなめ）が起源で、そこから「肝心な点」の意味に転じました。
目が霞む|かす|目が霞むは、視界がぼやけてはっきり見えない状態を指します。加齢や疲れ、病気などの原因があります。また、感動や悲しみで涙がたまって見えにくくなる比喩的な使い方もあります。
目くじらを立てる|た|小さなことにまで細かく文句を言ったり、目を吊り上げて怒ったりすることを指します。
目くるめく|め|「目くるめく」は、美しいものや華やかなものが多すぎて目がくらむような感覚を表します。視覚的に眩しいほど素晴らしい光景に使われます。
目ざとい|め|「目ざとい」は、目が鋭くて小さなものや遠くのものまでも見逃さないこと、または欲しいものや有利な機会をすぐに見つけるずる賢さを表す形容詞です。前者は褒め言葉として、後者はやや皮肉を込めて使われることがあります。また、ちょっとした物音で起きてしまう「眠りが浅い」という意味もあります。
目と鼻の先|さき|非常に近い距離にあることを表す慣用表現です。目と鼻が顔の中で近い位置にあることから来ています。
目に付く|つ|特に注意していなくても、自然と視界に入って気になることを表します。ネガティブな意味でも使われ、「目立つ」よりもやや客観的で、気になってしまう感じが強い表現です。
目に余る|あま|
目に触れる|ふ|自然に目に入ってくる、または誰かの注意を引くという意味の慣用表現です。意図的に見るというより、視界に入るニュアンスです。
目に遭う|あ|好ましくない経験や出来事を自ら経験することを意味します。特に災難や被害に遭う場合に使われます。
目の下の隈|くま|「めのしたのくま」と読み、疲れや睡眠不足によって目の下にできる薄い影やくすみを指します。美容や健康の話題でよく使われる日常表現です。
目の前に子供が飛び出したので思わずクラクションを鳴らした|な|「クラクション」は、自動車の警笛（ホーン）のことを指します。英語の「クラクソン」という言葉に由来する外来語で、注意を促すために鳴らします。マナー違反のクラクションの使い方は「クラクションを鳴らす」と表現します。
目の届く限り|めのとどくかぎ|物や情報が目的地に到達することを意味する動詞です。郵便物や連絡、手が届く範囲など、様々な場面で使われます。
目の当たり|あ|「目の当たり」は実際に自分の目で直接見ることを強調する表現です。「目の当たりにする」という動詞句で使われ、テレビではなく現地で実際に体験したリアリティを伝えます。
目の敵にする|かたき|「目の敵にする」は、特定の人を激しく敵視し、嫌うことを意味する慣用句です。単に嫌いというレベルではなく、その人の存在自体が許せず、何かにつけて敵対的な態度を取る様子を表します。「敵」という言葉が示す通り、かなり強い感情が込められています。
目ぼしい|め|「目ぼしい」は、際立って目立つ、重要である、価値があるという意味の形容詞です。特に「目ぼしい成果がない」「目ぼしい人材」のように、よいものに対して使われることが多いです。
目まいがする|め|「目まいがする」は、体の平衡感覚が失われて、周りが回っているように感じる症状を指す慣用表現です。疲れや病気、ストレスなど様々な原因で起こり、具合が悪い状態を伝える際に使われます。
目まぐるしい|め|「目まぐるしい」は物事が非常に速いペースで次々と変化し、目が回るような忙しさや慌ただしさを表す形容詞です。良い意味でも悪い意味でも使われますが、ややネガティブな忙しさを感じさせる場合が多いです。
目もくれない|め|全く関心を示さず、見向きもしないこと。強い無関心や冷淡さを表す慣用表現です。
目をそらす|め|見たくないものや気まずい状況から視線を外すことを意味する表現です。物理的な視線の移動と、比喩的な「問題から逃げる」意味の両方があります。
目を伏せる|ふ|「目を伏せる」は、恥ずかしさや悲しみ、照れなどの感情から視線を下に向ける動作を指す慣用句です。単に「下を向く」より文学的で繊細なニュアンスがあり、相手から視線をそらす心理が込められています。
目を凝らす|こ|「目を凝らす」は細かいところまでよく見ようと目に力を入れて集中して見ることを意味します。遠くを見るときや、小さな文字や細部を確認するときの動作を描写します。
目を回す|まわ|1) 気絶する・失神する（文字通り目をぐるぐる回す）、2) 驚き呆れる、3) 非常に忙しくて目が回るように忙しい。もともとは「目が回る」（めまいがする／忙しすぎる）という表現の他動詞版。「目を回す」の3の意味はやや方言的か、書き言葉でも使われる。
目を放さない|はな|「目を放さない」は、注意をそらさずにじっと見続けることを意味する慣用表現です。監視する、見守る、集中して観察するといったニュアンスがあります。特に、危険を防ぐためや、大切なものを見失わないようにする場面で使われます。
目を留める|と|「目を留める」は、多くのものの中から特に注意して見ること、または気にかけることを意味します。何かに興味や関心を持ってじっくり見るニュアンスがあります。
目を瞑る|つむ|文字通り目を閉じることと、比喩的に悪いことを見逃す・大目に見るという二つの意味があります。
目を見張る|みは|
目上|めうえ|「目上」は、年齢や地位、経験などが自分より上の人を指す言葉です。職場の上司や先輩、年長者などに対して使われ、日本では「目上の人」に対する敬語や礼儀が重視されます。「上司」より広い意味を持ちます。
目下|もっか|現在、今の時点を意味する副詞的表現です。文章ややや格式ばった会話で使われ、「今のところ」に近い意味を持ちます。
目下 (different reading)|もっか|現在、今の時点を意味する副詞的表現です。文章ややや格式ばった会話で使われ、「今のところ」に近い意味を持ちます。
目付き|めつ|目の表情や目の据え方、視線の様子を指します。人の感情や性格が表れやすい部分で、「鋭い目付き」「優しい目付き」など、形容詞を伴って使われることが多いです。
目元|めもと|「目元」は、目の周りの部分、特に目の形や表情を含めた印象を指します。人の顔の中でも特に印象を左右する部分で、「目元が涼しい」「目元が優しい」などのように、その人の雰囲気を表現するときによく使われます。
目先|めさき|「目先」は目の前の近い場所という物理的な意味と、目前の近い将来という時間的な意味の両方があります。「目先を変える」で気分転換を図るという意味もあります。また「目先が利く」は先見の明があるという意味です。
目処|めど|
目出度し目出度し|めでた|「目出度し目出度し」は、物語の結びで「めでたく終わった」ことを表す伝統的な表現です。おとぎ話の締めくくりで有名です。
目力|めじから|目の表情や視線から感じられる強い意志や迫力を指す比較的新しい和製表現です。「目力が強い」という形で、魅力的で印象的な目を持つ人を褒める時に使われます。
目印|めじるし|ある場所や物を識別するための印や特徴を指します。目的地への道案内や、物の位置を覚えておくための基準として使われます。具体的な物理的印から抽象的な目印まで幅広く使えます。
目安|めやす|「目安（めやす）」は、物事を判断したり評価したりするときの基準やおおよその見当を意味します。正確な数値ではなく、大まかな指標として使われることが多く、「目安箱」という意見箱の意味も元々あります。
目尻|めじり|
目尻を下げる|さ|嬉しそうに目を細めて笑う様子。または異性に対して色目を使うこと。ほぼ肯定的な表情を指します。
目張り|めば|「目張り」は、隙間や目地を塞いで、光や風、虫などの侵入を防ぐことを指します。主に窓や戸の隙間を塞ぐ際に行われ、防寒や防音などの目的で行われます。
目当て|めあ|目標、目的、または行動の基準となるもののことです。ある場所や人を「目当てに」行動するとき、その場所や人が目的であることを表します。
目指す|めざ|目標や目的地を定めて、それに向かって進むことを意味します。具体的な場所から抽象的な目標まで幅広く使われる動詞です。
目掛ける|めが|「目掛ける」は、特定の目標や対象に向かって行動することを意味します。物理的に何かを投げたり向かったりする場合と、比喩的に目標を目指す場合の両方で使われます。日常会話でよく使われる表現です。
目撃する|もくげき|実際に現場で出来事を自分の目で見ることを表すサ変動詞です。事件や事故、珍しい光景などについて話すときに使われます。
目撃者|もくげきしゃ|事件や出来事を自分の目で直接見た人のことです。特に犯罪や事故の場面で、重要な証言が期待される人物を指します。
目新しい|めあたら|「目新しい」は、今までに見たことがなくて新鮮に感じられる様子を表す形容詞です。新しさや珍しさに焦点があり、必ずしも良い意味だけではありません。
目方|めかた|「目方」は、物の重さを指す日常的な言葉です。「体重」は人の重さに特化していますが、「目方」は物体全般の重さに使われます。ややくだけた表現で、正確な計量よりも大体の重さを話題にする場面でよく使われます。
目星|めぼし|目標や目当て、ある程度の見当をつけることを意味します。
目標に向かって行動する|こうどう|文章や本の中の一続きの文字列を指す言葉で、縦書きの文章では横の列を、横書きでは縦の列を意味します。
目次|もくじ|「目次」は、本や書類の最初にあり、各章や項目のタイトルとページ番号を一覧にしたものです。読者が目的の内容をすぐに見つけられるようにするための便利な案内です。
目深|まぶか|帽子や兜などを深くかぶって目が隠れるほどにすること。防寒や素顔を隠す目的で行われます。
目測|もくそく|「目測」は、道具を使わずに目で見て長さや距離を測ること。「目測を誤る」という慣用句でもよく使われ、経験と勘に頼る計測方法。
目玉|めだま|（１）視覚器官としての眼球。（２）イベントや商品の中で最も注目を集める中心的な要素。比喩的な用法が多く使われます。
目玉商品|めだましょうひん|店が客を集めるために特に安くしたり目立つように販売する商品のことです。販売戦略の用語です。
目玉焼き|めだまや|
目的を果たす|は|義務や責任を最後までやり遂げることを意味します。目的を達成する、役割を全うするというニュアンスがあります。
目盛|めもり|「目盛」は、温度計や定規などの測定器具に刻まれた細かい目印を指します。数値の読み取りに欠かせないもので、比喩的にも使われます。
目移り|めうつ|「目移り」は、上記の意味を持つ日本語の語彙です。この言葉は、日常会話から書き言葉まで幅広い文脈で使われます。
目立つ|めだ|周りと比べて特に目に留まりやすい状態を表す自動詞です。良い意味でも悪い意味でも使われます。
目算|もくさん|「目算」は、事前に行う大まかな見積もりや計画を指します。確実ではないが頭の中で立てた予測というニュアンスがあります。
目線|めせん|視線の向き、または物事を見る立場や視点。物理的な視線と比喩的な「視点」の両方で使われる。
目脂|めやに|「目脂（めやに）」は、目頭などにできる分泌物で、いわゆる「目やに」のことです。正式な医学用語としては「眼脂（がんし）」といいますが、日常会話では「めやに」が一般的です。寝起きにできるものは生理的なものですが、量や色によっては病気のサインです。
目薬|めぐすり|目の乾燥や炎症、感染症などを治療するために目にさす薬液を指します。
目覚ましい|めざ|「目覚ましい」は、目を見張るほど素晴らしく、顕著な成果や進歩を評価する時に使われる形容詞です。「目覚ましい成長」「目覚ましい活躍」のようにポジティブな文脈で用います。
目覚まし時計は今やわき役?|やく|合計や総数を表す言葉で、数値を合計した結果を示します。レシートや明細書でよく見かけます。
目覚め|めざ|眠りから覚めること、または新しいことに気づくことを指します。比喩的な使い方も多いです。
目論む|もくろ|目論むは、ある目的を達成しようと計画を立てることを意味します。たくらむようなニュアンスを含むこともあります。
目論見|もくろみ|計画や企て。特に、うまくいけばいいなと期待を込めた計画。少しフォーマルで、ビジネスでも使いますが、日常では「計画」のほうが一般的です。
目配せ|めくば|「目配せ」は、言葉を使わずに目線や目つきで合図を送り合う非言語コミュニケーションを指します。複数人での会話中に、秘密の合図や注意喚起を目線だけで行う場面で使われます。「目配せする」「目配せを送る」などの形で用いられ、暗黙の了解や阿吽の呼吸が感じられる日本的なコミュニケーション手段です。小説やドラマで、登場人物同士の意思疎通を描く際によく登場します。
目録|もくろく|「目録」は、品物や事項を列挙した一覧表を指します。図書館の蔵書目録、商品カタログ、展示品リストなど、様々な分野で使われる正式な文書用語です。また、贈答の際に「お歳暮目録」のように、品物の代わりに品目を記したカタログを贈る習慣にも使われます。日常会話では「リスト」や「カタログ」と言うことが多く、「目録」はややかしこまった表現です。
目障り|めざわ|目障りは、視界に入るものが邪魔で不快に感じることを表します。物理的に視界の妨げになるものから、存在自体が不快で「目ざわりだ」と感じる場合まで使います。ネガティブな感情を率直に表現する言葉で、ややカジュアルな場面で使われます。
目隠す|かく|目を覆って見えないようにすることを意味します。遊びや罰則、またはプライバシー保護のために使われます。
目頭|めがしら|「目頭」は目尻に対して、鼻に近い目の内側の部分を指します。涙が溜まる場所として有名で、「目頭が熱くなる」「目頭を押さえる」などの慣用表現でよく使われます。感動や感慨の表現として用いられます。
目鼻立ち|めはなだ|「目鼻立ち」は顔の造作、特に目・鼻・口などの配置やバランスを指します。「目鼻立ちが整っている」のように使われ、主に顔立ちの美しさについて評価する時に使います。
盲点|もうてん|気づきにくい部分や見落としがちな点を意味します。本来は生理的な視覚の盲点から転じた比喩表現です。
盲目|もうもく|盲目は、目が見えない状態を指す名詞です。また、比喩的に物事の本質を見極められないことや、理性を失っている状態も表します。
盲腸|もうちょう|「盲腸」は、大腸の始まりの部分にある袋状の器官を指す医学用語です。一般には「盲腸炎（虫垂炎）」を省略して「盲腸」と呼ぶことが多く、腹痛を伴う病気として知られています。
直す|なお|「なおす」と読み、壊れたものや悪くなったものを元の良い状態に戻すことを意味します。物の修理だけでなく、間違いを訂正したり、態度や習慣を改善したりする意味でも幅広く使われる重要な動詞です。
直ちに|ただ|「直ちに」は、時間をおかずにすぐに行動することを意味する副詞です。「すぐに」よりもやや硬くフォーマルな響きがあり、ビジネスや公式な文書でよく使われます。
直下|ちょっか|真下。あるもののすぐ下の位置。垂直に落ちること。
直交|ちょっこう|「直交」は、数学や幾何学で二つの線や面が直角に交わることを表す専門用語です。工学や建築の分野でも使われます。
直伝|じきでん|師匠本人から直接教えを受けて技術を受け継ぐことです。「師匠直伝の秘伝」「直伝の型」のように、正統な流派や血筋を強調したいときに使われます。料理、武道、芸能など、伝承の重みが大切な分野で好んで用いられます。
直列|ちょくれつ|
直前|ちょくぜん|ある出来事のすぐ前の時点を指します。時間的な切迫感を伴う表現です。
直向に|ひたむき|
直属|ちょくぞく|直属は、組織において中間管理職などを挟まずに、直接上司や特定の部署に属している関係を指します。「直属の上司」「直属の部下」のように使われ、指揮命令系統が明確で責任の所在がはっきりしている状態を表します。ビジネスや官公庁の組織図において重要な概念です。
直帰|ちょっき|出かけた先から帰宅せずに、直接家に帰ること。特に「会社から直接帰宅する」という意味で使われます。
直径|ちょっけい|直径（ちょっけい）は、円や球の中心を通り、両端が円周に接する直線の長さを指す数学用語です。半径の二倍で、円の大きさを表す基本的な指標です。日常ではパイプや道具のサイズを表すのにも使われます。
直後|ちょくご|直後は、ある出来事が起こったすぐ後の時点を指します。
直情|ちょくじょう|思ったことをすぐに態度や言葉に出してしまう、率直で感情的な性質を指します。「直情径行」という四字熟語でよく使われます。
直感|ちょっかん|「直感」は、論理的な思考や推論を経ずに、瞬間的に物事を感じ取る能力やその感覚を指します。科学的な根拠ではなく、経験や感性に基づく「ひらめき」に近いニュアンスです。良い意味でも悪い意味でも使われます。
直感的|ちょっかんてき|論理や分析を介さず、感覚的に物事を理解したり判断したりする様子を表します。勘やインスピレーションに頼るイメージです。直感的な人は理屈より感覚で動くことが多いです。
直截|ちょくせつ|「直截」は、回りくどい言い方をせず、物事を直接的に表現する様子を表します。単なる「直接」よりも、率直で歯切れの良い印象が強く、言い回しや態度が遠回しでないことを評価する言葉です。ビジネスでは好まれる反面、失礼にならないよう注意も必要です。
直接に|ちょくせつ|間に何も介さずに、じかに何かをすることを表す言葉です。方法や態度について使われます。
直撃|ちょくげき|直撃とは、目標に直接当たることや、被害などが直接的に及ぶことを意味します。ミサイルや台風などの物理的な直撃から、比喩的な使い方まであります。
直方体|ちょくほうたい|すべての面が長方形で囲まれた立体。数学・理科の教育現場や、箱や建物の形を説明するときに使われる基礎用語。
直球勝負|しょうぶ|野球の直球のように、回りくどいことをせずに正面から勝負すること、または率直に取り組む姿勢を指します。ビジネスや人間関係でも使われます。
直立|ちょくりつ|体をまっすぐにして立つこと。姿勢の正しさを強調する。直立不動（少しも動かずに立つ）という形でもよく使われる。
直立不動|ちょくりつふどう|まっすぐ立って全く動かない姿勢を指します。軍隊や学校での気をつけの姿勢、または驚きで固まる様子を表します。
直筆|直筆[じきひつ]|本人が自らの手で書いた文字やサインを指します。複製や印刷ではなく、本人の手によるものという点に価値があります。有名人のサインや書道作品などで「直筆サイン」「直筆の手紙」のように使われます。ファンにとっては貴重なもので、コレクターの間でも重要な価値基準です。
直系|ちょっけい|「直系」は、親子関係が直接つながっている血筋を指します。祖父→父→子のように、一直線の血縁関係を表します。「直系尊属」「直系卑属」という法律用語としても使われます。対義語は「傍系」です。
直結|ちょっけつ|直結は、間に何も介さずに直接つながることを意味します。物理的な配線や接続から、比喩的な「結果に直結する」という使い方まで幅広く用いられます。ビジネスでは「売上に直結する」のように頻繁に使われる重要な表現です。
直腸|ちょくちょう|「直腸」は、大腸の末端部分で、肛門の直前に位置する内臓器官の名前です。医学・解剖学の専門用語で、日常生活で使われることはほとんどありませんが、健康診断や医療の文脈で登場することがあります。特に「直腸がん」「直腸検査」などの医療関連の話題で用いられます。
直行|ちょっこう|途中で立ち寄らずに目的地に直接向かうことを指します。寄り道や回り道をせず、まっすぐに行く行動を表します。
直視|ちょくし|「直視」は、目をそらさずにまっすぐに見つめること、または現実や問題から逃げずに向き合うことを意味します。物理的な「見る」と比べて、心理的な重みや覚悟を伴うニュアンスがあります。
直角|ちょっかく|「直角」は、90度の角度。数学や建築で最も基本的な角度の単位。日常生活でも「直角に曲がる」「直角に交わる」など、正確な垂直・水平を示す表現として使われる。
直訳する|ちょくやく|「直訳する」は、原文の言葉や文法構造に忠実に翻訳することを意味します。意味よりも形式を重視する翻訳方法で、時には不自然な日本語になることもあります。対義語は「意訳する」です。
直訴|じきそ|「直訴」は、通常の手続きや指揮命令系統を無視して、最高責任者や上位の権力者に直接訴え出る行為を指します。歴史的には、江戸時代の百姓一揆における領主への直訴や、明治維新前後の志士たちの活動が有名です。現代では会社の社長宛てに部下が直訴するなどのシーンで使われ、リスクの高い行為として認識されています。成功すれば劇的な変化をもたらす可能性がある一方で、規律違反として処罰されるリスクも伴います。
直談判|じかだんぱん|「直談判」は、代理人や中間者を通さずに当事者同士が直接話し合って交渉することを指します。特に顧客が会社の上層部に直接交渉する場合などに使われます。
直販|ちょくはん|直販とは、メーカーや生産者が小売店を介さずに、直接消費者に製品を販売する方法です。
直通|ちょくつう|途中で止まったり乗り換えたりせずに、直接目的地につながっていることを指します。電車やバスの路線、電話の回線などに使われます。
直進する|ちょくしん|直進するは、まっすぐに進むこと、特に道路を曲がらずにそのまま進むことを意味します。運転中の案内や道案内でよく使われる基本的な表現です。比喩的には、障害物に左右されずに目標に向かって一直線に進む姿勢を表すこともあり、意志の強さや集中力を感じさせます。
