幾日|いくにち|多くの日数、何日も。はっきりとした日数ではなく、かなりの期間を表す。
広汎|こうはん|範囲が非常に広く、様々な領域に及んでいることを表すやや硬い言葉です。日常会話では「広範囲」の方が一般的ですが、「広汎な知識」「広汎な被害」など文章やニュースで使われます。
広範囲|こうはんい|広い範囲や領域にわたることを表す名詞・形容動詞です。物理的な範囲だけでなく、影響や被害の広がりにも使われます。
広背筋|こうはいきん|「広背筋（こうはいきん）」は背中の広い範囲を覆う大きな筋肉で、腕を後ろに引く動作（引き寄せ動作）に関与します。英語ではlatissimus dorsi（通称ラッツ/lats）です。懸垂やローイング系のトレーニングで鍛えられます。
広角|こうかく|カメラのレンズで広い範囲を写せること。風景や集合写真など、広がりを持って撮影したい時に使います。
広辞苑|こうじえん|「広辞苑」は、上記の意味を持つ日本語の語彙です。この言葉は、日常会話から書き言葉まで幅広い文脈で使われます。
広間|ひろま|「広間」は家や建物の中にある広い部屋やホールを指します。特に日本家屋の大きな部屋を指すことが多く、客間や宴会場として使われることが多いです。現代ではホテルや旅館の大広間を連想させる語です。
庄屋|しょうや|江戸時代の農村における村役人の呼称の一つ。村の実質的な代表者で、年貢の取りまとめや村の秩序維持を任されていた。現代では歴史用語としてのみ使われる。同じ意味で「名主（なぬし）」とも言う。
庇|ひさし|窓や出入り口の上に張り出した屋根の部分を指します。日差しや雨を防ぐ実用的な役割があり、比喩的に「人の庇護下にある」という意味でも使われることがあります。
庇う|かば|弱い立場の人や困っている人を守るために、かばったり助けたりすることを意味する動詞です。誰かの味方になるニュアンスが強いです。
庇護|ひご|「庇護」は、弱い立場の人を守り、保護することです。やや硬い表現で、庇護下に入るなどの言い方をします。
床|ゆか|「ゆか」と読み、部屋の足元にある平らな部分を指します。建物の内部の地面部分で、歩いたり物を置いたりする場所です。日常的によく使われる基本的な単語です。
床 not floor, think chinese|ゆか|「ゆか」と読み、部屋の足元にある平らな部分を指します。建物の内部の地面部分で、歩いたり物を置いたりする場所です。日常的によく使われる基本的な単語です。
床がつるつるすべります。|ゆか|「つるつる」は、上記の意味を持つ日本語の語彙です。この言葉は、日常会話から書き言葉まで幅広い文脈で使われます。
床が軋む|きし|古い木造建築などで、床板を踏んだときにギシギシと音が鳴ることを指します。
床ずれ|とこ|「床ずれ」（褥瘡）は、長時間同じ姿勢で寝たきりになることで、体重で圧迫された部分の皮膚が傷む状態を指す医療用語です。
床につく|ゆか|「床につく」は、就寝することを意味する慣用表現です。「床」は「とこ」と読み、寝床を指します。やや文学的な響きがあり、日常会話では「寝る」のほうが一般的ですが、手紙や改まった場面で使われます。
床にペンキをこぼしてしまいました。|ゆか|ペンキは、油性や水性の塗料のことを指す日常的な言葉です。オランダ語由来の外来語で、壁や家具などを塗る際に使われます。
床に洗剤をこぼしてしまいました。|せんざい|洗剤は「汚れを落とすための化学薬品」の総称です。衣料用洗剤、食器用洗剤、洗濯用洗剤など、家庭で使われる掃除用品として日常的に使われる基本的な語彙です。
床上手|とこじょうず|「床上手」は、性的な技術に優れていることを指すやや直接的な俗語です。親しい間柄での会話で使われます。
床屋|とこや|「床屋（とこや）」は、男性の散髪をする理容店のことです。美容院（ヘアサロン）が男女両方を対象とするのに対し、「床屋」は主に男性客を対象とする伝統的な理容店を指します。昔ながらの銭湯や駄菓子屋と並んで、レトロなイメージがあります。「散髪屋」とも言います。
床板|ゆかいた|
序列|じょれつ|「序列」は、ある基準に従って人や物を順番に並べたときの順序や位づけを指します。年功序列、成績順の序列、社会的序列など、上下関係や優劣が明確な場面で使われます。単なる順番ではなく、価値判断や格付けのニュアンスが含まれます。
序文|じょぶん|「序文」は、本や論文の冒頭に置かれる文章で、内容の紹介や執筆の経緯などを述べる部分です。著者自身が書くことが多く、読者に作品への理解や興味を促す役割があります。「はじめに」より正式な響きがあります。
序盤|じょばん|「序盤」は、物事の始まったばかりの段階を指す言葉で、特にゲームや試合の最初の展開を表すのに使われます。将棋や囲碁の用語としてよく知られていますが、ビジネスプロジェクトや研究、小説の執筆など、あらゆる物事の初期フェーズを指すことができます。「中盤」「終盤」と対になる言葉で、全体の流れを三段階で把握する際に便利です。
序章|じょしょう|小説や論文などの本編に入る前に置かれる、前置きや導入部分のことです。物語の始まりを示します。
底|そこ|物の最も低い部分や、容器の下の面を指します。海や川の底、価格や能力の下限などにも使われます。
底をつく|そこ|「底をつく」は、蓄えていたお金や資源、忍耐力などが完全になくなってしまうことを表す慣用句です。容器の底が露出するイメージから来ており「底が見える」とともに「残りわずか」の状態から「つく」で完全な枯渇を表現します。日常生活からビジネスまで幅広く使われ、特に「貯金が底をつく」「食料が底をつく」などの形でよく登場します。限界に達した切迫感を伝える実用的な表現です。
底をつく|底[そこ] を つく|在庫や資金、体力などが完全に尽きてしまった状態を指す慣用句です。容器の底を突いたように、限界まで使い切ったイメージです。ビジネスや日常生活の両方で使われ、特にお金や資源の枯渇を表すことが多いです。
底上げ|そこあ|「底上げ」は全体の水準を底の方から引き上げることを意味します。「学力の底上げ」「賃金の底上げ」のように使い、特に組織や集団全体の最低レベルを向上させる施策を指します。
底力|そこぢから|「底力」は、普段は見えないが、いざという時に発揮される潜在的な力を指します。苦しい状況で驚くような力を出すことを褒める時に使います。
底意地|そこいじ|「底意地」は、表面には表れない内面の本性や、根底にある意地の悪さを指す名詞です。人の性格の奥深くに潜む本質的な性質を表し、特に良くない意味で使われることが多く、「底意地が悪い」などの形で人の本質的な意地悪さを批判します。会話よりは小説や人物描写の文章で使われることが多い、やや文語的な表現です。
底抜け|そこぬ|物理的に底が抜けている状態と、性格などが底抜けに明るいという比喩表現の二つの意味があります。比喩では「底抜けに明るい」のように副詞的に使われ、限界なく明るい様子を表します。
底抜け上戸|じょうご|非常に酒が強く、際限なく飲める人のこと。「底抜け」は底が抜けて無限に入る様子、「上戸」は酒好きを指す。
底知れぬ|し|深さや程度が計り知れないほど大きいことを表す形容詞です。物理的な深さだけでなく、人の能力や物事の奥深さにも使われます。
底辺|ていへん|「底辺」は、図形の最も下の辺という幾何学的な意味に加え、社会や組織の最下層を表す比喩的用法でも使われます。ピラミッド型構造の土台の部分を指し、時に社会的な格差を表現する際にも用いられます。
店に熱帯の果物が並んでいますよ。|なら|木や草になる食用の実。一般的で基本的な語彙ですが、「フルーツ」より和語としての親しみがあります。
店に苦情の電話をかけました。|でんわ|不満や迷惑に感じたことを相手に伝える行為を指します。消費者から企業へのクレームや、近隣間のトラブルなど幅広い場面で使われる、日常的かつフォーマルな言葉です。
店の前に長い行列ができていますよ。|ぎょうれつ|「行列」には二つの意味があります。一つは、人や車が列になって並ぶこと。もう一つは、数学で数字を縦横に並べたものです。日常会話では前者の意味が圧倒的に多く、「行列のできる店」のように使われますが、数学や情報技術の分野では後者の意味も重要です。
店の看板を塗り替えました。|ぬりか|木材などを平らに切ったもの。建材や道具として使われる。また、比喩的に「板の間」などにも使う。
店までの道中も彼女と話したけど…|はな|旅の途中、道すがら。旅の道中の出来事や様子について話すときに使われます。「道中お気をつけて」のような定型表現もあります。
店先|みせさき|店の入り口付近や店の前の場所を指します。
店内改装のため、今月末をもって一時閉店することになりました。|へいてん|「改装」は、建物や部屋の内装や外観を新しく作り替えることです。リフォームと似ていますが、より大掛かりなイメージです。
店内改造につき、しばらく休業いたします|きゅうぎょう|「改造」は既存の物を壊したり組み替えたりして、形や機能を変えることを指します。「改良」のように単に良くするというより、構造そのものを変更するニュアンスが強いです。車の改造、家の改造、組織の改造など幅広く使われます。
店員|てんいん|「店員」は、お店で働いている人のことで、商品の販売や接客、レジ打ちなどを行います。百貨店やコンビニ、スーパーなど様々な店舗で使われる一般的な言葉です。
店員が出て来ないので客はしびれを切らして出て行った|い|「店員」は、お店で働いている人のことで、商品の販売や接客、レジ打ちなどを行います。百貨店やコンビニ、スーパーなど様々な店舗で使われる一般的な言葉です。
店子|たなこ|
店舗|てんぽ|「店舗」は、商品を販売したりサービスを提供するための物理的な店のことを指します。ビジネスや不動産の文脈で使われることが多く、「店舗物件」「店舗経営」のように使います。
店長|てんちょう|「店長」は、店舗の責任者を指します。スーパーやコンビニ、飲食店など、様々な店舗で使われる一般的な肩書きです。社員の中で最も権限があり、スタッフの管理や売上管理、在庫管理などを行います。ややカジュアルな響きがあります。
店開き|みせびら|「店開き」は、新しくお店を始めることや、その日の営業を開始することを意味します。特に「開店」よりも、やや文学的な響きや風情のある表現で、小説やエッセイなどで使われることが多いです。
店頭|てんとう|「店頭」は、お店の入口やショーウィンドウの前など、店の前面部分を指します。「店頭に並ぶ」「店頭で販売する」のように使われます。「ネット販売」と対比される「店頭販売」という使い方が代表的です。
店頭販売|てんとうはんばい|商品を店の陳列棚などで直接販売することを指します。オンライン販売と対比されることが多いです。
府|ふ|「府」は、日本の都道府県のうち、大阪府と京都府の二つを指す行政区分です。歴史的に重要な都市だったことから「府」という名称が使われています。一般的には「県」とほぼ同じ役割ですが、呼称が異なります。
府庁|ふちょう|「府庁」は大阪府や京都府などの「府」の行政機関の本庁舎を指します。県庁（県の役所）と同じ概念で、府の行政の中心となる建物です。ニュースや行政の話題で使われます。
府立|ふりつ|「府立」は、都道府県の一つである「府」（大阪府や京都府など）が設置・運営していることを示す接頭語です。学校や施設の名前に使われ、公立の一種ですが市立や県立と区別されます。
度々|たびたび|同じことが何度も繰り返される様子。「頻繁に」より古風で文語的な響き。手紙や改まった話で使われることが多い。
度し難い|がた|度し難いは、手の施しようがないほどに状況が悪いことや、人が改心する見込みがないことを表します。強い非難の意味を含む表現です。
度合い|どあ|物事の程度や加減を客観的に言い表すための名詞です。「難易度合い」「深刻な度合い」のように、性質の強さを測る・比較するときに使う硬めの語で、レポートや報告書との相性が良い表現です。
度外視|どがいし|
度数|どすう|「度数」は、ある事柄が発生する回数や割合を数値で表したものです。発生頻度の統計や、アルコール飲料の強さ、温度の目盛りなど、様々な分野で使用される汎用的な語です。
度肝を抜く|ぬ|「度肝を抜く」は、あまりの驚きに肝をつぶす、つまり非常に驚かせることを意味する慣用句です。良い意味でも悪い意味でも使われ、予想をはるかに超える出来事に衝撃を受けるニュアンスがあります。カジュアルな会話でよく使われる生き生きした表現です。
度胸|どきょう|「度胸」は、困難や危険な状況でも恐れずに立ち向かう心の強さを指します。「勇気」が理性的・道徳的な意味合いが強いのに対し、「度胸」はもう少し大胆で、どちらかというと感情的に怖がらない性質を表します。
度胸のないやつだな|どきょう|「度胸」は、困難や危険な状況でも恐れずに立ち向かう心の強さを指します。「勇気」が理性的・道徳的な意味合いが強いのに対し、「度胸」はもう少し大胆で、どちらかというと感情的に怖がらない性質を表します。
度重なる|たびかさ|「度重なる」は、同じことが何度も繰り返し起こること。悪いことや好ましくない事態に使われることが多い。やや硬い表現で、報告や謝罪の場面で使われる。
度量|どりょう|「度量（どりょう）」は、心の広さや他人の過ちを受け入れる寛容さを表します。人の器の大きさを測る概念で、「度量が大きい」「度量が狭い」のように使われます。リーダーシップや人間性を評価する際に使われる、品格のある言葉です。
座|ざ|「座」は、座る場所や席、また物が置かれる位置、さらには会合や組織における地位や役割を指します。非常に多義で、様々な文脈で使われます。
座り技|わざ|「座り技」は、合気道や柔道などの武道において、座った状態から行う技の総称です。立った状態で行う技と区別して呼ばれ、主に座礼の姿勢から相手を制する技術を指します。
座卓|ざたく|和室で使う低い机。床に座って使うことを前提としており、脚が短いか、脚がない。茶卓やこたつも座卓の一種。
座学|ざがく|「座学」は実際の実習や現場での訓練に対して、教室で座って行う理論的な学習を指します。職業訓練や武道、スポーツなどの文脈で、実技と対比して使われることが多い言葉です。
座布団|ざぶとん|「座布団」は、日本の伝統的な家具で、畳や床の上に座る時にお尻の下に敷く四角い布団のことです。茶道やお座敷など和室で使われることが多く、格式や礼儀に関わる場面では、座布団の扱い方にも作法があります。
座席|ざせき|電車やバス、映画館などで人が座るための場所や椅子のことです。
座席表|ざせきひょう|教室や会場などで、誰がどの席に座るかを示した表や図のことです。結婚式や会議などで使われます。
座敷|ざしき|「座敷」は、畳が敷かれた日本式の客間や部屋を指します。また、お座敷遊びの文脈でも使われます。
座標|ざひょう|平面上や空間上の位置を数字の組み合わせで表したものです。数学や地理、プログラミングで広く使われます。
座標系|ざひょうけい|
座礼|ざれい|「座礼」は、座った姿勢で行うお辞儀のことを指します。茶道や華道、武道など日本の伝統的な文化で見られる正式な礼法の一つです。
座談会|ざだんかい|複数の人が集まって特定のテーマについて自由に話し合う形式の会合を指します。堅苦しい会議よりもくだけた雰囲気で行われます。
座長|ざちょう|「座長」は、会議や集会の進行役を務める人、または劇団や芸能団体の代表者を指します。フォーマルな集まりで議事を進行する立場の人を表します。
座面|ざめん|
庭があるといっても猫の額ほどです。|ねこのひたい|顔の眉から髪の生え際までの部分。表情や感情を表す部位として重要。また「額（がく）」は額縁や金額の「額」とも同音異義語。
庭に花の種をまきました。|たね|「種」は、植物の種子を指すほか、物事の種類や原因、カードゲームのスートなど多様な意味を持つ言葉です。非常に基本的な語彙で、日常会話から専門的な文脈まで幅広く使われます。
庭は種々の花で一杯だった|はい|「種々」は「しゅじゅ」と読み、様々な種類があることを表す漢語です。「種々の」「種々様々」のように使われ、書き言葉的でややフォーマルな印象があります。日常会話では「いろいろな」の方が一般的です。
庭をいじる|にわ|庭の草木の手入れや植栽などをすること。ガーデニング作業。
庭師|にわし|庭園や庭の手入れや作庭を専門に行う職業の人です。
庵|あん|質素で小さな隠れ家のような住まいを指します。僧侶や隠者が住むような、簡素で静かな住居のイメージです。
庶務|しょむ|「庶務」は、会社や組織における様々な雑務や一般事務を指すビジネス用語です。「庶務課」のように部署名としても使われ、経理や人事のような専門業務以外の総合的な業務を担当します。
庶民|しょみん|一般の大衆、特に特権階級ではない普通の人々を指します。上流階級や貴族と対比して使われることが多い言葉です。
庶民の分際で。。|ぶんざい|一般の大衆、特に特権階級ではない普通の人々を指します。上流階級や貴族と対比して使われることが多い言葉です。
廃す|はい|制度や習慣、法律などをやめてなくすることを意味します。「廃止する」の短い形で、やや硬い文章語です。
廃れる|すた|時代の流れとともに使われなくなり、衰えて消えていくこと。流行や習慣、技術などが対象。
廃人|はいじん|廃人は、極度の疲弊や中毒、病気によって精神的・身体的能力を喪失した状態の人を指します。非常に強い否定的な言葉で、「仕事のしすぎで廃人になった」「ゲームに夢中で廃人状態だ」のように、誇張した比喩として日常会話でも使われます。
廃品|はいひん|使われなくなって捨てられる物や、価値がなくなった品物を指します。リサイクルや廃品回収の文脈でよく使われます。
廃墟|はいきょ|「廃墟」は、かつて建物や街があった場所が、放棄されて荒れ果てた状態を指します。戦災や自然災害、経済的な衰退などによって人が住まなくなった場所を表し、物悲しいイメージがあります。
廃材|はいざい|「廃材」は建築や製造の過程で出る不要になった材料（廃棄される木材、金属、プラスチックなど）を指します。「廃棄物」よりも具体的に「材料として使えなくなったもの」というニュアンスです。リサイクルや再利用の文脈でもよく使われます。
廃村|はいそん|「廃村」は、住民が去って無人になった村を指します。過疎化や産業の衰退によって人が住まなくなった集落を表し、日本では特に地方で増加している問題です。少し寂しい印象を与える言葉で、ニュースやドキュメンタリーで使われます。
廃校|はいこう|「廃校」は、学校が閉鎖されること、または閉鎖された学校を指します。少子化による児童数の減少で地方の学校が廃校になるケースが増えています。廃校になった建物は、コミュニティセンターやレストランなどに再利用されることもあります。
廃案|はいあん|
廃業|はいぎょう|それまで営んでいた事業や商売をやめることを指します。廃業には、引退や経営難など様々な理由があります。
廃止|はいし|制度や規則、施設などをやめて、なくすことを指します。法律やニュースでよく使われる言葉です。
廃止予定|はいしよてい|制度や物事をやめる予定であることを表します。サービスや法律、路線などが廃止されることを伝える場面で使われます。
廃物|はいぶつ|もう使えなくなって捨てられた物のことです。ごみやくずなど、不要になったものを指します。
廃絶|はいぜつ|制度や習慣などを完全になくしてしまうこと。戦争や差別などの否定的なものを撲滅する文脈で使われる。
廃車|はいしゃ|「廃車」は、自動車が使用できなくなったり、使用を停止したりして、車両としての登録を抹消された状態を指します。事故や経年劣化が原因で廃車になることが多く、中古車市場では「廃車歴あり」の車は価値が大きく下がります。また、鉄道の車両が役目を終える場合にも使われます。
廉価|れんか|
廊下|ろうか|建物の中で、部屋と部屋を結ぶ細長い通路を指します。学校や病院、オフィスビルなど様々な建物にあります。
延々と|えんえん|「延々と」は、同じ状態や動作が長い間続く様子を表す副詞です。多くの場合、飽きたり疲れたりするほど長く続くというニュアンスを含みます。話が長い、道が続く、などネガティブな文脈で使われることが多いです。
延いては|ひ|ある事柄が原因となって、さらに広い範囲や別の事柄に影響が及ぶことを示す接続詞です。因果関係の連鎖を表現する、やや書き言葉的な表現です。
延ばす|の|物の長さや時間を長くすることを意味します。締切りの延期や髪の毛を伸ばすなど、様々な場面で使われる動詞です。
延べ|の|「延べ」は、期間や数量の合計・総計を表す言葉です。「延べ人数」「延べ日数」のように、同じ人が複数回カウントされる場合の総数を出す時に使います。
延べ坪数|のべつぼすう|「延べ坪数」は、建物の各階の床面積をすべて合計した面積のことで、不動産や建築の分野で使われる専門用語です。土地の面積ではなく、建物の総床面積を表します。
延べ１０万人が会場を訪れました|おとず|「延べ」は、期間や数量の合計・総計を表す言葉です。「延べ人数」「延べ日数」のように、同じ人が複数回カウントされる場合の総数を出す時に使います。
延命|えんめい|
延期する|えんき|予定されていた事柄を後日に延ばすことを意味します。会議やイベント、締め切りなど様々な場面で使われるフォーマルな表現です。
延滞|えんたい|支払いや返却などの期限を過ぎても履行されていない状態を指します。「家賃の延滞」「延滞料金」のように、お金に関することが多いですが、図書館の本の返却延滞などにも使います。
延焼|えんしょう|延焼は、火事や火災が隣接する建物や地域に次々と燃え広がっていくことを指す消防・防災用語です。地震などの大災害時には、同時多発的な延焼が都市全体を焼き尽くす危険性があります。ニュースや防災情報で頻繁に使われる重要な用語で、消防の消火活動の優先順位を決める際の基準にもなります。
延長|えんちょう|期間や距離、時間などを元の範囲より長く伸ばすことを指します。様々な文脈で使われる汎用的な表現です。
延長コード|えんちょう|「延長コード」は、電源コンセントの届かない場所に電気を供給するために使う、コードを延長する器具です。日常生活でよく使われるカタカナ語です。家電製品や電子機器の配線に広く利用されます。
延長戦|えんちょうせん|「延長戦」は、スポーツやゲームなどで決着がつかなかった場合に、通常の時間を延ばして行う追加の試合や勝負を指します。サッカーやバスケットボールなどでよく使われる用語で、比喩的に仕事や交渉が長引くことを「延長戦に入る」と表現することもあります。
延長時間|じかん|通常の時間枠を超えて追加された時間のことです。仕事の残業や試合の延長戦など様々な場面で使われます。
延髄|えんずい|「延髄」は、脳の最下部に位置し、呼吸や心拍などの生命維持に重要な機能を司る器官です。
建て替える|たてか|
建前|たてまえ|本音に対して、世間や立場上、表向きに示す意見や態度を指します。日本社会の「建前と本音」の概念でよく使われる言葉です。
建国|けんこく|「建国」は、新しい国を創り立てることを指します。建国記念日のように国の重要な歴史的出来事として語られることが多いです。
建売|たてうり|建築会社があらかじめ建てた住宅をそのまま売る方式を指します。注文住宅（施主が設計を指定する）と違い、既に建っている家を買うスタイルです。不動産広告でよく見られます。
建材|けんざい|「建材」は、建築工事に使われる材料の総称です。木材、コンクリート、鉄骨、ガラス、断熱材など、建物を建てるために必要なあらゆる材料を指します。建築業界でよく使われる専門用語です。
建築|けんちく|「建築」は、建物を設計し建てる行為や、その技術・分野を指します。「建設」よりもデザインや構造に重点があり、専門的でフォーマルな語です。建築家の仕事や建物の様式について話す時に使われます。
建築家|けんちくか|「建築家」は、建物の設計や工事の監理を専門に行う職業の人です。単なる設計者ではなく、芸術性や機能性を兼ね備えた建築物を創造する専門家として、高い社会的評価を受けています。
建設会社|けんせつがいしゃ|「建設会社」は、ビルや道路、橋などの建設工事を行う会社を指します。「ゼネコン」とも呼ばれる大手建設会社から、地元の小さな工務店まで規模は様々です。建築業界や不動産業界でよく使われる用語です。
建設工事|けんせつこうじ|「建設工事」は、建物や道路、橋などの構造物を新しく造る工事のことを指します。建築現場やインフラ整備の文脈で使われ、騒音や交通規制の原因としても話題になります。
建設現場|けんせつげんば|「建設現場」は、建物や道路などを建設している場所を指します。工事中の場所で、作業員や重機が集まっている様子を連想させる語です。
建設的|けんせつてき|物事を前向きに進め、発展や改善に役立つ様子を指します。議論や批評が生産的であることを評価する時に使われます。
建設費|けんせつひ|建物や構築物を建設するのに要する費用のことです。工事費、資機材費、人件費などを含む総合的な費を指します。
建造|けんぞう|「建造」は、船や建物などの大きな構造物を造ることを意味します。特に「艦船を建造する」「建造物」のように、大規模な建築や製造の文脈で使われます。「建築」よりもやや広い意味を持ちます。
建造物|けんぞうぶつ|「建造物」は、建築物や構造物をやや硬く言い表した言葉です。ビル、橋、塔など、人が作った比較的大きな構造物全般を指します。「建物」よりもフォーマルで、法律文書や報道でよく使われます。
弁える|わきま|「弁える」は、物事の道理や区別を正しく理解し、状況に応じて適切に行動することを意味します。特に「礼儀をわきまえる」「立場をわきまえる」のように、社会的なマナーや分別について使われます。
弁償|べんしょう|「弁償」は、他人に損害を与えた時などに、金銭や品物で補償することを意味します。日常的によく使われる言葉で、壊した物を買い替えたり修理代を払ったりする場面で使います。
弁償代きっちり耳そろえて払わんかい。|はら|「きっちり」は、寸分の狂いもなく正確であること、または過不足なく完全であることを表す副詞です。時間、サイズ、数量、態度など様々な場面で使われます。「ぴったり」と似ていますが、「きっちり」は几帳面で規則正しいニュアンスが強く、ルーズさや曖昧さを許さない態度を感じさせます。やや強調的で、仕事や約束事の文脈で好まれます。
弁慶|べんけい|「弁慶の立ち往生」は、武蔵坊弁慶の伝説に由来し、進むことも退くこともできない状況を指す故事成語です。
弁慶の泣き所|どころ|すねのことを指す慣用表現で、強い打撃を受けると非常に痛む場所という意味です。武蔵坊弁慶の伝説に由来し、ユーモラスな響きがあります。会話で冗談めかして使われることが多いです。
弁慶の立ち往生|べんけいのたちおうじょう|「弁慶の立ち往生」は、武蔵坊弁慶の伝説に由来し、進むことも退くこともできない状況を指す故事成語です。
弁明|べんめい|「弁明」は自分の言動や立場について説明し、誤解を解いたり正当性を主張したりすることを指します。単なる「説明」より、批判や疑いに対して防御的に説明するニュアンスが強く、ややフォーマルな語です。
弁舌|べんぜつ|「弁舌（べんぜつ）」は、話し方や説得力のある言葉遣い、雄弁さを意味する名詞です。「弁舌さわやか」「弁舌が立つ」「弁舌に長ける」のように使われ、単に「話す」というより、人を動かすような話術や説得力を評価する言葉です。政治家や弁護士、営業マンなど、言葉で勝負する職業の人に対して使われることが多いです。
弁舌は銀、沈黙は金。|きん|「弁舌（べんぜつ）」は、話し方や説得力のある言葉遣い、雄弁さを意味する名詞です。「弁舌さわやか」「弁舌が立つ」「弁舌に長ける」のように使われ、単に「話す」というより、人を動かすような話術や説得力を評価する言葉です。政治家や弁護士、営業マンなど、言葉で勝負する職業の人に対して使われることが多いです。
弁解|べんかい|「弁解」は、自分の行動や言動に対して言い訳や説明をすることです。特に、責められている状況で自分の正当性を主張するニュアンスがあります。「弁解する」「弁解の余地がない」のように使われ、やや否定的な響きを含むことが多いです。
弁論|べんろん|公式の場で意見や主張を述べることを指す硬い言葉です。特に法廷での弁論や、討論会でのスピーチを指すことが多いです。単なるおしゃべりではなく、論理的構成に基づいた発言を指します。
弁論大会で優勝したことがあります。|ゆうしょう|公式の場で意見や主張を述べることを指す硬い言葉です。特に法廷での弁論や、討論会でのスピーチを指すことが多いです。単なるおしゃべりではなく、論理的構成に基づいた発言を指します。
弄する|ろう|「弄する」は、巧みに扱う、または不誠実な手段で操作することを意味するやや文語的な動詞です。「数字を弄する」「事実を弄する」のように、データや情報を自分の都合の良いように改ざんするニュアンスで使われることが多く、ネガティブな含意が強いです。また、「奇を弄する」「策を弄する」のように、人の注意を引くためにわざと変わったことをする意味でも使われます。硬い文章や報道などで見かける表現です。
弄ぶ|もてあそ|
弄る|いじく|「弄る」（いじくる）は、物を指で触って弄んだり、あれこれと触って遊んだりすることを意味します。無意識に触る動作や、機械をいじって調整しようとする意味でも使われるくだけた言い方です。
弊害|へいがい|「弊害」は、ある制度や行為が原因で生じる悪い影響や副作用を指します。意図していなかった悪い結果に焦点を当てた、ややフォーマルな言葉です。
弊社|へいしゃ|自分の会社をへりくだっていう謙譲語。ビジネス文書やフォーマルな場面で使う。
式典|しきてん|公式の行事や儀式を指し、卒業式、開店式、表彰式などフォーマルな場で使われます。「式」よりも堅苦しい響きがあり、大規模で正式なイベントに用いられます。
弐|に|漢数字の「二」の大字（だいじ）です。契約書や証書などの重要な書類で、改ざんを防ぐために使われます。「一→壱、二→弐、三→参」のように、画数の多い字で数字を表します。
弑する|しい|君主や親など、本来なら敬うべき目上の人を殺すことを指す、重く特別な漢語です。単なる殺害ではなく、上下関係を破る背徳的なニュアンスが含まれます。
弓|ゆみ|「弓」は矢を射るための武器で、竹や木などで作られた湾曲した道具を指します。日本の伝統的な弓道で使われる和弓が有名です。狩猟や戦闘だけでなく、スポーツや芸道としての弓道の文脈でもよく使われます。
弓弦|ゆみづる|弓に張る弦。弓道や和弓で使う。
弓矢|ゆみや|「弓矢」は、弓と矢の総称で、狩猟や武道、競技に使われる道具です。日本の伝統的な弓道で使われる「和弓」を指すこともあります。古くから武器としても使われてきました。
弓術|きゅうじゅつ|「弓術」は、日本の伝統的な弓を使った武術を指します。「弓道」とほぼ同義ですが、「弓術」はより古くからある呼称で、実戦的な技術を重視したニュアンスがあります。
弓道|きゅうどう|日本の伝統的な弓術を基にした武道。的に向かって矢を射る技術と精神修養を目的とする。礼儀作法や精神統一を重視し、競技スポーツというより武道・芸道としての側面が強い。
弔い合戦|がっせん|大切な人の死を弔い、その仇を討つために行う戦いを指します。復讐の要素を含む、歴史物語や時代劇で見られる表現です。
弔う|とむら|亡くなった人の霊を慰め、冥福を祈るために儀式を行ったり、偲んだりすることを指します。葬儀や法要などの場面で使われます。
