冷ややか|ひややか|Cold / Frigid
解禁する|かいきんする|To lift [remove] the ban
青白い|あおじろい|Pale / Pallid
記憶素子|きおくそし|（Computer) storage cell
突っ張り|つっ ぱり|1. prop, strut, support, brace, bar2. becoming taut, tightness, stiffness, cramp
郡|ぐん|County / Borough
担ぐ|かつぐ|To carry on shoulder
沖合い|おきあい|Coast / Offshore
執拗|しつよう|Persistent / Obstinate
チンキ||(orig. from the Dutch 'tinctuur') tincture
構え|かまえ|structure; construction; appearance; (n) (2) posture (e.g. in martial arts); pos
ドジっ子|っ こ|clumsy girl
分針|ふんしん|minute hand
鎮静剤|ちんせいざい|sedative, tranquilizer, tranquiliser
慎重|しんちょう|Prudent / careful
市立|しりつ|Municipal / City
思惑|おもわく|Speculation / Expectation
実地研修|じっち けんしゅう|Hands on training
力ない|ちからない|Feeble
家を買うために積み立てを始めました|いえを かうために みつみたてを はじめました|We started saving up to buy a house
初動|しょどう|1. initial response (e.g. to a crisis); action in the earliest stages2. initial 
野宿する|のじゅくする|To sleep outdoors
忠告|ちゅうこく|Tip / Advice
不振|ふしん|Slump / Stagnation / Slump
大当たり|おおあたり|Big hit / Striking it rich / Right on the mark
色盲|しきもう|Colour blind
その書評者はその小説に鋭く批判的である。|その しょひょう しゃはその しょうせつに するどく ひはんてきである|The reviewer is sharply critical of the novel
緊迫した雰囲気|きんぱくした ふんいき|A tense atmosphere
雨降って地固まる|あめ くだって ち かたまる|What doesn’t kill you makes you stronger /&nbsp;Adversity&nbsp;strengthens&nbsp;
爽やか|さわやか|Refreshing / Clear
思い知らせる|いおもいしらせる|To teach someone a lesson / To have revenge on / to get even with / to make some
民度|みんど|Cultural standard
陥落|かんらく|Fall / Sinking / Surrender / Capitulation
ドボン||plop; splash (into the sea)
人生一度切り|じんせい ど ぎり|(exp) you only live once; you only have one life
胃腸|いちょう|Stomach and Intestines
資金|しきん|Fund / Finance / Treasury
小便|しょうべん|Urine / Pee
綻び|ほころび|Open seam / Seam that has come apart / Tear
処理系|しょりけい|Implementation / Processor
仕込む|しこむ|To teach / To train / to educate / to prepare
岩場|いわば|Rocky area / rockface / rock wall
外出の時はいつも鼻紙を持っています|がいしゅつの ときはいつも はながみを もっています|I always take paper tissues when I go out
腕利き|うできき|Able / Capable / Person of ability
輩|ともがら|comrade; fellow
只々|ただ|(emphatic modifier) absolutely; only
口ぶり|くちぶり|1. way of speaking2. intimation
論敵|ろんてき|opponent in a debate or argument
グルメ||1. fine food, high-quality food2. gourmet, epicure, gastronome
しょっちゅう|しょっちゅう|Frequently / Repeatedly (the one that sounds a bit like a drink)
大規模|だいきぼ|Large scale
正統|せいとう|Legitimate / Othordox
鳴動|めいどう|Rumbling / (ringing) cadence
植生|しょくせい|Vegetation
発案者|はつあんしゃ|original proposer; originator; proponent; initiator
民生|みんせい|public welfare, the people's livelihood
二兎を追う者は一兎をも得ず|にとを おう ものは いっとをも えず|if you run after two hares you will catch neither
費やす|ついやす|To spend / use / throw away on / consume
毛布|もうふ|Blanket
片鱗|へんりん|A glimpse (to see a glimpse of brilliance, for example)
マント||Cloak
暁|あかつき|Dawn / Daybreak
手垢のついた|てあかのついた|1. thumb-marked, well-used, well-thumbed, well-handled2. worn-out (e.g. joke), s
離職者|りしょくしゃ|retired employee, unemployed person
裁縫|さいほう|Sewing
派閥|はばつ|Faction / Clique
不吉|ふきつ|Ominous / Sinister / ill omen
待ち受ける|ちまちうける|To wait / to expect (famous person to arrive?)
着ぐるみ|きぐるみ|Cartoon character costume
総力|そうりょく|Total energy / All efforts
間違いに印を付けておきました。|まちがいに しるしを つけておきました|I marked the mistakes.
過年度|かねんど|Past financial year
糧|かて|1. food; provisions2. (かて only) nourishment (mental, spiritual, etc.); sustenanc
材木|ざいもく|建物を作るためのき
染み|しみ|Stain / Spot / Smudge / Smear
ウェブサイトに掲載する|に けいさいする|To insert/carry (?) a website (to run I think)
虫の息|のむしのいき|Faint breath
閂|かんぬき|Bar / Bolt (eg on door) / Latch
微分方程式|びぶんほうていしき|Differential equation
表彰|ひょうしょう|Award / Commendation
スポーツにかまけて学業を怠る学生もいる。|にかまけて がくぎょうを おこたる がくせいもいる|Some students neglect their studies in favor of sports.
万年筆|まんねんひつ|Fountain Pen
這いずる|はいずる|To creep / To crawl
抜け道|けぬけみち|Bypath / Byroad / Loophole / Excuse
余力|よりょく|Remaining strength / Reserve power
統合参謀本部|とうごうさんぼうほんぶ|Join chief of staff
今の元号は「平成」です|いまの げんごうは へいせいです|The current era is called Heisei
組閣|そかく|Cabinet / Ministry
赤心|せきしん|Sincerity
所轄|しょかつ|jurisdiction
授業参観|じゅぎょうさんかん|parents' day (day when parents observe their children in school)
我利勉|がりべん|1. person who studies very hard (at school); grind; swot; drudge2. studying hard
評価|ひょうか|Evaluation / Assessment
パンクする|する|To puncture / go flat (tyres)
概して|がいして|Generally / As a rule
現行犯|げんこうはん|Caught red-handed
引き攣る|ひき つる|To have a cramp (spasm, convlusion, twitch) / To become stiff
挽く|ひく|To saw / to grind (eg coffee beans) / to mill
全員に行きわたるだけのビールはあるかい|ぜんいんに いきわたるだけのはあるかい|Is there enough beer to go around?
女尊男卑|じょそんだんぴ|placing women above men
速攻|そっこう|Swift attack
小枝|さえ|Twig
平穏|へいおん|Calmness / Quiet
読み応え|よみ ごたえ|worthwhile reading, substantial reading
とっさに|とっさに|Quickly / in an instant
典型的|てんけいてき|Typical ~ (Woman?)
嫌がらせ|いやがらせ|Harassment / Pestering / Trolling
見出す|みいだす|To find out / To discover / To notice / To select
より好みをしてはいけません|より このみをしてはいけません|Don't be too particular
請け負う|けうけおう|To contract (for work) / to undertake
虚勢|きょせい|Bluff
伺う|うかがう|Humble form of&nbsp;&nbsp;行く&nbsp;&nbsp;and&nbsp;&nbsp;来る
一時金|いちじきん|One off payment / Lump sum / Bonus
電流|でんりゅう|Electric current
馴染む|なじむ|To become familiar with / to adapt oneself / to get used to (using Linux)
恭倹|きょうけん|respectfulness and modesty; deference
人気のない|にんきのない|deserted; no sign of life
行き場|いき ば|place to go, destination
拍手する|はくしゅする|To applaud
理性|りせい|reason, rational mind
大威張り|おおいばり|Bragging / Showing off
その情報は彼らに筒抜けになるでしょう|その じょうほうは かれらに つつぬけになるでしょう|That information will probably get leaked to them
流石|さすが|Kanji reading!
端くれ|はしくれ|scrap; piece; fag end
愛おしむ|いとおしむ|to love, to be attached to, to cherish, to caress
割り込む|りわりこむ|Cut in (front of someone)
物好きな|ものずきな|Curious (personality, not 好奇心)
幽体離脱|ゆうたいりだつ|Out of body experience
尋常|じんじょう|Common / Usual
風向きが変わった|かざむきが かわった|The wind changed direction
尤もらしい|もっともらしい|Plausible / Convincing
出る杭は打たれる|でる くいは うたれる|The nail that sticks out gets hammered in
市場は今日は閑散としていた。|しじょうは きょうは かんさんとしていた|The market was quiet today
出頭|しゅっとう|Surrender / Turning onself in / Appearance / Presence / Attendance
植わる|うわる|to be planted
羽音|はおと|鳥や虫が鳶（とぶ）時の羽の音
雨宿りする|あまやどりする|Take shelter from rain
繊維産業|せんい さんぎょう|Textile industry
甘んじる|あまんじる|To content oneself with / To be resigned to
垣根|かきね|Hedge / Fence
薄皮|うすかわ|Thin skin
努める|つとめる|to endeavor (endeavour), to try, to strive, to make an effort, to exert oneself,
悪夢|あくむ|Nightmare / Bad Dream
謙虚|けんきょ|Humble (personality)
商用で|しょうようで|On business
縁起でもない|えんぎでもない|Unlucky / ill omened (as in "Dont say such an ill omened thing!")
圧迫|あっぱく|Pressure / Oppression
武運|ぶうん|The fortunes of war
気品がある|きひんがある|Dignified
陳腐|ちんぷ|Old fashioned / Trite
私たちは砂漠でオアシスとおぼしきものを見た。|わたしたちは さばくでとおぼしきものを みた|We saw what looked like an oasis in the desert
けだし|けだし|perhaps; probably
嘘と真実が入り混じる|うそと しんじつが はいり こんじる|truth mingled with falsehood
片時|かたとき|moment, instant
洗濯|せんたく|Washing / Laundry
鈍感（な）|どんかんな|Insensitive / Obtuse
保全する|ほぜんする|To preserve
鉢巻|はちまき|Head band
温存|おんぞん|Preserve / Retain (ones strength, say)
詳報|しょうほう|detailed report, full report, details, particulars
放心|ほうしん|absentmindedness, peace of mind
鮮やか|あざやか|Vivid
間抜け|まぬけ|Fool / Idiot / Dope
縦横比|じゅうおうひ|Aspect ratio (inkscape, Shape not changing when dragged)
どんと|どんと|Coming and going (Cait Sith back and forward when predicting things)
琥珀|こはく|amber
超音速|ちょうおんそく|supersonic speed
三者面談|さんしゃめんだん|parent and child meeting (with teacher for course, career guidance, etc.)
湿潤|しつじゅん|damp, moist, humid
群生|ぐんせい|Clump / Cluster
砕ける|くだける|To break / crumble
かんかん|かんかん|Furious (another iknow hiragana double word)
提供する|ていきょうする|To provide X
商品券|しょうひんけん|Gift certificate
鮮血|せんけつ|Fresh blood
熱気球|ねつききゅう|Hot air balloon
心得|こころえ|Knowledge / Instruction
当行|とうこう|our bank
野垂れ死に|のたれ じに|dying by the roadside; dying a dog's death
単色|たんしょく|single colour (color), monochrome
親指|おやゆび|Thumb
まれ|まれ|rarely (2 hiragana characters, one word)
政府は物価の統制を解除した。|せいふは ぶっかの とうせいを かいじょした|The government lifted price controls
極まりない|きわまりない|Extremely / In the extreme / Boundless / Limitless
多様性|たようせい|Diversity / Variety
試験の事を考えると憂鬱になります|しけんの ことを かんがえると ゆううつになります|I get depressed thinking about exams
代償|だいしょう|Compensation
術|じゅつ|Way / Method / Means
突っ掛ける|つっ かける|To slip on
発作的|ほっさてき|spasmodic(ally); fitful
盥|たらい|tub, washbasin, washbowl
稲作|いなさく|Rice crop
位置づけ|いちづけ|Placement / Fixed position / Matching out / Location
裾|すそ|Skirt / Tail
お尋ね者|お ねたずねもの|Wanted man / Person sought by the police
浮き輪|きうきわ|Swimming ring / Life buoy
へばる|へばる|to be exhausted; to be worn out
見習い|みならい|Apprentice
到来|とうらい|Arrival
時節|じせつ|1. season2. the times3. opportunity; occasion
爪の垢を煎じて飲む|つめの あかを せんじて のむ|to take a lesson from (a wise person), to follow in the footsteps of, to boil th
ゆうべはろくに寝ていない。|ゆうべはろくに ねていない|I barely slept last night.
仕事には慣れも必要です。|しごとには なれも ひつようです|Getting used to the work is also necessary in any job.
倒立|とうりつ|Headstand / Handstand
彼は目上の人にとても気を使います。|かれは め のうえのひとにとても きを つかいます|He's very respectful of his seniors.
介抱する|かいほうする|To look after, To take care of (sick person)
彼女は前言を取り消した|かのじょは ぜんげんを りとりけした|She took back her word / She swallowed her words
細める|ほそめる|To make narrow (eyes?)
踏み付ける|みふみつける|To trample down / To tread on
絢爛|けんらん|gorgeous; brilliant; dazzling; ornate; gaudy; flowery
手先|てさき|Fingers
草食|そうしょく|Herbivour
突き進む|きつきすすむ|To push forward / hustle / make ones way
潜む|ひそむ|To lurk / To lie dormant / To be hidden / To be concealed
肩口|かたぐち|Top of the shoulders / collar
やり切れない|やり きれない|Unbearable / Intolerable / Too much
子供たちは父からの戒めを固く守っていた|こどもたちは ちちからの いましめを かたく まもっていた|I protected the children from their fathers harsh punishment
そのくせ|そのくせ|And yet / Even so / Nonetheless
円陣|えんじん|forming a circle; circular formation (orig. in battle); huddle; ring
手を下す|てを くだす|to do oneself; to do by oneself
断熱|だんねつ|Insulation
風刺|ふうし|Satire / Innuendo
ひょろい|ひょろい|spindly; weak; gangly
光景|こうけい|Scene
とうとう|とうとう|Finally / After all / At long last
怖ず怖ず|ずおずおず|Timidly / Nervously / Trembling with fear
頬張る|ほおばる|To stuff ones cheeks
追撃|ついげき|Pursuit
巻き起こす|きまきおこす|To give rise to (contraversy etc) / to create (a sensation)
寄贈|きぞう|Donation / Presentation
殉ずる|じゅんずる|to sacrifice oneself, to die a martyr
胞子|ほうし|spore (as in the last of us)
片寄る|かたよる|To be one sided / to incline / to be partial
うんざり|うんざり|Tired / Weary
私たちの計画は前途多難だ|わたしたちの けいかくは ぜんとたなんだ|Our plan is heading for trouble
食い殺す|くい ころす|To devour / To bite to death
爆風|ばくふう|Blast
自治区|じちく|Territory / Autonomous region
不等号|ふとうごう|Less than or greater than sign &gt; or &lt; , inequality sign
形勢険悪|けいせい けんあく|The situation is grave
真四角|ましかく|square (again, think very square)
内閣府|ないかくふ|Cabinet office
盗品|とうひん|Stolen goods / loot / spoils
手蔓|てづる|connections; contacts; influence
手練|しゅれん|skill; dexterity; master hand
深酒|ふかざけ|heavy drinking
有期|ゆうき|definite (period or term, ie defined prison sentence of X years)
植民地|しょくみんち|Colony / Settlement
忠臣|ちゅうしん|Loyal subject / Loyal retainer
甲斐性|かいしょう|Resourcesfulness / Ability (esp to earn a living)
石工|せっこう|mason; stonemason
必定|ひつじょう|inevitably; certainly
センス||Good taste
唯一無二|ゆいいつむに|One and only / Unique
飢餓|きが|Hunger / Starvation
即席のスピーチを頼まれた|そくせきのを たのまれた|I was asked to improvise a speech
経過|けいか|Progression / Lapse
毒見する|どくみする|To taste food before offering to guests, to check for poison
黙りこくる|だまりこくる|In dead silence / as dumb as a statue
船長は船と乗組員を統率する。|せんちょうは ふねと のりくみいんを とうそつする|A captain controls his ship and its crew
解析|かいせき|Analysis / Parsing
定数|ていすう|Constant / Literal
怪奇|かいき|Mystery / Wonder
長押し|ながおし|long press (of a button)
不気味（な）|ぶきみな|Eerie / Ominous
擦る|こする|To rub / strike
補助|ほじょ|Aid / Assistance (not 援助, helping Orange Days girl with lecture stuff)
誇張する|こちょうする|To exaggerate / To magnify / To overstate
心中する|しんじゅうする|Double suicide / suicide pact
コケる|こける|To fall / To collapse / To drop
穴蔵|あなぐら|Cellar / Cave / Hole in the ground
放埓|ほうらつ|Wild / riotous
搬入|はんにゅう|taking in; bringing in (esp. heavy objects, artwork, furniture); carrying in
ワンパターン||predictable; repetitive; being in a rut; set in one's ways
彼女は暇を持て余しているらしい。|かのじょは ひまを てもてあましているらしい|She doesn't seem to know what to do with her leisure time.
分布する|ぶんぷする|Another word for distribution
稲|いね|Rice plant
仕出かす|しでかす|To get up to ~ (who knows what he will get up to...)
彼女からすばらしい刺繍品をもらった。|かのじょからすばらしい ししゅう ひんをもらった|She gave me charming embroideries
納品|のうひん|Delivery of goods
反芻|はんすう|Runimation / Contemplation
猫舌|ねこじた|Sensitive to hot food
危篤|きとく|On the verge of death
砦|とりで|Fortress
溶接|ようせつ|weld; welding
連れ子|つれ こ|child from previous marriage, child of a former spouse, stepchild
解ける|とける|To untie / uncoil / unroll
適合|てきごう|Compatible / Adaptable
松明|たいまつ|(pine) torch, flambeau, torchlight
欺瞞|ぎまん|deception; deceit
腹立たしい|はらだたしい|irritating, aggravating, upsetting
取り壊す|りとりこわす|To demolish / To tear or pull down
お得意さん|お とくいさん|Regular customer / valued client
厳戒態勢|げんかいたいせい|High alert / a state of high alert / on alert
急性|きゅうせい|Acute
彼女は親類の家に間借りしています|かのじょは しんるいの いえに まがりしています|She is renting a room in a relatives house
定石|じょうせき|Established tactic / play by the book (FF14, pop bubbles first)
砂塵|さじん|cloud of dust; sandstorm
件名|けんめい|Subject (of an email) / Subject line
随行員|ずいこういん|attendant
危うい|あやうい|Dangerous / Grave / Critical ( 危ない )
徐行|じょこう|Slow speed
投稿する|とうこうする|To contribute (to web forum?)
将校|しょうこう|Commissioned officer
彼はまた上司にがみがみ言われたところです|かれはまた じょうしにがみがみ いわれたところです|The boss just chewed him out again
心不全|しんふぜん|heart failure
霊媒|れいばい|Medium / Psychic
資料集|しりょうしゅう|Document Collection
殊更|ことさら|Intentionally / Deliberately
突き立てる|きつきたてる|To pierce / To thrust violently
棄却|ききゃく|Rejection
門外漢|もんがいかん|Outsider / Layman / Amateur
病める|やめる|Sick / Ill / Ailing
中堅|ちゅうけん|1. Main body (of troops)2. Center Field3. Backbone / Nucleas
ロリコン||&quot;Lolita Complex&quot; - attraction to young girls =/
公然|こうぜん|Open (secret)
メット||Helmet
向心力|こうしんりょく|Centripetal force
川原|かわはら|Dry riverbed
握り飯|にぎり めし|rice ball
生気|せいき|life, vitality, verve, vigor, vigour, animation, spirit
離職票|りしょく ひょう|letter of separation, unemployment slip, separation slip
この研究所には最新の設備が揃っています。|この けんきゅうじょには さいしんの せつびが そろっています|This laboratory has the latest equipment
跳ね返す|ねはねかえす|To reject / To bounce back
婿|むこ|Son-in-law / Bridegroom
両立|りょうりつ|Managing two things / Having it both ways
嘴|くちばし|Beak / Bill (like for a duck)
後日談|ごじつだん|Sequel / Later development
好機逸すべからず。|こうき いっすべからず|Strike while the iron is hot
権力をもっぱらにする|けんりょくをもっぱらにする|monopolize power
ホッチキス||Stapler (its a hotchkiss brand i guess)
振付家|ふりつけ か|choreographer
上洛|じょうらく|proceeding to the capital
無機的|むきてき|inorganic
忍ばせる|しのばせる|To conceal / To hide (in my bag)
危険視|きけんし|regarding as dangerous; identifying as a threat
特設|とくせつ|setting up specially, special installation
上首尾|じょうしゅび|great success, happy result, good result
返上（する）|へんじょうする|Give back
俺には何のコネもないから、就職するのが大変だ。|おれには なにのもないから しゅうしょくするのが たいへんだ|My job search is really going rough. I don't have any connections.
兼用|けんよう|Dual use
出陣|しゅつじん|Departure for the front (war)
彼は自分のプランを強硬に推し進めた。|かれは じぶんのを きょうこうに しおしすすめた|He pushed his plan strongly
熟年|じゅくねん|The mature age (years) / Vintage year / Old age
試算表|しさんひょう|trial balance sheet
退出|たいしゅつ|Withdrawel / Leaving
接尾|せつび|Suffix (as part of a word)
特異|とくい|Peculiar / Unique
幕切れ|まくぎれ|Fall of the curtain / Last scene / End of act
うっすらと|うっすらと|Slightly / Lightly / Thinly / Faintly (covered in dust etc, must be from 薄い)
夜分|やぶん|At Night
未完（の）|みかんの|Unfinished / Incomplete
野鳥|やちょう|Wild Bird
空き家|きあきや|Vacant house / Unoccupied house
自前|じまえ|Taking care ones responsibilities by oneself / ones own efforts
彼女はわがままなので敬遠されている|かのじょはわがままなので けいえんされている|She is shunned because she is selfish
馬鹿力|ばかぢから|great physical power, animal strength
生計費|せいけいひ|living costs / living expenses
過度の恐怖や心労は一夜にして白髪をつくる。|かどの きょうふや しんろうは いちやにして はくはつをつくる|Excessive fear and worry will make your hair turn gray overnight.
振りかぶる|ふりかぶる|To hold aloft (eg a sword) / To brandish (for clouds limit break!)
