唯物|ゆいぶつ|Materialism (in philosophy)
氷解|ひょうかい|1. being cleared (of doubt, misgivings, etc.), being dispelled, melting away2. m
食い違う|いくいちがう|To run counter to each other / To cross each other / To clash / To go awry / To 
風物詩|ふうぶつし|Things which remind one of a particular season
遭難|そうなん|To get lost / in distress (think lost climbing mountain)
賃料|ちんりょう|Another word for rent, not 家賃
無策|むさく|Lacking means or measures or policies
輪ゴム|わごむ|Rubber band
寂滅|じゃくめつ|Death
やり場|やり ば|Place of refuge (figurative) / outlet (for an emotion, anger etc)
にわか狂言|にわか きょうげん|an impromptu play
初歩的|しょほてき|Elementary / Basic / Rudimentary
織機|しょっき|loom; weaving machine
雄姿|ゆうし|gallant figure
夜通し|よどおし|all night; throughout the night
散華|さんげ|falling as flowers do; dying a glorious death
打って変わる|うって かわる|to change completely, to change suddenly
寸刻|すんこく|moment
朗らか|ほがらか|1. cheerful, merry, sunny, melodious2. bright (sky, day, etc.), fine, clear
昆虫|こんちゅう|Insect / Bug
横たわる|よこたわる|To lie down / To stretch out
裾野|すその|Foot of a mountain
卑下も自慢の中|ものひげもじまんのうち|Too much humility is a sort of pride
筋力|きんりょく|physical strength; muscle strength
掛かり付け|かりかかりつけ|Personal / Family (doctor etc)
心肺停止|しんぱいていし|1. cardiopulmonary arrest2. (media term for unconfirmed death) showing no vital 
経る|へる|ある場所を通って行く
炙り出す|あぶり だす|To reveal invisible handwriting by applying heat
徴収|ちょうしゅう|Collection / Levy (of money for petrol for car)
艶々|つや|Bright / Glossy
森羅万象|しんらばんしょう|All things in nature / the whole creation
飴|あめ|Candy / Sweets
父は歌謡曲のレコードをたくさん持っている|ちちは かようきょくのをたくさん もっている|My father has a lot of pop records
紡績|ぼうせき|Spinning
彼女は結婚を両親に仄めかした|かのじょは けっこんを りょうしんに ほのめかした|She hinted about the marriage to her parents
飢える|うえる|To starve
寝冷え|ねびえ|Cold caught while sleeping
粛清|しゅくせい|(political) purge
脈動|みゃくどう|pulsation; pulsatory motion
空気扱い|くうきあつかい|treating (someone) like they are air, ignoring (someone)
流線形|りゅうせんけい|streamline shape, aerodynamic shape
案じる|あんじる|1. to be anxious (about), to be concerned (about), to worry (about), to fear2. t
宙返り|ちゅうがえり|Somersault
ツーショット||Photograph of two people / usually male and female
ちらつく|ちらつく|To flicker (bad drawing to screen)
大役|たいやく|Important task or role or duty
ガールフレンドに見限られた|に みかぎられた|I was dumped by my girlfriend
虫の知らせ|のむしのしらせ|Foreboding
暴虐を極める|ぼうぎゃくを きわめる|to act with extreme violence
変遷|へんせん|change; transition
待ったかいもなく、彼はとうとう帰ってこなかった|まったかいもなく かれはとうとう かえってこなかった|Even though I waited, he didn’t return
除霜|じょそう|defrosting
文房具|ぶんぼうぐ|Stationary
吸収 (again)|きゅうしゅう|To absorb (water)
思い切り|いおもいきり|To ones hearts content / with all ones might
手軽|てがる|Easy / Light
需給|じゅきゅう|Supply and Demand
仮説|かせつ|Hypothesis / Supposition
麻酔|ますい|Anaesthesia
内向的|ないこうてき|Introverted / Withdrawn
途につく|とにつく|To set out (on a journey) / To Start (a task)
肘当て|ひじあて|Arm rest / Elbow rest (like on a chair)
蛙の面にしょんべんで|かえるの めんにしょんべんで|Like water off a ducks back
蝶著|ちょう ちょ|Butterfly
本心|ほんしん|Ones mind / Ones real intention
食傷|しょくしょう|Loss of appetite (physical)Weariness; saturation; being fed up (psychological)Nu
容易な|よういな|Easy / Simple
ざっと|ざっと|Roughly / in round numbers
契る|ちぎる|To vow / pledge (not 誓う)
