進むべきか退くべきか、はっきりとはわからなかった|しりぞ|後ろに下がる、その場から離れる。身を引く、辞任するなど比喩的な意味も持ちます。
逸脱|いつだつ|「逸脱」は、本来あるべき規範やルール、期待される範囲から外れてしまうことを意味する名詞・サ変動詞です。「常識から逸脱する」「ルールを逸脱する」のようにネガティブな文脈で使われることが多く、倫理や秩序を乱す行為を批判する際に用いられます。やや硬い表現で、ビジネスや学術の場で使われます。類語の「脱線」が軽いニュアンスなのに対し、「逸脱」はより深刻な逸脱を指すことが多いです。
逸話|いつわ|「逸話」は有名な人物や出来事に関する、あまり知られていない興味深い小話やエピソードを指します。
逼迫|ひっぱく|物事が行き詰まって余裕がなくなる状態を指します。「財政逼迫」「状況逼迫」のように、資金や時間、物資などの余裕がなくなり危機的な状態になることを表します。
遂げる|と|遂げるは、努力の末に目的や目標を成し遂げることを意味する動詞です。単に「する」「終える」よりも、困難を乗り越えて到達したという達成感や充実感を伴います。「志を遂げる」「目的を遂げる」「大成を遂げる」などの形で使われ、人生の大きな目標に対して用いられることが多い、格調のある表現です。
遂行|すいこう|任務や計画を最後までやり遂げること。ビジネスや公式な場面でよく使われる。
遅かれ早かれ、この国でもIT革命が起こるだろう。|お|動物の皮をなめして加工した素材を指します。革製品（財布、靴、バッグ、ジャケットなど）に使われ、耐久性と高級感で重宝されます。合成皮革と区別して「本革」とも言います。
遅らす|おく|遅らすとは、予定よりも後にずらすことや、進行を遅くすることを意味します。「遅らせる」とも言います。
遅ればせながら|おく|「遅ればせながら」は行動や返答が遅れたことを詫びつつ、何かを行う時の丁寧な表現です。新年の挨拶やお祝いの言葉などでよく使われます。
遅れを取る|と|他者や標準より進行が遅れてしまうこと。競争や成長で後れを取る。
遅刻|ちこく|「遅刻」は、決められた時間に遅れて到着することを意味します。学校や仕事、約束の場面で使われ、社会的に良くない行為とされます。
遅刻者|ちこくしゃ|約束や決められた時間に遅れて来る人を指します。主に学校や職場などの場面で使われる言葉です。
遅咲き|おそざ|花が他の花より遅く咲くこと、または才能や成功が人より遅い年齢で現れること。ポジティブな意味でよく使われる。
遅延|ちえん|「遅延」は、予定された時間より遅れることを意味する名詞で、主に交通機関（電車、バス、飛行機）やプロジェクトの進行に関して使われます。単なる「遅刻」よりも組織的・客観的な響きがあり、個人の遅刻よりもシステムやスケジュール全体の遅れを指すことが多いです。ビジネスや公共交通のアナウンスで頻繁に聞かれる言葉です。
遅漏|ちろう|
遅配|ちはい|配達や配給が予定より遅れることです。新聞の遅配、給料の遅配、物資の遅配など、特に定期的に配られるものが遅れた場合に使われます。
遊び人|あそびにん|「遊び人」は、真面目に働かずに遊んで暮らしている人を指す言葉です。また、異性関係が派手な人という意味でも使われます。やや否定的なニュアンスを含むカジュアルな表現です。
遊園地|ゆうえんち|
遊弋|ゆうよく|艦船や潜水艦などが、一定の海域を警戒しながら行き来することを指す軍事・海事用語です。パトロールや哨戒活動の意味合いが強く、日常生活ではあまり使われません。
遊戯|ゆうぎ|「遊戯」は、遊びやゲーム、スポーツなどを総称するやや改まった言葉です。児童教育や娯楽施設の名称などで使われることが多く、特に「遊戯施設」「遊戯王」などの複合語でよく見られます。
遊撃手|ゆうげきしゅ|「遊撃手」は、野球のポジションの一つで、二塁と三塁の間を守る内野手です。英語の「shortstop（ショートストップ）」にあたります。守備範囲が広く、強肩が求められる重要なポジションです。
遊歩道|ゆうほどう|散歩や散策を楽しむために作られた道。公園や海沿い、川沿いなどに整備されている。
遊牧民|ゆうぼくみん|定住せず、家畜を連れて移動しながら生活する人々。モンゴルなどの草原地帯に多い。
遊芸|ゆうげい|「遊芸」は、茶道、華道、邦楽、舞踊などの芸事や趣味としての芸術的活動を指します。職業としてではなく、教養や楽しみとしての芸術というニュアンスがあります。やや古風な響きがあり、現代では「習い事」や「趣味」と言うほうが一般的です。伝統文化に関連する文脈で使われることが多いです。
遊蕩三昧|ゆうとうざんまい|「遊蕩三昧」は、仕事や責任を顧みずに遊びや享楽にふけることを表す四字熟語です。「遊蕩」は遊びほうけること、「三昧」は一つのことに深く没頭することを意味し、合わさることで「遊びにどっぷり浸かる」という強いニュアンスになります。江戸時代の遊び人や放蕩息子を描写する際に使われる古典的な表現で、現代ではやや古風で文学的な響きがあります。
遊説|ゆうぜい|「遊説」は、政治家や候補者が各地を回って演説し、自らの政策や主張を訴えることを指します。選挙期間中によく見られる活動で、選挙カーや街頭演説のイメージが強いです。政治的なニュースや報道で頻出する用語です。
遊軍|ゆうぐん|本隊とは別に自由に行動する部隊や組織。比喩的に、組織の中で固定的な任務を持たず柔軟に動く人や部署を指します。
遊離|ゆうり|「遊離」は、あるものから離れて独立することや、集団や規範から外れることを意味します。化学的な分離から社会的な乖離まで使われます。
運の尽き|つ|「運の尽き」は、それまで続いていた幸運が終わり、もう運が尽きてしまった状態を表す慣用句です。悪い出来事が続いたり、もう挽回できない状況に陥ったときに使われます。やや古風で劇的な表現で、物語や冗談めかした文脈でよく登場します。
運ぶ|はこ|「運ぶ」は、物や人をある場所から別の場所へ移動させることを意味する基本的な動詞です。荷物や家具などを物理的に運ぶ場合から、足を運ぶという意味でも使われます。会話・文章ともに幅広く使われます。
運休|うんきゅう|電車やバスなどの交通機関が運行を休止すること。天候不良や事故・工事などにより、全線または一部区間で予定されていた運行が行われない状態を指す。
運動さえすれば病気にならない|びょうき|「病」は病気や疾患を指す文語的・簡潔な表現です。「病気」より短く、力強い響きがあります。複合語として「持病」「悪病」「難病」などの形でよく使われ、書き言葉や堅い表現で好まれます。
運動して汗びっしょりです。|あせ|雨や汗などで衣服や体が完全に濡れている様子を表す擬態語です。強調の意味が強く、単なる「濡れた」より程度が激しいです。
運動不足は体に悪いと知れつつ、時間がなくて運動ができない。|うんどう|「不足」は、必要な量や数に足りない状態を意味します。お金や時間、人手、栄養など様々なものに使われます。日常会話からビジネスまで広く使われる語です。反対語は「過剰」や「充実」です。
運動会|うんどうかい|「うんどうかい」と読み、学校や地域で行われるスポーツイベントを指します。徒競走やリレー、団体競技などを行い、紅白に分かれて競います。日本の学校文化の重要な行事の一つです。
運動会で一位になったよ。|い|社会や組織における地位や階級、ランクを指します。身分や格式を表す「位」は「位が高い」「位に就く」のように使われます。「位」はまた助数詞として順位や順番を数えるのにも使われます。
運動会は9時に開会します。|かいかい|会議や式典、イベントなどを始めることです。開会式や開会宣言など、フォーマルな場面で使われることが多いです。
運動場|うんどうば|「運動場」は、学校や公園などにある、スポーツや遊びのために使われる広い屋外の場所を指します。校庭と似ていますが、より広い意味で使われます。日常会話でよく使われる基本的な名詞です。
運動場でサッカーをしよう。|うんどうば|「運動場」は、学校や公園などにある、スポーツや遊びのために使われる広い屋外の場所を指します。校庭と似ていますが、より広い意味で使われます。日常会話でよく使われる基本的な名詞です。
運動量|うんどうりょう|物理の「運動量」（質量×速度）を指すほか、日常生活では「体を動かした量」「エクササイズの量」を意味します。二つの異なる意味があるので文脈で判断が必要です。
運勢|うんせい|「運勢」は、人の運やめぐり合わせの勢い・状態を指します。占いや人生の転機などで使われることが多く、「運勢が良い」「運勢が悪い」のように、その時々の運の流れを表します。
運命|うんめい|人間の力では変えられない、あらかじめ定められた未来や巡り合わせを表します。恋愛や人生の話題でよく使われます。
運営|うんえい|組織や団体、イベントなどを計画的に動かしていくことを意味します。管理や経営に近い意味です。
運営上|うんえいじょう|「運営上（うんえいじょう）」は、組織やシステムを運営する上での観点から、という意味の複合語です。「運営上の問題」「運営上都合が悪い」のように、運営に関するさまざまな側面を指す際に使われます。「〜上」は「〜の観点から」という意味で、ビジネス文書でよく見られる硬めの表現です。
運営資金|うんえいしきん|「運営資金」は、組織や事業を継続的に動かすために必要な費用や資金を指します。会社やNPO、イベントなど、何かを運営する上で欠かせない金銭的な基盤です。設備投資ではなく、人件費や家賃などの日常的な支出に充てられるお金のニュアンスが強いです。
運搬|うんぱん|運搬は、荷物や物資を運び移動させることを意味します。ビジネスや物流の現場で使われる実用的な言葉で、「運搬作業」「運搬車両」のように複合語としてもよく使われます。日常会話では「運ぶ」の方が一般的で、運搬はやや業務的な響きがあります。
運河|うんが|「運河」は、船の交通や水の流れのために人工的に作られた水路です。オランダの運河や日本の小樽運河など、観光名所としても有名なものがあります。
運用|うんよう|機械やシステム、資金などを実際に使って動かすことを意味します。単なる「使用」よりも、管理・操作・稼働の全般を含む幅広い概念で、特にコンピュータや資産の分野で頻繁に使われます。
運痴|うんち|「運痴」は「運動音痴」の略で、運動能力が極端に低い人を指す俗語です。球技や走ることが苦手で、周りから「下手だ」と思われるような状況で使われます。ややからかいのニュアンスを含みますが、自分を卑下する時にも使います。
運行|うんこう|電車やバスなどの交通機関が決められた路線や時刻表に従って動くことを指します。ややフォーマルな表現です。
運賃|うんちん|交通機関を利用する際に支払う料金を指します。バスや電車、タクシーなどの乗り物に使われます。
運転の実技試験|しけん|「運転の実技試験」は、自動車運転免許を取得する際に実際に車を運転して行う試験のことです。筆記試験（学科試験）と対になる言葉で、路上試験や教習所内のコース試験などを指します。免許取得に関する文脈で使われる実用的な表現です。
運転中はよそ見をしてはいけません。|み|「他の場所」「別の所」を意味します。また、「自分に関係のないこと」という意味でも使われ、「よそにする」という形で無視や軽視のニュアンスを表します。
運転席|うんてんせき|「運転席」は、自動車などの運転者が座る席を指します。助手席や後部座席と区別する時に使われます。車に関する会話でよく登場する具体的な名詞です。
運転見合わせ|みあ|「運転見合わせ」は、鉄道やバスなどの公共交通機関が、事故や災害などの理由で運行を一時的に停止することを指します。ニュースや駅のアナウンスでよく聞かれる表現で、通勤・通学時の混乱を連想させます。復旧の見込みが立たない不安感を伴うことが多いです。
運転資金|うんてんしきん|「運転資金」は、事業を継続するために必要な日常的な資金を指すビジネス用語です。給料の支払いや仕入れなどのために使われ、設備投資などのための資金と区別されます。
運輸|うんゆ|人や物を輸送すること全般を指します。鉄道、トラック、船舶、航空などによる交通・物流の分野です。
運輸省|うんゆしょう|「運輸省」は、日本の中央省庁の一つで、交通や運輸に関する行政を担当していた機関です。現在は国土交通省に統合されていますが、昔の名称として使われることがあります。鉄道、航空、海運などの分野を管轄していました。
運輸量|うんゆりょう|「うんゆりょう」と読み、交通機関によって運ばれる人や物の数量を表します。物流や交通統計の分野で使われる専門用語で、トン数や人キロなどの単位で示されます。
運送|うんそう|貨物や荷物を目的地まで運ぶこと、またはその業務を指します。トラック運送や海上運送など、輸送手段を問わない広い概念です。
運送屋|うんそうや|荷物や貨物を運ぶことを専門とする業者を指します。引っ越しや配送のサービスを提供する会社のことを日常的に言う言葉です。
遍く|あまね|「遍く」は広く行き渡っている様子を表す副詞で、文語的・格式ばった響きがあります。「全国に遍く」「世の中に遍く」のように使われ、単なる「広く」より深い浸透や網羅性を感じさせます。
過ぎ去った|すぎさ|時間が経過して、もう過去のものになったことを表す動詞の連体形です。後悔や懐かしさのニュアンスを伴うことが多いです。
過る|よぎ|目の前や心の中を一瞬通り過ぎることを意味します。考えや思いが浮かんでは消える様子にも使います。
過分|かぶん|自分の能力や身分に対して過ぎている、つまり過剰であることを意味します。謙遜の表現として使われることが多いです。
過剰反応|かじょうはんのう|「過剰反応」は、ある刺激や出来事に対して必要以上に強く反応することを意味します。感情的な反応やアレルギー反応など、様々な文脈で使われます。
過剰摂取|かじょうせっしゅ|必要な量を超えて、薬や栄養素、食べ物などを過度に体内に取り入れることを指します。健康や医療の文脈でよく使われます。
過剰防衛|かじょうぼうえい|法律用語で、自分を守るための防衛行為が必要以上に強すぎる場合を指します。刑法の概念で、正当防衛と区別されます。
過労|かろう|過労は、働きすぎによって体や心に疲労が蓄積した状態を指します。日本の社会問題としてもよく話題になる言葉で、健康や労働環境に関する文脈で使われます。
過半数|かはんすう|
過去|かこ|「過去」は、現在より前の時間、すでに過ぎ去った時期を指します。歴史や個人の経験など、幅広い文脈で使われる非常に基本的な名詞です。未来や現在と対比して使われることが多いです。
過去を省みる|かえり|「過去を省みる」は、自分の過去の行動や経験を振り返って反省したり、そこから学んだりすることを意味します。「省みる」は「かえりみる」と読み、自己反省のニュアンスが強いです。
過去形|かこけい|「過去形」は、文法用語で、動詞や形容詞が過去の出来事を表すときに使う形のことです。日本語の「〜た」形や英語の過去形などを指します。言語学習の文脈でよく使われます。
過呼吸|かこきゅう|呼吸が異常に速くなり、体内の二酸化炭素が過剰に排出される状態を指します。ストレスやパニック発作などが原因で起こることが多い医学用語です。
過多|かた|「過多」は、必要以上に多すぎる状態を指します。特に情報や栄養、入射などに使われます。
過大|かだい|「過大」は、程度や規模が適切な範囲を超えて大きすぎることを意味します。「過大評価」「過大請求」「過大広告」のように、ネガティブな複合語で使われることが多いです。
過大視する|かだいし|実際よりも大きく評価したり、重要視しすぎること。
過大評価|かだいひょうか|「過大評価」は、物事や人物の価値や能力を実際よりも高く評価することを意味します。ビジネスや学術の文脈でよく使われ、客観的な基準よりも主観的に高く見積もりすぎた場合に用いられます。否定的なニュアンスを含むことが多いです。
過失|かしつ|「過失」は、注意すべきことを怠ったために起こったミスや事故を指す法律用語です。故意ではないが、注意義務を果たさなかったために生じた結果を意味します。
過密|かみつ|過密は、人や物が必要以上に密集している状態を指します。都市の人口過密やスケジュールの過密など、空間的・時間的な詰まりすぎを表すネガティブな言葉です。
過密なスケジュール|かみつ|「密な」は、隙間がなく詰まっている状態や、関係が緊密であることを表す形容動詞です。物理的な密度から人間関係の親密さまで、様々な文脈で使われます。
過小評価|かしょうひょうか|過小評価は「実際の価値より低く評価すること」を意味します。人や物事の能力や価値を正当に認めず、低く見積もることを指します。ビジネスや人間関係の文脈でよく使われる語です。
過年度|かねんど|過去の年度のこと。会計や学校の文書で使われる事務的な用語。
過払い|かばら|本来支払うべき金額よりも多く支払ってしまうことを指します。特に請求金や税金、保険料などの場面で使われます。
過敏|かびん|過敏は、刺激に対して必要以上に敏感に反応してしまう状態や性質を指します。皮膚や神経、アレルギーなど身体的なものから、対人関係の心の反応まで使われます。
過渡期|かとき|「過渡期」は、ある状態から別の状態へ移り変わる途中の時期を指します。社会や技術、組織などが変化している不安定な期間を表すのに使われます。
過激|かげき|「過激」は、考え方や行動が度を超している、極端であることを表す形容動詞です。政治的な過激派や、過激な発言、過激なスポーツなど、ネガティブな文脈で使われることが多いです。
過激派|かげきは|政治的・宗教的・思想的に急進的で、時には暴力も辞さない立場をとる集団。既存の秩序や社会規範に挑戦する強い印象を与える言葉。
過熱|過熱[かねつ]|物事が必要以上に熱くなりすぎる状態を指します。機械のオーバーヒートから、経済や市場の加熱、さらには議論が過熱するといった比喩的な使い方まで幅広く用いられます。ネガティブな文脈で使われることが多く、制御不能になりかかっている状態を暗示します。
過疎|かそ|人口が減少して、地域が非常に寂しくなること。特に地方の過疎化問題について使われる。
過程|かてい|物事が進んでいく途中の段階や経過を指します。
過言|かごん|「過言」は実際よりも大げさに言い過ぎること、または誇張した表現を指します。「〜と言っても過言ではない」という定型表現でよく使われ、強い主張を述べる際に用いられます。
過負荷|かふか|「過負荷」は、許容範囲を超えた負担や荷重がかかる状態を指します。電気機器の回路に過剰な電流が流れる場合や、仕事や勉強の負担が大きすぎる場合など、物理的・精神的な両方の文脈で使われます。
過酷|かこく|「過酷（かこく）」は、条件や環境が非常に厳しく、耐え難いほどであることを表す形容動詞です。「厳しい」よりも程度が強く、肉体的・精神的に大きな負荷がかかる状況を指します。「過酷な労働条件」「過酷な自然環境」「過酷なトレーニング」のように使われ、ネガティブな意味合いが強いですが、その厳しさを乗り越えた先には成長があるという文脈でも用いられます。
過重|かじゅう|「過重」は重さや負担が過度であることを意味します。物理的な重さ（過重労働）や精神的な負担（過重な責任）の両方で使われます。「過重労働」という形で長時間労働や過度な業務負荷を指すことが多いです。
過食する|かしょく|必要以上に多くの食べ物を食べることを指します。健康やダイエットの話題で使われることが多く、ややネガティブな意味合いがあります。
過食症|かしょくしょう|一度に大量の食べ物を食べてしまうことを繰り返す摂食障害の一種です。医学的には「神経性大食症」とも呼ばれます。本人の意思だけではコントロールが難しく、専門的な治療が必要な場合があります。
道が込んでいると時間がかかる|じかん|「かかる」は、非常に多義的な動詞です。風邪などの病気にかかる、費用や時間がかかる、電話がかかる、橋がかかる、など様々な意味があります。日本語学習者にとっては使い分けが難しい動詞の一つです。
道すがら|みち|「道すがら」は道を歩いたり移動したりする途中のことを指します。「道すがら考え事をする」「道すがら花を眺める」のように、移動中に何かをする状況を表します。やや文語的な響きがあります。
道でばったり彼女に会いましてね。|あ|予期せずに人に出会うこと、または物事が突然止まることや倒れることを表す擬態語です。偶然の再会や、急な中断・停止の様子を表現します。
道なりに|みち|「道なりに」は、道の曲がり角に沿って、道が進む方向に従って進むことを意味します。地図なしで、道の形状に従って進むイメージです。
道に人だかりができている|ひと|多くの人が一か所に集まっている状態を指します。事件やイベントの現場などで使われる日常的な表現です。
道に土の塊ができてたよ。|かたまり|「塊」は、固体の物質が集まって一つのかたまりになったものを指します。肉の塊、金の塊、氷の塊など、物理的な塊のほか、「不安の塊」「人情の塊」のように、抽象的なものの凝縮した状態を比喩的に表すこともあります。
道の両側にたくさんお店がありますよ。|たな|物の左右両方の側面を指します。道路や川、建物などの位置を説明するときによく使われます。
道は通行止めだし。これではそこへ行きようがない。|い|道や通路などを通って行き来することを指します。交通や歩行者の移動に関連して使われます。
道中|どうちゅう|旅の途中、道すがら。旅の道中の出来事や様子について話すときに使われます。「道中お気をつけて」のような定型表現もあります。
道具屋|どうぐや|
道化|どうけ|「道化」は、人を笑わせるために滑稽な振る舞いをする役割や人物を指します。サーカスや劇場の「道化師（ピエロ）」が代表的で、社会や人間の愚かさを風刺的に描くこともあります。単なる「お笑い」よりも、悲哀や皮肉を含んだ複雑なニュアンスがあり、時に「道化役」に徹することで本心を隠すという含意もあります。
道化師|どうけし|「道化師」は、サーカスや舞台などで笑いを取る役割を担う人を指します。派手な衣装とメイクでおどけた動きをし、観客を楽しませます。ピエロとほぼ同義ですが、「道化師」はやや文語的で文学的な響きがあります。比喩的に人生の道化師のように使われることもあります。
道化芝居|どうけしばい|道化師が登場する芝居、転じて滑稽で現実味のない出来事や状況を皮肉的に指す表現です。茶番やごまかしに対する批判的なニュアンスを含みます。
道場破り|どうじょうやぶ|「道場破り」は、武道の修行者が他の道場を訪ねて試合を挑み、実力を確かめる行為、またはそのような人物を指します。伝統的な剣道や柔道の世界で使われてきた言葉で、転じて、ゲームなどで次々に相手を倒していく様子を比喩的に表現することもあります。
道徳|どうとく|「道徳」は、社会の一員として守るべき正しい行為や善悪の基準を指します。学校の教科としても教えられ、人としての正しい生き方や倫理観を養うための規範です。ややフォーマルで、教育や哲学の文脈でよく使われます。
道徳的に正当化される|か|自分の行為や考えに正当な理由や根拠があると主張することです。時に言い訳として使われることもあります。
道教|どうきょう|中国三大宗教の一つである道教を指します。老子や荘子の思想を基盤とし、不老長寿や自然との調和を重視する中国独自の宗教・哲学体系です。中国語では「ダオジャオ」と発音されます。
道楽|どうらく|趣味や楽しみを指す一方で、度が過ぎた遊興や道楽に溺れるという両方の意味を持つ言葉です。肯定的にも否定的にも使われ、文脈によってニュアンスが変わります。
道標&nbsp;|どうひょう|「道標」は、道案内のための標識や、進むべき方向を示すものを指します。比喩的には、人生の指針や目標を表すこともあります。
道理で|どうり|相手の言動を聞いて、それまでの疑問が解決し、納得した時に使う言葉です。「なるほど、だから」という意味です。
道理に適う|かな|物事の筋道や論理に合っていて、納得がいく状態を表す慣用句です。ある考えや行動が理屈に合っていて正しいと判断される時に使われます。
道程 - 道のり|みち|「道程」は「どうてい」と読み、目的地までの物理的な距離や、目標達成までの過程・経路を指す。比喩的にも使われる硬い表現。
道端|みちばた|「道端」は道路の端、歩道の脇の部分を指します。道の中央ではなく、端の方のエリアを意味します。日常会話でよく使われる語で、「道端に花が咲いている」「道端に落ちている」などの表現で使われます。
道端に帽子が落ちていた|お|「端」は、物の始まりや終わりの部分、あるいは周辺の部分を指す名詞です。机の端、道の端、話の端など、さまざまなものに使われます。
道筋をつける|みちすじ|「道筋をつける（みちすじをつける）」は、物事を進めるための道筋や方法を明確にして、スムーズに進行できるように準備することを意味する慣用句です。ビジネスやプロジェクト管理の文脈でよく使われます。文字通り「道を作る」というイメージから、比喩的に「前もって段取りを整える」というニュアンスです。
道義心|どうぎしん|「道義心」は、道徳的な正しさや倫理的な責任感を表す言葉です。法律ではなく、個人の良心や社会のモラルに基づいた「こうすべきだ」という気持ちを指します。フォーマルで堅い印象の言葉です。
道義的|どうぎてき|「道義的」は、道徳や正義の観点から見て正しいこと、またはそれに関することを表す形容動詞です。法律的な責任ではなく、倫理的な責任や義務を指す場合に使われます。
道草|みちくさ|「道草」は、本来の目的地に向かう途中で、道端の草むらに足を止めて無駄な時間を過ごすことを指します。転じて「目的の達成を後回しにして、寄り道をして遊ぶこと」という比喩的な意味でよく使われ、「道草を食う」という慣用句が一般的です。子供が学校からの帰りに遊んで帰宅が遅くなるようなシチュエーションでよく登場します。「道草を食うな」という注意表現で使われることも多いです。
道路|どうろ|車や人が通るための道を指します。街中や郊外など、様々な場所にあり、交通の重要な役割を果たします。
道路標識|どうろひょうしき|「道路標識」は、道路上に設置された交通案内や規制を示す標識の総称です。制限速度、停止、一方通行、案内表示など様々な種類があります。運転免許の試験でも重要な項目で、交通安全の基本となる知識です。
道連れにする|みちづ|「道連れにする」は、自分と同じ道を歩ませる、つまり自分と一緒に何かをさせることを意味しますが、多くの場合、否定的な結果や危険に巻き込むニュアンスがあります。特に「自殺しようとするとき、自分も死なせる」という意味で使われることもあります。日常会話では「巻き添えにする」に近い感覚です。
道道|みちみち|道を進む途中、道中のあらゆる場面や場所。
道順|みちじゅん|
達て|たっ|「達て」は、無理をお願いしてでも強く希望する様子を表す副詞です。難しいことだと分かっていながらも、どうしてもお願いしたいという気持ちを伝えます。
達人|たつじん|ある分野で非常に優れた技術や知識を持っている人のことを指します。師匠や名人よりも現代的な響きがあります。
達成|たっせい|目標や目的を成し遂げることを意味します。仕事や勉強、スポーツなど様々な分野で使われる一般的な言葉です。
達成感|たっせいかん|目標や課題を成し遂げた時に感じる満足感や充実感を表します。仕事や勉強、スポーツなど様々な場面で使われます。
達磨|だるま|禅宗の始祖である達磨大師を模した、丸い張り子の人形。願い事を込めて目を書き入れ、叶ったらもう一方の目を入れる。縁起物として有名。
達筆|たっぴつ|字を書くのが上手なこと、またはその書いた文字そのものを褒める表現です。手書きの手紙や年賀状で「達筆ですね」と相手を褒める時に使います。やや丁寧でフォーマルな褒め言葉です。
達者|たっしゃ|年を取っても体が元気で健康であること、または技術や能力に優れていることを表す形容動詞です。
達観|たっかん|物事の本質を見極め、こだわりを捨てて広い視野で受け入れる心の状態を指します。特に、人生の浮き沈みや運命に対して動じない、悟ったような態度を表現します。
違反|いはん|法律や規則、契約などを破ること。単にルールを守らないというより、社会的・法的な規範に反するというやや硬い印象の言葉です。軽いミスというより、明確なルール侵害を指します。
違和感|いわかん|何かが普段と違って落ち着かない、しっくりこないという感覚を指します。不快感ほど強くなく、微妙なずれを感じるときに使います。
違法駐車の取り締まりが厳しくなったの。|きび|「取り締まり」は、規則や法律に違反する行為を監視し、制止・処罰することを指します。交通違反の取り締まりや、薬物の取り締まりなど、警察や行政機関による規制のニュアンスが強いです。
違約金|いやくきん|「違約金」は、契約や約束を破った場合に支払う金銭的なペナルティを指します。賃貸契約の解約、契約の不履行、期限の遅延など、様々な場面で発生する法的な概念です。ビジネスや契約書の文脈で頻繁に登場する実用的な法律用語で、契約の重要性を金銭的に担保する役割を果たします。
遜色|そんしょく|他のものと比べて品質や出来栄えが劣っていること。多くは「遜色ない」という否定形で使われ、「引けを取らない」「見劣りしない」という意味になります。
遜色ない|そんしょく|他のものと比べて見劣りしないこと。品質や能力が同等以上であるという評価。
遠く及ばない|およ|
遠のく|とお|距離や時間的に遠くなること、または意識が薄れていくことを意味します。物理的にも比喩的にも使われます。
