損得|そんとく|Advantage and disadvantage
感覚|かんかく|Sense / Sensation (think 5 senses)
一旦|いったん|Once / For a while
変色|へんしょく|To change colour
手招く|て まねく|To beckon (wave over)
住み分け|みすみわけ|compartmentalization / segregation / isolation
子供じみた|こどもじみた|childish; child-like; immature; infantile
酸は金属を侵す。|さんは きんぞくを おかす|Acids act on metals
固辞|こじ|firm refusal
機首|きしゅ|nose (of plane)
当たらずといえども遠からず。|あたらずといえども とおからず|Close, but not quite. (lit., Although it is not exactly right, it is not far off
悪人さえも往生するのなら、まして善人はなおさらだ。|あくにんさえも おうじょうするのならまして ぜんにんはなおさらだ|If even a bad person can go to heaven, then a good person has an even better cha
違約金|いやくきん|Penalty for contract breach
刃物|はもの|Edged tool / Cutlery
岐路|きろ|Forked road / Crossroads
横文字|よこもじ|European language / roman letters
女神|めがみ|Goddess
立て直す|てたてなおす|To rally / To reorganize
水晶|すいしょう|Crystal
戦争中、人々は多くの難儀を経験した。|せんそう ちゅう ひとびとは おおくの なんぎを けいけんした|During the war people went through many hardships
断る|ことわる|To reject / refuse
手を打つ|てを うつ|To take measures (in face of anticipated events) / To come to an agreement / To 
追い立てる|いおいたてる|to drive away
斜めに|ななめに|diagonally, obliquely, slantingly, slantwise
歓喜|かんき|Delight / Great joy
とろとろ|とろとろ|Gently / Simmering
才覚|さいかく|Ready wit / quick wits
