数目|shùmù|Amount / Number
北极|běijí|The north pole
局长|júzhǎng|Bureau chief
心地|xīndì|Nature of one's mind; character; heartNuance:心地 is a term that describes the inherent moral and emotional quality of a person's inner mind or character. It refers to the fundamental nature of one's th
正直|zhèngzhí|Upright / Upstanding / Honest
鳝鱼|shànyú|Eel
思忖|sīcǔn|To ponder / to turn something over in ones mind
炸弹|zhàdàn|A bomb
夷为平地|yíwéipíngdì|To raze to the ground / To level
雪崩|xuěbēng|Avalanche
处境|chǔjìng|Unfavourable situation / Plight
精美|jīngměi|Delicate / Fine / Refinement
花卉|huāhuì|Flowers and plants
图案|tú àn|Design / Pattern
扑灭|pūmiè|To extinguish (eg fire) / to eradicate
聋|lóng|Deaf
哑|yā|Mute / Dumb
脚踝|jiǎohuái|Ankle
何不|hébù|Why not? (as in Why not do something?)
赛场|sàichǎng|Field (ie for sport, for football) / racetrack
唠叨|láodao|To prattle / To chatter / talkative / To nag
法老|fǎlǎo|Pharaoh
永生|yǒngshēng|Eternal life
冰球|bīngqiú|Ice hockey
当真|dāngzhēn|To take seriously / serious / No joking, really!
班机|bānjī|Airliner / Airplane
消磨时间|xiāomóshíjiān|To kill time
消磨|xiāomó|To wear down / to whittle away / to idle away
欠|qiàn|To owe / to lack / deficient
精湛|jīngzhàn|Exquisite / professional? consummate?
洗刷|xǐshuā|Wash / Brush / Scrub
清扫|qīngsǎo|To tidy up / to mop up / a sweep (against crime!)
不停|bùtíng|Incessant
噪声|zàoshēng|Noise
必需品|bìxūpǐn|Necessity / Essential thing
樱桃|yīngtáo|Cherry
不平|bùpíng|Uneven / Unfairness
版税|bǎnshuì|Royalty (on books)
卖出|màichū|To sell
家常菜|jiāchángcài|Home cooking
家常|jiācháng|The daily life of a family
水痘|shuǐdòu|Chickenpox
司令部|sīlìngbù|Headquarters / Military command center
含有|hányǒu|To contain / including (eg alcohol)
酒精|jiǔjīng|Alcohol / Ethanol
升空|shēngkōng|To lift off / to rise to the sky
翻阅|fānyuè|To leaf through; to browse; to flip throughNuance:翻阅 describes the action of quickly or casually looking through a book, document, or collection of pages, often to find specific information or get a g
柜子|guìzì|Cupboard / Cabinet
顺差|shùnchā|Trade Surplus / Surplus (in balance of payments)Nuance顺差 is an economic term that refers to a surplus in a country's balance of trade or balance of payments—specifically, when the value of exports exc
恐怖分子|kǒngbùfènzǐ|Terrorist
财源|cáiyuán|Financial resources / source of revenue
电灯|diàndēng|Electric light
织布|zhībù|"to weave cloth"Nuance:织布 is a straightforward verb-object construction meaning the act of weaving fabric from threads, typically using a loom. It refers to a traditional craft and industry, closely t
合家欢|héjiāhuān|Group photo of whole family
有所|yǒusuǒ|Somewhat / To some extent
比分|bǐfēn|Score (of a match)
车间|chējiān|Workshop
机床|jīchuáng|Machine tool
发电|fādiàn|To generate electricity
脱离|tuōlí|To break away from / To separate oneself from
非法|fēifǎ|Illegal
特写|tèxiě|Close up (filmmaking, photography etc) / feature article
问世|wènshì|To be published / to come out
公认|gōngrèn|Publicly known (to be) / accepted (as)
送行|sòngxíng|To see someone off
快门|kuàimén|Shutter (for a camera)
双关语|shuāngguānyǔ|Pun / Play on words / A phrase with a double meaning
而已|éryǐ|That's all, nothing more
听讲|tīngjiǎng|To listen to a talk / To attend a lecture
比方|bǐfang|Analogy / Figure of speech
外层空间|wàicéngkōngjiān|Outer space
校园|xiàoyuán|(school, uni) campus
查明|chámíng|To ascertain / To investigate and find out
真相|zhēnxiàng|The truth about something / The actual facts
大写|dàxiě|Capital letters / Uppercase letters
为生|wéishēng|To make a living
照常|zhàocháng|(business etc) as usual
果园|guòyuán|Orchard
有关联|yóuguānlián|To be correlated / related to / concerning
动员|dòngyuán|To mobilise (people)
操作|cāozuò|To work / To operate
蛋黄|dànhuáng|Egg yolk
分数|fēnshù|Fraction / Score
坚定|jiāndìng|Resolute / Firm / Steady / Staunch
祖先|zǔxiān|Ancestor / Forebears
包装|bāozhuāng|To pack / To package / To wrap / Packaging
是非|shìfēi|Right and wrong
祖父|zǔfù|Fathers father / Paternal grandfather
时兴|shíxīng|fashionable; in vogue; trendyNuances:This term describes temporary popularity or trends, emphasizing their current rather than lasting appeal. It often applies to fads in clothing, hobbies, or cultura
和气|héqi|Amiable / Friendly / Polite
不大|bùdà|Not very (willing etc)
遇见|yùjiàn|To meet
热心|rèxīn|Enthusiasm / Zeal
马车|mǎchē|Cart / Carriage / Chariot / Horse car :D
低矮|dī ǎi|Short / Low
相交|xiāngjiāo|1. (Lines, roads, etc.) To intersect; to cross each other.2. (People) To associate with; to have social interactions.Nuances:In geometry/physics, "相交" is a neutral term for lines/planes crossing.For r
斜靠|xiékào|To recline
风趣|fēngqù|Humor / Wit
另加|lìngjiā|To add to / Extra
晓得|xiǎo de|To know (something)
典礼|diǎnlǐ|Ceremony / Celebration
油墨|yóumò|Printing ink
日程表|rìchéngbiǎo|Daily schedule
变通|biàntōng|Pragmatic / Flexible / To accommodate to circumstances
保密|bǎomì|To maintain secrecy / To keep something confidential
躲藏|duǒcáng|To hide oneself
甜食|tiánshí|Dessert / Sweet
崇高|chónggāo|Majestic / Sublime
挥手|huīshǒu|To wave
肃静|sùjìng|Silence; quiet; solemn silenceNuance:肃静 is a term that commands or describes a state of solemn, respectful silence. It goes beyond mere absence of noise to imply a quiet that is intentional, formal, a
点头|diǎntóu|To nod&nbsp;
肺|fèi|Lung
歇|xiē|To rest
肥皂|féizào|Soap
看台|kàntái|Viewing platform
混合|hùnhé|To mix / To blend
落入|luòrù|To fall into
设|shè|To set up / To establish
圈套|quāntào|Trap / Snare
虚弱|xūruò|Weak / In poor health
跳跃|tiàoyuè|To skip / To leap / To jump
掏腰包|tāoyāobāo|To foot the bill / To pay
发怒|fānù|To get angry
消化|xiāohuà|To digest
乐队|yuèduì|Orchestra / Band / Pop group
乐器|yuèqì|Musical instrument
调音|tiáoyīn|To tune (a musical instrument)
撕|sī|To tear (a scarf! paper)
母子|mǔzǐ|Mother and child
均|jūn|Even / All / Equal
磁力|cí lì|Magnetic force / Magnetic
自命不凡|zìmìngbùfán|To think too much of oneself / self important / arrogant
保险丝|bǎoxiǎnsī|Fuse wire / Electrical fuse
摇滚乐|yáogǔnyuè|Rock n roll / Rock music
