挡风玻璃|dǎngfēngbōli|Wind screen / Windshield
支撑|zhīchēng|To prop up / To support&nbsp;
四处|sìchù|All over the place / Everywhere and all directions
捕获|bǔhuò|To catch / To capture / To seize
豪猪|háozhū|Porcupine
打仗|dǎzhàng|To fight a battle / To go to war
隐隐作痛|yǐnyǐn zuòtòng|To ache dully
逝世|shìshì|To pass away / To die
英亩|yīngmǔ|Acre
耕种|gēngzhòng|To cultivate / To farm
牢|láo|Prison
击沉|&nbsp;jīchén|To attack and sink (a ship)
蹲|dūn|To crouch / To squat / To stay (somewhere)
炉火|lúhuǒ|The fire of a stove
口琴|kǒuqín|Harmonica
真迹|zhēnjì|Authentic (painting) &nbsp;/ Genuine work
卷曲|juǎnqū|To curl; to roll up; to be wavy or spiraled. Nuance: 卷曲 describes the physical shape of something bending or curling, often naturally or due to external influence. It can be used for hair, leaves, pap
烫伤|tàngshāng|To scald (burn)
药膏|yàogāo|Ointment
华氏|huáshì|Fahrenheit
指甲|zhǐjiǎ|Fingernail
诬告|wūgào|To accuse falsely / To frame somebody
愤愤不平|fènfèn bùpíng|To feel aggrieved / To feel indignant
股市|Gǔshì|Stock market
暴跌|bàodiē|Steep fall (in price)
导火索|dǎo huǒ suǒ|A fuse (for an explosive)
塑胶|Sùjiāo|Plastic
皮革|pígé|Leather
替代|tìdài|To substitute for / To replace
涉足|shèzú|To step foot in / To step into / To become involved for the first time (some new activity etc)
海洋|Hǎiyáng|Ocean
水域|shuǐyù|Waters / Body of water
丛林|cónglín|jungle / tropical forest
妥善|tuǒshàn|Appropriate / Proper
完毕|wánbì|To finish / To end / To complete
跪下|guì xià|To kneel down
焦虑|jiāolǜ|Anxious / Worried
张力|zhānglì|Tension
侨民|qiáomín|Expats
邮递员|yóudìyuán|Postman
攀登|pāndēng|To climb / To pull oneself up / To clamber
发霉|fāméi|To become moldy
胡椒粉|hújiāo fěn|Ground pepper (like on my steak!)
声波|Shēngbō|Sound wave
牙科医生|Yákē yīshēng|Dentist
患者|huànzhě|Patient / Sufferer
补牙|bǔyá|To fill a tooth (cavity) / Have a tooth filled
细胞|xìbāo|Cell (biology)
人体|Réntǐ|Human body
装置|zhuāngzhì|Equipment / Apparatus / To install / Installation
宇航员|Yǔháng yuán|Astronaut
封建|Fēngjiàn|Feudalism
诗歌|shīgē|Poem
朗诵|lǎngsòng|To read aloud with expression / To recite
甲板|jiǎbǎn|Deck (of a ship)
单子|dānzi|List of items / form
核对|héduì|To check / To verify / To audit / To examine
副手|fùshǒu|Assistant / Deputy
辞去|cíqù|To resign / To quit
单独|dāndú|Alone / By oneself
浴室|yùshì|Bathroom
才智|cáizhì|Ability and wisdom
磨练|móliàn|To temper oneself / To steel onself / self-disciple / endurance
世代|Shìdài|Generation / An era
居住|jūzhù|To reside / To dwell / To live in a place
敬爱|jìng'ài|Respect and love
以此|yǐ cǐ|Because of this / Thereby / Thus
削减|Xuējiǎn|To reduce / To cut down
举棋不定|jǔqíbùdìng|To hesitate over what move to make / To waver
即付|jí fù|To pay on demand
见票即付|jiàn piào jí fù&nbsp;|Payable on sight / Payable to bearer
客轮|kèlún|Passenger ship
相撞|xiāng zhuàng|Collision / Crash
束缚|shùfù|To bind / restrict
凝结|níngjié&nbsp;|To condense / To solidify / To coagulate / Clot (of blood)
冲洗|chōngxǐ|To rinse / wash
高原|gāoyuán|Plateau
幼稚|yòuzhì|Childish / Naive / Young
单方|dānfāng|Unilateral / One sided
裁军|cáijūn|Disarmament
岛屿|dǎoyǔ|Island
冷酷|lěngkù|Callous / Unfeeling
辩解|biànjiě|To justify / To defend oneself / to explain
所能|suǒ néng|What somebody is capable of / according to ones capabilities
撕裂|sī liè|To rip apart / To tear
尤指|yóu zhǐ|Especially / Particularly
脑袋|nǎodai|Skull / Head / Brains
霜冻|shuāngdòng|Frost / Frost damage
销售额|xiāoshòu é|Sales figure / Total income from sales / turnover
分析|fēnxī|To analyze / Analysis
铝|lǚ|Aluminum
合金|héjīn|Alloy
通告|tōnggào|To announce / To give notice
视为|shì wéi|To view as / To see as / To consider to be
迈向|mài xiàng|To stride towards (success) / To march toward / To take a step toward
最终|zuìzhōng|Final / Ultimate
核武器|héwǔqì|Nuclear Weapons
奥运会|Àoyùnhuì|The Olympics
审判|shěnpàn|To trial / To try somebody
不公|bùgōng|Unjust / Unfair
宫殿|gōngdiàn|Palace
遗产|yíchǎn|Legacy / Heritage / Inheritance
谷物|Gǔwù|Cereal / Grain
土壤|tǔrǎng|Soil
高质量|gāo zhìliàng|High quality
制造厂|zhìzào chǎng|Manufacturing plant / factory
销路|xiāo lù|Market / Sale / State of the market
生态|shēngtài|Ecology
现存|xiàncún|Existent / In stock
原稿|yuángǎo|Original copy / Manuscript
收藏|shōucáng|To collect / Collection / To hoard
园丁|yuándīng|Gardener
十二宫|Shí'èr gōng|The 12 signs of the zodiac (gemini / aries etc)
占星术|zhānxīng shù|Astrology
竭力|jiélì|To do ones utmost
雄心|xióngxīn|Ambition; grand aspirations; lofty goals.Nuance雄心 is a noun that refers to a person's strong ambition or desire to achieve great things, often on a grand scale. The term combines 雄 (heroic, powerful) 
毒素|dúsù|Poison / Toxin
微量|wéiliàng|A smidgen / trace (of element)
接缝|jiē fèng|Seam / Join / Juncture
粘合|nián hé|To bind / stick together
防洪|fánghóng|Flood prevention
苦头|kǔtóu|Sufferings
出售|Chūshòu|To offer for sale
枪支|qiāngzhī|A gun / guns in general
唤起|huànqǐ|To waken (to action) / To rouse (the masses) / To evoke (recollection etc)
焦|jiāo|Burnt / Scorched
殖民地|Zhímíndì|Colony
山腰|shānyāo|Halfway up a mountain (lit: waist of mountain)
扇形|shànxíng|"Circular sector" / fan shaped
散开|sànkāi|To separate / To disperse
挑选|tiāoxuǎn|To choose / To select
有备无患|yǒubèiwúhuàn|Preparedness averts peril / To be prepared / Just in case (idiom)
~ 坏了|huàile|(suffix) to the upmost
目不转睛|mùbùzhuǎnjīng|Unable to take ones eyes off (idiom) / To stare
蜂涌|fēng yǒng|To swarm / To flock
