义肢|yìzhī|NOUN artificial (or prosthetic) limb
中风|zhòngfēng|NOUN apoplexy; stroke; palsy VERB (-//-) suffer a stroke; have a stroke &#27515;&#20110;&#20013;&#39118; s&#464; y&#250; zh&#242;ngf&#275;ng die of apoplexy; die from a stroke
灭菌|miè//jūn|VERB sterilize; disinfect
换新|huànxīn|1&#9;to replace with sth new 2&#9;to upgrade
填饱|tiánbǎo|1&#9;to feed to the full 2&#9;to cram
赎罪|shú//zuì|"to atone for one's sins/crimes," "redemption" (the act of making amends for wrongdoing through penance, compensation, or moral reform).Nuance:Carries religious/moral weight, often implying a arduous,
清点|qīngdiǎn|To check; to inventory; to count and verify.Nuance清点 is a verb that describes the action of carefully counting and verifying items, typically to ensure an accurate tally for administrative, financial,
焦渴|jiāokě|ADJECTIVE terribly thirsty; parched &#28966;&#28212;&#38590;&#32784; ji&#257;ok&#283; n&#225;nn&#224;i unbearably thirsty
难耐|nánnài|ADJECTIVE hard to bear; unbearable &#38590;&#32784;&#30340;&#19981;&#30496;&#20043;&#22812; N&#225;n n&#224;i de b&#249; mi&#225;n zh&#299; y&#232; a tormenting sleepless night
绝食|jué//shí|VERB go on a hunger strike; fast &#32477;&#39135;&#38745;&#22352; ju&#233;sh&#237; j&#236;ngzu&#242; sit-down hunger strike
乞讨|qǐtǎo|VERB beg; go begging &#27839;&#34903;&#20062;&#35752; y&#225;nji&#275; q&#464;t&#462;o go begging from door to door
侍奉|shìfèng|To Serve / To Attend Upon / To Wait UponNuance侍奉 is a verb that describes serving or attending to someone with respect, devotion, and often a sense of duty. It carries a formal, traditional connotatio
辟邪|bì//xié|"To ward off evil; to avert malicious forces" (the act of repelling or protecting against harmful supernatural influences).Nuances:辟邪 (bì xié) combines 辟 (bì, "to repel") + 邪 (xié, "evil/demonic force
禁闭|jìnbì|Confinement; solitary confinement; to be locked up (as a punishment).Nuance禁闭 is a noun and verb that refers to the act of confining someone to a restricted space as a form of punishment or discipline
疏远|shūyuǎn|to drift apart; to become distantNuances:This term describes the gradual process of emotional or relational distance developing between people, often due to time, physical separation, or changing circ
略知一二|lüèzhī-yī'èr|IDIOM have only a smattering of; know only a little about
谈资|tánzī|conversation material; topic for discussionNuances:This term refers to anecdotes, news, or information people use to enliven social interactions. It implies content that is interesting, shareable, and
模范|mófàn|Model; paragon; exemplary (individual or behavior).Nuance模范 is a noun and adjective that describes a person or thing considered worthy of imitation due to their outstanding qualities, conduct, or perf
违规|wéi//guī|VERB violate regulations (or rules); break the rule &#25805;&#20316;&#36829;&#35268; c&#257;ozu&#242; w&#233;igu&#299; operate against the rules
团伙|tuánhuǒ|NOUN gang; band; clique &#27969;&#27667;&#22242;&#20249; li&#250;m&#225;ng tu&#225;nhu&#466; gang of hooligans (or hoodlums)
微妙|wēimiào|Subtle; delicate; nuanced.Nuance微妙 is an adjective that describes a state, relationship, or quality that is finely nuanced and not obvious or easily defined. It refers to something that is slight, elu
默许|mòxǔ|VERB tacitly consent to; acquiesce in
脱节|tuō//jié|Disconnected; out of sync; detached; lack of coordinationNuance: 脱节 describes a situation where things that should be coordinated or connected are instead separated, misaligned, or inconsistent. It ca
看报|kànbào|read a newspaper
收缴|shōujiǎo|To confiscate; to seize and collect; to take over (by authority)Nuance“收缴” is a formal term used when an authority—such as the government, police, or military—takes possession of items, usually weapon
骨干|gǔgàn|backbone; core member; key personnelNuances:This term refers to indispensable individuals or elements that form the structural foundation of a group or system, much like bones support the body. It imp
三足鼎立|sānzú-dǐnglì|IDIOM Three rival powers stand like the legs of a tripod. or three equally matched powers in rivalry
集中|jízhōng|VERB concentrate; centralize; focus; amass; put together (opp. &#20998;&#25955;) &#38598;&#20013;&#34920;&#29616; j&#237;zh&#333;ng bi&#462;oxi&#224;n concentrated expression &#38598;&#20013;&#28779;&
造化|zàohua|Fate; fortune; the workings of nature or destinyNuance“造化” is a poetic and somewhat archaic term referring to the mysterious forces that shape the world and human life. It can denote fate or destiny—s
叫停|jiàotíng|VERB COLLOQUIAL stop; halt; put a stop to &#25919;&#24220;&#32039;&#24613;&#21483;&#20572;&#22823;&#22411;&#24037;&#31243;&#39033;&#30446;&#12290; Zh&#232;ngf&#468; j&#464;nj&#237; ji&#224;ot&#237;ng 
渴求|kěqiú|VERB desire; crave for; thirst (or hunger) for; long for &#28212;&#27714;&#30693;&#35782; k&#283;qi&#250; zh&#299;shi thirst for knowledge
斩断|zhǎnduàn|1&#9;to cut off 2&#9;to chop sth in half
纷争|fēnzhēng|VERB dispute; argue; wrangle &#32439;&#20105;&#19981;&#24050; F&#275;nzh&#275;ngb&#249;y&#464; dispute incessantly NOUN dispute; disagreement &#19968;&#22330;&#26080;&#35859;&#30340;&#32439;&#20105; Y
枷锁|jiāsuǒ|NOUN USUALLY FIGURATIVE yoke; chains; shackles; fetters &#31934;&#31070;&#26551;&#38145; j&#299;ngsh&#233;n ji&#257;su&#466; spiritual shackles &#25670;&#33073;&#27542;&#27665;&#20027;&#20041;&#30340;
助威|zhù//wēi|To cheer for, to root for, to boost moraleNuance助威 refers to giving vocal or moral support to someone, often in the context of sports, competitions, performances, or even social causes. It emphasizes 
领跑|lǐngpǎo|To Lead the Pack / To Set the Pace / To Be at the ForefrontNuance领跑 is a verb that literally means to lead a race, such as in running or cycling. Figuratively, it describes being in a leading position
阵亡|zhènwáng|VERB be killed in action &#38453;&#20129;&#23558;&#22763; zh&#232;nw&#225;ng ji&#257;ngsh&#236; officers and soldiers who fell in battle
寸步难行|cùnbù-nánxíng|IDIOM unable to move even a single step&#8212;unable to do anything &#24066;&#22330;&#22256;&#38590;, &#22836;&#23544;&#30701;&#23569;, &#30495;&#26159;&#23544;&#27493;&#38590;&#34892;&#12290; Sh&#236
欠债|qiànzhài|VERB (-//-) owe a debt; run into debt &#20182;&#27424;&#20102;&#24456;&#22810;&#20538;&#12290; T&#257; qi&#224;n le h&#283;n du&#333; zh&#224;i. He is heavily in debt. &#20182;&#38750;&#20294;&#27809;
老弱病残|lǎoruò-bìngcán|The Old, Weak, Sick, and Disabled / Vulnerable GroupsNuance老弱病残 is a collective term referring to the elderly, the weak, the sick, and the disabled—groups considered vulnerable or in need of special c
本钱|běnqián|Capital; principal; stake; (figuratively) prerequisite, foundation.Nuance本钱 is a noun with both literal and figurative meanings. In its primary, financial sense, it refers to the capital or principal 
尽兴|jìn//xìng|To one's heart's content; to thoroughly enjoyNuance:尽兴 describes the state of enjoying an activity to the fullest, without restraint or reservation, until one feels completely satisfied. It is often u
无动于衷|wúdòng-yúzhōng|completely unmoved; untouched emotionallyNuances:This idiom describes a total lack of emotional or sympathetic response to something that would typically evoke reaction, implying cold indifference or 
燃起|ránqǐ|1&#9;to ignite 2&#9;to light 3&#9;fig. to spark off (hopes, controversy, flames of revolution)
捍卫|hànwèi|To Defend / To Safeguard / To UpholdNuance捍卫 is a strong, formal verb that means to defend, protect, or uphold something of great value—such as sovereignty, dignity, rights, principles, or honor. It i
下注|xià//zhù|To Place a Bet / To WagerNuance下注 is a verb used specifically for gambling and betting contexts. It refers to the act of putting money, chips, or something of value on the outcome of a game, race, or 
生畏|shēngwèi|to feel intimidated
看重|kàn//zhòng|VERB regard as important; set store by; think a lot of (opp. &#30475;&#36731;) &#30475;&#37325;&#23454;&#36341; k&#224;nzh&#242;ng sh&#237;ji&#224;n attach importance to practice &#25105;&#38750;&#241
炒热气氛|chǎorèqìfēn|to liven up the atmosphere
瞎扯|xiāchě|to talk nonsense; to babble without basisNuances:This colloquial term dismisses speech as irrelevant, fabricated, or illogical. It implies a combination of ignorance and frivolity in conversation, oft
尾声|wěishēng|Epilogue; finale; end stageNuance:尾声 refers to the concluding part or final phase of something, such as a performance, event, project, or period of time. It literally means "tail sound," evoking the l
积分|jīfēn|Points, accumulated score, to accumulate pointsNuance积分 refers to points collected through accumulation, often in contexts such as loyalty programs, memberships, competitions, or academic grades. It e
夺冠|duó//guàn|VERB carry off the first prize; win first place; win the championship; take the crown
逆转|nìzhuǎn|VERB 1&#9;reverse &#21382;&#21490;&#28526;&#27969;&#19981;&#21487;&#36870;&#36716;&#12290; L&#236;sh&#464; ch&#225;oli&#250; b&#249;k&#283;n&#236;zhu&#462;n. It is impossible to reverse the trend of h
不共戴天|bùgòng-dàitiān|Refusing to Live Under the Same Sky / Irreconcilable / MortalNuance不共戴天 is a powerful and extreme idiom that expresses a level of hatred or enmity so profound that the involved parties cannot coexist 
富余|fùyu|Surplus / Spare / In ExcessNuance富余 is an adjective or noun that describes having more than enough of something, such as money, time, resources, or space, often with a sense of comfortable surplus rat
白刃战|báirènzhàn|bayonet charge; hand-to-hand combat
先行|xiānxíng|VERB go ahead of the rest; start off first &#24744;&#20808;&#34892;&#19968;&#27493;, &#25105;&#38543;&#21518;&#23601;&#21040;&#12290; n&#237;n xi&#257;nx&#237;ng y&#299; b&#249;, w&#466; su&#237;h&#24
千钧一发|qiānjūn-yīfà|"a hair’s breadth away from disaster," "in a critical situation," "extremely precarious"Nuance: 千钧一发 literally means “a thousand jun hanging by a single hair,” where a jun is an ancient Chinese unit o
大庭广众|dàtíng-guǎngzhòng|in public; before a large audience; openlyNuances:This four-character idiom emphasizes exposure to many witnesses, often implying vulnerability or lack of privacy. It carries a sense of formality (庭 s
绝路|juélù|NOUN road to ruin; blind alley; dead end; impasse &#33258;&#23547;&#32477;&#36335; z&#236;x&#250;n ju&#233;l&#249; court destruction; bring ruin upon oneself &#36208;&#19978;&#32477;&#36335; z&#466;us
细想|xìxiǎng|VERB think carefully; dwell on &#32454;&#24819;&#19968;&#20214;&#20107;&#30340;&#32463;&#36807; x&#236;xi&#462;ng y&#299; ji&#224;n sh&#236; de j&#299;nggu&#242; ponder over the process of an event
论资排辈|lùnzī-páibèi|To Assign Ranks and Seniority Based on Qualifications / To Prioritize Seniority and CredentialsNuance论资排辈 is a phrase, often used critically, that describes a rigid system where people's status, promo
豁出去|huō//chuqu|VERB COLLOQUIAL go ahead regardless; ready to risk everything &#25105;&#20204;&#35905;&#20986;&#21435;&#20102;, &#20915;&#24515;&#24178;&#21040;&#24213;&#12290; w&#466;menhu&#333;chuqu le, ju&#233;x&#
单挑|dāntiǎo|One-on-one fight, to challenge aloneNuance单挑 is a colloquial term meaning to fight or compete one-on-one, often carrying a confrontational, daring, or macho undertone. It can be used literally for phy
取巧|qǔ//qiǎo|VERB resort to trickery to serve oneself or avoid a difficulty
化解|huàjiě|To Resolve / To Defuse / To Dissolve (a conflict)Nuance化解 is a verb that describes the process of resolving or neutralizing a difficult situation, conflict, or problem, often through skillful, diploma
出招|chūzhāo|to make a move (in martial arts or figuratively)
疾步|jíbù|NOUN quick walk; fast pace &#30142;&#27493;&#19978;&#21069; j&#237;b&#249; sh&#224;ngqi&#225;n stride forward quickly
回旋|huíxuán|VERB 1&#9;circle round &#39134;&#26426;&#22312;&#19978;&#31354;&#22238;&#26059;&#12290; F&#275;ij&#299; z&#224;i sh&#224;ngk&#333;ng hu&#237;xu&#225;n. The aeroplane is circling overhead. 2&#9;(room f
自尽|zìjìn|commit suicide
恼人|nǎorén|ADJECTIVE 1&#9;irritating; annoying &#36825;&#20214;&#20107;&#30495;&#24700;&#20154;&#12290; Zh&#232; ji&#224;n sh&#236; zh&#275;n n&#462;or&#233;n. This is really irritating. 2&#9;LITERARY attractive
寻死|xún//sǐ|VERB 1&#9;try to commit suicide; attempt suicide 2&#9;commit suicide
张嘴|zhāng//zuǐ|to open one’s mouthNuances:This literal term describes the physical act of opening the mouth, but it often extends metaphorically to speaking, especially when asking for something or expressing an opi
风声|fēngshēng|NOUN1&#9;rumour&#21548;&#21040;&#39118;&#22768;t&#299;ngd&#224;o f&#275;ngsh&#275;ngget wind of sth.&#39118;&#22768;&#24456;&#32039;&#12290;F&#275;ngsh&#275;ng h&#283;n j&#464;n.The situation is tense
药剂|yàojì|NOUN medicament; drug
信物|xìnwù|token; keepsake (as proof of a promise or relationship)Nuances:A physical object symbolizing commitment (e.g., love, friendship), often exchanged in historical or romantic contexts.Example Sentences:这
磁铁|cítiě|NOUN magnet &#27704;&#20037;&#30913;&#38081; y&#466;ngji&#468; c&#237;ti&#283; permanent magnet &#39532;&#36420;&#24418;&#30913;&#38081; m&#462;t&#237;x&#237;ng c&#237;ti&#283; horseshoe magnet
善待|shàndài|VERB treat sb. well; treat friendly &#21892;&#24453;&#29983;&#21629; sh&#224;nd&#224;i sh&#275;ngm&#236;ng cherish life
涣散|huànsàn|lax; undisciplined; scatteredNuances:This term describes a lack of focus or cohesion, whether in physical dispersion (e.g., crowds), mental attention (e.g., concentration), or organizational disciplin
仍旧|réngjiù|Still / As BeforeNuance仍旧 is an adverb meaning "still" or "as before," indicating that a situation or action continues unchanged over time. It is a formal term, often used in written language and form
起见|qǐjiàn|for the sake of; in order toNuances:This term is used to express the purpose or reason behind an action, typically in formal or written Chinese. It often follows a noun or phrase describing the goal a
从军|cóngjūn|To enlist in the military; to join the armed forcesNuance:从军 is a formal and somewhat classical term for joining the military. It carries a tone of duty, patriotism, and often a sense of romanticized 
养伤|yǎng//shāng|VERB nurse one's injuries (or wounds)
煽动|shāndòng|To incite; to instigate; to stir up; to agitateNuance:煽动 carries a strong negative connotation, describing the act of deliberately provoking or rousing others to take action, often of a rash, disorder
易懂|yìdǒng|easy to understand
节外生枝|jiéwài-shēngzhī|to complicate an issue; to create side issuesNuances:This idiom (lit. "sprouting branches from a knot") describes unnecessary complications arising from a previously straightforward situation, often d
修订|xiūdìng|to revise; to amend (documents, texts, or plans)Nuances:This term refers to the careful process of editing and improving written content or policies, emphasizing systematic updates rather than casual 
不夜城|bùyèchéng|NOUN sleepless (or ever-bright) city
突发|tūfā|Sudden; abrupt; unexpected (of an event).Nuance突发 is an adjective and verb that describes something happening suddenly and unexpectedly, often with a sense of urgency or emergency. It emphasizes the u
废料|fèiliào|waste material; scrap; industrial residueNuances:This term refers to discarded or leftover materials from production, consumption, or demolition, often with potential for recycling or environmental co
抹布|mābù|NOUN rag (for wiping); dust cloth; duster
有份|yǒufèn|1&#9;to have a share of (responsibility etc) 2&#9;to be concerned 3&#9;to be involved
人人|rénrén|NOUN everybody; everyone &#20154;&#20154;&#23613;&#35828;&#27743;&#21335;&#22909;&#12290;(&#38886;&#24196;&#12298;&#33769;&#33832;&#34542;&#12299;) R&#233;nr&#233;n j&#236;n shu&#333; ji&#257;ngn&#225
做作|zuòzuo|ADJECTIVE affected; artificial &#20182;&#32769;&#26159;&#37027;&#20040;&#20570;&#20316;&#12290; T&#257; l&#462;o sh&#236; n&#224;me zu&#242;zuo. He&#8217;s always so affected. or He&#8217;s never natu
铁丝|tiěsī|NOUN iron wire
拨弄|bōnong|To fiddle with; to poke and stir; to manipulate (often with one's fingers); to stir up (trouble or gossip).Nuance拨弄 is a verb that describes the action of moving or manipulating something lightly and 
拖住|tuōzhù|To hold back; to detain; to delay; to keep someone occupied.Nuance拖住 is a colloquial verb that describes the act of causing someone or something to be delayed, detained, or prevented from moving forwa
体检|tǐjiǎn|VERB ABBREVIATION physical examination; health checkup
纳入|nàrù|VERB bring (or channel) into &#32435;&#20837;&#27491;&#36712; n&#224;r&#249; zh&#232;nggu&#464; put sth. on the right course &#25226;&#22269;&#27665;&#32463;&#27982;&#32435;&#20837;&#31283;&#27493;&#2
开天辟地|kāitiān-pìdì|to break new ground; to create something unprecedented (lit. "to open the heavens and cleave the earth")Nuances:Mythological origin (Pangu creating the world), now describes monumental innovations or 
阈值|yùzhí|NOUN threshold (value) &#29983;&#24577;&#38408;&#20540; sh&#275;ngt&#224;i y&#249;zh&#237; ecological threshold
红斑|hóngbān|NOUN MEDICINE erythema
妄想症|wàngxiǎngzhèng|1&#9;delusional disorder 2&#9;(fig.) paranoia
瞎编|xiābiān|To fabricate; to make up (a lie or story)Nuance:瞎编 is a colloquial and informal term that means to invent something false or untrue, often carelessly or without basis in fact. The 瞎 character (meaning
径直|jìngzhí|directly; straight (without detour or hesitation)Nuances:Emphasizes uninterrupted movement or action, either physically (e.g., walking straight) or metaphorically (e.g., addressing a topic bluntly).Ex
事半功倍|shìbàn-gōngbèi|IDIOM get twice the result with half the effort; efficient; effective
越狱|yuè//yù|VERB escape from prison; break prison &#32452;&#32455;&#36234;&#29425; z&#468;zh&#299; yu&#232;y&#249; organize a jailbreak
稳步|wěnbù|NOUN steady steps &#31283;&#27493;&#21069;&#36827; w&#283;nb&#249; qi&#225;nj&#236;n advance steadily; make steady progress &#29983;&#20135;&#31283;&#27493;&#19978;&#21319;&#12290; Sh&#275;ngch&#462;n
采信|cǎixìn|To accept (as credible); to believe and act upon (evidence, testimony, or information).Nuance采信 is a formal verb used primarily in legal, official, and journalistic contexts to describe the act of acc
司法机关|sīfǎjīguān|judicial organ
查清|chá//qīng|VERB make a thorough investigation of; check up on &#26597;&#28165;&#26576;&#20154;&#30340;&#26469;&#21382; Ch&#225;q&#299;ng m&#466;ur&#233;n de l&#225;il&#236; find out sb.&#8217;s background; check
转机|zhuǎnjī|A turning point for the better; an opportunity for change (often improvement).Nuance: 转机 literally means a "turning machine" but metaphorically refers to a critical moment when an unfavorable situatio
寻常|xúncháng|ordinary; common; usualNuances:This classical term describes things that are routine, unremarkable, or within everyday experience. It carries a slightly literary tone, often used to contrast with the 
垒|lěi|To pile up; to build with layers; a base (in baseball)Nuance:垒 is a versatile character. As a verb, it means to pile or stack things in layers, like bricks or firewood, implying a methodical accumulat
封闭|fēngbì|VERB 1&#9;seal &#29992;&#34593;&#23553;&#38381;&#29942;&#21475; y&#242;ng l&#224; f&#275;ngb&#236; p&#237;ngk&#466;u seal a bottle with wax 2&#9;seal off; close &#23553;&#38381;&#26426;&#22330; f&#275
停办|tíngbàn|VERB stop a business; close down &#36825;&#25152;&#23398;&#26657;&#24050;&#20572;&#21150;&#19977;&#24180;&#12290; Zh&#232; su&#466; xu&#233;xi&#224;o y&#464; t&#237;ngb&#224;n s&#257;n ni&#225;n. The 
爽快|shuǎngkuai|straightforward, frank, refreshing; can also mean "with pleasure" or "readily"Nuances:This term describes a refreshingly direct attitude or action. It carries positive connotations of:No-nonsense effi
着实|zhuóshí|Indeed; truly; really; quiteNuance“着实” is a formal or literary adverb used to emphasize the truth or degree of something, similar to “indeed” or “really” in English. It can convey either praise or cri
趁手|chènshǒu|Handy / Convenient / Suitable to UseNuance趁手 is an adjective describing a tool, instrument, or object that feels comfortable, convenient, and well-suited to the user's hand or skill level. It implies 
见效|jiàn//xiào|VERB become effective; produce the desired result &#36825;&#20123;&#20225;&#19994;&#25237;&#36164;&#23569;, &#35265;&#25928;&#24555;&#12290; Zh&#232;xi&#275; q&#464;y&#232; t&#243;uz&#299; sh&#462;o, 
矿坑|kuàngkēng|NOUN (mining) pit
金矿|jīnkuàng|NOUN gold mine
上交|shàngjiāo|VERB hand in (or over) to sb. above oneself; pass on to the higher authorities
提纯|tíchún|VERB purify; refine ARGRICULTURE &#25552;&#32431;&#22797;&#22766; t&#237;ch&#250;n f&#249;zhu&#224;ng purification and rejuvenation
酸性|suānxìng|NOUN CHEMISTRY acidity (opp. &#30897;&#24615;)
溶液|róngyè|NOUN CHEMISTRY solution &#24403;&#37327;&#28342;&#28082; d&#257;ngli&#224;ng r&#243;ngy&#232; normal solution &#23548;&#30005;&#28342;&#28082; d&#462;odi&#224;n r&#243;ngy&#232; conducting solution
疯癫|fēngdiān|Insane; deranged; crazy; mentally unbalancedNuance“疯癫” combines two characters—both meaning “madness”—to intensify the sense of insanity or irrational behavior. It can describe literal mental illness 
失职|shī//zhí|VERB neglect one's duty; dereliction of duty
纹路|wénlu|NOUN lines; grain
欠缺|qiànquē|to lack; to be deficient in; shortageNuances:This term describes an insufficiency or absence of something necessary, whether tangible (e.g., resources) or intangible (e.g., skills). It implies a gap t
抢先|qiǎng//xiān|VERB try to be the first to do sth.; anticipate; forestall &#37096;&#38431;&#25250;&#20808;&#21344;&#20102;&#37027;&#24231;&#26725;&#12290; B&#249;du&#236; qi&#462;ngxi&#257;n zh&#224;n le n&#224; zu&
爆米花|bàomǐhuā|1&#9;puffed rice 2&#9;popcorn
破除|pòchú|To break, to dispel, to get rid ofNuance破除 refers to actively eliminating or dismantling something abstract, such as superstitions, obstacles, prejudices, or outdated practices. Unlike simply “stoppin
秃头|tūtóu|NOUN 1&#9;bald head 2&#9;shaven head 3&#9;bald-headed person; baldhead; baldy &#20320;&#35748;&#35782;&#37027;&#20010;&#31171;&#22836;&#21527;&#65311; n&#464; r&#232;nshi n&#224;get&#363;t&#243;u ma? 
脑补|nǎobǔ|1&#9;(Internet slang) to imagine 2&#9;to visualize
排行|páiháng|ranking; to rank; birth order (among siblings)Nuances:This term can refer to:Official/public rankings (e.g., charts, lists)Family birth order (oldest/youngest sibling)Relative position in any ordered 
打发|dǎfa|VERB 1&#9;send; dispatch &#36214;&#24555;&#25171;&#21457;&#20154;&#21435;&#35831;&#22823;&#22827;&#12290; G&#462;nku&#224;i d&#462;fa r&#233;n q&#249; q&#464;ng d&#224;ifu. Send for a doctor at once. 
辞退|cítuì|to dismiss; to fire (an employee); to terminate someone's employmentNuances:Typically used in formal or employer-initiated contexts, implying a forced departure (vs. resignation). Often carries a nega
铁饭碗|tiěfànwǎn|NOUN iron rice bowl&#8212;secure job; life-time employment
警棍|jǐnggùn|NOUN policeman's baton; truncheon
猛料|měngliào|Explosive news; shocking revelation; potent contentNuance:猛料 is a colloquial term that refers to sensational, shocking, or highly impactful information, often in the context of news, entertainment, or
恋情|liànqíng|romantic relationship; love affairNuances:This term refers to an emotional or romantic involvement between people, often with a focus on the affectionate and private aspects of the relationship. It ca
审讯|shěnxùn|to interrogate; to question (in a legal or investigative context)Nuances:This term refers to formal, systematic questioning by authorities (e.g., police, judges) to extract information, confessions, o
好色|hàosè|lustful; lecherous; having a strong sexual appetiteNuances:This term carries a negative moral judgment, describing excessive or inappropriate sexual desire. It implies lack of self-control and often o
俘虏|fúlǔ|"To capture; to take prisoner" (as a verb), or "a captive; a prisoner of war" (as a noun).Nuances:俘虏 (fú lǔ) specifically refers to capturing or being captured in military contexts, often implying los
周密|zhōumì|Thorough; meticulous; comprehensiveNuance:周密 is an adjective that describes plans, preparations, or thinking that are carefully thought out, detailed, and leave no gaps. It carries a strong positive c
逢场作戏|féngchǎng-zuòxì|To act according to the circumstance; to join in the fun on occasion; to do something for the sake of appearances in a social situation.Nuance逢场作戏 is an idiom that describes the act of adapting one's 
