化学|huàxué|Chemistry
举行|jǔxíng|to hold; to conduct (an event, ceremony, or activity)Nuances:Formal term for organizing and carrying out planned events (e.g., meetings, games, rituals).Example Sentences:奥运会每四年举行一次。(The Olympic Games
全球|quánqiú|the whole world, globe; global, worldwide
平|píng|flat, level, even; to level, to finish in a draw
桌面不平。|Zhuōmiàn bù píng.|The table top is uneven
贡献|gòngxiàn|to contribute, to dedicate; contribution
中间|zhōngjiān|among, between, middle
通讯|tōngxùn|communication, news report; to communicate
供|gōng|to supply, to provide, to provide for, to be for
宣布|xuānbù|to declare, to proclaim, to announce
首先|shǒuxiān|first; first of all
培养|péiyǎng|to foster, to train, to culture
接|jiē|to connect, to catch, to receive
措施|cuòshī|measure, step
完善|wánshàn|perfect; to make perfect, to improve
导致|dǎozhì|to bring about, to cause, to lead to
执行|zhíxíng|to carry out, to execute
重新|chóngxīn|again, anew
立场|lìchǎng|position, stand, standpoint
输入|shūrù|to import, to input, to bring in
邀请|yāoqǐng|to invite; invitation
从而|cóng'ér|thus, thereby, so then
品种|pǐnzhǒng|breed, variety
适应|shìyìng|to adapt, to fit, to suit
只是|zhǐshì|only, merely; but then, however
购买|gòumǎi|to purchase, to buy
时期|shíqī|period, time
训练|xùnliàn|to train, to drill; training, exercises
当时|dāngshí|at that time, then
发声不容易|Fāshēng bù róngyì|It's not easy to pronounce the tones
限制|xiànzhì|to restrict, to confine; restriction, limit
完整|wánzhěng|complete, integrated, intact
媒体|méitǐ|medium, mass media
办理|bànlǐ|to handle, to conduct, to deal with
遇到|yùdào|to encounter, to meet
需求|xūqiú|needs, requirement, demand
配合|pèihé|to coordinate, to cooperate, to conform to
自动|zìdòng|automatic; automatically, voluntarily
展示|zhǎnshì|to reveal, to show, to display
自身|zìshēn|oneself, self
土|tǔ|earth, soil; uncouth
永远|yǒngyuǎn|always, forever
风格|fēnggé|style, manner, personality
连续|liánxù|continuous, successive; to continue
顺利|shùnlì|smooth, successful
记录|jìlù|to take notes, to record; record
强调|qiángdiào|to stress, to emphasize, to underline
证明|zhèngmíng|to prove, to testify; proof, certification
胜|shèng|to win, to surpass, to defeat
专门|zhuānmén|special; especially
群众|qúnzhòng|the masses, non-party members
出席|chūxí|to attend, to be present
机械|jīxiè|machine, machinery
系主任找你|Xì zhǔrèn zhǎo nǐ|The department head wants to see you
推动|tuīdòng|to push forward, to promote
取|qǔ|to get, to take, to fetch
深入|shēnrù|thorough, deep-going; to go deep into
总结|zǒngjié|to summarize; summary
装|zhuāng|to install, to put into, to load, to assemble
暖气装好了|Nuǎnqì zhuānghǎo le|The heating has been installed
创|chuàng|to create, to start, to initiate
群|qún|counter for groups
明确|míngquè|clear, explicit; to make clear
圆|yuán|round; circle
战略|zhànlüè|strategy
法院|fǎyuàn|court, courthouse
然而|rán'ér|even so, but, however
普遍|pǔbiàn|universal, general, common
官员|guānyuán|officer, official
数|shǔ|to count, to consider as
她在数钱|Tā zài shǔ qián|She's counting the money
规划|guīhuà|plan, program
出发|chūfā|to set out, to start off
放下武器！|<div>Fàngxià wǔqì!</div>|Lay down your arms!
爱好|àihào|to love, to be fond of, to like; hobby
我爱好音乐|Wǒ àihào yīnyuè|I love music
参观|cānguān|to visit, to look around
尽管|jǐnguǎn|always, freely; even though, despite
进口|jìnkǒu|to import; entrance
晴|qíng|fine, sunny, cloudless
昨天是晴天|Zuótiān shì qíngtiān|It was sunny yesterday
荣誉|róngyù|honor, credit, glory
追求|zhuīqiú|to seek, to pursue, to woo
摄影|shèyǐng|to photograph, to shoot
他喜欢摄影|Tā xǐhuan shèyǐng|He likes photography
最初|zuìchū|initial, first
休闲|xiūxián|leisure; to be idle, to relax
运输|yùnshū|to carry, to transport; transportation
仍然|réngrán|still, yet, as usual
俱乐部|jùlèbù|club
突出|tūchū|outstanding, prominent; to break through
祖国|zǔguó|motherland, homeland
西部|xībù|western part
生物|shēngwù|living things, life, organism
日前|rìqián|a few days ago, the other day
手段|shǒuduàn|means, trick, skill
规则|guīzé|rule, regulation; regular, fixed
胜利|shènglì|victory, success; to win, to attain a goal
掉|diào|to drop, to fall, to come off
决赛|juésài|finals, final match
战争|zhànzhēng|war, warfare
周围|zhōuwéi|all around, surrounding
研究生|yánjiūshēng|graduate student
求|qiú|to ask, to request, to seek
人类|rénlèi|mankind, humanity
再次|zàicì|second time, once again
香|xiāng|fragrant, savory, appetizing
防止|fángzhǐ|to prevent, to avoid, to guard against
玩具|wánjù|toy, plaything
以为|yǐwéi|to think, to believe, to consider
满足|mǎnzú|to be satisfied, to be contented, to satisfy, to fulfill
分布|fēnbù|to be distributed; distribution
模式|móshì|model, pattern
不可|bùkě|cannot, should not, must not
拍|pāi|to clap, to pat
暂时|zànshí|temporarily; temporary, transient
利润|lìrùn|profit, gain
相同|xiāngtóng|identical, same, alike
预防|yùfáng|to prevent, to take precautions
时尚|shíshàng|fashion, vogue, fad
我不懂时尚|Wǒ bù dǒng shíshàng|I don't understand fashion
