讨好|tǎo//hǎo|VERB 1&#9;ingratiate oneself with; fawn on; toady to; curry favour with &#35752;&#22909;&#39046;&#23548; T&#462;oh&#462;o l&#464;ngd&#462;o curry favour with the leadership &#20182;&#24819;&#35752;&#2
特性|tèxìng|NOUN specific property (or characteristic) &#22362;&#30828;&#26159;&#37329;&#21018;&#38075;&#30340;&#29305;&#24615;&#12290; Ji&#257;ny&#236;ng sh&#236; j&#299;ng&#257;ngzu&#224;n de t&#232;x&#236;ng. 
施工|shī//gōng|VERB build; carry out construction (or large repairs) &#21152;&#32039;&#26045;&#24037; ji&#257;j&#464;n sh&#299;g&#333;ng speed up the construction (or repairs) &#36947;&#36335;&#26045;&#24037;, &#367
掌控|zhǎngkòng|VERB control; hold &#25484;&#25511;&#22823;&#26435; zh&#462;ngk&#242;ng d&#224;qu&#225;n in full power
泡沫|pàomò|NOUN foam; froth &#21860;&#37202;&#27873;&#27819; P&#237;ji&#468; p&#224;om&#242; head (on a glass of beer)
约束|yuēshù|VERB keep within bounds; restrain; bind &#25670;&#33073;&#32422;&#26463; b&#462;itu&#333; yu&#275;sh&#249; break (or get rid of) restraints &#23130;&#23035;&#32422;&#26463; h&#363;ny&#299;n yu&#275;sh
款待|kuǎndài|to entertain cordially; to host with generosityNuances:This term describes treating guests or visitors with warm hospitality, often involving attentive service, thoughtful arrangements, and generous o
反叛|fǎnpan|NOUN COLLOQUIAL traitor; turncoat
扶持|fúchí|VERB 1&#9;VARIANT OF &#25600;&#25206; support sb. by the arm 2&#9;help sustain; give aid to; support &#25206;&#25345;&#27665;&#33829;&#20225;&#19994; f&#250;ch&#237; m&#237;ny&#237;ng q&#464;y&#232; g
打交道|dǎ//jiāodao|To deal with; to interact with; to have contact with.Nuance: 打交道 refers to interacting, communicating, or managing relationships with people in daily life, work, or business. It emphasizes the process
胶布|jiāobù|adhesive tape; medical tapeNuances:This common term refers broadly to tape with an adhesive backing, but context specifies its use—medical (bandages), practical (packaging), or even metaphorical (temp
细细品味|xìxìpǐnwèi|To Savor / To Appreciate DeliberatelyNuance细细品味 is a phrase that means to slowly, carefully, and attentively savor or appreciate something—whether food, drink, art, literature, or an experience. It im
偏偏|piānpiān|Against expectations, just (happens to), ironicallyNuance偏偏 is used when something turns out in a way that goes against what is desired, expected, or convenient. It conveys a sense of irony, helplessn
风度|fēngdù|poise; demeanor; elegant bearingNuances:This term describes a graceful and composed manner that reflects inner cultivation and social refinement. It implies a natural elegance under pressure—whether i
僵硬|jiāngyìng|ADJECTIVE 1&#9;stiff &#35273;&#24471;&#22235;&#32930;&#20725;&#30828; ju&#233;de s&#236;zh&#299; ji&#257;ngy&#236;ng feel stiff in the limbs &#22352;&#20037;&#20102;&#36523;&#20307;&#20725;&#30828; Zu
慰问|wèiwèn|VERB express sympathy and solicitude for; extend one's regards to; convey greetings to; salute &#23545;&#28798;&#21306;&#20154;&#27665;&#34920;&#31034;&#24944;&#38382; Du&#236; z&#257;iq&#363; r&#233;
相识|xiāngshí|"To get to know each other; to become acquainted" (to meet and develop a mutual familiarity).Nuances:相识 (xiāng shí) emphasizes mutual recognition and connection, often implying the beginning of a rela
岁月|suìyuè|Years; time (with a connotation of the passage of time and its effects).Nuance岁月 is a poetic and evocative noun that refers to the passage of years, carrying a sense of the weight, change, and transie
赠送|zèngsòng|VERB give as a present; present as a gift &#21521;&#28436;&#21592;&#36192;&#36865;&#33457;&#31726; Xi&#224;ng y&#462;nyu&#225;n z&#232;ngs&#242;ng hu&#257;l&#225;n present a basket of flowers to the p
壁炉|bìlú|NOUN fireplace
论据|lùnjù|NOUN 1&#9;(grounds of) argument &#35770;&#25454;&#19981;&#36275; l&#249;nj&#249; b&#249;z&#250; insufficient (or inadequate) grounds &#26377;&#21147;&#30340;&#35770;&#25454; y&#466;ul&#236; de l&#249;
一律|yīlǜ|Uniformly; without exception; all (treated in the same way).Nuance: 一律 conveys the idea of uniformity and absolute consistency in applying a rule, decision, or treatment. It emphasizes that there is n
警报|jǐngbào|NOUN alarm; warning; alert &#25289;&#35686;&#25253; L&#257; j&#464;ngb&#224;o sound the alarm (or siren) &#21488;&#39118;&#35686;&#25253; t&#225;if&#275;ng j&#464;ngb&#224;o typhoon warning &#25112;&#
揪出|jiū//chū|VERB uncover; ferret out &#25578;&#20986;&#24149;&#21518;&#25805;&#32437;&#32773; Ji&#363; ch&#363; m&#249;h&#242;u c&#257;oz&#242;ng zh&#283; uncover (or ferret out) the person behind the scenes; exp
考验|kǎoyàn|Test / Trial / OrdealNuance考验 is a noun or verb that refers to a challenging test or trial that assesses one's character, abilities, patience, or loyalty. It implies a situation that pushes someone to
稀里糊涂|xīlihútú|ADJECTIVE 1&#9;not knowing what one is about; muddleheaded; scatterbrained; confused &#36825;&#36947;&#31639;&#39064;&#20182;&#35762;&#20102;&#20004;&#36941;, &#21487;&#25105;&#36824;&#26159;&#31232;&
颠覆|diānfù|To Overturn / To Subvert / To ToppleNuance颠覆 is a powerful verb that means to overturn, subvert, or bring about the downfall of an established system, government, institution, or idea. It carries a st
忧患|yōuhuàn|NOUN suffering; misery; hardship &#24551;&#24739;&#24847;&#35782; y&#333;uhu&#224;n y&#236;shi awareness of unexpected development; being prepared for unexpected development &#24551;&#24739;&#20313;&#
嫉恨|jíhèn|To envy and hate, to feel jealous resentmentNuance嫉恨 combines 嫉妒 (envy) and 仇恨 (hatred), describing a strong negative emotion of resenting others because of jealousy. It goes beyond simple envy, carry
乱动|luàndòng|1&#9;to fiddle with 2&#9;to tamper with 3&#9;to meddle with 4&#9;to move randomly 5&#9;to flail about
响应|xiǎngyìng|to respond; to answer; to echo (a call, appeal, or policy)Nuances:This term implies an active and positive reaction to a request,号召, or initiative, often with a sense of support or participation. It c
残暴|cánbào|brutal; cruel and violentNuances:Describes extreme, often systematic violence (e.g., rulers, criminals). Stronger than "暴力" (violent)—implies moral condemnation.Example Sentences:历史上那些残暴的君主最终都被推翻。(His
伪造|wěizào|VERB forge; falsify; fabricate; counterfeit &#20266;&#36896;&#21382;&#21490; w&#283;iz&#224;o l&#236;sh&#464; fabricate (or falsify) history &#20266;&#36896;&#31614;&#21517; w&#283;iz&#224;o qi&#257;n
锐减|ruìjiǎn|VERB fall sharply; decline drastically; plummet
明媚|míngmèi|ADJECTIVE 1&#9;bright and beautiful; radiant and enchanting &#26126;&#23194;&#30340;&#38451;&#20809; m&#237;ngm&#232;i de y&#225;nggu&#257;ng beautiful bright sunshine &#26126;&#23194;&#30340;&#26089;
灼见|zhuójiàn|NOUN LITERARY profound (or penetrating) view
苏醒|sūxǐng|VERB revive; regain consciousness; come to; come round &#20182;&#26127;&#36855;&#20102;&#19968;&#20010;&#22810;&#23567;&#26102;&#25165;&#33487;&#37266;&#36807;&#26469;&#12290; T&#257; h&#363;nm&#237; 
朦胧|ménglóng|Hazy / Dim / Indistinct / DreamyNuance朦胧 is an adjective that describes a state of haziness, indistinctness, or blurred perception, whether in physical sight (e.g., through fog or dim light), memory, 
体面|tǐmian|NOUN dignity; face &#32500;&#25345;&#20307;&#38754; w&#233;ich&#237; t&#464;mian keep up appearances &#20182;&#24182;&#19981;&#35748;&#20026;&#24178;&#36825;&#20123;&#20107;&#23601;&#20250;&#26377;&#2
难堪|nánkān|ADJECTIVE 1&#9;intolerable; unbearable (&#20196;&#20154;)&#38590;&#22570;&#30340;&#35805; n&#225;nk&#257;n dehu&#224; annoying remarks &#22825;&#27668;&#38391;&#28909;&#38590;&#22570;&#12290; Ti&#257;
开启|kāiqǐ|to open; to start; to initiateNuances:This term describes the act of beginning something or causing it to become accessible, often with a sense of ceremony or significance. It can refer to physical op
盛开|shèngkāi|VERB (of flowers) be in full bloom; flourish &#30334;&#33457;&#30427;&#24320;&#12290; B&#462;ihu&#257; sh&#232;ngk&#257;i. All flowers are in full bloom.
戳|chuō|VERB 1&#9;jab; poke; stab &#19968;&#25139;&#23601;&#30772; y&#299; chu&#333; ji&#249; p&#242; break at the slightest touch &#22312;&#32440;&#19978;&#25139;&#20102;&#19968;&#20010;&#27934; Z&#224;i zh&
远大|yuǎndà|ambitious; far-sighted; grandNuances:This term describes goals, visions, or plans that are both grand in scale and long-term in perspective. It implies a combination of ambition and strategic foresigh
流氓|liúmáng|NOUN 1&#9;rogue; hoodlum; hooligan; gangster; ruffian &#27969;&#27667;&#38463;&#39134; li&#250;m&#225;ng'&#257;f&#275;i gangsters and hooligans; scoundrels and rascals &#22320;&#30174;&#27969;&#27667;
礼仪|lǐyí|Etiquette / Ceremony / RitesNuance礼仪 refers to the system of etiquette, manners, and formal rites that govern social interactions, ceremonies, and respectful conduct in Chinese culture and beyond. It 
授予|shòuyǔ|VERB confer; award &#25480;&#20104;&#30805;&#22763;&#23398;&#20301; sh&#242;uy&#468; shu&#242;sh&#236; xu&#233;w&#232;i award a master&#8217;s degree &#34987;&#25480;&#20104;&#8220;&#20808;&#36827;&#3
纯真|chúnzhēn|ADJECTIVE pure; sincere &#32431;&#30495;&#26080;&#37034; ch&#250;nzh&#275;nw&#250;xi&#233; pure and innocent
归|guī|VERB 1&#9;go back to; return &#24402;&#20065; gu&#299;xi&#257;ng return to one&#8217;s homeland 2&#9;give back to; return sth. to &#29289;&#24402;&#22833;&#20027; W&#249; gu&#299; sh&#299;zh&#468; ret
敷衍|fūyan|VERB 1&#9;act in a perfunctory manner; go through the motions; do just enough to satisfy sb.; muddle through &#24178;&#36825;&#31181;&#27963;&#20799;&#21487;&#25975;&#34893;&#19981;&#24471;&#12290; G&
妄为|wàngwéi|VERB act recklessly or wildly &#26080;&#31471;&#22916;&#20026; w&#250;du&#257;n w&#224;ngw&#233;i behave unreasonably
逼近|bījìn|VERB press on towards; close in on; approach; draw near &#36924;&#36817;&#25932;&#20027;&#21147; B&#299;j&#236;n d&#237; zh&#468;l&#236; close in on the main enemy force &#24863;&#21040;&#27515;&#3107
陷阱|xiànjǐng|Trap / PitfallNuance陷阱 refers to a physical trap, such as a pit covered with branches, or a metaphorical trap designed to deceive or ensnare someone. It carries a strong connotation of danger, tricker
质疑|zhìyí|VERB call in question; query &#23545;&#20182;&#30340;&#35828;&#27861;&#25552;&#20986;&#36136;&#30097; du&#236; t&#257; de shu&#333;fa t&#237;ch&#363; zh&#236;y&#237; query (or question) the validity o
诞生|dànshēng|VERB be born; come into being; emerge &#26032;&#20013;&#22269;&#30340;&#35806;&#29983; x&#299;n Zh&#333;nggu&#243; de d&#224;nsh&#275;ng the birth of New China
愈合|yùhé|VERB (of a wound) heal &#20260;&#21475;&#24456;&#24555;&#24840;&#21512;&#20102;&#12290; Sh&#257;ngk&#466;u h&#283;n ku&#224;i y&#249;h&#233; le. The wound healed quickly.
机动性|jīdòngxìng|NOUN mobility; manoeuvrability; flexibility &#36825;&#26465;&#35268;&#23450;&#24182;&#19981;&#37027;&#20040;&#27515;&#26495;, &#26377;&#19968;&#23450;&#30340;&#26426;&#21160;&#24615;&#12290; Zh&#232; 
趣味|qùwèi|Interest; fun; amusementNuance:趣味 describes a sense of enjoyment, pleasure, or intellectual engagement derived from an activity, topic, or object. It goes beyond simple "fun" to encompass a taste for 
编制|biānzhì|Establishment, staffing, organizational structure; to draw up, to compileNuance编制 can refer to both the act of drawing up or compiling (like plans, documents, or systems) and the formal organizational
院校|yuànxiào|colleges and universities; higher education institutionsNuances:This term is a general word for academic institutions at the tertiary level, often combining 学院 (colleges/institutes) and 大学 (universiti
无端|wúduān|ADVERB LITERARY for no reason &#26080;&#31471;&#27668;&#24700; w&#250;du&#257;n q&#236;n&#462;o become angry over nothing &#26080;&#31471;&#29983;&#20107; w&#250;du&#257;n sh&#275;ngsh&#236; create a 
树敌|shù//dí|VERB make an enemy of sb.; set others against oneself; antagonize &#26641;&#25932;&#22826;&#22810; Sh&#249;d&#237; t&#224;i du&#333; make too many enemies; antagonize too many people
炮火|pàohuǒ|NOUN artillery fire; gunfire &#28846;&#28779;&#25513;&#25252; p&#224;ohu&#466;y&#462;nh&#249; (artillery) fire cover &#28846;&#28779;&#25903;&#25345; p&#224;ohu&#466; zh&#299;ch&#237; artillery suppor
血肉|xuèròu|NOUN 1&#9;flesh and blood; human body 2&#9;FIGURATIVE close relationship; flesh-and-blood ties &#34880;&#32905;&#30456;&#36830; xu&#232;r&#242;uxi&#257;ngli&#225;n as close as flesh and blood
情景|qíngjǐng|Scene; situation; scenarioNuance:情景 refers to a specific scene, situation, or set of circumstances, often with an emphasis on the visual, emotional, or contextual elements. It is commonly used to desc
恰当|qiàdàng|ADJECTIVE proper; suitable; fitting; appropriate &#37319;&#21462;&#24688;&#24403;&#30340;&#25514;&#26045; c&#462;iq&#468; qi&#224;d&#224;ng de cu&#242;sh&#299; adopt appropriate measures &#25552;&#209
烟火|yānhuo|NOUN fireworks &#25918;&#28895;&#28779; f&#224;ng y&#257;nhuo let off fireworks; put on a display of fireworks
擅自|shànzì|ADVERB without authorization; arbitrarily &#25797;&#33258;&#34892;&#21160; sh&#224;nz&#236; x&#237;ngd&#242;ng act presumptuously &#19981;&#24471;&#25797;&#33258;&#20462;&#25913;&#25805;&#20316;&#3526
眼皮|yǎnpí|NOUN GENERAL NAME FOR eyelid &#25105;&#30524;&#30382;&#30452;&#36339;&#12290; W&#466; y&#462;np&#237; zh&#237; ti&#224;o. My eyes kept twitching. &#22256;&#24471;&#25105;&#19978;&#19979;&#30524;&#3038
长老|zhǎnglǎo|NOUN 1&#9;LITERARY elder 2&#9;[respectful term of address for an old monk] elder 3&#9;RELIGION local religious leaders; elder
轻率|qīngshuài|ADJECTIVE rash; hasty; indiscreet; thoughtless &#36731;&#29575;&#20174;&#20107; q&#299;ngshu&#224;i c&#243;ngsh&#236; act rashly &#36731;&#29575;&#30340;&#24577;&#24230; Q&#299;ngshu&#224;i de t&#224;
盔甲|kuījiǎ|NOUN (suit of) armour
灰霾|huīmái|1&#9;dust haze 2&#9;dust storm
丧生|sàng//shēng|VERB meet one's death; lose one's life; get killed
闻所未闻|wénsuǒwèiwén|IDIOM hear what one has never heard before; unheard-of &#20182;&#20204;&#32473;&#25105;&#35762;&#20102;&#24456;&#22810;&#38395;&#25152;&#26410;&#38395;&#30340;&#20107;&#24773;&#12290; T&#257;men g&#28
纪实|jìshí|documentary; factual recordNuances:Emphasizes accurate depiction of real events, often in journalism, literature, or film.Example Sentences:这本书是战地记者写的战争纪实。(This book is a war documentary written by a 
庄园|zhuāngyuán|Manor / EstateNuance庄园 refers to a large country estate, typically consisting of a substantial house or mansion, extensive lands, and often associated with agricultural production, vineyards, or histo
倾城|qīngchéng|NOUN 1&#9;whole city or town &#20542;&#22478;&#32780;&#20986;, &#36814;&#25509;&#22269;&#23486;&#12290; Q&#299;ng ch&#233;ng &#233;r ch&#363;, y&#237;ngji&#275; gu&#243;b&#299;n. The whole town turned
队伍|duìwu|Team; group; troop; ranksNuance“队伍” broadly refers to an organized group of people working, moving, or acting together toward a common purpose. It can describe military units, professional teams, spor
出息|chūxi|Prospects; promise; success; potential.Nuance: 出息 refers to the potential or ability of a person, especially a young person, to achieve success, advancement, or recognition in the future. It often car
勾勒|gōulè|To Outline / To Sketch OutNuance勾勒 is a verb that originally refers to the act of sketching the outline of a drawing or painting with simple lines. Figuratively, it means to describe or present the ma
名望|míngwàng|NOUN fame and prestige; good reputation; renown &#26377;&#21517;&#26395;&#30340;&#22823;&#22827; Y&#466;u m&#237;ngw&#224;ng de d&#224;ifu famous (or reputable) doctor
满腔|mǎnqiāng|filled with (emotion); brimming with (passion, anger, etc.)Nuances:This term describes an intense emotional state that completely occupies one’s heart and mind, as if the chest is full of that feeling
守则|shǒuzé|NOUN rules; regulations &#24037;&#20316;&#23432;&#21017; G&#333;ngzu&#242; sh&#466;uz&#233; work regulations &#23398;&#29983;&#23432;&#21017; xu&#233;sheng sh&#466;uz&#233; student rules and regulatio
指使|zhǐshǐ|VERB instigate; incite; put sb. up to sth. &#25351;&#20351;&#23569;&#25968;&#22351;&#20154;&#38393;&#20107; Zh&#464;sh&#464; sh&#462;osh&#249; hu&#224;ir&#233;n n&#224;osh&#236; incite a handful of ev
敲诈|qiāozhà|to extort; to blackmail; to demand money through threatsNuances:This term describes the illegal act of obtaining benefits (usually money) by exploiting someone’s fear, vulnerability, or secrets. It im
乐曲|yuèqǔ|NOUN musical (composition); music &#21019;&#20316;&#20048;&#26354; chu&#224;ngzu&#242; yu&#232;q&#468; compose music &#20026;&#20048;&#26354;&#37197;&#35789; w&#232;i yu&#232;q&#468; p&#232;i c&#237; 
使命|shǐmìng|NOUN mission &#19981;&#36785;&#20351;&#21629; b&#249;r&#468;-sh&#464;m&#236;ng live up to a task; successful mission &#21382;&#21490;&#20351;&#21629; l&#236;sh&#464; sh&#464;m&#236;ng historical missi
戏剧|xìjù|NOUN 1&#9;drama; play; theater &#29616;&#20195;&#25103;&#21095; Xi&#224;nd&#224;i x&#236;j&#249; modern drama; modern theater 2&#9;scenario; play script
包容|bāoróng|to embrace; to be inclusive; to tolerateNuances:This term describes a generous acceptance of differences, flaws, or diversity, often emphasizing emotional maturity and open-mindedness. It implies both
行事|xíngshì|To act, to conduct oneself, to handle affairsNuance行事 refers to the way a person behaves or carries out actions, often with an emphasis on attitude, style, or principles. It can describe someone’s gen
苦涩|kǔsè|bitter; painful; acrid (literal or figurative)Nuances:This term describes both physical bitterness (e.g., taste of medicine) and emotional hardship (e.g., unspoken grief). When used metaphorically, it
海滩|hǎitān|NOUN (sea) beach &#22312;&#28023;&#28393;&#24230;&#20551; z&#224;i h&#462;it&#257;n d&#249;ji&#224; have a beach holiday &#23401;&#23376;&#20204;&#21916;&#27426;&#22312;&#28023;&#28393;&#19978;&#29609
冥想|míngxiǎng|VERB deep thought; meditation; reverie &#27468;&#22768;&#25226;&#25105;&#24102;&#20837;&#23545;&#33609;&#21407;&#30340;&#20901;&#24819;&#12290; g&#275;sh&#275;ng b&#462; w&#466; d&#224;ir&#249; du&#23
捂住|wǔzhù|to cover; to concealNuances:This term describes the action of using one’s hands (or something else) to cover an object, sound, or part of the body, often to block, protect, or hide. It implies a delib
当空|dāngkōng|VERB LITERARY be high above in the sky &#26126;&#26376;&#24403;&#31354;&#12290; M&#237;ngyu&#232; d&#257;ng k&#333;ng. A bright moon is shining in the sky.
娇弱|jiāoruò|delicate
境遇|jìngyù|NOUN circumstances; one's lot &#24754;&#24808;&#30340;&#22659;&#36935; b&#275;ic&#462;n de j&#236;ngy&#249; hard lot; hard times &#19981;&#24184;&#30340;&#22659;&#36935; B&#249;x&#236;ng dej&#236;ngy&
粗略|cūlüè|"rough," "approximate," "cursory" (describes something done without fine details or precision, focusing only on the general idea).Nuance:This term suggests a quick, non-thorough approach, often due to
尽情|jìnqíng|ADVERB to one's heart's content; as much as one likes &#23613;&#24773;&#27468;&#21809; j&#236;nq&#237;ng g&#275;ch&#224;ng sing to one&#8217;s heart&#8217;s content &#23613;&#24773;&#27426;&#21628; J&
尺寸|chǐcun|NOUN 1&#9;measurement; dimensions; size &#37327;&#23610;&#23544; li&#225;ng ch&#464;cun take sb.&#8217;s measurements &#21152;&#24037;&#23610;&#23544; ji&#257;g&#333;ng ch&#464;cun finish size &#36718
悬挂|xuánguà|VERB 1&#9;hang; suspend; fly (a flag) &#24748;&#25346;&#22269;&#26071; xu&#225;ngu&#224; gu&#243;q&#237; fly the national flag &#22307;&#35806;&#26641;&#19978;&#19978;&#19979;&#19979;&#24748;&#25346;&
混浊|hùnzhuó|ADJECTIVE muddy; turbid; cloudy &#28151;&#27978;&#30340;&#27700; H&#249;nzhu&#243; de shu&#464; turbid water &#28151;&#27978;&#30340;&#31354;&#27668; h&#249;nzhu&#243; de k&#333;ngq&#236; foul (or sta
事迹|shìjì|Deed; achievement; record of eventsNuance:事迹 refers to remarkable deeds or events, typically of an individual or group, that demonstrate notable character, effort, or impact. It is almost exclusively 
收场|shōuchǎng|VERB (-//-) wind up; end; stop; wrap up &#30475;&#20182;&#24590;&#26679;&#25910;&#22330;&#12290; K&#224;n t&#257; z&#283;ny&#224;ng sh&#333;uch&#462;ng. Let&#8217;s see how he&#8217;s going to end thi
恼羞成怒|nǎoxiū-chéngnù|IDIOM fly into a rage from shame; be shamed into anger
烂熟|lànshú|Thoroughly; very; well-practiced; memorized perfectlyNuance: 烂熟 describes a state of complete familiarity or mastery, often through repetition or practice. It can refer to knowledge, skills, texts, or
一眼|yīyǎn|1&#9;a glance 2&#9;a quick look 3&#9;a glimpse
丧礼|sānglǐ|NOUN obsequies; funeral
养活|yǎnghuo|VERB COLLOQUIAL 1&#9;support; feed &#20859;&#27963;&#19968;&#23478;&#23376; y&#462;nghuo y&#299;ji&#257;zi support (or feed) a family 2&#9;raise (animals) &#20182;&#23478;&#20859;&#27963;&#20102;&#199
主修|zhǔxiū|VERB 1&#9;specialize (in a subject); major (opp. &#36741;&#20462;,&#21103;&#20462;) &#22905;&#20027;&#20462;&#21407;&#23376;&#29289;&#29702;&#12290; T&#257; zh&#468;xi&#363; yu&#225;nz&#464; w&#249;l&
烦恼|fánnǎo|ADJECTIVE vexed; worried &#20309;&#24517;&#20026;&#36825;&#20123;&#23567;&#20107;&#28902;&#24700;&#65311; H&#233;b&#236; w&#232;i zh&#232;xi&#275; xi&#462;osh&#236; f&#225;nn&#462;o&#65311; Why should
鬼混|guǐhùn|to fool around; to idle away time irresponsiblyNuances:Strongly negative, implying wasteful or immoral behavior (e.g., drinking, partying) instead of working/studying.Example Sentences:他大学时整天鬼混，差点被开除。
动静|dòngjing|NOUN 1&#9;sound of sth. astir &#23627;&#23376;&#37324;&#38745;&#24708;&#24708;&#30340;, &#19968;&#28857;&#20799;&#21160;&#38745;&#20063;&#27809;&#26377;&#12290; W&#363;zi l&#464; j&#236;ngqi&#257;oqi&
整治|zhěngzhì|VERB 1&#9;renovate; repair; dredge (a river, etc.) &#25972;&#27835;&#25151;&#23627; zh&#283;ngzh&#236; f&#225;ngw&#363; renovate a house &#25972;&#27835;&#33322;&#36947; zh&#283;ngzh&#236; h&#225;ngd&
平起平坐|píngqǐ-píngzuò|to be on an equal footing; to sit as equalsNuances:This idiom describes a relationship where all parties have the same status, rights, or level of authority, with no one dominating. It implies mutual 
严峻|yánjùn|ADJECTIVE 1&#9;stern; severe; rigorous; grim &#20005;&#23803;&#30340;&#32771;&#39564; y&#225;nj&#249;n de k&#462;oy&#224;n severe (or rigorous) test &#20005;&#23803;&#30340;&#24577;&#24230; y&#225;nj&
赞叹不已|Zàntànbùyǐ|praise again and again
问讯|wènxùn|To inquire; to ask; to send one's regardsNuance:问讯 is a formal and somewhat classical term that has two primary meanings. Its first meaning is to make an inquiry or ask for information, often in an of
席卷|xíjuǎn|to sweep across; to engulf (like a tidal wave)Nuances:Vividly describes something spreading rapidly and overwhelmingly across a region or domain.Example Sentences:暴风雪席卷了整个北美东部。(The blizzard swept acro
目不暇接|mùbùxiájiē|IDIOM The eye cannot take it all in. or Too many things for the eye to take in.&#8212;great quantity and variety
