蓝色|lánsè|Blue colour
对话|duìhuà|Dialogue / Conversation
过来|guòlái|To come over / To come up to
请假|qǐngjià|To ask for leave from work
感觉|gǎnjué|Feelings (noun)
弄乱|nòngluàn|To mess up (a room or something)
是只样的||In this case&nbsp;
放假|fàngjià|To have a holiday
服装点|fúzhuāngdiàn|Dressing store
服装区|fúzhuāngqū|Clothes Department
暑假|shǔjià|Summer Holiday
寒假|hánjià|Winter holiday
你自己去|nǐ zìjǐ qù|You go by yourself
亲|qīn|To kiss
一般（般）|yībān(bān)|So so ... (girl looks!)
帅哥|shuàigē|Handsome boy
美女|měinǚ|Beautiful girl
别骗我！|bié piàn wǒ!|Don't lie to me!
你的错！|nǐ de cuò!|Its your fault!
风景|fēngjǐng|Scenery
选|xuǎn|To choose / To select / To elect
咱们|zánmen|We (includes person spoken to)
哭|kū|To cry / weep
她哭了。|Tā kū le|She cried
请不要哭。|Qǐng búyào kū.|Please don't cry.
看法|kànfǎ|View (as in, thoughts, opinion)
出生|chūshēng|To be born / birth
小说|xiǎoshuō|Novel / Fiction
资源|zīyuán|Resources / Natural resources
爱情|àiqíng|Romantic love / Romance
年龄|niánlíng|Age
专业|zhuānyè|Speciality / Major / Specialized Field
作为|zuòwéi|To regard as / as / deed / conduct
紧张|jǐnzhāng|Nervous
像|xiàng|To be like / To resemble
工业|gōngyè|Industry
质量|zhìliàng|Quality / Mass
经过|jīngguò|Process / Course / To pass / To go through
照相机|zhàoxiàngjī|Camera
没意思|méiyìsi|Boring
经营|jīngyíng|to run, to manage, to engage in
平时|píngshí|Normal times / usually
高架|gāojià|Elevated road
或者|huòzhě|Or&nbsp;
缴费|jiāofèi|To pay a fee
缴房租|jiāo fángzū|To pay rent
音乐会|yīnyuèhuì|A concert
麻烦|máfan|Troublesome
新款|xīn kuǎn|New style
旧款|jiù kuǎn|Old style
颜色|yánsè|Colour
收银台|shōuyíntái|Cash desk / checkout
电梯|diàntī|Elevator / lift
手提包|shǒutíbāo|A handbag
里发店|lǐfàdiàn|Hairdresser / Barber shop
理发师|lǐfàshī|Hairdresser
面试|miànshì|Job interview
枕头|zhěntou|Pillow
前面堵车了|qiánmiàn dǔ chē le|Traffic jam in front
商场|shāngchǎng|Shopping mall
节日|jiérì|Festival
火山|huóshān|Volcano
词典|cídiàn|Dictionary
硬币|yìngbì|Coin
纸币|zhǐbì|Paper money
夸张|kuāzhāng|To exaggerate
二手的|èr shǒu de|Second hand
修|xiū|To fix
停车费|tíngchēfèi|Parking fee
小费|xiǎofèi|A tip (to waitress maybe)
加班费|jiābānfèi|Overtime moneys (fee)
