斗士|dòushì|NOUN fighter (for a cause); warrior
傲人|àorén|Proud / Impressive / AdmirableNuance傲人 is an adjective used to describe achievements, qualities, or attributes that are so impressive they evoke pride. It carries a positive connotation of excellence 
美貌|měimào|NOUN good looks ADJECTIVE pretty; beautiful; attractive; handsome; lovely &#32654;&#35980;&#30340;&#22899;&#23401; m&#283;im&#224;o de n&#474;h&#225;i a lovely girl
大吃一惊|dàchī-yījīng|IDIOM be greatly surprised; be quite taken aback
率先|shuàixiān|To take the lead in; to be the first toNuance:率先 describes the act of initiating an action or setting an example by being the very first to do something, often within a group. It carries a strongly po
伸出援手|shēnchūyuánshǒu|lend a helping hand
留情|liú//qíng|To show mercy; to go easy on; to hold back intentionally.Nuance: 留情 refers to deliberately restraining one’s actions, whether in criticism, punishment, competition, or conflict, out of consideration, 
人格|réngé|NOUN 1&#9;personality; character; moral quality &#20154;&#26684;&#39640;&#23578; r&#233;ng&#233; g&#257;osh&#224;ng have a noble character; have moral integrity &#20154;&#26684;&#39749;&#21147; r&#233
邂逅|xièhòu|VERB LITERARY meet (a relative, friend, etc.) unexpectedly; run into sb.; meet by chance &#36994;&#36869;&#30456;&#36935; xi&#232;h&#242;u xi&#257;ngy&#249; meet unexpectedly; meet by chance (&#36869;
集邮|jí//yóu|VERB collect stamps; stamp collecting
消沉|xiāochén|ADJECTIVE downhearted; low-spirited; dejected; depressed &#24847;&#24535;&#28040;&#27785; y&#236;zh&#236;xi&#257;och&#233;n demoralized; despondent &#22905;&#36817;&#26469;&#26377;&#20123;&#28040;&#27
用意|yòngyì|Intention; purpose; motiveNuance:用意 refers to the underlying intention or purpose behind an action, statement, or behavior. It carries a neutral tone but often appears in contexts where motives are be
一丝|yīsī|a trace; a shred; the slightest bitNuances:This term describes an extremely small amount, often used to emphasize the near-absence or delicate presence of something (e.g., hope, light, emotion). It ca
到处|dàochù|ADVERB at all places; everywhere &#21040;&#22788;&#30896;&#22721; d&#224;och&#249; p&#232;ngb&#236; run into snags everywhere &#28895;&#22836;&#19981;&#35201;&#21040;&#22788;&#20081;&#25172;&#12290; Y
碰壁|pèng//bì|VERB run into a stone wall; rebuff; rejection &#21040;&#22788;&#30896;&#22721; d&#224;och&#249; p&#232;ngb&#236; run into problems left and right
烟头|yāntóu|NOUN cigarette end (or stub, butt, stump)
闲适|xiánshì|leisurely and comfortable; relaxedNuances:This term describes a state of tranquil ease, free from pressure or hurry. It evokes imagery of unhurried enjoyment, often associated with peaceful environmen
迷你裙|mínǐqún|miniskirt
表白|biǎobái|VERB express or state clearly; explain oneself &#34920;&#30333;&#35802;&#24847; bi&#462;ob&#225;i ch&#233;ngy&#236; declare one&#8217;s sincerity &#34920;&#30333;&#24515;&#36857; bi&#462;ob&#225;i x&#
搭理|dāli|to respond; to acknowledge; to pay attention toNuances:This colloquial term describes the act of giving someone or something a response or attention, often implying a choice to engage or ignore. It ca
单刀直入|dāndāo-zhírù|IDIOM come straight to the point; speak out without beating about the bush &#25105;&#21333;&#20992;&#30452;&#20837;&#22320;&#38382;&#20182;&#21040;&#24213;&#35201;&#24178;&#20160;&#20040;&#12290; W&#4
递给|dìgěi|to hand it (i.e. the aforementioned item) to (sb)
住址|zhùzhǐ|NOUN address &#23478;&#24237;&#20303;&#22336; ji&#257;t&#237;ng zh&#249;zh&#464; home address
栏|lán|NOUN 1&#9;fence; railing; balustrade &#26725;&#26639; Qi&#225;o l&#225;n the railing of a bridge &#26629;&#26639; zh&#224;l&#225;n fence; railing; paling 2&#9;pen; shed; barn &#29275;&#26639; ni&#250;
不怀好意|bùhuái-hǎoyì|Harboring ill intentions; having bad motives.Nuance: This phrase literally means “not harboring good intentions,” and it is used to describe someone whose motives are malicious, scheming, or insincere
举国|jǔguó|the whole nation; nationwideNuances:This term emphasizes collective, unified action or sentiment across an entire country, often used in formal or patriotic contexts. It conveys a sense of total natio
占卜|zhānbǔ|VERB practise divination; divine
撵|niǎn|To drive out; to expel; to chase away; to hurry along.Nuance撵 is a colloquial verb that describes the act of forcing someone or something to leave, often with a sense of urgency, annoyance, or impatie
品茶|pǐn//chá|to taste tea; to savor teaNuances:Emphasizes the ceremonial or contemplative appreciation of tea’s flavor, aroma, and quality.Example Sentences:周末他喜欢邀友品茶，闲聊人生。(On weekends, he enjoys inviting friends 
一头雾水|yītóu-wùshuǐ|"completely confused," "totally at a loss," "in a fog"Nuance: 一头雾水 is an idiomatic expression that vividly describes a state of utter confusion or bafflement, as if one’s mind were covered in thick fo
插画|chāhuà|illustration; artwork (in books, media, or design)Nuances:Refers to visual art that complements or enhances textual content (e.g., books, ads). Distinct from standalone paintings.Example Sentences:这本童
建模|jiànmó|VERB COMPUTING modeling
总监|zǒngjiān|NOUN inspector general; chief inspector
编剧|biānjù|NOUN 1&#9;playwright 2&#9;screenwriter; scenarist VERB (-//-) write a play, scenario, etc.
常客|chángkè|NOUN frequent visitor (or customer); frequenter (of a theater, restaurant, ballroom, etc.) (opp. &#31232;&#23458;) &#20182;&#26159;&#25105;&#20204;&#23478;&#30340;&#24120;&#23458;&#12290; T&#257; sh&#
插花|chā//huā|VERB 1&#9;arrange flowers in a vase, basket, etc. 2&#9;DIALECT VARIANT OF &#32483;&#33457;&#20799; embroider ADVERB with sth. inserted (or mixed, mingled) in &#29577;&#31859;&#22320;&#37324;&#36824;&#
饰品|shìpǐn|NOUN ornaments; decorations; jewelry
一目了然|yīmù-liǎorán|IDIOM clear at a glance &#25152;&#26377;&#19996;&#35199;&#37117;&#19968;&#30446;&#20102;&#28982;&#12290; Su&#466;y&#466;u d&#333;ngxi d&#333;u y&#299;m&#249;li&#462;or&#225;n. You could see everything
陶冶|táoyě|To cultivate, to mold, to refine (character, sentiment, or taste)Nuance陶冶 originally referred to firing pottery and smelting metal, later extending metaphorically to the nurturing and shaping of a per
醇厚|chúnhòu|"mellow," "rich and full-bodied" (originally describes the smooth, deep flavor of aged wine or food, extended to personalities or artistic styles).Nuance:Evokes sensory and emotional depth—suggests re
贩卖|fànmài|VERB traffic; peddle; sell; trade &#36137;&#21334;&#20891;&#28779; f&#224;nm&#224;i j&#363;nhu&#466; traffic in arms &#36137;&#21334;&#30382;&#36135; f&#224;nm&#224;i p&#237;hu&#242; be in the fur tra
贩卖机|fànmàijī|vending machine
基地|jīdì|NOUN base &#20891;&#20107;&#22522;&#22320; j&#363;nsh&#236;j&#299;d&#236; military base &#33021;&#28304;&#22522;&#22320; n&#233;ngyu&#225;n j&#299;d&#236; energy base &#21407;&#26009;&#22522;&#22320; 
偷懒|tōu//lǎn|VERB loaf on the job; lazy
能手|néngshǒu|NOUN dab hand; expert; crackerjack &#26408;&#21051;&#33021;&#25163; m&#249;k&#232; n&#233;ngsh&#466;u expert in wood engraving &#25216;&#26415;&#38761;&#26032;&#33021;&#25163; j&#236;sh&#249; g&#233;x
形迹可疑|xíngjì-kěyí|IDIOM of suspicious appearance; suspicious-looking &#20320;&#36827;&#22823;&#27004;&#26102;&#30475;&#21040;&#20160;&#20040;&#24418;&#36857;&#21487;&#30097;&#30340;&#20154;&#27809;&#26377;&#65311; N&#4
认输|rèn//shū|VERB admit defeat; throw in (or up) the sponge; give up &#19981;&#32943;&#35748;&#36755; B&#249; k&#283;n r&#232;nsh&#363; unwilling to confess defeat
小鬼头|xiǎoguǐtóu|DIALECT little devil; mischievous child
遵命|zūnmìng|VERB COURTEOUS comply with your wish; obey your command &#36981;&#21629;&#21150;&#29702; z&#363;nm&#236;ng b&#224;nl&#464; follow your instructions &#32473;&#25105;&#24324;&#20004;&#24352;&#38899;&#20
心慈手软|xīncí-shǒuruǎn|IDIOM softhearted &#23545;&#24601;&#24694;&#19981;&#24731;&#30340;&#29359;&#32618;&#20998;&#23376;&#19981;&#33021;&#24515;&#24904;&#25163;&#36719;&#12290; Du&#236; h&#249; &#232; b&#249; qu&#257;n de 
真面目|zhēnmiànmù|True nature; real face; true colors.Nuance: 真面目 refers to the authentic character or reality behind someone’s outward appearance or behavior. It often carries the sense of revealing what was previousl
似曾相识|sìcéngxiāngshí|IDIOM seem to have met before
既视感|jìshìgǎn|d&#233;j&#224; vu
亲口|qīnkǒu|ADVERB (say sth.) personally &#36825;&#26159;&#20182;&#20146;&#21475;&#21578;&#35785;&#25105;&#30340;&#12290; Zh&#232; sh&#236; t&#257; q&#299;nk&#466;u g&#224;osu w&#466; de. He told me this himself.
安息|ānxī|VERB 1&#9;rest; go to sleep 2&#9;rest in peace &#27515;&#32773;&#30340;&#23433;&#24687;&#20043;&#22320; S&#464;zh&#283; de'&#257;nx&#299; zh&#299; d&#236; the last resting place of the dead &#28872;&#
一命呜呼|yīmìng-wūhū|To die, to pass away (euphemistic or slightly humorous/literary)Nuance一命呜呼 is a somewhat old-fashioned or literary expression for death. It literally means “to let out one final cry of life.” While it
寄予|jìyǔ|To place (hope, expectation, trust, etc.) on someone or something; to show (concern or affection).Nuance寄予 is a formal verb used to express the act of placing one's hopes, expectations, trust, or feel
厚望|hòuwàng|NOUN great expectations &#19981;&#36127;&#21402;&#26395; b&#249; f&#249; h&#242;uw&#224;ng live up to sb.&#8217;s expectations; not let sb. down &#23492;&#20104;&#21402;&#26395; j&#236;y&#468; h&#242;
节点|jiédiǎn|NOUN ELECTRICITY panel point; nodal point; node
苟活|gǒuhuó|to cling to life ignobly; to live on in degradationNuances:This term expresses contempt for surviving through moral compromise, cowardice, or loss of dignity. It implies a life barely worth living, su
恩惠|ēnhuì|NOUN favour; bounty
通商|tōng//shāng|To engage in trade; to establish commercial relations.Nuance: 通商 is a formal term often used in historical, diplomatic, or economic contexts to refer to the opening or conduct of trade between regions
严酷|yánkù|"harsh," "severe," "grim" (describes extreme and unforgiving conditions, whether physical, environmental, or situational).Nuance:This term emphasizes relentless severity, often implying suffering or a
高昂|gāo'áng|High (in price, spirit, or emotion); soaringNuance:高昂 is a versatile adjective with two primary meanings. First, it describes high prices or costs, carrying a slightly negative connotation of expense 
碾碎|niǎn//suì|VERB pulverize
巷子|xiàngzi|NOUN DIALECT lane; alley &#24055;&#23376;&#21475; xi&#224;ngzi k&#466;u entrance to a lane; either end of a lane
叫嚷|jiàorǎng|To shout, to clamor, to yellNuance叫嚷 refers to loud shouting, often in a noisy, impatient, or quarrelsome way. It conveys a sense of disturbance and disorder rather than calm communication. Compared w
嘶鸣|sīmíng|VERB LITERARY (of horses, donkeys, etc.) neigh; whinny; bray &#25112;&#39532;&#22070;&#40483;&#12290; Zh&#224;nm&#462; s&#299; m&#237;ng. The war-horses neighed.
惊疑|jīngyí|ADJECTIVE surprised and bewildered
不定|bùdìng|ADVERB hard to say; hard to predict &#20107;&#24773;&#36824;&#19981;&#23450;&#24590;&#20040;&#26679;&#21602;&#12290; Sh&#236;qing h&#225;i b&#249; d&#236;ng z&#283;nmey&#224;ng ne. How things will tur
凝固|nínggù|VERB solidify &#34507;&#30333;&#36136;&#36935;&#28909;&#20250;&#20957;&#22266;&#12290; D&#224;nb&#225;izh&#236; y&#249; r&#232; hu&#236; n&#237;ngg&#249;. Protein turns solid when heated.
横陈|héngchén|to lie horizontally; to sprawl; to display openlyNuances:This literary term describes objects or bodies lying lengthwise, often with connotations of disorderly presentation or even sensual exposure in
铁锹|tiěqiāo|NOUN spade; shovel
活下|huóxià|to survive
相觑|xiāngqù|to look at each other
劫狱|jié//yù|VERB break into a gaol (or jail) and rescue a prisoner; gaol raid &#20182;&#26159;&#32858;&#20247;&#21163;&#29425;&#30340;&#39318;&#29359;&#12290; T&#257; sh&#236; j&#249;zh&#242;ng ji&#233;y&#249; de
结局|jiéjú|NOUN final result; outcome; ending &#24754;&#24808;&#30340;&#32467;&#23616; b&#275;ic&#462;n deji&#233;j&#250; tragic ending &#23567;&#35828;&#30340;&#32467;&#23616; xi&#462;oshu&#333; de ji&#233;j&#2
恰如其分|qiàrú-qífèn|Appropriate; apt; perfectly suitedNuance:恰如其分 is a formal idiom that describes something being exactly appropriate for a situation—neither excessive nor insufficient. It emphasizes precision, balance,
哀号|āiháo|VERB cry piteously; wail &#39118;&#25972;&#22812;&#22320;&#21696;&#21495;&#12290; f&#275;ng zh&#283;ngy&#232; de &#257;ih&#225;o. The wind wailed all night.
脚镣|jiǎoliào|NOUN fetters; shackles
中枪|zhòngqiāng|1&#9;to be hit by a gun 2&#9;shot
求生意志|qiúshēngyìzhì|the will to live
两样|liǎngyàng|Different / Not the Same / Two Different KindsNuance两样 is an adjective meaning "different" or "not the same," used specifically when comparing two items, aspects, or states. It emphasizes a contrast o
扫兴|sǎo//xìng|ADJECTIVE have one's spirits dampened; feel disappointed &#25195;&#20852;&#32780;&#24402; s&#462;ox&#236;ng'&#233;rgu&#299; return disappointed &#20196;&#20154;&#25195;&#20852;&#30340;&#20107; l&#236;
生猛|shēngměng|ADJECTIVE DIALECT 1&#9;live and fresh &#29983;&#29467;&#28023;&#40092; sh&#275;ngm&#283;ng h&#462;ixi&#257;n fresh seafood 2&#9;FIGURATIVE full of vigour; energetic; action-packed
空壳|kōngké|NOUN empty shell
尸骸|shīhái|NOUN 1&#9;bones of the dead; skeleton 2&#9;remains; dead body &#23608;&#39592;&#26410;&#23506; sh&#299;g&#468;w&#232;ih&#225;n while sb.&#8217;s remains are hardly cold yet&#8212;when sb. has just pas
腥味|xīngwèi|NOUN foul smell of fish; fishy smell
存档|cún//dàng|VERB 1&#9;keep in the archives; place on file; file &#25226;&#25991;&#20214;&#23384;&#26723; b&#462; w&#233;nji&#224;n c&#250;nd&#224;ng file documents; keep documents on file 2&#9;COMPUTING save
附身|fùshēn|to possess; to be inhabited by a spirit or entityNuances:Often used in supernatural contexts, implying a spirit taking control of a person’s body or mind.Example Sentences:电影中，恶灵附身少女，操纵她的行为。(In the fi
咒文|zhòuwén|1&#9;incantation 2&#9;spell 3&#9;to curse
保佑|bǎoyòu|VERB bless and protect &#20062;&#27714;&#31070;&#28789;&#20445;&#20305; Q&#464;qi&#250; sh&#233;nl&#237;ng b&#462;oy&#242;u seek the blessings of the gods &#26377;&#26102;&#20505;&#20154;&#33021;&#329
孤单|gūdān|ADJECTIVE 1&#9;alone; lonely &#23396;&#21333;&#19968;&#20154; g&#363;d&#257;n y&#299; r&#233;n a lone soul &#24863;&#21040;&#23396;&#21333; g&#462;nd&#224;o g&#363;d&#257;n feel lonely 2&#9;weak &#211
掳走|lǔzǒu|to abduct
立功|lì//gōng|VERB render meritorious service; do a deed of merit; win honour; make contributions &#31435;&#22823;&#21151; l&#236; d&#224;g&#333;ng render outstanding service &#31435;&#26032;&#21151; l&#236; x&#299
