太空步|tàikōngbù|moonwalk (dance)
长年累月|chángnián-lěiyuè|year in and year out; over a long period of timeNuances:This idiom emphasizes the accumulation of time, suggesting a prolonged, continuous duration that leads to significant results or ingrained habit
积攒|jīzǎn|VERB COLLOQUIAL save (or collect) bit by bit &#31215;&#25874;&#37038;&#31080; J&#299;z&#462;n y&#243;upi&#224;o collect stamps &#20182;&#30465;&#21507;&#20461;&#29992;, &#31215;&#25874;&#23398;&#36153
消隐|xiāoyǐn|to fade away; to gradually disappear; to dissolve into obscurityNuances:Often used to describe something vanishing slowly or becoming imperceptible over time.Can carry a poetic or melancholic tone, su
放晴|fàng//qíng|VERB clear up (after rain) &#22825;&#19968;&#25918;&#26228;&#21681;&#20204;&#23601;&#20986;&#38376;&#12290; ti&#257;n y&#299; f&#224;ngq&#237;ng z&#225;nmen ji&#249; ch&#363;m&#233;n. We&#8217;ll star
筹款|chóu//kuǎn|VERB raise money (or funds)
养老院|yǎnglǎoyuàn|home for the aged; senior citizens&#8217; home
露天|lùtiān|Open-air; outdoor; uncovered.Nuance: 露天 describes places or activities that are exposed to the open sky, without a roof or shelter. It often conveys a sense of natural exposure, openness, or public se
纷至沓来|fēnzhì-tàlái|IDIOM come in a continuous stream; come thick and fast; keep pouring in
粤语|yuèyǔ|NOUN Guangdong dialect; Cantonese
霸道|bàdào|overbearing; tyrannical; domineeringNuances:This term describes someone who aggressively imposes their will on others, disregarding fairness or rules. It implies abuse of power and selfishness, often 
凹凸|āotū|bumpy; uneven; concave and convexNuances:This term describes a surface or structure with alternating depressions and protrusions, creating a textured, irregular profile. It can be used both literally 
拔苗助长|bámiáo-zhùzhǎng|IDIOM pull shoots to help them grow&#8212;spoil things by excessive enthusiasm; precipitate &#29992;&#36825;&#31181;&#26041;&#24335;&#25945;&#32946;&#23401;&#23376;&#26080;&#24322;&#20110;&#25300;&#33
把关|bǎ//guān|VERB 1&#9;guard a pass &#37325;&#20853;&#25226;&#20851;&#12290; zh&#242;ngb&#299;ng b&#462;gu&#257;n The pass was heavily guarded. 2&#9;check on &#23618;&#23618;&#25226;&#20851; c&#233;ngc&#233;ngb&#4
掰|bāi|To Break (with Force); To Split Apart; To PryNuanceThe word 掰 is a vivid, colloquial verb that usually describes breaking something solid with the hands, such as splitting bread, snapping a branch, or
拜年|bài//nián|To pay a New Year's visit; to offer New Year's greetingsNuance:拜年 is a specific social custom practiced during the Chinese New Year (Spring Festival). It involves visiting family, friends, neighbors, 
颁布|bānbù|To promulgate; to issue (a decree, law, policy)Nuance:颁布 is a formal term used specifically for the official issuance of laws, decrees, regulations, or important policies by an authoritative body such
扮演|bànyǎn|VERB play the part of; act &#25198;&#28436;(&#30340;&#35282;&#33394;)&#24456;&#25104;&#21151; b&#224;ny&#462;n h&#283;n ch&#233;ngg&#333;ng act one&#8217;s part well &#22312;&#20107;&#20214;&#20013;&#
饱和|bǎohé|SaturatedNuance:饱和 is a term that describes a state where no more can be added, absorbed, or contained. In its original scientific context, it refers to a solution that cannot dissolve more solute. In
饱经沧桑|bǎojīng-cāngsāng|Having experienced many vicissitudes of life; weathered by the passage of time.Nuance: 饱经沧桑 describes someone or something that has gone through numerous hardships, upheavals, or drastic changes over 
保养|bǎoyǎng|VERB 1&#9;take good care of (or conserve) one's health &#20320;&#35201;&#22909;&#22909;&#20445;&#20859;&#36523;&#20307;&#12290; N&#464; y&#224;o h&#462;oh&#257;o b&#462;oy&#462;ng sh&#275;nt&#464;. Yo
抱负|bàofù|NOUN aspiration; ambition; lofty aim &#24456;&#26377;&#25265;&#36127; H&#283;n y&#466;u b&#224;of&#249; have high aspirations; have ambitions; highly ambitious &#23454;&#29616;&#23815;&#39640;&#25265;
报仇|bào//chóu|VERB revenge; avenge; take revenge &#20026;&#29238;&#25253;&#20167; w&#232;i f&#249; b&#224;och&#243;u avenge one&#8217;s father &#25253;&#31169;&#20167; b&#224;o s&#299;ch&#243;u make personal reveng
被告|bèigào|NOUN LAW defendant; the accused (opp. &#21407;&#21578;)
备份|bèifèn|Backup / To Back UpNuance备份 is a noun or verb used in computing and data management to refer to a copy of data stored separately to protect against loss or corruption. It implies a precautionary measu
奔波|bēnbō|To rush about; to run around busily; to toil from place to place.Nuance: 奔波 describes being constantly on the move, often with a sense of fatigue or busy effort, usually for work, errands, or responsi
奔驰|bēnchí|VERB run quickly; speed &#22868;&#39536;&#30340;&#28779;&#36710; b&#275;nch&#237; de hu&#466;ch&#275; train running at full speed &#28779;&#36710;&#21521;&#21069;&#22868;&#39536;&#12290; Hu&#466;ch&#2
笨拙|bènzhuō|ADJECTIVE clumsy; awkward; stupid &#31528;&#25305;&#30340;&#20238;&#20457; b&#232;nzhu&#333; de j&#236;li&#462;ng stupid tricks; clumsy plot &#21160;&#20316;&#31528;&#25305; D&#242;ngzu&#242; b&#232;n
弊病|bìbìng|defect; drawback; problem (especially in a system, method, or practice).Nuance: 弊病 refers to an inherent flaw, weakness, or harmful aspect within a system, institution, policy, or method that causes i
弊端|bìduān|Drawback; defect; malpractice; hidden danger.Nuance: 弊端 refers to harmful flaws or undesirable consequences within a system, policy, method, or practice. It often carries a formal or critical tone and
闭塞|bìsè|"closed off," "isolated," "inaccessible," "backward"Nuance: 闭塞 has both literal and figurative meanings. Literally, it describes a place that is physically difficult to reach, isolated, or cut off fro
鞭策|biāncè|To spur on; to urge forward; to motivate (with pressure or encouragement).Nuance鞭策 is a verb that describes the act of motivating or driving someone to work harder or make progress, often through pres
贬义|biǎnyì|NOUN derogatory sense (opp. &#35090;&#20041;) &#36825;&#20010;&#35789;&#24120;&#29992;&#20110;&#36140;&#20041;&#12290; Zh&#232;ge c&#237; ch&#225;ng y&#242;ng y&#250; bi&#462;ny&#236;. This word is of
变故|biàngù|an unexpected turn of events; a sudden change (usually negative or disruptive)Nuances:Refers to unforeseen incidents that alter circumstances dramatically, often carrying a sense of crisis or misfortu
变迁|biànqiān|changes and transitions; vicissitudesNuances:This term describes the process of transformation over time, often in broad contexts like history, society, or nature. It implies a sequence of shifts that
表决|biǎojué|To Vote / To Decide by VoteNuance表决 is a verb or noun that refers to the formal process of making a decision by voting, typically in organized groups such as legislative bodies, committees, shareholde
别致|biézhì|Unique, unusual, exquisiteNuance别致 describes something that stands out because of its distinctiveness, elegance, or refined style. It is often used for objects, designs, or manners that feel special a
濒临|bīnlín|VERB be or become close to; border on; on the verge of &#28626;&#20020;&#28781;&#32477; b&#299;nl&#237;n mi&#232;ju&#233; on the brink of extinction; endangered &#28626;&#20020;&#27515;&#20129; b&#299
并列|bìngliè|to place side by side; to rank equallyNuances:This term describes entities sharing the same position or status without hierarchy, whether in physical arrangement (e.g., objects) or abstract rankings (
薄弱|bóruò|ADJECTIVE weak; frail &#34180;&#24369;&#29615;&#33410; b&#243;ru&#242; hu&#225;nji&#233; weak link; vulnerable spot &#22522;&#30784;&#34180;&#24369; j&#299;ch&#468; b&#243;ru&#242; flimsy foundations;
不顾|bùgù|"to disregard," "to ignore (consequences, objections, etc.)" (implies acting recklessly or defiantly without considering risks or others' opinions).Nuance:Often carries a negative tone, suggesting wil
不像话|bù//xiànghuà|outrageous; unreasonable; beyond acceptable limitsNuances:This colloquial phrase expresses strong disapproval of behavior that violates social norms or common sense, often with moral indignation. Lite
不屑一顾|bùxiè-yīgù|IDIOM not spare a glance for; regard as beneath one's notice; ignore
哺乳|bǔrǔ|Breastfeeding; lactationNuance:哺乳 is a biological and medical term that refers to the act of feeding infants or young with milk from the breast. It is a formal, scientific term used in contexts of hum
不敢当|bù//gǎndāng|I don't deserve such praise; you flatter meNuance:不敢当 is a humble, polite phrase used in response to compliments, praise, or expressions of gratitude. It literally means "I dare not accept (such an ho
不相上下|bùxiāngshàngxià|equally matched; on par with each otherNuances:This idiom describes two or more entities that are so close in ability, quality, or level that no clear superiority can be determined. It emphasizes a ba
不言而喻|bùyán'éryù|self-evident; speaking for itselfNuances:Indicates that something is so obvious it requires no explanation.Example Sentences:他的才华不言而喻，作品就是最好的证明。(His talent is self-evident—his work is the best proof.)
部署|bùshǔ|To deploy; to arrange; to set up; deployment or arrangement (of personnel, resources, or plans).Nuance: 部署 primarily refers to the deliberate and systematic arrangement of people, resources, or strate
部位|bùwèi|NOUN [usu. referring to the human body] position; place &#21463;&#20260;&#37096;&#20301; sh&#242;ush&#257;ng b&#249;w&#232;i location of an injury; injured area &#21457;&#38899;&#26102;&#33292;&#30340
裁员|cái//yuán|VERB reduce (or cut) staff; lay off employees &#35009;&#21592;&#19968;&#21322; c&#225;iyu&#225;n y&#299;b&#224;n cut the workforce by half &#36825;&#23478;&#39277;&#24215;&#24050;&#35009;&#21592;&#201
采纳|cǎinà|To Adopt / To Accept (a suggestion)Nuance采纳 is a verb that means to accept and put into effect a proposal, suggestion, plan, or piece of advice. It implies a considered decision by an authority or dec
参谋|cānmóu|Advisor, staff officer, to give counselNuance参谋 originally referred to military staff officers who provided strategies and advice to commanders. In modern usage, it extends beyond the military to mean
参照|cānzhào|to refer to; to consult; to use as a referenceNuances:"参照" implies using existing materials, standards, or examples for guidance or comparison. It suggests a structured approach to learning or decisio
残疾|cánji|disability; physical or mental impairmentNuances:This formal yet compassionate term refers to long-term functional limitations caused by physical, intellectual, or psychological conditions. Unlike pej
操劳|cāoláo|To work hard (especially with mental or physical effort); to toil; to labor diligently (often with a sense of exhaustion).Nuances:"操劳" often implies prolonged, exhausting effort, sometimes with a sens
测量|cèliáng|VERB survey; measure; gauge &#27979;&#37327;&#22320;&#24418; c&#232;li&#225;ng d&#236;x&#237;ng survey the topography &#27979;&#37327;&#27827;&#36947; c&#232;li&#225;ng h&#233;d&#224;o survey the rive
柴油|cháiyóu|"diesel fuel," "diesel"Nuance:柴油 refers to a type of fuel derived from petroleum, commonly used in diesel engines for vehicles, machinery, and generators. It emphasizes a heavier, oil-based fuel compa
昌盛|chāngshèng|"Prosperous; thriving; flourishing" (describing vigorous growth or booming success, often of nations, businesses, or eras).Nuances:昌盛 (chāng shèng) conveys grand-scale, sustained prosperity, with hist
偿还|chánghuán|To repay; to reimburse; to pay back (a debt or obligation)Nuance“偿还” is a formal term used to describe the act of returning something owed—typically money, but it can also refer to fulfilling moral or
倡议|chàngyì|"To propose; to initiate (an idea or plan); proposal" (a formal suggestion to start or promote something, often for collective benefit).Nuances:倡议 (chàng yì) implies moral advocacy and public-spirited
朝代|cháodài|NOUN dynasty
沉淀|chéndiàn|Precipitate; sediment; to settle; to accumulate (over time).Nuance: 沉淀 originally refers to the physical process where particles sink and form sediment in a liquid. In an extended sense, it describes 
沉闷|chénmèn|oppressive; gloomy; dullNuances:This term describes an atmosphere, mood, or personality that feels heavy, joyless, and stifling. It can refer to both external environments (weather, meetings) and inte
沉着|chénzhuó|calm; composed; steadyNuances:This term describes a state of mental poise and emotional stability, especially under pressure. It implies not just outward calm, but inner resilience and clear-headednes
承办|chéngbàn|to undertake; to host; to organize (an event or project)Nuances:This term refers to taking responsibility for planning and executing a task, often in an official or professional capacity. It implies a
成交|chéng//jiāo|1. (Commerce) To close a deal; to finalize a transaction.2. (Auction) "Sold!" (declaration by an auctioneer).Nuances:In business, "成交" marks the formal agreement of a sale/purchase. As an exclamation 
成天|chéngtiān|All Day Long / Day In, Day OutNuance成天 is a colloquial adverb meaning all day long or constantly, often with a tone of annoyance or exasperation. It implies that an action or state persists throughout
成效|chéngxiào|NOUN effect; result &#25104;&#25928;&#29978;&#23567; ch&#233;ngxi&#224;o sh&#232;n xi&#462;o achieve little &#25104;&#25928;&#26174;&#33879; Ch&#233;ngxi&#224;o xi&#462;nzh&#249; produce a marked effe
成心|chéngxīn|Deliberately; on purpose; intentionally (often with a negative connotation).Nuance: 成心 refers to doing something with clear intention, usually implying that the intention is not good. It suggests purp
迟疑|chíyí|to hesitate; to be indecisiveNuances:This term describes a pause due to doubt or reluctance, implying internal conflict before taking action. Unlike general hesitation (犹豫), it often carries a sense o
学霸|xuébà|NOUN scholar-lord; scholar-tyrant
烂尾|lànwěi|ADJECTIVE (esp. of housing construction) unfinished &#28866;&#23614;&#27004; l&#224;nw&#283;il&#243;u unfinished building
充实|chōngshí|ADJECTIVE substantial; rich; ample; full &#20869;&#23481;&#20805;&#23454; N&#232;ir&#243;ng ch&#333;ngsh&#237; rich in content &#36807;&#30528;&#20805;&#23454;&#32780;&#26377;&#24847;&#20041;&#30340;&
崇敬|chóngjìng|VERB esteem; respect; revere &#24576;&#30528;&#23815;&#25964;&#30340;&#24515;&#24773; Hu&#225;izhech&#243;ngj&#236;ng de x&#299;nq&#237;ng cherish a feeling of reverence for &#25105;&#24456;&#23815;&#
筹备|chóubèi|to prepare; to arrange; to make preparations (for an event or project)Nuances:This term refers to the systematic and often detailed process of getting ready for a significant undertaking, such as an e
稠密|chóumì|dense; thick (of population, forest, or texture)Nuances:Describes high concentration or compactness, often in physical or statistical contexts.Example Sentences:东南亚部分地区人口稠密，资源紧张。(Some regions in South
丑恶|chǒu'è|ADJECTIVE ugly; repulsive; hideous &#19985;&#24694;&#34920;&#28436; ch&#466;u'&#232; bi&#462;oy&#462;n disgusting performance &#19985;&#24694;&#38754;&#30446; ch&#466;u'&#232; mi&#224;nm&#249; ugly fe
出神|chū//shén|To be spellbound; to be entranced; to be lost in thought.Nuance出神 describes a state of deep mental absorption where one's attention is completely captured, either by external stimuli or by internal th
结节|jiéjié|NOUN BIOLOGY tubercle; node
储备|chǔbèi|to reserve; to store up; reservesNuances:"储备" refers to the accumulation and storage of resources (e.g., food, funds, talent) for future use. It emphasizes preparedness and is commonly used in economi
触犯|chùfàn|To offend, to violate, to transgressNuance触犯 refers to going against rules, laws, taboos, or the dignity of others, thereby causing offense or committing a violation. It can be used in both legal and 
创立|chuànglì|VERB found; originate &#21019;&#31435;&#26032;&#23398;&#27966; Chu&#224;ngl&#236; x&#299;n xu&#233;p&#224;i found a new academic school
创业|chuàngyè|VERB start an undertaking; do pioneering work &#21019;&#19994;&#30340;&#33392;&#36763; chu&#224;ngy&#232; de ji&#257;nx&#299;n hardships endured in pioneering work &#21019;&#19994;&#38590;, &#23432;&#
纯洁|chúnjié|ADJECTIVE pure; clean and honest &#24515;&#22320;&#32431;&#27905; X&#299;nd&#236; ch&#250;nji&#233; be pure of heart VERB purify &#32431;&#27905;&#32452;&#32455; ch&#250;nji&#233; z&#468;zh&#299; puri
慈祥|cíxiáng|Kindly; benevolent; gentle (especially of an elder’s demeanor)Nuance“慈祥” describes a warm, gentle, and affectionate expression or temperament—most often that of an elderly person, such as a grandparen
次序|cìxù|Order, sequence, arrangementNuance次序 refers to the proper or logical arrangement of things or events in a particular sequence. It emphasizes organization and structure, often implying that things shou
从容|cóngróng|calm and unhurried; composed; leisurelyNuances:This term describes a state of relaxed confidence and grace under pressure, suggesting inner peace and self-assurance. It often implies a mature ability 
磋商|cuōshāng|to deliberate; to negotiate (often formally)Nuances:Implies careful, detailed discussions between parties (e.g., diplomats, businesses), usually toward a compromise. More structured than "商量".Example 
答辩|dábiàn|VERB reply (to a charge, query or an argument) &#36827;&#34892;&#35770;&#25991;&#31572;&#36777; j&#236;nx&#237;ng l&#249;nw&#233;n d&#225;bi&#224;n defend one&#8217;s thesis &#20445;&#30041;&#20844;&#
打官司|dǎ//guānsi|To go to court; to file a lawsuit; to engage in legal proceedings.Nuance: 打官司 refers to taking legal action, either civil or criminal, by bringing a case before a court. It emphasizes the formal proce
大不了|dàbuliǎo|At most; if worst comes to worst; no big deal (context-dependent).Nuance: 大不了 has two main usages. First, it expresses the worst-case scenario, implying that even in the most serious situation, the ou
大臣|dàchén|minister; high-ranking official (in historical or modern governance)Nuances:This term refers to senior government officials who advise a monarch or lead major departments, carrying connotations of aut
大体|dàtǐ|in general; on the whole; broadly speakingNuances:This term indicates a holistic or generalized perspective, focusing on main trends or essential aspects while overlooking minor details. It implies a 
淡季|dànjì|Off-Season / Slack SeasonNuance淡季 is a noun that refers to a period when business activity, tourism, or demand for a particular product or service is at its lowest. It is the counterpart to "旺季" (peak
旺季|wàngjì|1&#9;busy season 2&#9;peak period 3&#9;see also d&#224;nj&#236; [&#28129;&#23395;]
淡水|dànshuǐ|NOUN fresh water (opp. &#21688;&#27700;) &#28129;&#27700;&#20859;&#40060; d&#224;nshu&#464; y&#462;ngy&#250; freshwater fish-farming
诞辰|dànchén|birth date (of a respected person); anniversary of a birthNuances:This formal and respectful term is reserved for commemorating the birthdays of revered figures, such as historical leaders, cultural i
当务之急|dāngwùzhījí|top priority; the most urgent matterNuances:This idiom (lit. "the urgent task at hand") emphasizes the critical need to address a specific issue immediately, often because it affects broader goals or 
导航|dǎoháng|VERB navigate &#26080;&#32447;&#30005;&#23548;&#33322; w&#250;xi&#224;ndi&#224;n d&#462;oh&#225;ng radio navigation &#38647;&#36798;&#23548;&#33322; l&#233;id&#225; d&#462;oh&#225;ng radar navigation 
得不偿失|débùchángshī|IDIOM The loss outweighs the gain. or The game is not worth the candle.
奠定|diàndìng|to establish; to lay a foundationNuances:Formal term for creating a solid base for future development, often in abstract contexts (e.g., theories, systems).Example Sentences:这项研究奠定了现代物理学的理论基础。(This re
叼|diāo|VERB hold in the mouth &#22068;&#37324;&#21500;&#30528;&#28895;&#21367; zu&#464;l&#464; di&#257;o zhe y&#257;nju&#462;n with a cigarette dangling from one&#8217;s lips &#40644;&#40736;&#29436;&#21500;
丢三落四|diūsān-làsì|scatterbrained; forgetfulNuances:This idiom (lit. "lose three, drop four") humorously describes a habitual tendency to misplace or forget things due to carelessness. It implies a pattern of minor but 
东道主|dōngdàozhǔ|host (of an event or venue)Nuances:This term originates from ancient Chinese diplomacy, where "东道" referred to the host state providing lodging and amenities. It now broadly describes anyone hosting a
动态|dòngtài|trends; developments; dynamic stateNuances:Refers to changing conditions or real-time updates in fields like tech, politics, or social media. More fluid than "情况".Example Sentences:关注我们获取行业最新动态。(Follo
短促|duǎncù|Brief; short and hurried (in time or sound); abrupt.Nuances:"短促" emphasizes extreme brevity, often implying urgency, abruptness, or insufficiency. It can describe time ("a fleeting moment"), sounds ("
断定|duàndìng|to conclude; to assert with certainty; to determine conclusivelyNuances:This term expresses a firm, often definitive judgment based on evidence or reasoning. It implies a high degree of confidence in 
对应|duìyìng|Corresponding; matching; to correspond to; to be equivalent to.Nuance: 对应 refers to a relationship where one thing relates, matches, or aligns with another, either in position, function, or meaning. I
对照|duìzhào|NOUN contrast; comparison &#24418;&#25104;&#40092;&#26126;&#30340;&#23545;&#29031; X&#237;ngch&#233;ng xi&#257;nm&#237;ng de du&#236;zh&#224;o form a sharp contrast VERB contrast; compare &#23545;&#29
发炎|fā//yán|VERB MEDICINE inflame &#20260;&#21475;&#21457;&#28814;&#20102;&#12290; Sh&#257;ngk&#466;u f&#257;y&#225;n le. The wound has become inflamed.
反抗|fǎnkàng|VERB revolt; resist &#21453;&#25239;&#20405;&#30053; f&#462;nk&#224;ng q&#299;nl&#252;&#232; resist aggression &#21738;&#37324;&#26377;&#21387;&#36843;, &#21738;&#37324;&#23601;&#26377;&#21453;&#25239
反思|fǎnsī|VERB reflect; introspect &#19968;&#20010;&#20540;&#24471;&#35748;&#30495;&#21453;&#24605;&#30340;&#38382;&#39064; y&#299; ge zh&#237;de r&#232;nzh&#275;n f&#462;ns&#299; de w&#232;nt&#237; a matter th
范畴|fànchóu|NOUN 1&#9;category &#22522;&#26412;&#33539;&#30068; j&#299;b&#283;n f&#224;nch&#243;u basic category &#35821;&#27861;&#33539;&#30068; y&#468;f&#462; f&#224;nch&#243;u grammatical category 2&#9;domain;
方位|fāngwèi|direction; orientation; positionNuances:Refers to cardinal directions (e.g., east, west) or spatial placement, often used in navigation or description.Example Sentences:在野外迷路时，可用指南针确定方位。(When lost in 
方言|fāngyán|NOUN dialect &#27425;&#26041;&#35328; C&#236; f&#257;ngy&#225;n subdialect &#31038;&#20250;&#26041;&#35328; sh&#232;hu&#236; f&#257;ngy&#225;n social dialect
方圆|fāngyuán|1. (literal) circumference and area; 2. (figurative) surrounding area or vicinity; 3. (figurative) moral principles or social normsNuances:The term can refer to physical space (like a radius around a 
隔夜|gé//yè|Overnight; left over from the previous night.Nuance隔夜 is an adjective that literally means "separated by a night," referring to something that has been left or has lasted through the night. Its most c
放射|fàngshè|To Radiate / RadiationNuance放射 is a verb that describes the process of emitting energy, light, or particles from a central point outward in rays or waves. It is most commonly used in scientific and me
飞翔|fēixiáng|VERB fly; circle in the air; hover &#23637;&#32709;&#39134;&#32724; Zh&#462;nch&#236;f&#275;ixi&#225;ng spread wings and fly &#38596;&#40560;&#22312;&#23665;&#35895;&#20013;&#39134;&#32724;&#12290; Xi
废寝忘食|fèiqǐn-wàngshí|IDIOM forget to eat and sleep &#24223;&#23517;&#24536;&#39135;&#22320;&#24037;&#20316; f&#232;iq&#464;nw&#224;ngsh&#237; de g&#333;ngzu&#242; forget to eat and sleep while working
分寸|fēncun|proper limits; sense of proprietyNuances:Describes the art of balanced behavior—not too much nor too little. Key in social etiquette and diplomacy.Example Sentences:他说话做事很有分寸，从不得罪人。(He knows exactly h
分红|fēn//hóng|Dividend, profit-sharing, bonus distributionNuance分红 literally means “to divide the profits” and is most often used in business or financial contexts to describe distributing dividends to shareholders
风气|fēngqì|Social atmosphere; prevailing trend; ethos; common practice.Nuance: 风气 refers to the general mood, moral standards, or cultural tendencies prevalent in a society, group, or environment. It encompasses
风土人情|fēngtǔrénqíng|local customs and practices; cultural characteristics of a placeNuances:Encompasses the natural environment ("风土") and human traditions ("人情") of a region, often evoking cultural charm.Example Sentenc
风味|fēngwèi|flavor; style; distinctive charmNuances:This term can describe literal taste (e.g., food) or figurative cultural/aesthetic characteristics (e.g., regional customs, artistic vibes). It emphasizes uniqu
夫妇|fūfù|married couple; husband and wifeNuances:This formal term refers specifically to a legally or traditionally recognized union between spouses. It conveys respect and is often used in legal, literary, or
幅度|fúdù|Range; extent; magnitude; amplitude.Nuance: 幅度 refers to the scale or degree of variation or change in something. It is commonly used in technical, scientific, and statistical contexts (e.g., economic
服气|fú//qì|to be convinced; to acknowledge superiority or defeatNuances:Colloquial term expressing genuine acceptance of another’s ability or a situation’s fairness, often after initial resistance.Example Senten
腹泻|fùxiè|VERB MEDICINE diarrhea; enterorrhea
盖章|gài//zhāng|To affix a seal/stamp; to stamp a document.Nuance盖章 is a verb that refers to the act of imprinting an official seal or stamp onto a document, contract, or other surface. In Chinese administrative and 
