售货员|shòuhuòyuán|Shop assistant / Salesperson
主观|zhǔguān|Subjective&nbsp;
过于|guòyú|Too much / Excessively
庄严|zhuāngyán|Solemn / Dignified / Stately
面貌|miànmào|Appearance / Face / Features
开明|kāimíng|Enlightened / Open minded
大陆|dàlù|Continent / Mainland
木|mù|Wood / Tree
产量|chǎnliàng|Output / Yield
猛增|měngzēng|Sharp increase
进化|jìnhuà|Evolution
非正式|fēizhèngshì|Unofficial
笔记|bǐjì|Take down notes
素描|sùmiáo|Sketch
遭受|zāoshòu|Suffer / Be subjected to
统治|tǒngzhì|To govern / rule (a country)
墙纸|qiángzhǐ|Wallpaper
污迹|wūjì|Blotch / Stain
旅途|lǚtú|Journey / Trip
逃|táo|To escape / to run away / flee
动手|dòngshǒu|To start work / touch / hit with hands or fists
拥抱|yōngbào|Embrace / Hug
情侣|qínglū|Sweethearts / Lovers
傻|shǎ|Foolish
结实|jiēshi|Solid / Sturdy / Strong
梯子|tīzi|Ladder
井|jǐng|A well (ie filled with water)
自费|zìfèi|At ones own expense
水稻|shuǐdào|Rice (like, paddy, in its field)
山脉|shānmài|Mountain range
勇气|yǒngqì|Courage
