人身攻击|rénshēn gōngjí|Personal attack
带薪|dài xīn|paid (leave) / on full pay / receive salary (whilst on vacation, study leave etc)
妄图|wàngtú|To try in vain / Futile attempt
攻打|gōngdǎ|To attack (the enemy)
理睬|lǐcǎi|To pay attention to; to take notice of; to respond to (someone) Nuance “理睬” refers to acknowledging or responding to someone—usually in speech or behavior. It carries an interpersonal tone, often appe
削弱|xuēruò|To weaken / To impair / To cripple
患|huàn|To suffer (from illness) / To contract (a disease)
眨眼睛|zhǎ yǎnjīng|To blink / To wink
最小化|zuìxiǎo huà|To minimise (in computing, an application)
鞠躬|jūgōng|To bow (after a performance, not sure if for all bowing)
熄灭|xī miè|To extinguish / To go out (of fire) / To die out / stop burning
宿怨|sùyuàn|An old grudge / Old scores to settle
早已|zǎoyǐ|Long ago / For a long time
铭文|míngwén|Inscription
气愤|qìfèn|Indignant / Furious
兜售|dōushòu|To peddle; to hawk; to sell (often aggressively or in a pushy manner).Nuance兜售 is a verb that describes the act of selling goods, often in a persistent, aggressive, or intrusive manner. It can refer t
百货|bǎihuò|General merchandise
照料|zhàoliào|to look after; to care for; to tend toNuances:This term implies attentive, often routine care for someone or something requiring support—whether people, animals, or plants. It combines practical assis
右翼|yòuyì|Right wing (politics)
惧怕|jùpà|To be afraid
君主制|jūnzhǔ zhì|Monarchy
妒嫉|dù jí|To be jealous
妨害|fánghài|To impair / damaging / harmful
规章|guīzhāng|Rules / Regulations
柏油|bǎi yóu|Tar / Asphalt
野蛮|yěmán|Barbarous / Uncivilised
惊慌|jīnghuāng|Panic
顿时|dùnshí|Suddenly / Immediately
击溃|jī kuì|To crush; to defeat utterly; to routNuance:击溃 is a strong military or competitive term that describes a complete, overwhelming defeat of an opponent, often causing them to scatter or lose cohesion. It
分解|fēnjiě|To decompose / To break down
棱镜|Léngjìng|A prism (light)
机关枪|Jīguānqiāng|Machine gun
阵地|zhèndì|Position / Front
全力以赴|quánlì yǐ fù|To make an all out effort / to do at all costs
兴冲冲|xìng chōngchōng|Full of joy and expectations / Animatedly
跟前|gēnqián|In front of / Close to / Nearby
遵照|Zūnzhào|In accordance with / To follow (the rules)
指示|zhǐshì|To point out / To indicate / To instruct
光谱|guāngpǔ|Spectrum
清除|qīngchú|To eliminate / To get rid of
管弦乐队|Guǎnxiányuè duì|Orchestra
较差|jiào chà|Mediocre / Rather poor / Not specially good
教徒|jiàotú|Disciple / Follower of a religion
穆斯林|mùsīlín|Muslim
勘查|kānchá|To survey; to explore; to investigate (especially terrain, resources, or sites) Nuance “勘查” is a formal term used to describe systematic on-site investigation or exploration, typically involving techn
港湾|Gǎngwān|Harbour
诧异|chàyì|Flabbergasted / Astonished
滴|dī|Drop / Drip
劫匪|Jié fěi|Bandit / Robber
宏伟|hóngwěi|Magnificent / Grand / Imposing
景象|jǐngxiàng|Scene / Sight (to behold)
家道中落|jiā dàozhōng luò|The family fortune has declined; to come down in the world.Nuance家道中落 is a classical and somewhat literary phrase that describes the process of a once wealthy and prominent family falling into financi
富户|fù hù|Rich family
蝗虫|Huángchóng|Locust
控告|kònggào|To accuse / To sue / To indict / To charge
趋于|qū yú|To tend towards
拱形|gǒng xíng|Arch
横跨|héng kuà|To span / To stretch across / To travel across
石膏绷带|shígāo bēngdài|Plaster cast
磅秤|bàngchèng|Scale (weigh yourself) / 体重秤 is better
捅|tǒng|To poke / To prod / To stab / To nudge
猛扑|měng pū|To charge / To pounce on / To swoop down on
肺炎|fèiyán|Pneumonia / Inflammation of the lungs
小心得肺炎|Xiǎo xīndé fèiyán|Take care of getting pneumonia
征兆|zhēngzhào|Omen; sign; indication (of a future event, often ominous).Nuance征兆 is a noun that refers to a sign or indicator that foretells a future event, especially an unfavorable or significant one. It carries 
憋|biē|To stifle / To restrain / To hold back / To hold (ones breath) / To hold (when needing bathroom)
铁匠|tiějiàng|Blacksmith / Ironworker
铁棒|tiě bàng|Iron club / Steel rod
烧红|shāo hóng|Heat until red
烘|hōng|To bake / To heat by fire
树根|shù gēn|Tree roots
绊倒|bàn dào|To trip; to stumble and fallNuance:绊倒 describes the act of tripping over something, causing one to stumble or fall. It specifically involves an obstacle (a physical object or one's own feet) that catc
熄灯|Xīdēng|Lights out
瞄准|miáozhǔn|To aim (a weapon at a target) / To aim (for higher standard)
羚羊|língyáng|Antelope
抛锚|pāomáo|To drop anchor; (by extension) to break down (usually of a vehicle). Nuance: 抛锚 originally refers to a ship lowering its anchor to stop. In modern colloquial Chinese, it is often used metaphorically f
抓阄|zhuājiū|To draw straws
封|fēng|To confer / To grant / To bestow a title / To seal
爵士|juéshì|Knight / Sir
落选|luòxuǎn|To lose an election
大为|dà wéi|Greatly / Very much
辨别|biànbié|To differentiate / To distinguish / To discriminate
边陲|Biānchuí|Border area / Frontier
如画|rú huà|Picturesque
配偶|pèi'ǒu|Spouse / Mate&nbsp;
遗弃|yíqì|To leave / To abandon
鱼鳞|yúlín|Fish scales
缩水|suōshuǐ|To shrink (in the wash)
挥舞|huīwǔ|To brandish / To wave something (sword etc)
螃蟹|pángxiè|Crab
后台|hòutái|Backstage / The area behind a theatrical stage
承包|chéngbāo|To contract / To undertake (a job)
投标|tóubiāo|to bid (in a tender or auction)Nuances:A business term for submitting a competitive proposal (price, plan) to win a contract. Implies formal procedures.Example Sentences:三家公司竞相投标这个政府项目。(Three companie
立正|lìzhèng|To stand straight / Attention! (order to troops)
敬礼|jìnglǐ|To salute
蝌蚪|Kēdǒu|Tadpole
蝌蚪有尾巴|Kēdǒu yǒu wěibā|A tadpole has a tail
诬陷|wū xiàn|To frame / To entrap / To plant false evidence against somebody
痊愈|quányù|To heal and recover completely
刺客|cìkè|Assassin
匕首|bǐshǒu|Dagger
换算|huànsuàn|To convert / Conversion
公式|gōngshì|Formula
傀儡|kuǐlěi|PuppetNuance傀儡 is a noun with a powerful and consistently negative connotation. Literally meaning a puppet (as in a marionette), it is overwhelmingly used metaphorically to describe a person, organiza
木偶|Mù'ǒu|Puppet (literal one)
