抑郁症|yìyùzhèng|Clinical depression
成品|chéngpǐn|Finished goods / A finished product
心烦|xīnfán|To feel agitated / To be troubled / To be annoyed
开口|kāikǒu|To open ones mouth / To start to talk
聚餐|jùcān|Communal meal / Formal dinner of club or group
班组|bānzǔ|Group or team (in factories etc)
家属|jiāshǔ|Family member / Family dependant
一对|yīduì|Couple / Pair
迟迟|chíchí|Late (with a task etc) / Slow
娃儿|wá ér|Children (colloquial)
过节|guòjíe|To celebrate a festival
活宝|huóbǎo|Buffoon / Clown / Ridiculous person
自述|zìshù|To recount in ones own words / written self introduction
清晨|qīngchén|Early morning
慌|huāng|To get panicky / To lose ones head
谈价|tánjià|To negotiate (prices) / To haggle
试探|shìtàn|To sound out / To probe / To feel out / To try out
起码|qǐmǎ|At the minimum / At the very least
事后|shìhòu|After the event / In hindsight / In retrospect
运气|yùnqi|Luck (good or bad)
讲述|jiǎngshù|To talk about / To narrate / To give an account
各位|gèwèi|Everybody (a term of address)
感叹|gǎntàn|To sigh (with feeling) / To lament
二流子|èrliúzi|Loafer / Idler / Bum
法学|fǎxué|Law / Legal studies
昂贵|ángguì|Expensive / Costly
报考|bàokǎo|To enter oneself for an examination
彩票|cǎipiào|Lottery ticket
岗位|gǎngwèi|A post / A job
含量|hánliàng|Content / Quantity contained
事务所|shìwùsuǒ|Business office
欺负|qīfu|To bully
轻视|qīngshì|To look down upon / despise
逻辑|luóji|Logic / Order of thinking
恶心|ěxīn|be disgusted / to loathe / to hate / feel like vomiting
领会|lǐnghuì|To comprehend / to understand / to grasp
导弹|dǎodàn|Guided missile / cruise missile
越过|yuèguò|To cross over / to rise above / to transcend
投降|tóuxiáng|To surrender
停战|tíngzhàn|Cease fire / Armistice
阻碍|zǔ'ài|To obstruct / to hinder / to block / to hamper
干预|gānyù|To meddle / to intervene
正义|zhèngyì|Justice / Righteous
暴雨|bàoyǔ|Rainstorm / Downpour
记载|jìzǎi|To write down / record / chronicle
代价|dàijià|Cost / Price / Expense
被禁止|bèijìnzhǐ|Forbidden
学制|xuézhì|Education system
揭露|jiēlù|To expose / unmask / uncover / disclose / lay bare
阴谋|yīnmóu|Plot / Conspiracy
场地|chǎngdì|Space / Site / Place / Ground
额外|éwài|Extra / Added / Additional
调节|tiáojié|To adjust / Regulate
微波炉|wēibōlú|Microwave oven
预先|yùxiān|Beforehand / In advance
局面|júmiàn|Situation
自私|zìsī|Selfish / Selfishness
惊动|jīngdòng|To alarm; to disturb; to attract attention; to alert.Nuance惊动 is a verb that describes the act of causing alarm, disturbance, or attention—often inadvertently or unintentionally. It implies that the d
枪声|qiāngshēng|Gunshot sound
瞒|mán|To conceal from / To keep somebody in the dark
委托|wěituō|To entrust / trust / delegate
旋转|xuánzhuǎn|Rotate / Spin / Whirl / Revolve turn
行星|xíngxīng|Planet
绕|rào|To wind / To coil / To rotate around
写作|xiězuò|To compose / Writing
踏|tà|To step on
工龄|gōnglíng|Years of employment / Seniority
意味着|yìwèizhe|Signify / Imply / To mean (something)
未必|wèibi|Not necessarily / Maybe not
药方|yàofāng|Prescription / Medicine prescription
烧伤|shāoshāng|A burn (injury)
或多或少|huòduōhuòshǎo|More or less
议会|yìhuì|Discussing assembly / parliament / congress
干扰|gānrǎo|To interfere / obstruct&nbsp;
恼怒|nǎonù|Resentful / Angry / To enrage somebody
可恶|kěwù|Hateful / Abominable / Detestable (me apparently)
清醒|qīngxǐng|Clear-headed / Sober
眉毛|méimao|Eyebrow
气压|qìyā|Air pressure / atmospheric pressure
谣言|yáoyán|Rumor / hearsay
丝毫|sīháo|The slightest amount or degree / a bit
哨兵|shàobīng|Sentry / Guard / Sentinel
干掉|gàndiào|To get rid of
侦察兵|zhēnchábīng|A spy / A scout
侦察|zhēnchá|Reconnaissance / To investigate a crime / to scout
一声不响|yīshēngbùxiǎng|To keep totally silent / noiselessly
蜜|mì|Honey
体力|tǐlì|Physical strength / Physical power
邮包|yóubāo|Postal parcel
原先|yuánxiān|Former / Original
宽敞|kuānchang|Spacious / Wide
社会主义|shèhuìzhǔyì|Socialism
变革|biàngé|Transformation; change; reformNuance:变革 is a powerful term that describes fundamental, systemic change that alters the nature or structure of something. It goes beyond superficial adjustments to imply
敏捷|mǐnjié|Quick / Nimble / Agile
灵魂|línghún|Soul / Spirit
魔鬼|móguǐ|Devil
基督教|jīdūjiào|Christianity
起初|qǐchū|At first / In the beginning / At the outset / Originally
两旁|liǎngpáng|Both sides / either sides
柱子|zhùzi|Pillar / Post / Column
思索|sīsuǒ|Think deeply / Ponder
挫折|cuòzhé|Setback / Reverse / Defeat / Frustration
泄气|xièqì|To be discouraged / To despair / To leak (gas) / To be flat (tire)
长远|chángyuǎn|Long-term / long-range
说不定|shuōbùdìng|Cannot say for sure / Maybe&nbsp;
富裕|fùyù|Prosperous / Well to do / Well off
店主|diànzhǔ|Shop owner
体温|tǐwēn|Body temperature
盖子|gàizi|Lid / Cover / Cap
推迟|tuīchí|To postpone / To put off / Delay / Push later
连接|liánjiē|To link / To join / To attach / Connection
幻灯|huàndēng|Slides / Slide show
屏幕|píngmù|Screen (TV, Computer or movie)
加以|jiāyǐ|In addition / Moreover
整齐|zhěngqí|Neat and tidy / Orderly
歼灭|jiānmiè|To wipe out / To destroy / Annihilate
衰弱|shuāiruò|Weak / Feeble
体质|tǐzhì|Physique
动机|dòngjī|Motive / Intention / Motivation
私下|sīxià|In private (says ...)
谋利|móulì|To make a profit / To gain
断言|duànyán|Affirm / Assert (Liar game =D)
厌恶|yànwù|Loath / Detest / Abhor
战术|zhànshù|Battle tactics / Military tactics
将军|jiāngjūn|General (military)
盯|dīng|Stare / Gaze
笼子|lóngzi|Cage / Coop
