诺言|nuòyán|A promise (noun)
新闻界|xīnwénjiè|The press / The media
鞋底|xiédǐ|Sole of a shoe
卡车|kǎchē|Truck
吹|chuī|To blow (ie the wind blows)
决不|juébù|Not at all / Simply can not
退缩|tuìsuō|To shrink back / To cower
堆|duī|To pile up / To heap up / A mass / A pile / heap / stack
洒|sǎ|To sprinkle / to spray&nbsp;
乐趣|lèqù|Delight / Pleasure / Joy
胡闹|húnào|To fool around / to make trouble / to act willfully and make a scene
选举|xuǎnjǔ|Election
灯泡|dēngpào|Light bulb
考察|kǎochá|To inspect / To observe and study / on the spot investigation
付款|fùkuǎn|Payment / To pay a sum of money
模型|móxíng|Model
火车头|huǒchētóu|Train engine
烂|làn|rotten / decompose / soft / mushy
点燃|diǎnrán|To ignite / To set on fire / aflame / to light (ie a cigar)
香烟|xiāngyān|Cigarette / Smoke from burning incense
催|cuī|To urge / to rush / to prompt / to hasten / to expedite
活儿|huór|Work / Lots of things to do
条款|tiáokuǎn|Clause (of contract or law)
来访|láifǎng|To pay a visit
简练|jiǎnliàn|Terse / Succinct / Concise
正号|zhènghào|Plus sign / +
误作|wùzuò|To mistake (one thing) for (another); to misinterpret; to wrongly take as Nuance “误作” means to incorrectly regard or interpret something as something else, often due to misunderstanding, superficial s
负号|fùhào|Minus sign / -
终年|zhōngnián|Entire year / throughout the year
临|lín|To face / to overlook (a lake etc)
发抖|fādǒu|To tremble / to shake / to shiver
林子|línzi|Woods / Forest
腰|yāo|Waist
沉重|chénzhòng|Heavy / Hard
扭伤|niǔshāng|A sprain / a crick
扭|niǔ|to turn / to twist / to sprain
划船|huá chuán|To row a boat
渡过|dù guò|To cross over / To pass through
订婚|dìnghūn|Engagement (first character is "to agree")
独一无二|dúyīwúèr|Unique and unmatched / unrivalled / nothing compares with it
客机|kèjī|Passenger plane
高度|gāodù|Altitude
飞行|fēixíng|To fly / flying / flight / aviation
汽油|qìyóu|Petrol
碎片|suìpiàn|broken into pieces (ie smashed glass)
碎|suì|To break into pieces
填空|tiánkòng|To fill in a blank (on form etc) / to fill a job vacancy
胸罩|xiōngzhào|Bra
蜘蛛|zhīzhū|Spider
绝非|juéfēi|Absolutely not
易|yì|Easy
受惊|shòujīng|Startled / Frightened
呼喊|hūhǎn|To shout (slogans etc) / to call
月经|yuèjīng|Period (girls)
就任|jiùrèn|to take office / to assume a post
沿|yán|along / following a line&nbsp;
晴朗|qínglǎng|Sunny and cloudless
夜空|yèkōng|Night sky
海外|hǎiwài|Overseas / abroad
忍受|rěnshòu|To bear / To endure
支架|zhījià|Bracket / Frame / Support / To prop something up
私事|sīshì|Personal matters
多达|duōdá|Up to / No less than / As much as
作画|zuòhuà|To paint
路程|lùchéng|Route / Distance traveled
示范|shìfàn|To demonstrate; to show; a demonstration (as an example to follow).Nuance示范 is a verb and noun that refers to showing or demonstrating how something is done, often with the intention that others will 
友善|yǒushàn|Friendly
头版|tóubǎn|(Newspapers) front page
推说|tuīshuō|To plead / To claim as an excuse
程度|chéngdù|extent / degree / level
科目|kēmù|Subject (school)
心虚|xīnxū|Guilty conscience; lacking confidence; feeling apprehensive or insecure.Nuance心虚 is an adjective that describes a state of inner unease stemming from either genuine guilt or a lack of confidence. Lite
细微|xìwēi|Tiny / Minute / Fine / Subtle / Sensitive (instruments)
逃学|táoxué|To play truant / to cut classes
朗读|lǎngdú|To read aloud / read loudly and clearly
短裤|duǎnkù|Shorts
拔掉|bádiào|To pull out / To pull off / To unplug
创造者|chuàngzàozhě|Creator
平台|píngtái|Platform / Terrace
挤过|jǐguò|to squeeze through / to force ones way through
伸个懒腰|shēn ge lǎnyāo|To stretch (your body)
陆地|lùdì|Dry land (as opposed to the sea)
笨手笨脚|bènshǒubènjiǎo|Clumsy / All thumbs
无礼|wúlǐ|Rude / Rudely
至极|zhìjí|Extremely
傻瓜|shǎguā|Idiot / Fool
拖延|tuōyán|To delay / to defer / procrastination
着陆|zhuólù|Landing / Touchdown / To touch down (plane)
吹捧|chuīpěng|To flatter / To laud somebodys accomplishments
听众|tīngzhòng|Audience; listeners (of a speech, broadcast, or performance).Nuance听众 is a noun that refers to the people who listen to a speech, lecture, broadcast, concert, or any spoken or musical performance. It 
敌机|díjī|Enemy plane
航行|hángxíng|To sail / To navigate
致力|zhìlì|To work for / to devote ones efforts to
抱有|bàoyǒu|To have / possess
及早|jízǎo|At the earliest possible time / as soon as possible
订票|dìngpiào|To book tickets
求婚|qiúhūn|To propose marriage
言行|yánxíng|Words and actions / behaviour / what one says and what one does
紫外线|zǐwàixiàn|Ultraviolet ray
洞|dòng|Cave / Hole / can be zero
分成|fēnchéng|To divide (into) / to split into / to break into
手推车|shǒutuīchē|Wheelbarrow / cart / trolley
牵手|qiānshǒu|hold hands (romance)
一排|yīpái|A row
变动|biàndòng|"change," "shift," "alteration," "fluctuation"Nuance:变动 refers to a change or alteration in state, position, or situation, often with a sense of movement or adjustment rather than a complete transform
