口语|kǒuyǔ|Spoken language
采用|cǎiyòng|To adopt / To use / To employ
特点|tèdiǎn|Characteristic / Feature
学术|xuéshù|Learning / Science
空间|kōngjiān|Space
反对|fǎnduì|To oppose / To be against
杂志|zázhì|Magazine / Journal
表明|biǎomíng|To Make Clear / To State Clearly / To Demonstrate / To IndicateNuance表明 is a verb used to convey a clear and direct expression of an attitude,立场, opinion, or fact. It can refer to a verbal declaration
资料|zīliào|Materials / Resources / Information / Data
设计|shèjì|To design / To plan&nbsp;
设备|shèbèi|Equipment / Facilities / To set up
关心|guānxīn|To be interested in
面积|miànjī|Area
联合|liánhé|To unite / to join / alliance
制造|zhìzào|To manufacture / to make / create (AGAIN???)
统一|tǒngyī|To unite / unify
贸易|màoyì|Trade / Commerce
建筑|jiànzhù|To build / construct / building / architecture
整体|zhěngtǐ|Whole / Entirety / Totality
报告|bàogào|To report / report / lecture
某|mǒu|Certain / Some
禁止|jìnzhǐ|To prohibit / to ban / to forbid
广播|guǎngbō|Broadcasting / To broadcast
销售|xiāoshòu|To sell / To market
克服|kèfú|To overcome; to conquer; to surmountNuance:克服 is a verb that describes the act of successfully dealing with and overcoming difficulties, obstacles, weaknesses, or challenges. It implies effort, persev
一个晚上||One night
铁路|tiělù|Traintracks
暖和|nuǎnhuo|Warm (temperature)
初学者|chūxuézhě|Beginner
标志|biāozhì|A sign (on the wall)
闻|wén|To smell
墙|qiáng|A wall
墙上|qiángshàng|On the wall
挂在墙上|guà zài qiáng shàng|Hang on the wall
现金|xiànjīn|Cash
硬|yìng|Hard
软|ruǎn|Soft
终于|zhōngyú|Finally
实际上|shíjìshàng|Actually ...
电池|diànchí|Battery
不能充电|bù néng chōngdiàn|Cannot charge (battery)
充电|chōngdiàn|To charge something
例子|lìzì|Example
装修|zhuāngxiū|Decoration
很可能||Probably
反义词|fǎnyìcí|Opposite word (hot &lt;&gt; cold)
吸引|xīyǐn|To draw / attract (customers to the gym!)
不太合适|bú tài héshì|Not so suitable
留|liú|To leave (something)
名片|míngpiàn|Name card / business card
灰尘|huīchén|Dust / Dirt
发觉|fājué|To realise (feelings?)
圣诞老人||Santa claus
消失|xiāoshī|To disappear
记忆|jìyì|Memory
（有）价值|jiàzhí|Valuable
不确定||Not sure
纠正|jiūzhèng|To correct (ones chinese)
说话的方式||Way of speaking
吵架|chǎojià|To fight / argue
气氛|qìfēn|Atmosphere
很快就累了||Get tired quickly
太乱了|tài luàn le|Too disorganized
公分|gōngfēn|Centimetres
我不记得||I don't remember
难记|nánjì|Difficult to remember
xiàng||"Like" -- as in "Like last Thursday I ..."
修得人|xiū de rén|Someone to fix
做得人|zuò de rén|Someone to do
原来|yuánlái|Original / Former&nbsp;
基础|jīchǔ|Base / Foundation / Basis
系|xì|Department / Faculty
副|fù|Secondary / Vice-
行动|xíngdòng|To move / to act / action / operation
招聘|zhāopìn|To recruit / to advertise for
令|lìng|To cause / to make / to order / command
抓|zhuā|To grasp / to seize
原则|yuánzé|Principle
军事|jūnshì|Military affairs / the military
反映|fǎnyìng|To reflect / to report / comment / opinion / reflection
采取|cǎiqǔ|To take / to adopt
往|wǎng|To go / to / toward
符合|fúhé|To accord with / to conform to
土地|tǔdì|Land / soil / territory
满|mǎn|Full / Filled / Complete
结合|jiéhé|To combine / to integrate / to link
干部|gànbù|Leader / Executives
提|tí|To lift / to raise / to carry
程序|chéngxù|Procedure / Order / Program
力量|lìliàng|Strength / Power / Force / Ability
指导|zhǐdǎo|To direct / To guide / To instruct
核心|héxīn|Core / Nucleus / Center
快速|kuàisù|Fast / Quick / High-Speed
明星|míngxīng|Star / Celebrity
股票|gǔpiào|Share / Stock
投入|tóurù|To put into / to invest / investment / absorbed
劳动|láodòng|Work / Labor / Physical labor / manual labor
队|duì|Team / Group / Counter for rows&nbsp;
阶段|jiēduàn|Stage / Phase / Period
线|xiàn|String / Thread / Wire / Line
更加|gèngjiā|More / Much more
出来|chūlái|To come out / to emerge / to arise
卫生|wèishēng|Hygiene / health / hygienic
敢|gǎn|To dare / to have courage to / to be sure
重大|zhòngdà|Great / Important / Significant
发挥|fāhuī|To bring into play / to exert / to develop
长期|chángqī|Long term
广大|guǎngdà|Vast / Wide / Extensive / Numerous
重视|zhòngshì|To take seriously / to value
热情|rèqíng|Enthusiasm / warmth / passionate
亿|yì|Hundred million
公开|gōngkāi|To open / to make public
先进|xiānjìn|Advanced / Developed / Role model
并且|bìngqiě|And / Besides / Moreover
列|liè|To list / to line up
指出|zhǐchū|To point out
破|pò|To break / broken / damaged
工具|gōngjù|Tool / Instruments / means
创造|chuàngzào|To create / to bring about
美元|měiyuán|U.S. dollar
久|jiǔ|for a long time
面临|miànlín|to be faced with, to face
按|àn|to press, to push down, to restrain; according to
草|cǎo|grass, straw
量|liáng|to measure
挑战|tiǎozhàn|to challenge; challenge
承担|chéngdān|to bear, to undertake, to take on
